---,Type,Item,Prop,Trait,Currency,Pet,PetSpawn,Spawn,AffixSpawn,SpawnLevelFrom,SpawnLevelFixed,SpawnLevelAdd,SpawnLevelMult,Query,RequiredItemLevel,Tags,TagQuery,Quantity,bDropOnGround,TraitParameterRowName,bLimitedTime,bApplyToFortProp,StatusEffectClass,StatusEffectDuration,Notes
FortProp_Legendary_HyvidCage_Quantity1,FortProp,"(RowName="""")","(RowName=""VespidExhibit"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Magic_LampPost_Quantity2,FortProp,"(RowName="""")","(RowName=""LampPost"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",2,FALSE,None,FALSE,FALSE,None,0,
FortProp_Magic_ImperialBanner_Quantity2,FortProp,"(RowName="""")","(RowName=""Banner_Imperial_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",2,FALSE,None,FALSE,FALSE,None,0,
FortProp_Magic_EvergreenTree_Quantity5,FortProp,"(RowName="""")","(RowName=""Tree_Evergreen_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",5,FALSE,None,FALSE,FALSE,None,0,
FortProp_Legendary_WarPlanningTable_Quantity1,FortProp,"(RowName="""")","(RowName=""CampaignMap"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Magic_MossyStoneWall_Quantity5,FortProp,"(RowName="""")","(RowName=""Fence_IO_Ruinswall_04"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",5,FALSE,None,FALSE,FALSE,None,0,
StashTab,Currency,"(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""StashTabs"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
Gold_500,Currency,"(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""Gold"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",500,FALSE,None,FALSE,FALSE,None,0,
GoldLuckMapBundle_Common,Item,"(RowName=""CommonMapBag_Gold"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
GoldLuckMapBundle_Magic,Item,"(RowName=""MagicMapBag_Gold"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
GoldLuckMapBundle_Rare,Item,"(RowName=""RareMapBag_Gold"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
GoldLuckMapBundle_Legendary,Item,"(RowName=""LegendaryMapBag_Gold"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
ItemLuckMapBundle_Common,Item,"(RowName=""CommonMapBag_Item"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
ItemLuckMapBundle_Magic,Item,"(RowName=""MagicMapBag_Item"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
ItemLuckMapBundle_Rare,Item,"(RowName=""RareMapBag_Item"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
ItemLuckMapBundle_Legendary,Item,"(RowName=""LegendaryMapBag_Item"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
AlphaWardrobeDM,FortProp,"(RowName="""")","(RowName=""AlphaContractStatue_DuskMage"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,TRUE,FALSE,None,0,
AlphaWardrobeForged,FortProp,"(RowName="""")","(RowName=""AlphaContractStatue_Forged"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,TRUE,FALSE,None,0,
WideloadShieldBag,FortProp,"(RowName="""")","(RowName=""WideloadShield"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
RecipeUnlock_Example,Trait,"(RowName="""")","(RowName="""")","(RowName=""RecipeUnlocked"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,BluntForce1h,FALSE,FALSE,None,0,
FortProp_Wardrobe_DuskMage_Wood_01,FortProp,"(RowName="""")","(RowName=""DM_wardrobe_wooden_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Wardrobe_Railmaster_Wood_01,FortProp,"(RowName="""")","(RowName=""RM_wardrobe_wooden_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Wardrobe_Forged_Wood_01,FortProp,"(RowName="""")","(RowName=""FRG_wardrobe_wooden_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
Pet_Eagle_Bald,Pet,"(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""Eagle03"")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_CaveRocksShort_02,FortProp,"(RowName="""")","(RowName=""GCaveRocks_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",2,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_CaveRocksTall_02,FortProp,"(RowName="""")","(RowName=""GCaveRocks_03"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",2,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_CaveRockPattern,FortProp,"(RowName="""")","(RowName=""GCaveRocksPattern_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_RockOutcropping,FortProp,"(RowName="""")","(RowName=""GCaveRocksChunk_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_GoblinPedestal,FortProp,"(RowName="""")","(RowName=""GoblinPedestal_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_GrindyMill,FortProp,"(RowName="""")","(RowName=""GoblinWatermill_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_IlluminatedTotem,FortProp,"(RowName="""")","(RowName=""GoblinShrine_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_GoblinAltar,FortProp,"(RowName="""")","(RowName=""GoblinAltar_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Wardrobe_Railmaster_Plant_01,FortProp,"(RowName="""")","(RowName=""RM_wardrobe_plant_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Wardrobe_Forged_Plant_01,FortProp,"(RowName="""")","(RowName=""FRG_wardrobe_plant_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Wardrobe_DuskMage_Plant_01,FortProp,"(RowName="""")","(RowName=""DM_wardrobe_plant_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
Pet_Cat_Black,Pet,"(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName=""Cat01"")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_RiverGobHut,FortProp,"(RowName="""")","(RowName=""GoblinHut_River_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_RiverGobShack,FortProp,"(RowName="""")","(RowName=""GoblinRiverHut_02"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_RiverGobHideout,FortProp,"(RowName="""")","(RowName=""GoblinRiverHut_03"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_GoblinCauldron,FortProp,"(RowName="""")","(RowName=""Cauldron_Goblin"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_NetherstonesShort_02,FortProp,"(RowName="""")","(RowName=""Netherstones_02"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",2,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_NetherstonesTall_02,FortProp,"(RowName="""")","(RowName=""Netherstones_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",2,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_NetherSeal,FortProp,"(RowName="""")","(RowName=""Netherstonescenterpiece_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",1,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_ITUWoodenWall01_04,FortProp,"(RowName="""")","(RowName=""ITU_Wall_Wood_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",4,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_ITUWoodenWall02_04,FortProp,"(RowName="""")","(RowName=""ITU_Wall_Wood_02"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",4,FALSE,None,FALSE,FALSE,None,0,
FortProp_Deco_ITUWoodenArch01_04,FortProp,"(RowName="""")","(RowName=""ITU_Arch_Wood_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",Fixed,1,0,0,None,0,(GameplayTags=),"(TokenStreamVersion=0,TagDictionary=,QueryTokenStream=,UserDescription="""",AutoDescription="""")",4,FALSE,None,FALSE,FALSE,None,0,
