---,DisplayName,Description,DescriptionLong,FlavorText,CustomTypeText,EmberWeaponData,OffHandWeaponToEquip,bUseAffixWithName,SlotForSkillDescription,LevelRangeString,MinLevel,MaxLevel,DropWeight,GoldValue,ItemWardrobe,bCanBeDyed,DyeRow,GameplayTagContainer,AffixAnyTagContainer,AffixAllTagContainer,AffixSpawnRowName,ItemQuality,LootContent,LootContentRecipe,LootContentRecipeUnit,DamageTypeTag,SpokeTags,PlayerClassTags,ItemSetTag,AnimSlotPrefix,AnimSlotSuffix,bIsTwoHanded,bCanSell,bCanDestroy,bCanBeUsed,bCanBulkBuy,bIgnoreLevel,bIgnoreSpoke,bIgnoreDroppedArea,AttackSpeedIndex,bIsStatStick,PickupAction,PickUpTraitString,MaxStackSize,IconOverride,ItemClass,Notes
Armor_Common_Helm_Global_01,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Helm_Global_01_DisplayName"", ""Simple Helm"")","","","","","(RowName="""")","(RowName="""")","False","None","5-45","0.000000","0.000000","1","8.000000","(RowName=""Common_Global_1_Helm"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Helm"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Helm"")))","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player.Forged""),(TagName=""Character.Player.Sharpshooter"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None","No equivalent helm mesh exists for the Dusk Mage for this set."
Armor_Common_Helm_Global_02,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Helm_Global_01_DisplayName"", ""Simple Helm"")","","","","","(RowName="""")","(RowName="""")","False","None","25-60","0.000000","0.000000","1","8.000000","(RowName=""Common_Global_2_Helm"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Helm"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Helm"")))","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Helm_HeadShoulders_01,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Helm_HeadShoulders_01_DisplayName"", ""Simple Helm"")","","","","","(RowName="""")","(RowName="""")","False","None","5-45","0.000000","0.000000","1","8.000000","(RowName=""Common_HeadShoulders_1_Helm"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Helm"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Helm"")))","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Helm_HeadShoulders_02,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Helm_HeadShoulders_02_DisplayName"", ""Basic Helm"")","","","","","(RowName="""")","(RowName="""")","False","None","25-60","0.000000","0.000000","1","8.000000","(RowName=""Common_HeadShoulders_2_Helm"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Helm"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Helm"")))","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Helm_Nude_01,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Helm_Nude_01_DisplayName"", ""Hair A"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_1_Helm"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Helm"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Helm_Nude_02,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Helm_Nude_02_DisplayName"", ""Hair B"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_2_Helm"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Helm"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Helm_Nude_03,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Helm_Nude_03_DisplayName"", ""Hair C"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_3_Helm"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Helm"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Helm_Nude_04,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Helm_Nude_04_DisplayName"", ""Hair D"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_4_Helm"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Helm"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Helm_Nude_05,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Helm_Nude_05_DisplayName"", ""Hair E"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_5_Helm"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Helm"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Helm_Nude_06,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Helm_Nude_06_DisplayName"", ""Hair F"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_6_Helm"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Helm"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Helm_Nude_07,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Helm_Nude_07_DisplayName"", ""Hair G"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_7_Helm"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Helm"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Helm_Nude_08,"NSLOCTEXT(""ItemsTable"", ""AF362E804979063AEE16358E621B6F27"", ""Hair H"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_8_Helm"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Helm"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Helm_Nude_09,"NSLOCTEXT(""ItemsTable"", ""A38DD92345570AD6F80E0A85ED9AEDD2"", ""Hair I"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_9_Helm"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Helm"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Locomotion_Global_01,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Locomotion_Global_01_DisplayName"", ""Thin Crab Legs"")","","","","","(RowName="""")","(RowName="""")","False","None","1-45","0.000000","0.000000","1","8.000000","(RowName=""Common_Global_1_Locomotion"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Locomotion"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Locomotion"")))","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player.Forged"")))","(TagName="""")","Crab","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Locomotion_Global_02,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Locomotion_Global_01_DisplayName"", ""Thin Crab Legs"")","","","","","(RowName="""")","(RowName="""")","False","None","25-60","0.000000","0.000000","1","8.000000","(RowName=""Common_Global_2_Locomotion"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Locomotion"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Locomotion"")))","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player.Forged"")))","(TagName="""")","Crab","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Locomotion_Newbie_01,"NSLOCTEXT(""ItemsTable"", ""CB37B7414EAFADDB59E606A401B4CA47"", ""Fragile Crab Legs"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Newbie_Locomotion"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Locomotion"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Locomotion"")))","Armor_Starter_Medium","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player.Forged"")))","(TagName="""")","Crab","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Locomotion_Nude_01,"NSLOCTEXT(""ItemsTable"", ""5E057C694EA5EB37FB43C9A0CAF1675F"", ""Crab Legs A"")","","","","","(RowName="""")","(RowName="""")","False","None","","0.000000","0.000000","0","0.000000","(RowName=""Nude_1_Locomotion"")","False","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Locomotion"")))","(GameplayTags=)","(GameplayTags=)","None","None","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player.Forged"")))","(TagName="""")","Crab","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armor_Common_Pants_Global_01,"NSLOCTEXT(""ItemsTable"", ""Armor_Common_Pants_Global_01_DisplayName"", ""Loose Leggings"")","","","","","(RowName="""")","(RowName="""")","False","None","1-45","0.000000","0.000000","1","8.000000","(RowName=""Common_Global_1_Pants"")","True","(RowName="""")","(GameplayTags=((TagName=""Item.Armour.Pants"")))","(GameplayTags=((TagName=""Affix.Defense""),(TagName=""Affix.Hitpoints.Bonus"")))","(GameplayTags=((TagName=""Item.Armour.Pants"")))","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","(TagName="""")","(GameplayTags=)","(GameplayTags=((TagName=""Character.Player.DuskMage""),(TagName=""Character.Player.Railman""),(TagName=""Character.Player.Sharpshooter"")))","(TagName="""")","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
