---,Speakers,Type,TitleText,Text,ButtonText,Voiceover,ContextType1,ContextParam1,ContextType2,ContextParam2,ContextType3,ContextParam3,IconPortraitTag,Tags,Weight,ContextEntries,bDefaultSet,Notes
Default_Bandit_Quip1,"((RowName=""Bandit""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""C068C53244C848C538F045A70C99B5F5"", ""Another freeloader, huh? I\'m not one to judge."")","","(AssetGuid=1B8F93DA2F0E4277B1624122455C4B33)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Bandit_Quip2,"((RowName=""Bandit""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""61E8B88E4A667BBDA4ACA0896D8DE2DE"", ""Sometimes, you\'ve got to just help yourself."")","","(AssetGuid=1B8F93DA2F0E4277B1624122455C4B33)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Bandit_Quip3,"((RowName=""Bandit""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""01D76DBD4C3295C0C7DFAFB0F3FE4B04"", ""Quit staring. I\'m not getting any prettier."")","","(AssetGuid=1B8F93DA2F0E4277B1624122455C4B33)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Bandit_Quip4,"((RowName=""Bandit""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""9660913D435F4C3F056C57980CC447D0"", ""Don\'t you have some place to be?"")","","(AssetGuid=1B8F93DA2F0E4277B1624122455C4B33)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Bandit_Quip5,"((RowName=""Bandit""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""3BB270DB4480890C1AE5C8B43DDD33DE"", ""No more handouts for you. Go away."")","","(AssetGuid=1B8F93DA2F0E4277B1624122455C4B33)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip01,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""0368C5D14B4AC846E527D9A10875BC5D"", ""Yapper... hungry... you mebbee... TASTY?!"")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip02,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""0B527E6B4F3916493C874D84E844A0F1"", ""Come closer humen... Yapper hungers!"")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip03,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""0AD7A924489DF1AE66BAAA8B68746151"", ""Yapper free self. Tell goblins. Take humens. Feast. Mmm."")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip04,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""672FC0BB46B35C9285A9E9AE4D74ED9D"", ""Wat? Yapper not hiding things. You trust Yapper, yes?"")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip05,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""25FCB91546B8815FEFEAB7B75C7D0245"", ""You bring pet? Feed Yapper?"")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip06,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""F486D887495DCC8F631BCE9DCC0C2B64"", ""MINE!"")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip07,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""82E1A53D40EFE4B8FAD1D8A6F7DDC46C"", ""Grrrr..."")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip08,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""4C2D1477414834883B7B308C943F615C"", ""Yapper tell you! Yapper tell you!"")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip09,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""F7EE5244483901F92607BC82C0925A66"", ""Yapper a good lil\' goblin, yes he is!"")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip10,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""4CE14753413984004FE749B48ACB553A"", ""Yapper help humans, they feed, yes?"")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip11,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""1F70153242EFB579459FFC8CF0C88048"", ""Yes, yapper knows. Yapper good helper!"")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip12,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""BDF3D81A46C6171FDEC6E8801F575FDF"", ""You have treats for Yapper?"")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip13,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""2BCF44C74E8454CA5AF5CE8EDBE92D4E"", ""No need to be so tasty er… hasty. Yes. Hasty."")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip14,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""D26458BF42002A6CBBBFE6A454FD2A29"", ""Yapper can help. If not so hungry…"")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip15,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""04E7F5B547FDB8CA9D18159A427A23FD"", ""Yapper can have dragonling snack?"")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip16,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""727600264FA7CEB0DF569CB6F7EDF076"", ""Ow! No poking Yapper!"")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip17,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""1E9DE2D1464AB7334759BA87930DEF0C"", ""Yapper not forget what you do to Yapper. Yapper remember."")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Yapper_Quip18,"((RowName=""Yapper""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""215947FD4911CB3861B523B079BC61EC"", ""You hit hard. Yapper not hit hard, but Yapper sneeeaky."")","","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_SgtKlive_Quip01,"((RowName=""SgtKlive""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""D27BF85F47245A9623CCCCA2912B6D7B"", ""Nothing to see here, move along."")","","(AssetGuid=4DB097D67FAE48BABAAE2B16BBA260A1)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_SgtKlive_Quip02,"((RowName=""SgtKlive""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""779A6F0044CE287DD88901A8EE590FB2"", ""Greetings."")","","(AssetGuid=4DB097D67FAE48BABAAE2B16BBA260A1)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_SgtKlive_Quip03,"((RowName=""SgtKlive""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""4A13AC4E4380BCDCE57D768E8B8CFF34"", ""Hello."")","","(AssetGuid=4DB097D67FAE48BABAAE2B16BBA260A1)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_SgtKlive_Quip04,"((RowName=""SgtKlive""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""97AF4F974DE418C11CF55296DB2403CB"", ""Yes, I\'m still here. How can I help?"")","","(AssetGuid=4DB097D67FAE48BABAAE2B16BBA260A1)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_SgtKlive_Quip05,"((RowName=""SgtKlive""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""CEC3AB1843F189489C084691E5C2D118"", ""Nice place you\'ve got here."")","","(AssetGuid=4DB097D67FAE48BABAAE2B16BBA260A1)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_SgtKlive_Quip06,"((RowName=""SgtKlive""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""9A6C29574F323116D8BD389EE7FDBFDA"", ""Don\'t mind me as I continue to stand here and watch you work."")","","(AssetGuid=4DB097D67FAE48BABAAE2B16BBA260A1)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_SgtKlive_Quip07,"((RowName=""SgtKlive""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""E156518D4E47D4D57D1427A66B038FA3"", ""I have direct orders to supervise and not interfere."")","","(AssetGuid=4DB097D67FAE48BABAAE2B16BBA260A1)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
AlphaSprite_Alyph,"((RowName=""AlphaSprite""))","Modal","","NSLOCTEXT(""DialogueTable"", ""3779EE0844A34E1639241B88EA1DD12A"", ""Heya, frontierlander! As one of the first arrivals here in the frontier, I\'ve been given special permission to grant you a welcome package. Y\'know, to say thanks for everything you do?\r\n\r\nIt\'s got great stuff for your fort. You should really get… Oh, no. Not these. These are just floor models.\r\n\r\nHead straight to your fort. They\'re already there, you just have to pick a good spot for \'em!"")","","(AssetGuid=00000000000000000000000000000000)","QuestComplete","TUT_Intro","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Quest_Infested_GatekeepingIF1,"((RowName=""ThanesSnow""))","Modal","","NSLOCTEXT(""DialogueTable"", ""17AFE321403FF4DEFB29EFB9F20542DB"", ""Me? Skittish? You would be too, if you\'ve been where I\'ve been. General Graye needs your help in the goblin frontier before you can help us with the Hyvid infestation. One problem at a time, right?"")","","(AssetGuid=BA6EA02EE9F94B8C8C05675A7FA5DA8A)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","2","","True","GFQ_CollectInsignias"
Quest_Infested_GatekeepingIF1:Task_TurnInIO,"((RowName=""ThanesSnow""))","Modal","","NSLOCTEXT(""DialogueTable"", ""721F6F86466EC301335E1F915DAE8790"", ""The Hyvid proliferation is growing. If you thought the Goblins were bad, wait until you stumble upon an entire swarm of Hyvid. You\'ll want to stock up on poison gear for this place."")","","(AssetGuid=BA6EA02EE9F94B8C8C05675A7FA5DA8A)","QuestComplete","A1C5Q3","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
PLACEHOLDER_HyvidResearcher_Quip1,"((RowName=""HyvidResearcher""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""6DD04F6F4AD3697546F0F0AE625CFA3E"", ""It could be goosebumps, or it could be a rash."")","","(AssetGuid=BA6EA02EE9F94B8C8C05675A7FA5DA8A)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
PLACEHOLDER_HyvidResearcher_Quip2,"((RowName=""HyvidResearcher""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""A749CDC24456A61A51A53497569BD887"", ""Yes, I\'m still here. Do you need something?"")","","(AssetGuid=BA6EA02EE9F94B8C8C05675A7FA5DA8A)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
PLACEHOLDER_HyvidResearcher_Quip3,"((RowName=""HyvidResearcher""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""8FBC1D9A45BF289734AF2A80A1BBF3F5"", ""Hurry along, I don\'t have time for chit-chat."")","","(AssetGuid=BA6EA02EE9F94B8C8C05675A7FA5DA8A)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
PLACEHOLDER_HyvidResearcher_Quip4,"((RowName=""HyvidResearcher""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""429EF9AF4850AA39F0AB9091244BD049"", ""Incidentally, pest control often involves dealing with more than one kind of pest."")","","(AssetGuid=BA6EA02EE9F94B8C8C05675A7FA5DA8A)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip01,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""8525914F48D09726C6D45AAB11F15E32"", ""Of course I haven\'t been drinking again!"")","","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip02,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""B03ED4004EAABD107D5382B9DF18A2C0"", ""Quit judging me. I\'m just trying to stay hydrated."")","","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip03,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""66F235DC4B409E2F4C9331AAEDA70C0B"", ""I\'m usually out on the field, but the General tells me that I\'ve been too irresponsible. Hmph!"")","","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip04,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""741E60B0495FF45554A686B92A56DEF3"", ""Wait, what time is it again?"")","","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip05,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""47D8717F4CF27C2C21935B9FC0D99E5C"", ""Quiet down. I\'ve got a splitting headache."")","","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip06,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""77A0C65B4461855B9FDFB48A2BFE1889"", ""Oh, hello."")","","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip07,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""1BC6DD31432AAE06FF7D2CA5C621CDC5"", ""Hack \'n slash? Why, that\'s how I lost my eye! Harr!"")","","(AssetGuid=00000000000000000000000000000000)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Kenik_Quip08,"((RowName=""Kenik""),(RowName=""Kenik_Act1""),(RowName=""Kenik_Act2""),(RowName=""Kenik_Act3""),(RowName=""Kenik_Act1_Town""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""598C63EA402F788CBDD7198AE8144072"", ""Another pint! Oh, sorry. Where am I?"")","","(AssetGuid=00000000000000000000000000000000)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Zaya_Quip1,"((RowName=""Zaya""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""3DEE4C8645DE2E1A649CFFAB2F89B740"", ""Hmn? Oh, sorry, I was in the middle of a spellbook."")","","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Zaya_Quip2,"((RowName=""Zaya""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""0415EDE34653020F5B0152A6A6C857C4"", ""This is such a strange place… think of the research!"")","","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Zaya_Quip3,"((RowName=""Zaya""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""A0DB253D42EA252A611C3CAFA914D3E4"", ""Tell me if you find any strange ember."")","","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Zaya_Quip4,"((RowName=""Zaya""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""2BCD7B964539DF71D40FD4A946A9193A"", ""Isn\'t this place amazing?"")","","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Zaya_Quip5,"((RowName=""Zaya""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""326EEB784957D03CB9CAA780F5E11983"", ""Hi there!"")","","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Zaya_Quip6,"((RowName=""Zaya""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""4525299A43E001D41E3D52BF3EC06863"", ""Yes, how can I help you?"")","","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Zaya_Quip7,"((RowName=""Zaya""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""3130BC40445C6DF9E69E98A13A46FF6E"", ""No, sparkle! This one\'s a friend."")","","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Default_Zaya_Quip8,"((RowName=""Zaya""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""B13423094BB5F2E67021D6854BACA927"", ""I\'m sure we can help each other."")","","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Quest_Tut_LuckTree_Intro,"((RowName=""Zaya""))","Quest","","NSLOCTEXT(""DialogueTable"", ""3F4EF3A249188FC946AF509F0867DF74"", ""Hey there! I need your help with something.\r\n\r\nI was carrying a <span color=\""#FFD700\"">Sack of Luck Seeds</> when we were attacked by goblins. If you can find it for me, I’ll give you one! I have no way to find any more Luck Seeds, so I could really use your help."")","","(AssetGuid=D0B76303FE00496C89808DBDE4A86E08)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Quest_Tut_LuckTree_TalkToZaya,"((RowName=""Zaya""))","Quest","","NSLOCTEXT(""DialogueTable"", ""092A087041EA4EE90C69159FA1FDF470"", ""Great! Plant this humble seed in your fort and it can grow into a majestic <span color=\""#FFD700\"">Luck Tree</>.\r\n\r\nBeing magical, Luck Trees crave magical items. Yes, really. Go plant this in your fort and start feeding it with nourishing items and it will help you find more amazing gear!"")","","(AssetGuid=D0B76303FE00496C89808DBDE4A86E08)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
TestLore,"","Lore","NSLOCTEXT(""DialogueTable"", ""F1E8B95E404E34BD5C828D98F0A03CE3"", ""Test Lore"")","NSLOCTEXT(""DialogueTable"", ""7472ADD5430315625079F5877A7B0320"", ""This is a test of the emergency broadcast system.  Had this been an actual emegency, LOOK OUT BEHIND YOU!"")","","(AssetGuid=A4F20DEC0CB646A4ACD153635FBEE3D1)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
TestLore2,"","Lore","NSLOCTEXT(""DialogueTable"", ""FECFD7384D7BEF87CE5BF7A48D7A28FB"", ""Test Lore 2"")","NSLOCTEXT(""DialogueTable"", ""79B58C244769DBDFB1F168AED5E64DA7"", ""It was a dark and stormy night.  A shot rang out.  The maid screamed.  Suddenly, a pirate ship appeared on the horizon."")","","(AssetGuid=E5D8710F147D46409E3F401B6512A3EA)","None","None","None","None","None","None","(TagName="""")","(GameplayTags=)","1","","True",""
Lore_ImperialOutpost_1,"((RowName=""Lore_ImperialOutpost_Scribe""))","Lore","NSLOCTEXT(""DialogueTable"", ""Lore_ImperialOutpost_1_TitleText"", ""Tales of Trevail"")","NSLOCTEXT(""DialogueTable"", ""Lore_ImperialOutpost_1_Text"", ""Dedicated to the memory of General Esker Trevail, who boldly oversaw the construction and defense of this outpost against the goblin hordes for so long. It is in your honor and that of the men lost at this site that we dedicate this outpost, Trevail Point."")","","(AssetGuid=3BBCCD98B7DE4948B99DA44D2279437C)","None","None","None","None","None","None","(TagName=""Gadget.Lore"")","(GameplayTags=)","1","","True",""
