---,TriggerType,TriggerEvent,TagFilter,EventNameParam,Trait,AccumulateRandomChance,TriggerSkill,CooldownTimeSeconds,bMinionsCanTrigger,Notes
DarkChargeBarDark,"Always","SkillDamage","(GameplayTags=((TagName=""Skill.DuskMage.Dark"")))","None","None","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarProc_Dark.Skill_ChargeBarProc_Dark_C","0.000000","True",""
DarkChargeBarDarkLock,"Always","ActiveTraitAtMax","(GameplayTags=)","DarkChargeBar","DarkChargeBarProc","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarLock_Balance_DM_Dark.Skill_ChargeBarLock_Balance_DM_Dark_C","0.000000","True",""
DarkChargeBarLock,"Always","ActiveTraitAtMax","(GameplayTags=)","DarkChargeBar","DarkChargeBarProc","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarLock_DMDark.Skill_ChargeBarLock_DMDark_C","0.000000","True",""
DarkChargeBarSkillStart,"Always","SkillStart","(GameplayTags=((TagName=""Skill.DuskMage.Dark"")))","None","None","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeStart_DMDark.Skill_ChargeStart_DMDark_C","0.000000","True",""
DarkChargeBarSkillStartBalance,"Always","SkillStart","(GameplayTags=((TagName=""Skill.DuskMage.Dark"")))","None","None","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_Charge_KeeperofBalance_Dark.Skill_Charge_KeeperofBalance_Dark_C","0.000000","True",""
EmberWeaponCharged,"Always","ActiveTraitAtMax","(GameplayTags=)","EmberWeaponCharge","EmberWeaponChargeProc","0.000000","/Game/Skills/Blueprints/EmberWeapons/ProcSkill_EmberWeaponCharged.ProcSkill_EmberWeaponCharged_C","0.000000","True",""
EmberWeaponDrainBonus,"Always","DidKill","(GameplayTags=)","None","EmberWeaponDrainBonus","0.000000","/Game/Skills/Blueprints/EmberWeapons/ProcSkill_EmberWeaponDrainBonus.ProcSkill_EmberWeaponDrainBonus_C","1.000000","True",""
Fear,"Random","SkillDamage","(GameplayTags=)","None","ElementalProcChance|Proc.Fear","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_Fear.ProcSkill_Fear_C","0.000000","True",""
Freeze,"Random","SkillDamage","(GameplayTags=)","None","ElementalProcChance|Proc.Freeze","0.000000","/Game/Skills/Blueprints/Elements/ProcSkill_Freeze.ProcSkill_Freeze_C","0.000000","True",""
FreezeWhenHit,"Random","TakeDamage","(GameplayTags=)","None","ProcChance|FreezeWhenHit","0.000000","/Game/Skills/Blueprints/Elements/ProcSkill_FreezeWhenHit.ProcSkill_FreezeWhenHit_C","0.000000","True",""
GhostSummon,"Random","SkillDamage","(GameplayTags=)","None","ProcChance|GhostSummon","0.000000","/Game/Skills/Blueprints/EmberWeapons/Skill_Passive_SummonGhostsSummon.Skill_Passive_SummonGhostsSummon_C","0.000000","True",""
HarvestWood,"Accumulated","TakeDamage","(GameplayTags=)","None","HarvestingProc","0.000000","/Game/Skills/Blueprints/Harvesting/ProcSkill_HarvestWood.ProcSkill_HarvestWood_C","0.000000","True",""
HealthBall,"AccumulatedRandom","SkillDamage","(GameplayTags=)","None","HealthBallProc","0.300000","/Game/Skills/Blueprints/Procs/ProcSkill_HealthBall.ProcSkill_HealthBall_C","0.000000","True",""
Icicle,"Random","TakeDamage","(GameplayTags=)","None","ProcChance|Icicle","0.000000","/Game/Skills/Blueprints/EmberWeapons/ProcSkill_Icicle.ProcSkill_Icicle_C","0.000000","True",""
Immobilize,"Random","SkillDamage","(GameplayTags=)","None","ElementalProcChance|Proc.Immobilize","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_Immobilize.ProcSkill_Immobilize_C","0.000000","True",""
Knockback,"Random","SkillDamage","(GameplayTags=)","None","KnockbackChance","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_Knockback.ProcSkill_Knockback_C","1.000000","True",""
LightChargeBar,"Always","SkillDamage","(GameplayTags=((TagName=""Skill.DuskMage.Dark"")))","None","None","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarProc_Light.Skill_ChargeBarProc_Light_C","0.000000","True",""
LightChargeBarLight,"Always","SkillDamage","(GameplayTags=((TagName=""Skill.DuskMage.Light"")))","None","None","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarProc_Light.Skill_ChargeBarProc_Light_C","0.000000","True",""
LightChargeBarLightLock,"Always","ActiveTraitAtMax","(GameplayTags=((TagName=""Skill.DuskMage.Light"")))","LightChargeBar","LightChargeBarProc","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarLock_Balance_DM_Light.Skill_ChargeBarLock_Balance_DM_Light_C","0.000000","True",""
LightChargeBarLock,"Always","ActiveTraitAtMax","(GameplayTags=)","LightChargeBar","LightChargeBarProc","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarLock_DMLight.Skill_ChargeBarLock_DMLight_C","0.000000","True",""
LightChargeBarSkillStart,"Always","SkillStart","(GameplayTags=((TagName=""Skill.DuskMage.Light"")))","None","None","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeStart_DMLight.Skill_ChargeStart_DMLight_C","0.000000","True",""
LightChargeBarSkillStartBalance,"Always","SkillStart","(GameplayTags=((TagName=""Skill.DuskMage.Light"")))","None","None","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_Charge_KeeperofBalance_Dark.Skill_Charge_KeeperofBalance_Dark_C","0.000000","True",""
MissilesOnPoisoned,"Random","SkillDamage","(GameplayTags=)","None","ProcChance|MissilesOnPoisoned","0.000000","/Game/Skills/Blueprints/EmberWeapons/Bane/Skill_EmberWeapon_Bane_MissilesOnPoisonHit.Skill_EmberWeapon_Bane_MissilesOnPoisonHit_C","1.000000","True",""
PoisonMissilesOnKill,"Random","DidKill","(GameplayTags=)","None","ProcChance|PoisonMissilesOnKill","0.000000","/Game/Skills/Blueprints/EmberWeapons/Bane/Skill_EmberWeapon_Bane_MissilesOnPoisonHit.Skill_EmberWeapon_Bane_MissilesOnPoisonHit_C","0.000000","True",""
SpiderAllies,"Random","DidKill","(GameplayTags=)","None","ProcChance|SpiderAllies","0.000000","/Game/Skills/Blueprints/EmberWeapons/Bane/Skill_Bane_SpiderSummon.Skill_Bane_SpiderSummon_C","0.000000","True",""
Poison,"Random","SkillDamage","(GameplayTags=)","None","ElementalProcChance|Proc.Poison","0.000000","/Game/Skills/Blueprints/Elements/ProcSkill_Poison.ProcSkill_Poison_C","0.000000","True",""
Shock,"Random","SkillDamage","(GameplayTags=)","None","ElementalProcChance|Proc.Shock","0.000000","/Game/Skills/Blueprints/Elements/ProcSkill_Shock.ProcSkill_Shock_C","0.000000","True",""
Slow,"Random","SkillDamage","(GameplayTags=)","None","ElementalProcChance|Proc.Slow","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_Slow.ProcSkill_Slow_C","0.000000","True",""
SlowOnCrit,"Always","DoCritical","(GameplayTags=)","None","None","0.000000","/Game/Skills/Blueprints/EmberWeapons/ProcSkill_SlowOnCrit.ProcSkill_SlowOnCrit_C","0.000000","True",""
SpeedOnKill,"Always","DidKill","(GameplayTags=)","None","None","1.000000","/Game/Skills/Blueprints/GenericPassives/ProcSkill_SpeedOnKill.ProcSkill_SpeedOnKill_C","0.000000","True",""
Stun,"Random","SkillDamage","(GameplayTags=)","None","StunChance","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_Stun.ProcSkill_Stun_C","0.000000","True",""
TemporalDuplicate,"Random","SkillDamage","(GameplayTags=)","None","ProcChance|TemporalDuplicate","0.000000","/Game/Skills/Blueprints/EmberWeapons/ClockworkStaff/Skill_Passive_SummonTemporalDuplicate.Skill_Passive_SummonTemporalDuplicate_C","0.000000","True",""
ThornsVsChilled,"Random","TakeDamage","(GameplayTags=)","None","ProcChance|ThornsVsChilled","0.000000","/Game/Skills/Blueprints/EmberWeapons/ProcSkill_ThornsVsChilled.ProcSkill_ThornsVsChilled_C","0.000000","True",""
WarpBack,"Always","Died","(GameplayTags=)","None","None","0.000000","/Game/Skills/Blueprints/Monsters/Skill_WarpBack.Skill_WarpBack_C","0.000000","True",""
AmmoBagSlow,"Random","SkillDamage","(GameplayTags=((TagName=""Skill.Sharpshooter.Ranged"")))","None","ProcChance|AmmoBagSlow","0.000000","/Game/Skills/Blueprints/Sharpshooter/ProcSkill_Sharpshooter_AmmoBagSlow.ProcSkill_Sharpshooter_AmmoBagSlow_C","0.000000","True",""
AmmoBagExplosion,"Random","SkillDamage","(GameplayTags=((TagName=""Skill.Sharpshooter.Ranged"")))","None","ProcChance|AmmoBagExplosion","0.000000","/Game/Skills/Blueprints/Sharpshooter/ProcSkill_Sharpshooter_AmmoBagExplosion.ProcSkill_Sharpshooter_AmmoBagExplosion_C","0.000000","True",""
AmmoBagWeaken,"Random","SkillDamage","(GameplayTags=((TagName=""Skill.Sharpshooter.Ranged"")))","None","ProcChance|AmmoBagWeaken","0.000000","/Game/Skills/Blueprints/Sharpshooter/ProcSkill_Sharpshooter_AmmoBagWeaken.ProcSkill_Sharpshooter_AmmoBagWeaken_C","0.000000","True",""
AmmoBagEnchant,"Random","SkillDamage","(GameplayTags=((TagName=""Skill.Sharpshooter.Ranged"")))","None","ProcChance|AmmoBagEnchant","0.000000","/Game/Skills/Blueprints/Sharpshooter/ProcSkill_Sharpshooter_AmmoBagEnchant.ProcSkill_Sharpshooter_AmmoBagEnchant_C","0.000000","True",""
BurnWhenHit,"Random","TakeDamage","(GameplayTags=)","ProcChance|BurnWhenHit","None","0.000000","/Game/Skills/Blueprints/Forged/ProcSkill_BurnWhenHit.ProcSkill_BurnWhenHit_C","0.000000","True",""
CannonBleed,"Random","SkillDamage","(GameplayTags=((TagName=""Skill.Forged.Ranged"")))","None","ProcChance|CannonBleed","0.000000","/Game/Skills/Blueprints/Forged/ProcSkill_CannonBleed.ProcSkill_CannonBleed_C","0.000000","True",""
AttackSpeedOnTakeDamage,"Random","TakeDamage","(GameplayTags=)","None","ProcChance|AttackSpeedOnTakeDamage","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_AttackSpeedOnTakeDamage.ProcSkill_AttackSpeedOnTakeDamage_C","0.000000","True",""
SkeletonsOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|SkeletonsOnBlock","0.000000","/Game/Skills/Blueprints/Legendaries/ProcSkill_SummonSkeletonsonBlock.ProcSkill_SummonSkeletonsonBlock_C","8.000000","True",""
FireballOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|FireballOnBlock","0.000000","/Game/Skills/Blueprints/Legendaries/ProcSkill_FireballOnBlock.ProcSkill_FireballOnBlock_C","0.000000","True",""
ColdSicknessSummon,"Always","DidKill","(GameplayTags=)","None","ProcChance|ColdSicknessSummon","0.000000","/Game/Skills/Blueprints/EmberWeapons/ProcSkill_ColdSicknessSummon.ProcSkill_ColdSicknessSummon_C","0.000000","True",""
MeleeDamageReduction,"Always","SkillDamage","(GameplayTags=((TagName=""Skill.Forged.Melee""),(TagName=""Skill.Railman.Melee""),(TagName=""Skill.BasicAttackMelee"")))","None","None","0.000000","/Game/Skills/Blueprints/MeleeDamageReduction.MeleeDamageReduction_C","0.000000","True",""
AncestralPride,"Always","SkillStart","(GameplayTags=((TagName=""Skill.Railman.Turret"")))","None","None","0.000000","/Game/Skills/Blueprints/Railman/Skill_Passive_AncestralPride.Skill_Passive_AncestralPride_C","0.000000","True",""
EnduranceOnMelee,"Random","SkillDamage","(GameplayTags=((TagName=""Skill.Railman.Melee""),(TagName=""Skill.BasicAttackMelee"")))","None","ProcChance|EnduranceOnMelee","0.000000","/Game/Skills/Blueprints/Railman/Skill_Proc_EnduranceOnMelee.Skill_Proc_EnduranceOnMelee_C","0.000000","True",""
SkeletonMeleeOnKill,"Random","DidKill","(GameplayTags=)","None","ProcChance|SkeletonMeleeOnKill","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonMelee.ProcSkill_SpawnMinion_SkeletonMelee_C","0.000000","False",""
SkeletonShieldOnKill,"Random","DidKill","(GameplayTags=)","None","ProcChance|SkeletonMeleeOnKill","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonShield.ProcSkill_SpawnMinion_SkeletonShield_C","0.000000","False",""
SkeletonRangedOnKill,"Random","DidKill","(GameplayTags=)","None","ProcChance|SkeletonRangedOnKill","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonRanged.ProcSkill_SpawnMinion_SkeletonRanged_C","0.000000","False",""
SkeletonFireMeleeOnKill,"Random","DidKill","(GameplayTags=)","None","ProcChance|SkeletonFireMeleeOnKill","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireMelee.ProcSkill_SpawnMinion_SkeletonFireMelee_C","0.000000","False",""
SkeletonFireRangedOnKill,"Random","DidKill","(GameplayTags=)","None","ProcChance|SkeletonFireRangedOnKill","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireRanged.ProcSkill_SpawnMinion_SkeletonFireRanged_C","0.000000","False",""
ZombieOnKill,"Random","DidKill","(GameplayTags=)","None","ProcChance|ZombieOnKill","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Zombie.ProcSkill_SpawnMinion_Zombie_C","0.000000","False",""
RatOnKill,"Random","DidKill","(GameplayTags=)","None","ProcChance|RatOnKill","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Rat.ProcSkill_SpawnMinion_Rat_C","0.000000","False",""
NetherlingOnKill,"Random","DidKill","(GameplayTags=)","None","ProcChance|NetherlingOnKill","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Netherling.ProcSkill_SpawnMinion_Netherling_C","0.000000","False",""
DireWolfOnKill,"Random","DidKill","(GameplayTags=)","None","ProcChance|DireWolfOnKill","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_DireWolf.ProcSkill_SpawnMinion_DireWolf_C","0.000000","False",""
GhostGuardOnKill,"Random","DidKill","(GameplayTags=)","None","ProcChance|GhostGuardOnKill","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_GhostGuard.ProcSkill_SpawnMinion_GhostGuard_C","0.000000","False",""
SkeletonMeleeOnCrit,"Random","DoCritical","(GameplayTags=)","None","ProcChance|SkeletonMeleeOnCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonMelee.ProcSkill_SpawnMinion_SkeletonMelee_C","0.000000","False",""
SkeletonShieldOnCrit,"Random","DoCritical","(GameplayTags=)","None","ProcChance|SkeletonMeleeOnCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonShield.ProcSkill_SpawnMinion_SkeletonShield_C","0.000000","False",""
SkeletonRangedOnCrit,"Random","DoCritical","(GameplayTags=)","None","ProcChance|SkeletonRangedOnCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonRanged.ProcSkill_SpawnMinion_SkeletonRanged_C","0.000000","False",""
SkeletonFireMeleeOnCrit,"Random","DoCritical","(GameplayTags=)","None","ProcChance|SkeletonFireMeleeOnCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireMelee.ProcSkill_SpawnMinion_SkeletonFireMelee_C","0.000000","False",""
SkeletonFireRangedOnCrit,"Random","DoCritical","(GameplayTags=)","None","ProcChance|SkeletonFireRangedOnCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireRanged.ProcSkill_SpawnMinion_SkeletonFireRanged_C","0.000000","False",""
ZombieOnCrit,"Random","DoCritical","(GameplayTags=)","None","ProcChance|ZombieOnCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Zombie.ProcSkill_SpawnMinion_Zombie_C","0.000000","False",""
RatOnCrit,"Random","DoCritical","(GameplayTags=)","None","ProcChance|RatOnCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Rat.ProcSkill_SpawnMinion_Rat_C","0.000000","False",""
NetherlingOnCrit,"Random","DoCritical","(GameplayTags=)","None","ProcChance|NetherlingOnCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Netherling.ProcSkill_SpawnMinion_Netherling_C","0.000000","False",""
DireWolfOnCrit,"Random","DoCritical","(GameplayTags=)","None","ProcChance|DireWolfOnCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_DireWolf.ProcSkill_SpawnMinion_DireWolf_C","0.000000","False",""
GhostGuardOnCrit,"Random","DoCritical","(GameplayTags=)","None","ProcChance|GhostGuardOnCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_GhostGuard.ProcSkill_SpawnMinion_GhostGuard_C","0.000000","False",""
SkeletonMeleeTakeCrit,"Random","TakeCritical","(GameplayTags=)","None","ProcChance|SkeletonMeleeTakeCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonMelee.ProcSkill_SpawnMinion_SkeletonMelee_C","0.000000","False",""
SkeletonShieldTakeCrit,"Random","TakeCritical","(GameplayTags=)","None","ProcChance|SkeletonMeleeTakeCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonShield.ProcSkill_SpawnMinion_SkeletonShield_C","0.000000","False",""
SkeletonRangedTakeCrit,"Random","TakeCritical","(GameplayTags=)","None","ProcChance|SkeletonRangedTakeCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonRanged.ProcSkill_SpawnMinion_SkeletonRanged_C","0.000000","False",""
SkeletonFireMeleeTakeCrit,"Random","TakeCritical","(GameplayTags=)","None","ProcChance|SkeletonFireMeleeTakeCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireMelee.ProcSkill_SpawnMinion_SkeletonFireMelee_C","0.000000","False",""
SkeletonFireRangedTakeCrit,"Random","TakeCritical","(GameplayTags=)","None","ProcChance|SkeletonFireRangedTakeCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireRanged.ProcSkill_SpawnMinion_SkeletonFireRanged_C","0.000000","False",""
ZombieTakeCrit,"Random","TakeCritical","(GameplayTags=)","None","ProcChance|ZombieTakeCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Zombie.ProcSkill_SpawnMinion_Zombie_C","0.000000","False",""
RatTakeCrit,"Random","TakeCritical","(GameplayTags=)","None","ProcChance|RatTakeCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Rat.ProcSkill_SpawnMinion_Rat_C","0.000000","False",""
NetherlingTakeCrit,"Random","TakeCritical","(GameplayTags=)","None","ProcChance|NetherlingTakeCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Netherling.ProcSkill_SpawnMinion_Netherling_C","0.000000","False",""
DireWolfTakeCrit,"Random","TakeCritical","(GameplayTags=)","None","ProcChance|DireWolfTakeCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_DireWolf.ProcSkill_SpawnMinion_DireWolf_C","0.000000","False",""
GhostGuardTakeCrit,"Random","TakeCritical","(GameplayTags=)","None","ProcChance|GhostGuardTakeCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_GhostGuard.ProcSkill_SpawnMinion_GhostGuard_C","0.000000","False",""
SkeletonMeleeOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|SkeletonMeleeOnBlock","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonMelee.ProcSkill_SpawnMinion_SkeletonMelee_C","0.000000","False",""
SkeletonShieldOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|SkeletonMeleeOnBlock","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonShield.ProcSkill_SpawnMinion_SkeletonShield_C","0.000000","False",""
SkeletonRangedOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|SkeletonRangedOnBlock","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonRanged.ProcSkill_SpawnMinion_SkeletonRanged_C","0.000000","False",""
SkeletonFireMeleeOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|SkeletonFireMeleeOnBlock","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireMelee.ProcSkill_SpawnMinion_SkeletonFireMelee_C","0.000000","False",""
SkeletonFireRangedOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|SkeletonFireRangedOnBlock","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireRanged.ProcSkill_SpawnMinion_SkeletonFireRanged_C","0.000000","False",""
ZombieOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|ZombieOnBlock","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Zombie.ProcSkill_SpawnMinion_Zombie_C","0.000000","False",""
RatOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|RatOnBlock","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Rat.ProcSkill_SpawnMinion_Rat_C","0.000000","False",""
NetherlingOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|NetherlingOnBlock","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Netherling.ProcSkill_SpawnMinion_Netherling_C","0.000000","False",""
DireWolfOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|DireWolfOnBlock","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_DireWolf.ProcSkill_SpawnMinion_DireWolf_C","0.000000","False",""
GhostGuardOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|GhostGuardOnBlock","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_GhostGuard.ProcSkill_SpawnMinion_GhostGuard_C","0.000000","False",""
Fireballs,"Random","SkillDamage","(GameplayTags=)","None","ProcChance|Fireballs","0.000000","/Game/Skills/Blueprints/EmberWeapons/Skill_Passive_Fireballs.Skill_Passive_Fireballs_C","0.000000","True",""
Stalactites,"Random","SkillDamage","(GameplayTags=)","None","ProcChance|Stalactites","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_Stalactites.ProcSkill_Stalactites_C","0.000000","True",""
MoveSpeedOnKill,"Random","DidKill","(GameplayTags=)","None","ProcChance|MoveSpeedOnKill","0.000000","/Game/Skills/Blueprints/GenericPassives/ProcSkill_SpeedOnKill.ProcSkill_SpeedOnKill_C","0.000000","True",""
ImmunityBurnOnCrit,"Random","DoCritical","(GameplayTags=)","None","ProcChance|ImmunityBurnOnCrit","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_ImmunityBurn.ProcSkill_ImmunityBurn_C","0.000000","True",""
ImmunityPoisonOnKill,"Random","DidKill","(GameplayTags=)","None","ProcChance|ImmunityPoisonOnKill","0.000000","/Game/Skills/Blueprints/Procs/ProcSkill_ImmunityPoison.ProcSkill_ImmunityPoison_C","0.000000","True",""
Rupture,"Random","DoDamage","(GameplayTags=)","None","ProcChance|Rupture","0.000000","/Game/Skills/Blueprints/EmberWeapons/Skill_Rupture.Skill_Rupture_C","0.000000","True",""
BloodPools,"Random","DidKill","(GameplayTags=)","None","ProcChance|BloodPools","0.000000","/Game/Skills/Blueprints/EmberWeapons/BloodDrinker/SkillTreePlaceholders/SkillTree_BloodDrinker_BloodPools.SkillTree_BloodDrinker_BloodPools_C","0.000000","True",""
