---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,bRetryIfPickIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,EntryType12,Entry12,WeightOrCount12,DataCurves,Entries,Notes
SpawnPet_Faerie06,"All","0","60","False","False","AddMinionByName","Faerie06","1","GoToMinionSpawnRow","AddSkill_Random_Magic","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Faerie07,"All","0","60","False","False","AddMinionByName","Faerie07","1","GoToMinionSpawnRow","AddSkill_Random_Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Retriever01,"All","0","0","False","False","AddMinionByName","Retriever01","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Golden Retriever"
SpawnPet_Retriever02,"All","0","0","False","False","AddMinionByName","Retriever02","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Chocolate Retriever"
SpawnPet_Retriever03,"All","0","0","False","False","AddMinionByName","Retriever03","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Silver Retriever"
SpawnPet_Owl01,"All","0","0","False","False","AddMinionByName","Owl01","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Red Owl"
SpawnPet_Owl02,"All","0","0","False","False","AddMinionByName","Owl02","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Golden Owl"
SpawnPet_Owl03,"All","0","0","False","False","AddMinionByName","Owl03","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Teal Owl"
SpawnPet_Dragonling01,"All","0","0","False","False","AddMinionByName","Dragonling01","1","GoToMinionSpawnRow","AddSkill_Random_Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Red Dragonling"
SpawnPet_Dragonling02,"All","0","0","False","False","AddMinionByName","Dragonling02","1","GoToMinionSpawnRow","AddSkill_Random_Magic","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Teal Dragonling"
SpawnPet_Dragonling03,"All","0","0","False","False","AddMinionByName","Dragonling03","1","GoToMinionSpawnRow","AddSkill_Random_Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Purple Dragonling"
SpawnPet_Wolf01,"All","0","0","False","False","AddMinionByName","Wolf01","1","GoToMinionSpawnRow","AddSkill_Random_Magic","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Brown Wolf"
SpawnPet_Wolf02,"All","0","0","False","False","AddMinionByName","Wolf02","1","GoToMinionSpawnRow","AddSkill_Random_Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","White Wolf"
SpawnPet_Wolf03,"All","0","0","False","False","AddMinionByName","Wolf03","1","GoToMinionSpawnRow","AddSkill_Random_Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Grey Wolf"
SpawnPet_Cat01,"All","0","0","False","False","AddMinionByName","Cat01","1","GoToMinionSpawnRow","AddSkill_Random_Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Black Cat"
SpawnPet_Cat02,"All","0","0","False","False","AddMinionByName","Cat02","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Buttercup Cat"
SpawnPet_Cat03,"All","0","0","False","False","AddMinionByName","Cat03","1","GoToMinionSpawnRow","AddSkill_Random_Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Siamese Cat"
SpawnPet_Cat04,"All","0","0","False","False","AddMinionByName","Cat04","1","GoToMinionSpawnRow","AddSkill_Random_Magic","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Tabby Cat"
SpawnPet_Cat05,"All","0","0","False","False","AddMinionByName","Cat05","1","GoToMinionSpawnRow","AddSkill_Random_Magic","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Tuxedo Cat"
SpawnPet_Cat06,"All","0","60","False","False","AddMinionByName","Cat06","1","GoToMinionSpawnRow","AddSkill_Random_Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Chakawary01,"All","0","0","False","False","AddMinionByName","Chakawary01","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Green Chakawary"
SpawnPet_Chakawary02,"All","0","0","False","False","AddMinionByName","Chakawary02","1","GoToMinionSpawnRow","AddSkill_Random_Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","White Chakawary"
SpawnPet_Chakawary03,"All","0","0","False","False","AddMinionByName","Chakawary03","1","GoToMinionSpawnRow","AddSkill_Random_Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Aqua Chakawary"
SpawnPet_Chakawary04,"All","0","0","False","False","AddMinionByName","Chakawary04","1","GoToMinionSpawnRow","AddSkill_Random_Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Crimson Chakawary"
SpawnPet_Chakawary05,"All","0","0","False","False","AddMinionByName","Chakawary05","1","GoToMinionSpawnRow","AddSkill_Random_Magic","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Golden Chakawary"
SpawnPet_Chakawary06,"All","0","0","False","False","AddMinionByName","Chakawary06","1","GoToMinionSpawnRow","AddSkill_Random_Magic","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","Navy Chakawary"
SpawnPet_Eagle01,"All","0","0","False","False","AddMinionByName","Eagle01","1","GoToMinionSpawnRow","AddSkill_Random_Common","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Eagle02,"All","0","0","False","False","AddMinionByName","Eagle02","1","GoToMinionSpawnRow","AddSkill_Random_Magic","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Eagle03,"All","0","0","False","False","AddMinionByName","Eagle03","1","GoToMinionSpawnRow","AddSkill_Random_Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Eagle04,"All","0","0","False","False","AddMinionByName","Eagle04","1","GoToMinionSpawnRow","AddSkill_Random_Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Eagle05,"All","0","0","False","False","AddMinionByName","Eagle05","1","GoToMinionSpawnRow","AddSkill_Random_Magic","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Stag02,"All","0","0","False","False","AddMinionByName","Stag02","1","GoToMinionSpawnRow","AddSkill_Random_Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnPet_Ferret08,"All","0","0","False","False","AddMinionByName","Ferret08","1","GoToMinionSpawnRow","AddSkill_Random_Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AddSkill_Random_Common,"Pick","0","0","False","False","AddSkillByName","PetAura_BlockChance","3","AddSkillByName","PetDebuff_ScreechingStun","2","AddSkillByName","Pet_WetKisses","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AddSkill_Random_Magic,"Pick","0","0","False","False","AddSkillByName","Pet_PasstheGas","1","AddSkillByName","PetAura_CritChance","2","AddSkillByName","Pet_Zoomies","1","AddSkillByName","Pet_Dasher","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AddSkill_Random_Rare,"Pick","0","0","False","False","AddSkillByName","PetAura_Defense","3","AddSkillByName","PetBuff_HealingFriendship","2","AddSkillByName","Pet_Immobilize","1","AddSkillByName","Pet_Landmines","1","AddSkillByName","Pet_StaticDischarge","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AddSkill_Random_Legendary,"Pick","0","0","False","False","AddSkillByName","PetAura_MovementSpeed","3","AddSkillByName","Pet_SummonSkeleton","2","AddSkillByName","Pet_LifeSteal","1","AddSkillByName","Pet_Assemble","1","AddSkillByName","Pet_SummonFlock","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AddSkill_HealingFriendship,"All","0","0","False","False","AddSkillByName","PetBuff_HealingFriendship","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AddSkill_Random_PetBuff,"Pick","0","0","False","False","AddSkillByName","PetBuff_BattleCry","1","AddSkillByName","PetBuff_MenacingSound","1","AddSkillByName","PetBuff_DefensivePosture","1","AddSkillByName","PetBuff_HealingFriendship","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AddSkill_BattleCry,"All","0","0","False","False","AddSkillByName","PetBuff_BattleCry","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
