---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
SkeletonPreTitle,"All","0","0","False","SetNameParameter","PreTitle|Lord/Duke/Baron/Revenant/Grand Wraith/Ancestor/Patriarch/Matriarch/Almighty/Great Nemesis/Ancient/Ascendant/Archon","1","SetNameParameter","PreTitlePrefix|Fear/Dark/Foul/Necro/Demo/Moss/Mold","1","SetNameParameter","PreTitleSuffix|maker/taker/breaker/lord/master/arch/bearer","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SkeletonOfTitle,"All","0","0","False","SetNameParameter","OfTitleFirst|King/Holder/Master/Breaker/Stealer/Usurper/Driver/Herald/Harbinger","1","SetNameParameter","OfTitleSecond|Misery/Madness/Steel/Banners/Trinkets/Feasts/Pain/Agony/Suffering/Chains/Thorns/Cold/Flames/Darkness/Night/The End/Gloom","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
ZombieName,"All","0","0","False","GoToNameSpawnRow","PickFormat","1","GoToNameSpawnRow","ZombieNameStyle","1","GoToNameSpawnRow","ZombieOfTitle","1","SetNameParameter","TheTitle|Atrocious/Gross/Vomitworthy/Dripping/Bloated/Bloodthirsty/Unkillable/Immortal/Foul/Fetid/Oily/Swamplord/Unending/Tattered/Broken/Pustulent","1","GoToNameSpawnRow","ZombiePreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
ZombieNameStyle,"Pick","0","0","False","GoToNameSpawnRow","ZombieGibberishPrefixSuffix","1","GoToNameSpawnRow","ZombieEnglishPrefixSuffix","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
ZombieGibberishPrefixSuffix,"All","0","0","False","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Glob/Glib/Gut/Wiggle/Snaw/Swipe/Gorb/Gribble/Hob","1","SetNameParameter","Suffix|bor/lib/gobble/leg/wrap/lash/goo/snot/spit","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
ZombieEnglishPrefixSuffix,"All","0","0","False","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Pus/Vomit/Sick/Bloat/Corpse","1","SetNameParameter","Suffix|pile/taker/rot/puke/pool/lash/digger","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
ZombiePreTitle,"All","0","0","False","SetNameParameter","PreTitle|Big/Little/Old/Lost/Tired","1","SetNameParameter","PreTitlePrefix|Gut/Puke/Slime/Ick/Sewage/Corpse","1","SetNameParameter","PreTitleSuffix|maker/taker/breaker/tamer/licker/master/father/mother","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
ZombieOfTitle,"All","0","0","False","SetNameParameter","OfTitleFirst|Eater/Hoarder/Holder/Lover/Coveter/Bride/Husband/Gobbler/Taker/Lord","1","SetNameParameter","OfTitleSecond|Foulness/Wretchedness/Darkness/Sickness/Pustules/Slime/Night/Disease/Filth","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AutomataName,"All","0","0","False","GoToNameSpawnRow","PickFormat","1","GoToNameSpawnRow","AutomataNameStyle","1","GoToNameSpawnRow","AutomataOfTitle","1","SetNameParameter","TheTitle|Efficient/Eternal/Lifeless/Ember-Fueled/Driven/Sleepless/Rusty/Seeking/Calculating/Soulless/Defective/Unreasoning/Broken/Precise","1","GoToNameSpawnRow","AutomataPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AutomataNameStyle,"Pick","0","0","False","GoToNameSpawnRow","AutomataGibberishPrefixSuffix","1","GoToNameSpawnRow","AutomataEnglishPrefixSuffix","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AutomataGibberishPrefixSuffix,"All","0","0","False","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Zap/Fizz/1101001/10010011/ELSE/IF/SELECTFROM/DROP","1","SetNameParameter","Suffix|Fix/Zif/IF/OR/NOT/ARRAY/TABLES","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AutomataEnglishPrefixSuffix,"All","0","0","False","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Auto/Mechano/Steam/Electro","1","SetNameParameter","Suffix|pile/loader/patroller/seeker/worker/unit","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AutomataPreTitle,"All","0","0","False","SetNameParameter","PreTitle|Supreme/First/Last/Ultimate","1","SetNameParameter","PreTitlePrefix|Circuit/Steam/Gear/Cogs","1","SetNameParameter","PreTitleSuffix|maker/taker/breaker/tamer/defender/master","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
AutomataOfTitle,"All","0","0","False","SetNameParameter","OfTitleFirst|Keeper/Minder/Selector/Collector","1","SetNameParameter","OfTitleSecond|Treasures/Relics/Legacy/the Mountain/Night","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
HyvidName,"All","0","0","False","GoToNameSpawnRow","PickFormatNoPostTitle","1","GoToNameSpawnRow","HyvidGibberishPrefixSuffix","1","GoToNameSpawnRow","HyvidOfTitle","1","SetNameParameter","TheTitle|Stinging/Stinger/Slicer/Viscious/Screeching/Clattering/Quick/Many-Limbed/Hatcher","1","GoToNameSpawnRow","HyvidPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
HyvidGibberishPrefixSuffix,"All","0","0","False","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Klick/Klack/Kir'/Kith'/Naz'/Skri'/Shak/Krri/Zzith'/Zzip/Shi/Shiri/Klis/Iss/Vrii/Vrre/Xik/Xikki","1","SetNameParameter","Suffix|li/iz/yi/yo/yik/yiz/ssi/ski/sh'a/ik","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
HyvidPreTitle,"All","0","0","False","SetNameParameter","PreTitle|Keeper/Stinger/Poisoner/Toxic/Singer/Cutter/Slicer/Spitter/Burrower","1","SetNameParameter","PreTitlePrefix|Hive/Swarm/Wing/Bug/Hum","1","SetNameParameter","PreTitleSuffix|lord/leader/singer/keeper/lurker/burrower","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
HyvidOfTitle,"All","0","0","False","SetNameParameter","OfTitleFirst|Skitterer/Swarmer","1","SetNameParameter","OfTitleSecond|Night/Hill/Tunnel","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MossratName,"All","0","0","False","GoToNameSpawnRow","PickFormat","1","GoToNameSpawnRow","MossratEnglishPrefixSuffix","1","GoToNameSpawnRow","MossratOfTitle","1","SetNameParameter","TheTitle|Burrower/Eater/Napper/Sleeper/Taker/Filthy/Mossy/Old/Sour/Ravenous/Rabid","1","GoToNameSpawnRow","MossratPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MossratEnglishPrefixSuffix,"All","0","0","False","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Snout/Nose/Nibble/Whisker/Moss/Grass/Fur","1","SetNameParameter","Suffix|snok/nubber/whisk/mock/nibble/fur","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MossratOfTitle,"All","0","0","False","SetNameParameter","OfTitleFirst|Keeper/Hoarder/Pilferer/Eater/Grabber/Lover/Nibbler","1","SetNameParameter","OfTitleSecond|Acorns/Limbs/Snacks/People/Grass/Dirt/Stones/Bark","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MossratPreTitle,"All","0","0","False","SetNameParameter","PreTitle|Angry/Scary/Big/Little/Old/Rancid/Sneaky/Unwanted","1","SetNameParameter","PreTitlePrefix|Nibble/Nobble/Whisker/Snout/Snort","1","SetNameParameter","PreTitleSuffix|licker/burrower/limb/snot/scurry","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
NetherlingName,"All","0","0","False","GoToNameSpawnRow","PickFormat","1","GoToNameSpawnRow","NetherlingNameStyle","1","GoToNameSpawnRow","NetherlingOfTitle","1","SetNameParameter","TheTitle|Devourer/Hungry/Insatiable/Ravenous/Greedy/Round/Many-Mouthed/Broken/Wild/Incorrigible/Corrupted/Foul/Roller/Nibbler/Mistake/Failure","1","GoToNameSpawnRow","NetherlingPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
NetherlingNameStyle,"Pick","0","0","False","GoToNameSpawnRow","NetherlingGibberishPrefixSuffix","1","GoToNameSpawnRow","NetherlingEnglishPrefixSuffix","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
NetherlingGibberishPrefixSuffix,"All","0","0","False","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Cl'/Tha'/Tha'na'/Gnilth/Nith/Prion/Yyinth/Yygug/Yyng/Zenzi/Za'/Zakra'/Zether/Zed/Zeon/Ze'/Ziw'","1","SetNameParameter","Suffix|na/kil/ni/gyi/koru/kza/rim/ar'drak/zim/zim'rok/roku'ra/rokur/yur/romak/thul/tos/on'thun/an'then/an'wriz/an'durath/in'ssadrath","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
NetherlingEnglishPrefixSuffix,"All","0","0","False","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Tooth/Bite/Maw/Jaw/Snap/Drool/Chomp/Nibble/Hunger/Foul/Round/Mangle/Rip/Shred","1","SetNameParameter","Suffix|shredder/master/mother/father/lord/nibbler/ripper/mangler/snarl/roll/tumble/bobble/lobber/roller/hound","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
NetherlingPreTitle,"All","0","0","False","SetNameParameter","PreTitle|Wrecker/Devourer/Hungerer/Tooth-Haver/Toothy/Fetid/Amin/Jurion/Alion/Rwan/Yurion/Turon/Biter/Snacker/Nibbler/Hungerer/Muncher","1","SetNameParameter","PreTitlePrefix|Tooth/Bite/Hate/Anger/Drool/Saliva/Nibble/Snack/Meal","1","SetNameParameter","PreTitleSuffix|maker/taker/breaker/lord/master/bearer","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
NetherlingOfTitle,"All","0","0","False","SetNameParameter","OfTitleFirst|Servant/Holder/Breaker/Stealer/Usurper/Herald/Harbinger","1","SetNameParameter","OfTitleSecond|Misery/Bites/Flesh/Suffering/Nibbles/Limbs/Bones/Snacks/Chomps/Munches/Guts/Organs/Livers/Prio'ratha/An'yul/Than'kri/Thul'irak/Tha'ni'grosk","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Map_PickFormat,"Pick","0","0","False","InitializeName","{BaseName} of {OfTitle}","25","InitializeName","{Adjective} {BaseName}","25","InitializeName","{Superlative} {Adjective} {BaseName}","2","InitializeName","{BaseName} of {OfTitle} and {OfTitle2}","1","InitializeName","{Adjective} {Adjective2} {BaseName}","1","InitializeName","{Adjective} {BaseName} of {OfTitle}","3","InitializeName","The {BaseName} {Special}","3","InitializeName","The {Adjective} {BaseName} {Special}","1","None","","0","None","","0","None","","0","None","",""
Map_GoblinForestName,"All","0","0","False","GoToNameSpawnRow","Map_PickFormat","1","SetNameParameter","BaseName|Forest/Glen/Thicket/Clearing/Woods/Growth/Valley/Dale/Undergrowth/Field/Grove","1","GoToNameSpawnRow","Map_GoblinForestAdjective","1","SetNameParameter","Superlative|Very/Old/Now/Once/Mostly","1","GoToNameSpawnRow","Map_GoblinForestOfTitle","1","SetNameParameter","OfTitle2|{OfTitle}","1","GoToNameSpawnRow","Map_GoblinForestOfTitle","1","SetNameParameter","Adjective2|{Adjective}","1","GoToNameSpawnRow","Map_GoblinForestAdjective","1","SetNameParameter","Special|Within/Below/Dire/Most Foul/Without Name/Not Found/Undisturbed/Above/That Sings/That Confounds/That Lurks","1","None","","0","None","",""
Map_GoblinForestOfTitle,"All","0","0","False","SetNameParameter","OfTitle|Beasts/Broken Things/Ancients/Night/Death/Sorrow/Filth/Fiends/Foulness/Laughter/Fright/Fear/Wildness/Wild Things/Wretchedness/Tragedy/Souls/Wanderers/Battle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Map_GoblinForestAdjective,"All","0","0","False","SetNameParameter","Adjective|Dark/Hostile/Old/North/Teeming/Lost/Perilous/Dangerous/Ancient/Inhospitable/Cackling/Drifting/Endless/Sour/Rotten/Fetid/Damp/Moist/Green/Dank","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Map_CemeteryName,"All","0","0","False","GoToNameSpawnRow","Map_PickFormat","1","SetNameParameter","BaseName|Cemetery/Cloister/Glen/Vaults/Haunt/Ruin/Clearing/Graveyard/Waste/Trench/Dale/Fog/Field/Tomb","1","GoToNameSpawnRow","Map_CemeteryAdjective","1","SetNameParameter","Superlative|Very/Old/Now/Once/Never","1","GoToNameSpawnRow","Map_CemeteryOfTitle","1","SetNameParameter","OfTitle2|{OfTitle}","1","GoToNameSpawnRow","Map_CemeteryOfTitle","1","SetNameParameter","Adjective2|{Adjective}","1","GoToNameSpawnRow","Map_CemeteryAdjective","1","SetNameParameter","Special|Beneath/Below/Behind/Without Bend/Without Name/That Howls/Dire/Without an Entrance/Unknown","1","None","","0","None","",""
Map_CemeteryOfTitle,"All","0","0","False","SetNameParameter","OfTitle|Beasts/Broken Things/Ancients/Night/Death/Sorrow/Filth/Fiends/Foulness/Spirits/Fright/Fear/Pain/Wretchedness/Tragedy/Souls/Wanderers/the Damned/the Broken/the Lost/the Doomed/the Old/the Restless/Yore","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Map_CemeteryAdjective,"All","0","0","False","SetNameParameter","Adjective|Dark/Restless/Awoken/Old/Ancient/Mossy/Dead/Broken/Lonely/Wailing/Collapsed/Awoken/Undulating/Stormy/Sad/Frightful/Dilapidated","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Map_GoblinCaveName,"All","0","0","False","GoToNameSpawnRow","Map_PickFormat","1","SetNameParameter","BaseName|Pit/Descent/Crawl/Tomb/Cave/Den/Lair/Cavern/Crawlspace/Mine/Abyss/Portal/Spiral/Place/Underhole","1","GoToNameSpawnRow","Map_GoblinCaveAdjective","1","SetNameParameter","Superlative|Very/Old/Now/Once/Mostly/Newly","1","GoToNameSpawnRow","Map_GoblinCaveOfTitle","1","SetNameParameter","OfTitle2|{OfTitle}","1","GoToNameSpawnRow","Map_GoblinCaveOfTitle","1","SetNameParameter","Adjective2|{Adjective}","1","GoToNameSpawnRow","Map_GoblinCaveAdjective","1","SetNameParameter","Special|Below/Beneath/Before/That Glistens/That Speaks/That Whispers/Without Sound/Without Name/Without Bounds/Older Than All/Undying","1","None","","0","None","",""
Map_GoblinCaveOfTitle,"All","0","0","False","SetNameParameter","OfTitle|the Lost/the Lurking/Secrets/Death/Sadness/Silver/Dying/Restless Things/Screams/Woe/Wounds/Dishonor/Drumbeats/Candlelight/Lost Knowledge/Unknowing/Calamity/Collapse/Degradation/Doom/Howling/Trouble","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Map_GoblinCaveAdjective,"All","0","0","False","SetNameParameter","Adjective|Dark/Hostile/Old/North/Teeming/Lost/Perilous/Dangerous/Ancient/Inhospitable/Cackling/Drifting/Endless/Sour/Rotten/Fetid/Damp/Green/Dank/Dour/Gloomy/Eerie/Unfeeling/Foul/Cold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Map_InfestedForestName,"All","0","0","False","GoToNameSpawnRow","Map_PickFormat","1","SetNameParameter","BaseName|Field/Growth/Plains/Expanse/Emergence/Place/Grove/Valley/Canyon/Hatchery/Eruption/Desert/Collapse/Bog/Swamp/Bower","1","GoToNameSpawnRow","Map_InfestedForestAdjective","1","SetNameParameter","Superlative|Old/Now/Once","1","GoToNameSpawnRow","Map_InfestedForestOfTitle","1","SetNameParameter","OfTitle2|{OfTitle}","1","GoToNameSpawnRow","Map_InfestedForestOfTitle","1","SetNameParameter","Adjective2|{Adjective}","1","GoToNameSpawnRow","Map_InfestedForestAdjective","1","SetNameParameter","Special|Below/Beneath/Before/That Glistens/That Speaks/That Whispers/Without Sound/Without Name/Without Bounds/Older Than All/Undying","1","None","","0","None","",""
Map_InfestedForestOfTitle,"All","0","0","False","SetNameParameter","OfTitle|Crawling Things/Many Limbs/Sickness/Spawning/Hatching Things/Buzzing Things/Rot/Grime/Goo/Slime/Acid/Poison/Infestation/Death/Foulness","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Map_InfestedForestAdjective,"All","0","0","False","SetNameParameter","Adjective|Chittering/Vibrating/Dripping/Crawling/Lurking/Foul/Fetid/Fresh/Many-Eyed/Singing/Birthing/Growing/Unending/Ossified/Labyrinthine","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Map_InfestedCaveName,"All","0","0","False","GoToNameSpawnRow","Map_PickFormat","1","SetNameParameter","BaseName|Pit/Descent/Crawl/Delve/Cave/Den/Lair/Cavern/Dark/Tunnels/Abyss/Spiral/Chrysalis/Burrow/Warren/Colony/Hive","1","GoToNameSpawnRow","Map_InfestedCaveAdjective","1","SetNameParameter","Superlative|Old/Now/Once","1","GoToNameSpawnRow","Map_InfestedCaveOfTitle","1","SetNameParameter","OfTitle2|{OfTitle}","1","GoToNameSpawnRow","Map_InfestedCaveOfTitle","1","SetNameParameter","Adjective2|{Adjective}","1","GoToNameSpawnRow","Map_InfestedCaveAdjective","1","SetNameParameter","Special|Below/Beneath/Before/That Glistens/That Speaks/That Whispers/Without Sound/Without Name/Without Bounds/Older Than All/Undying","1","None","","0","None","",""
Map_InfestedCaveOfTitle,"All","0","0","False","SetNameParameter","OfTitle|Crawling Things/Many Limbs/Fresh Life/Spawning/Hatching Things/Buzzing Things/Rot/Grime/Goo/Slime/Acid/Poison/Infestation/Death/Foulness","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Map_InfestedCaveAdjective,"All","0","0","False","SetNameParameter","Adjective|Chittering/Vibrating/Dripping/Crawling/Lurking/Foul/Fetid/Fresh/Many-Eyed/Singing/Birthing/Growing/Unending","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
