---,Speakers,Type,Text,Voiceover,ContextType1,ContextParam1,ContextType2,ContextParam2,ContextType3,ContextParam3,Weight,ContextEntries,bDefaultSet,Notes
GFQ_CollectArmorSet:Task_Goto_GoblinForest1,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""[70966B794DEC8B3A737F56A562119DA2]"", ""CBE2E55F4E731F5257E058B154A13D6A"", ""We\'ll need you to be better <span color=\""#FFD700\"">equipped</> for what\'s up ahead. \r\n\r\nMake your way towards the guarded gate to my left, follow the path beyond the two banners, then enter <span color=\""#FFD700\"">Trevail\'s Bluff</>. \r\n\r\nYou\'ll need to scavenge what you can find out there to gear up until we replenish our resources. "")","(AssetGuid=AC33C04C61DB48DB8EB6E1ED866B8046)","QuestActive","GFQ_CollectArmorSet","None","None","None","None","1","","True",""
PLACEHOLDER_Guard_CollectArmorSet,"((RowName=""Guard""))","Modal","NSLOCTEXT(""DialogueTable"", ""81FD943F44DD95AEDA1F75A9CD34748F"", ""Going after the greenskins, are you?\r\n\r\nI don\'t envy you. Our corporal was part of the spelunking division - says there\'s one out there who enjoys making flatcakes out of human flesh."")","(AssetGuid=09BE3E920C0A486A9F541969EA5FF617)","QuestActive","GFQ_CollectArmorSet","None","None","None","None","1","","True","GFQ_CollectArmorSet"
GFQ_RescueGuards,"((RowName=""GeneralGraye""))","Quest","NSLOCTEXT(""[70966B794DEC8B3A737F56A562119DA2]"", ""64849B94476ACEDFE48FDBB9A2C0090C"", ""Yapper slipped up again, revealing the location of our missing scouting party who are now held captive in the <span color=\""#FFD700\"">Lost Woods</>. Goblin prisoners don\'t last very long, and we could use your help getting them back. Make your way to the Lost Woods through Trevail\'s Bluff, and be careful."")","(AssetGuid=AC33C04C61DB48DB8EB6E1ED866B8046)","None","None","None","None","None","None","1","","True","GFQ_RescueGuards"
GFQ_RescueGuards:Task_GoToLostWoods,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""[70966B794DEC8B3A737F56A562119DA2]"", ""047695BC4DCACD2F8D54F58061A326C2"", ""You can find the entrance to the <span color=\""#FFD700\"">Lost Woods</> deep within <span color=\""#FFD700\"">Trevail\'s Bluff</>. Please, rescue those guards!"")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","GFQ_RescueGuards:Task_GoToLostWoods","None","None","None","None","1","","True","GFQ_RescueGuards"
Task_RescueGuards_Quip01,"((RowName=""GoblinCage_RescueGuards""))","Bubble","NSLOCTEXT(""DialogueTable"", ""489D4628404F6AE87E970390E593DBED"", ""Thanks, I can find my way back to the camp from here."")","(AssetGuid=00000000000000000000000000000000)","QuestActive","GFQ_RescueGuards:Task_RescueGuards","None","None","None","None","1","","True","GFQ_RescueGuards"
Task_RescueGuards_Quip02,"((RowName=""GoblinCage_RescueGuards""))","Bubble","NSLOCTEXT(""DialogueTable"", ""013651C1478AB06A88183E8C96C93E4D"", ""Thank you, I\'ll need a moment."")","(AssetGuid=00000000000000000000000000000000)","QuestActive","Quest_RescueGuards:Task_RescueGuards","None","None","None","None","1","","True","GFQ_RescueGuards"
Task_RescueGuards_Quip03,"((RowName=""GoblinCage_RescueGuards""))","Bubble","NSLOCTEXT(""DialogueTable"", ""3D9D374E415EF5D362A69AA67F7EBC42"", ""I\'m not cut out for this. It\'s a matter of time before they use their \""secret weapon\"" against us."")","(AssetGuid=00000000000000000000000000000000)","QuestActive","Quest_RescueGuards:Task_RescueGuards","None","None","None","None","1","","True","GFQ_RescueGuards"
Task_RescueGuards_Quip04,"((RowName=""GoblinCage_RescueGuards""))","Bubble","NSLOCTEXT(""[70966B794DEC8B3A737F56A562119DA2]"", ""B2CE307643856BA208B984932D4709D6"", ""Is it safe? I overheard a conversation about \""secret weapons\"" in the caves of Trevail\'s Bluff."")","(AssetGuid=00000000000000000000000000000000)","QuestActive","Quest_RescueGuards:Task_RescueGuards","None","None","None","None","1","","True","GFQ_RescueGuards"
GFQ_DestroySecretWeapon:_Task_TurnIn,"((RowName=""GeneralGraye""))","Quest","NSLOCTEXT(""DialogueTable"", ""310AE61B4F15DE57DFC5B49CC6586135"", ""You fought an automaton? Those are leftover machines from the fallen Dwarven empire. I don\'t know how the gobs managed to get that hunk of junk working, but they couldn\'t have done it without some help.\r\n\r\nCheck in with <span color=\""#FFD700\"">Zaya</>. She can tell you more about this Relic Core that you\'ve found."")","(AssetGuid=AC33C04C61DB48DB8EB6E1ED866B8046)","None","None","None","None","None","None","1","","True","GFQ_DestroySecretWeapon"
GFQ_CollectMossratNuggets,"((RowName=""Yapper""))","Quest","NSLOCTEXT(""DialogueTable"", ""51E2C0CE4498B1A1BB52708054FA934C"", ""Yapper cold! Maybe you help Yapper out and Yapper tell you where Wideload is.\r\n\r\nFilthy <span color=\""#FFD700\"">mossrats</> make dirty messes, but goblins know, those messes burn real long time. Yapper teach you ol\' goblin trick, you keep fires burning long time.\r\n\r\nYou go get sum <span color=\""#FFD700\"">mossrat nuggets</>, bring \'em back to Yapper and Yapper tell you where Wideload is."")","(AssetGuid=A65C4E079FE1488D920FFE6307F748B0)","None","None","None","None","None","None","1","","True","GFQ_CollectMossratNuggets"
GFQ_CollectMossratNuggets:Task_GiveNuggets,"((RowName=""Yapper""))","Quest","NSLOCTEXT(""DialogueTable"", ""9C99597445D6FDEABD99248382D6A163"", ""Ah! Yeah, yeah! That the stuff. Snnnnif! Good and strong!\r\nOkay, you. Big goblin Wideload is hiding in Battlefields cave. Which one? Too many caves. I no remember."")","(AssetGuid=A65C4E079FE1488D920FFE6307F748B0)","None","None","None","None","None","None","1","","True",""
GFQ_LostExcavation,"((RowName=""Zaya""))","Quest","NSLOCTEXT(""DialogueTable"", ""0DC54554425BF36646CCE58B8488B15E"", ""A relic core? Yes, you should be able to piece together a Relic Weapon from your Reliquary with this core. Relic Weapons grow stronger when you carry them in battle, even if you\'re not wielding them. It\'ll help you against the bigger threats up ahead. \r\n\r\nHey, I\'m sure you\'ve heard the rumors… yes, I talked my way into coming along on this trip so I could find my father.\r\n\r\nHis name is Zephoras (I know). He\'s an emberologist, researching lost forms of ember for the university. He came on an expedition here early last year, but no one from his group returned…\r\n\r\nThe general won\'t let me leave the outpost. Could you please search the battlefield for me?"")","(AssetGuid=D0B76303FE00496C89808DBDE4A86E08)","None","None","None","None","None","None","1","","True","GFQ_LostExcavation"
GFQ_LostExcavation:Task_TurnIn,"((RowName=""Zaya""))","Quest","NSLOCTEXT(""DialogueTable"", ""20F2292B4020B14618D2B29A22F4B43F"", ""What? He wasn\'t there? I guess I shouldn\'t have gotten my hopes up. Thank you for looking.\r\n\r\nThe stone at the center of this amulet, it\'s ember, but like no ember I\'ve ever seen. It\'s inert, but I think it may be Earth ember. I need more samples."")","(AssetGuid=D0B76303FE00496C89808DBDE4A86E08)","None","None","None","None","None","None","1","","True","GFQ_LostExcavation"
GFQ_CollectZombieOutfit:Task_TurnIn,"((RowName=""Zaya""))","Quest","NSLOCTEXT(""DialogueTable"", ""C82379964E9BE07DE1B7E6AA5B21A510"", ""Ugh. Thanks for …ulp, bringing these to me. I\'ll study these and find out where these people are from. Man, I wish I knew a stink removal spell."")","(AssetGuid=D0B76303FE00496C89808DBDE4A86E08)","None","None","None","None","None","None","1","","True","GFQ_CollectZombieOutfit"
GFQ_CollectZombieOutfit,"((RowName=""GeneralGraye""))","Quest","NSLOCTEXT(""DialogueTable"", ""639B51204DBCF9F6E8B7679B1FCDC0D3"", ""If you\'ve wandered into the forest at night, you must\'ve met the <span color=\""#FFD700\"">zombies</>. They clearly weren\'t goblins, so where did these people come from?\r\n\r\nThere are records of a group of colonists that took shelter in a nearby cave, but were never heard from again.\r\n\r\nDeliver <span color=\""#FFD700\"">some of their clothing</> to Zaya to confirm their origins."")","(AssetGuid=AC33C04C61DB48DB8EB6E1ED866B8046)","None","None","None","None","None","None","1","","True","GFQ_CollectZombieOutfit"
GFQ_RareEarth_TurnIn,"((RowName=""Zaya""))","Quest","NSLOCTEXT(""DialogueTable"", ""F43E1A7B4DE7FD7334A289A37B9CAB47"", ""That should be enough. It must be Earth ember. But why is it inert? Why did my father leave the amulet behind? How strange. I need a moment to study this.\r\n\r\nSpeaking of strange, Yapper confessed that he was under orders of the \""Mancake-Maker\"" and is willing to tell us where we can find Wideload. It\'s clearly a trap, but one that I think you can handle."")","(AssetGuid=D0B76303FE00496C89808DBDE4A86E08)","None","None","None","None","None","None","1","","True",""
GFQ_KillSiegeWeapons,"((RowName=""Yapper""))","Quest","NSLOCTEXT(""DialogueTable"", ""39F18E5840CCE260AF2BC9A6ACB8988B"", ""You want Yapper to tell you about Mancake-Maker? Oh, Yapper knows. Yapper knows all about mashers and smashers.\r\n\r\nYou give Yapper tasty snacks if Yapper tells you, yes? Greenies drag big <span color=\""#FFD700\"">siege weapons</> from battlefield into cave.\r\n\r\nYou can find, yes?"")","(AssetGuid=A65C4E079FE1488D920FFE6307F748B0)","None","None","None","None","None","None","1","","True","GFQ_KillSiegeWeapons"
GFQ_KillSiegeWeapons:Task_GoToGF2,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""2EA88A3D443510D5C2F10380A67224E1"", ""Make your way through <span color=\""#FFD700\"">Pathfinder\'s Trail</> to get to the <span color=\""#FFD700\"">Imperial Battlefield</>."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","GFQ_KillSiegeWeapons:Task_GoToDungeon","None","None","None","None","1","","True","GFQ_KillSiegeWeapons"
GFQ_KillSiegeWeapons:Task_FindSiegeWeaponDungeonEntrance,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""78B4ADC24CA552DEC7B976B5AE10ABDC"", ""Those siege weapons are stashed somewhere in the <span color=\""#FFD700\"">Imperial Battlefield</>, and I need you to go find that <span color=\""#FFD700\"">Goblin Stash</> as soon as possible."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","GFQ_KillSiegeWeapons:Task_FindSiegeWeaponDungeonEntrance","None","None","None","None","1","","True","GFQ_KillSiegeWeapons"
GFQ_KillSiegeWeapons:Task_GoToDungeon,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""7D5E1194478FBB08ED6300BB6185ED3E"", ""Those siege weapons are stashed somewhere in the <span color=\""#FFD700\"">Imperial Battlefield</>, and I need you to go find that <span color=\""#FFD700\"">Goblin Stash</> as soon as possible."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","GFQ_KillSiegeWeapons:Task_GoToDungeon","None","None","None","None","1","","True","GFQ_KillSiegeWeapons"
GFQ_KillSiegeWeapons:Task_DestroySiegeWeapon1,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""E8360A124C0DF3CE9B3D52A89F3AE21B"", ""Word has it that the gobs have \""improved\"" our stolen imperial siege weapons. They\'ve even coined ridiculous new names for them, like the <span color=\""#FFD700\"">Smash Blaster</>, <span color=\""#FFD700\"">Sword-o-Matic</>, and <span color=\""#FFD700\"">Man Tenderizer</>. \r\n\r\nHead to the <span color=\""#FFD700\"">Imperial Battlefield</> and destroy these weapons from their <span color=\""#FFD700\"">Goblin Stash</> before the weapons can be used against us."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","GFQ_KillSiegeWeapons:Task_DestroySiegeWeapon1","None","None","None","None","1","","True","GFQ_KillSiegeWeapons"
GFQ_KillSiegeWeapons:Task_DestroySiegeWeapon2,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""385C16A649CE893BA6E1B1B4D06DEBE9"", ""Word has it that the gobs have \""improved\"" our stolen imperial siege weapons. They\'ve even coined ridiculous new names for them, like the <span color=\""#FFD700\"">Smash Blaster</>, <span color=\""#FFD700\"">Sword-o-Matic</>, and <span color=\""#FFD700\"">Man Tenderizer</>. \r\n\r\nHead to the <span color=\""#FFD700\"">Imperial Battlefield</> and destroy these weapons from their <span color=\""#FFD700\"">Goblin Stash</> before the weapons can be used against us."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","GFQ_KillSiegeWeapons:Task_DestroySiegeWeapon2","None","None","None","None","1","","True","GFQ_KillSiegeWeapons"
GFQ_KillSiegeWeapons:Task_DestroySiegeWeapon3,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""2FA228A9425576776A4FF585085C4BF8"", ""Word has it that the gobs have \""improved\"" our stolen imperial siege weapons. They\'ve even coined ridiculous new names for them, like the <span color=\""#FFD700\"">Smash Blaster</>, <span color=\""#FFD700\"">Sword-o-Matic</>, and <span color=\""#FFD700\"">Man Tenderizer</>. \r\n\r\nHead to the <span color=\""#FFD700\"">Imperial Battlefield</> and destroy these weapons from their <span color=\""#FFD700\"">Goblin Stash</> before the weapons can be used against us."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","GFQ_KillSiegeWeapons:Task_DestroySiegeWeapon3","None","None","None","None","1","","True","GFQ_KillSiegeWeapons"
GFQ_KillSiegeWeapons:Task_KillBoss,"((RowName=""Yapper""))","Modal","NSLOCTEXT(""DialogueTable"", ""B2DCF91344811583C1EF83811BF73CE3"", ""Yes, yes, <span color=\""#FFD700\"">Mancake Maker</> is big goblin. You smash Mancake Maker, not Yapper, okay? You find Mancake Maker in <span color=\""#FFD700\"">Goblin Stash</>. You smash him good for Yapper."")","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","QuestActive","GFQ_KillSiegeWeapons:Task_KillBoss","None","None","None","None","1","","True","GFQ_KillSiegeWeapons"
GFQ_KillSiegeWeapons:Task_TurnIn,"((RowName=""GeneralGraye""))","Quest","NSLOCTEXT(""DialogueTable"", ""7E4FE5B84F77DE6342C7FF8FDDBC2818"", ""Nice work taking out Wideload and those repurposed siege weapons. Who knows if the gobs would have ever gotten them working, but we\'d better not take the chance. They\'re stupid, but dangerous.\r\n\r\n<span color=\""#FFD700\"">Zaya</> needs your help again. Go check in with her next."")","(AssetGuid=AC33C04C61DB48DB8EB6E1ED866B8046)","None","None","None","None","None","None","1","","True","GFQ_KillSiegeWeapons"
GFQ_CollectInsignias,"((RowName=""Kenik""))","Quest","NSLOCTEXT(""DialogueTable"", ""7950D9094CDBEB5DA5FEE7A6C011D429"", ""Hey there, buddy! Hey, hey! Listen, listen. Listen.\r\nLast time the Imps hired me to do their dirty work here, some of these knuckleheads kicked the bucket while they had some of my schtufff.\r\nIf you go get my schtuff back, I’ll make it worth yer while..."")","(AssetGuid=942BE1F6816947ABA2AA95FA61F4347B)","None","None","None","None","None","None","1","","True","GFQ_CollectInsignias"
GFQ_CollectInsignias:Task_TurnIn,"((RowName=""Kenik""))","Quest","NSLOCTEXT(""DialogueTable"", ""FFB9188043D10909A84CC5BC0267D2B2"", ""Aw yeah, that’s the schtuff! Had to get yer hands dirty, didja? Them rats get pretty fat on them corpses, eh? Here’s a little somethin’ ta help ya not become one of them! Har, har har!"")","(AssetGuid=942BE1F6816947ABA2AA95FA61F4347B)","None","None","None","None","None","None","1","","True","GFQ_CollectInsignias"
GFQ_SpawnCarrionKiller,"((RowName=""Kenik""))","Modal","NSLOCTEXT(""DialogueTable"", ""044B7D5B4372D4C34566B5BF29F83690"", ""Better watch out for those flesh-eating <span color=\""#FFD700\"">Mossrats</>! It\'s the kind of vermin that will eat through just about anything--and anyone! Maybe you can help me lure the infamous <span color=\""#FFD700\"">Carrion Killer</> out of its hideout and get this rodent problem under control. Wuddaya say, pal?"")","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","QuestActive","GFQ_SpawnCarrionKiller","None","None","None","None","1","","True","GFQ_SpawnCarrionKiller"
GFQ_NetherimIncursion,"((RowName=""Zaya""))","Quest","NSLOCTEXT(""DialogueTable"", ""D8AA72F541BE302A071A5DAE23F3A399"", ""After you took down Wideload, I detected an energy surge in the Haunted Cemetery. It could be nothing, but just in case... could you investigate the area?\r\n\r\nIt\'s deep within \""Snotskin Village\"" so you\'ll likely encounter the less-than-welcoming kind."")","(AssetGuid=D0B76303FE00496C89808DBDE4A86E08)","None","None","None","None","None","None","1","","True","GFQ_NetherimIncursion"
GFQ_NetherimIncursion:TurnIn,"((RowName=""Zaya""))","Quest","NSLOCTEXT(""DialogueTable"", ""4506D8154092D2CAA58CBB9AC00D36FB"", ""Just as I feared. This nether essence bears the signature of none other than <span color=\""#FFD700\"">Sadista</>. It seems that there are places throughout the region where this dark energy is growing stronger and stronger. \r\n\r\nYou\'d better warn <span color=\""#FFD700\"">General Graye</>."")","(AssetGuid=D0B76303FE00496C89808DBDE4A86E08)","None","None","None","None","None","None","1","","True","GFQ_NetherimIncursion"
GFQ_ShadowsRise,"((RowName=""Kenik""))","Quest","NSLOCTEXT(""DialogueTable"", ""CB474D294A328E1E1BCEC29FA3119308"", ""Who’s that?! Oh, it’s just you.\r\n\r\nYou heard the story of the beast from the well of shadows, right? One dark night, a vanquisher put down a whole mess of undead. When he finished, something emerged from a well over in the <span color=\""#FFD700\"">Haunted Cemetery</>—something dark and evil.\r\n\r\nThat can’t be true, right?"")","(AssetGuid=942BE1F6816947ABA2AA95FA61F4347B)","None","None","None","None","None","None","1","","True","GFQ_ShadowsRise"
GFQ_ShadowsRise:Task_TurnIn,"((RowName=""Kenik""))","Quest","NSLOCTEXT(""DialogueTable"", ""0191A4C642DA4AEDFC197FBE48CC9DD5"", ""You mean that thing was real? I thought that was just a story that Astern told the recruits ‘cause he likes to watch them wet themselves.\r\n\r\nNicely done. You deserve this."")","(AssetGuid=942BE1F6816947ABA2AA95FA61F4347B)","None","None","None","None","None","None","1","","True","GFQ_ShadowsRise"
GFQ_BestFrenemies,"((RowName=""GeneralGraye""))","Quest","NSLOCTEXT(""DialogueTable"", ""48177EF940C1A93C65B1E1BD6FB06392"", ""It’s time for action, adventurer. If this \""Sadista\"" character is teaming up with the gobs, you\'ve got to track her down and prevent any more goblin tribes from joining forces.\r\n\r\nMy eyes in the forest report that some important gob chieftain is assembling a war council. This is our chance to hit them all in one place.\r\n\r\nGet to <span color=\""#FFD700\"">Gobtown</> and eliminate the council."")","(AssetGuid=AC33C04C61DB48DB8EB6E1ED866B8046)","None","None","None","None","None","None","1","","True","GFQ_BestFrenemies"
GFQ_BestFrenemies_TurnIn,"((RowName=""GeneralGraye""))","Quest","NSLOCTEXT(""DialogueTable"", ""D3BEEEB1424A8CBCA2D216AEB84CB901"", ""Well done. You’ve weakened the goblins by striking at their leaders. It\'s just unfortunate that Sadista wasn\'t there.\r\n\r\nWhat could the goblins possibly be trying to summon with these portals? Perhaps <span color=\""#FFD700\"">Zaya</> can provide some more insight."")","(AssetGuid=AC33C04C61DB48DB8EB6E1ED866B8046)","None","None","None","None","None","None","1","","True","GFQ_BestFrenemies"
GFQ_KillNetherimBoss,"((RowName=""Zaya""))","Quest","NSLOCTEXT(""DialogueTable"", ""34DF3B614B29C4EF07202E958CF5371F"", ""The goblins are opening Netherim portals?! I\'m glad that you were able to stop this ritual, but I have a bad feeling that we\'re already too late. I can sense Sadista\'s powerful energy growing, which means the goblins are already preparing other rituals throughout the village.\r\n\r\nFind out where they\'ve relocated their hideout before the situation really gets out of hand."")","(AssetGuid=D0B76303FE00496C89808DBDE4A86E08)","None","None","None","None","None","None","1","","True","GFQ_KillNetherimBoss"
GFQ_KillNetherimBoss:TurnIn,"((RowName=""Zaya""))","Quest","NSLOCTEXT(""DialogueTable"", ""3D0314474ED9C6E4166A99843229757B"", ""This is dreadful. Sadista must have moved into the <span color=\""#FFD700\"">Gobstomp Stronghold</>. You must be hot on her trail if they keep moving around. \r\n\r\nThe goblins are known to capture wild animals to offer as sacrifices to whom they worship. If they are under the influence of the Netherim, they may even be turning them into other corrupted forms—true instruments of death!\r\n\r\nI\'m not too familiar with the landscape of the <span color=\""#FFD700\"">Gobstomp Stronghold</>, but I bet you can get <span color=\""#FFD700\"">Yapper</> to tell you more. He\'s got a tendency to overshare."")","(AssetGuid=D0B76303FE00496C89808DBDE4A86E08)","None","None","None","None","None","None","1","","True","GFQ_KillNetherimBoss"
GFQ_CollectEmbershine,"((RowName=""Kenik""))","Quest","NSLOCTEXT(""DialogueTable"", ""374C076B41FD175B16C9F59CBE9EAC25"", ""Aggh, somebody turn that down. You hear that, right?\r\n\r\nAnyway, I’m looking for an intrepid explorer who can brave these dangerous lands to procure for me the fabled <span color=\""#FFD700\"">Embershine</>!\r\n\r\nYou get it and I’ll pay ya."")","(AssetGuid=942BE1F6816947ABA2AA95FA61F4347B)","None","None","None","None","None","None","1","","True","GFQ_CollectEmbershine"
GFQ_CollectEmbershine:Task_TurnIn,"((RowName=""Kenik""))","Quest","NSLOCTEXT(""DialogueTable"", ""B5F625BE44FEE5139D238CBAA4638293"", ""You found it? Yeah, that’s the stuff! Glows like spark ember and burns like flame ember. Here’s some of my old stuff I had lying around."")","(AssetGuid=942BE1F6816947ABA2AA95FA61F4347B)","None","None","None","None","None","None","1","","True","GFQ_CollectEmbershine"
Quest_Goblin_GF6_Cave1,"((RowName=""Yapper""))","Quest","NSLOCTEXT(""DialogueTable"", ""0DC347524285653D2AD4ACB3C22CB3E5"", ""You wanna know where goblins keep their best weapons to control beasts? Heh, Yapper knows!\r\n\r\nYapper told chief Pyro it dumb to keep ‘em all in one place.\r\n\r\nThere’s a cave we call the <span color=\""#FFD700\"">Cave of Boom</>. It full of goblin weapons!"")","(AssetGuid=A65C4E079FE1488D920FFE6307F748B0)","None","None","None","None","None","None","1","","True",""
Quest_Goblin_GF6_Cave1_TurnIn,"((RowName=""GeneralGraye""))","Quest","NSLOCTEXT(""DialogueTable"", ""4993A5DF4A93FA1202C62FA9B70D76AD"", ""Nice hit! I heard that one from all the way over here.\r\n\r\nTaking out the goblin leaders and their weapon stockpiles should hopefully prevent those gobs from capturing any more beasts. \r\n\r\nLet\'s see what else <span color=\""#FFD700\"">Yapper</> knows about the goblin\'s involvement with <span color=\""#FFD700\"">Sadista</>."")","(AssetGuid=AC33C04C61DB48DB8EB6E1ED866B8046)","None","None","None","None","None","None","1","","True",""
