---,MinLevel,MaxLevel,DropWeight,MaxCount,TextFormat,ItemTextFormat,bAlwaysShowAffixName,bIsPrimaryAffix,TraitType,AffixGameplayTags,AffixCurveValue1,AffixCurveValue2,AffixCurveValue3,AffixCurveValue4,AffixCurveValue5,AffixCurveValue6,TraitString,Normal,Magic,Rare,Legendary,Unique,EnchantingMagicMultipliers,EnchantingRareMultipliers,EnchantingLegendaryMultipliers,LifeboundMultiplier,TextOnDrop,Notes
CriticalHit_Damage_vsUndead,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""6452FA084BBC379BA3713E9836E6FC7C"", ""+{0%}% Critical Damage vs Undead"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Shoulders;Item.Armour.AmmoBag;Item.Pet.Tag","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Undead","",".5-1.5","1-2.5","3.8-4.1","","","","","1.200000","","Legendary Secondary"
CriticalHit_Damage_vsVespid,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""B40DC86B44560004F01132ADFDDD0545"", ""+{0%}% Critical Damage vs Hyvid"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Shoulders;Item.Armour.AmmoBag;Item.Pet.Tag","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Vespid","",".5-1.5","1-2.5","3.8-4.1","","","","","1.200000","","Legendary Secondary"
CriticalHit_vsChilled_vsFrozen,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""3A356FC641F3869CD8C66486986DB501"", ""+{0%}% Critical vs. Chilled targets and +{1%}% Critical vs. Frozen targets"")","","False","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Shoulders;Item.Armour.AmmoBag;Item.Pet.Tag","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|StatusEffect.Chilled;CriticalDamageBonusVs|StatusEffect.Frozen","","","","","","","","","1.200000","",""
Damage_Electric_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""701209A447B4DCA535C5659B2621B6C2"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""A2FF7AD34B04EA30D3E8B89E83C8B64B"", ""Voltaic {0}"")","False","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.1H;Item.Pet.Tag","Damage","None","None","None","None","None","Damage|Element.Electric","0.77-1.19","0.98-1.33","1.26-1.47","2.65-3.2","","","","","1.200000","",""
Damage_Electric_Primary_2H,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""58B2480440440AEE67BAF1A5DC5E8D92"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""43A7AF124D24B53B817F3291F4EB637E"", ""Voltaic {0}"")","False","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Electric","1.1-1.7","1.4-1.9","1.8-2.1","3.65-4.0","","","","","1.200000","",""
Damage_Electric_Primary_Focus,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""701209A447B4DCA535C5659B2621B6C2"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""A2FF7AD34B04EA30D3E8B89E83C8B64B"", ""Voltaic {0}"")","False","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.Global","Damage","None","None","None","None","None","Damage|Element.Electric","0.31-0.48","0.39-0.53","0.5-0.59","0.95-1.5","","","","","1.200000","",""
Damage_Electric_Primary_Focus_Strong,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""701209A447B4DCA535C5659B2621B6C2"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""A2FF7AD34B04EA30D3E8B89E83C8B64B"", ""Voltaic {0}"")","False","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.Global;Affix.DamageFocusStrong","Damage","None","None","None","None","None","Damage|Element.Electric","0.37-0.58","0.47-0.64","0.6-0.71","1.6-2.1","","","","","1.200000","",""
Damage_Electric_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""01848DD74928704EC705638CC42C02A6"", ""+{0} Electric Damage"")","","False","False","Weapon","Affix.Secondary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.1H;Item.Weapon.Focus;Item.Pet.Tag;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Chest","Damage","None","None","None","None","None","Damage|Element.Electric","0.19-0.3","0.25-0.33","0.32-0.37","0.47-0.53","","","","","1.200000","",""
Damage_Electric_Secondary_2H,"1.000000","100.000000","100","2","NSLOCTEXT(""AffixTable"", ""01848DD74928704EC705638CC42C02A6"", ""+{0} Electric Damage"")","","False","False","Weapon","Affix.Secondary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Electric","0.19-0.3","0.25-0.33","0.32-0.37","0.47-0.53","","","","","1.200000","",""
Damage_Fire_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""9B9D14A54B0055CD11E61BADB5744510"", ""{0} Fire Damage"")","NSLOCTEXT(""AffixTable"", ""164243E94F3504B72F8D17BE4406DCF2"", ""Blazing {0}"")","False","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Fire;Item.Weapon.1H;Item.Pet.Tag","Damage","None","None","None","None","None","Damage|Element.Fire","0.77-1.19","0.98-1.33","1.26-1.47","2.65-3.2","","","","","1.200000","",""
Damage_Fire_Primary_2H,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""148F502E4A9B5096A37E59A47E95D65B"", ""{0} Fire Damage"")","NSLOCTEXT(""AffixTable"", ""FDC250524DADC538511449AE549E210A"", ""Blazing {0}"")","False","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Fire;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Fire","1.1-1.7","1.4-1.9","1.8-2.1","3.65-4.0","","","","","1.200000","",""
Damage_Fire_Primary_Focus,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""B6701CA54A7FC8929362E49BAC60D1C0"", ""{0} Fire Damage"")","NSLOCTEXT(""AffixTable"", ""71E5F4D94E19698FA1ED03AA031D3623"", ""Blazing {0}"")","False","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Fire;Item.Weapon.Global","Damage","None","None","None","None","None","Damage|Element.Fire","0.31-0.48","0.39-0.53","0.5-0.59","0.95-1.5","","","","","1.200000","",""
Damage_Fire_Primary_Focus_Strong,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""B6701CA54A7FC8929362E49BAC60D1C0"", ""{0} Fire Damage"")","NSLOCTEXT(""AffixTable"", ""71E5F4D94E19698FA1ED03AA031D3623"", ""Blazing {0}"")","False","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Fire;Item.Weapon.Global;Affix.DamageFocusStrong","Damage","None","None","None","None","None","Damage|Element.Fire","0.37-0.58","0.47-0.64","0.6-0.71","1.6-2.1","","","","","1.200000","",""
Damage_Fire_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""5144E1064DB3DFF950595188E83CBCB5"", ""+{0} Fire Damage"")","","False","False","Weapon","Affix.Secondary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Fire;Item.Weapon.1H;Item.Weapon.Focus;Item.Pet.Tag;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Chest","Damage","None","None","None","None","None","Damage|Element.Fire","0.19-0.3","0.25-0.33","0.32-0.37","0.47-0.53","","","","","1.200000","",""
Damage_Fire_Secondary_2H,"1.000000","100.000000","100","2","NSLOCTEXT(""AffixTable"", ""5144E1064DB3DFF950595188E83CBCB5"", ""+{0} Fire Damage"")","","False","False","Weapon","Affix.Secondary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Fire;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Fire","0.19-0.3","0.25-0.33","0.32-0.37","0.47-0.53","","","","","1.200000","",""
Damage_Ice_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""1C87ED024066BD137A65B4B624D145E6"", ""{0} Ice Damage"")","NSLOCTEXT(""AffixTable"", ""86AC060D47FAE945F39B6CA1BE5E8257"", ""Frigid {0}"")","False","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Ice;Item.Weapon.1H;Item.Pet.Tag","Damage","None","None","None","None","None","Damage|Element.Ice","0.77-1.19","0.98-1.33","1.26-1.47","2.65-3.2","","","","","1.200000","",""
Damage_Ice_Primary_2H,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""CC684831488FB1E255D94EB27AC85D6D"", ""{0} Ice Damage"")","NSLOCTEXT(""AffixTable"", ""0475A15B4BF7BC25A3AA3E8AB4DFF3C2"", ""Frigid {0}"")","False","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Ice;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Ice","1.1-1.7","1.4-1.9","1.8-2.1","3.65-4.0","","","","","1.200000","",""
Damage_Ice_Primary_Focus,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""1C87ED024066BD137A65B4B624D145E6"", ""{0} Ice Damage"")","NSLOCTEXT(""AffixTable"", ""86AC060D47FAE945F39B6CA1BE5E8257"", ""Frigid {0}"")","False","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Ice;Item.Weapon.Global","Damage","None","None","None","None","None","Damage|Element.Ice","0.31-0.48","0.39-0.53","0.5-0.59","0.95-1.5","","","","","1.200000","",""
Damage_Ice_Primary_Focus_Strong,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""1C87ED024066BD137A65B4B624D145E6"", ""{0} Ice Damage"")","NSLOCTEXT(""AffixTable"", ""86AC060D47FAE945F39B6CA1BE5E8257"", ""Frigid {0}"")","False","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Ice;Item.Weapon.Global;Affix.DamageFocusStrong","Damage","None","None","None","None","None","Damage|Element.Ice","0.37-0.58","0.47-0.64","0.6-0.71","1.6-2.1","","","","","1.200000","",""
Damage_Ice_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""2F0881824D81EB92A0B8D7A0B038DEEC"", ""+{0} Ice Damage"")","NSLOCTEXT(""AffixTable"", ""27F7944349BDB82E819095B08613F539"", ""{0} of Frost"")","False","False","Weapon","Affix.Secondary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Ice;Item.Weapon.1H;Item.Weapon.Focus;Item.Pet.Tag;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Chest","Damage","None","None","None","None","None","Damage|Element.Ice","0.19-0.3","0.25-0.33","0.32-0.37","0.47-0.53","","","","","1.200000","",""
Damage_Ice_Secondary_2H,"1.000000","100.000000","100","2","NSLOCTEXT(""AffixTable"", ""2F0881824D81EB92A0B8D7A0B038DEEC"", ""+{0} Ice Damage"")","NSLOCTEXT(""AffixTable"", ""27F7944349BDB82E819095B08613F539"", ""{0} of Frost"")","False","False","Weapon","Affix.Secondary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Ice;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Ice","0.19-0.3","0.25-0.33","0.32-0.37","0.47-0.53","","","","","1.200000","",""
Damage_Physical_Newbie,"1.000000","1.000000","0","0","NSLOCTEXT(""AffixTable"", ""3A52DD2D4C4AED283AD4F398836F4887"", ""{0} Physical Damage"")","NSLOCTEXT(""AffixTable"", ""52C939B4405E4826316212B2307B5F52"", ""Rusty {0}"")","False","True","Weapon","Affix.Primary;Affix.Damage.Physical;Item.Weapon.1H;Item.Weapon.2H","Damage","None","None","None","None","None","Damage|Element.Physical","0.76","","","","","","","","1.200000","","Starting Gear"
Damage_Physical_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""72408D65411F86FADF948CBB5F5E5AA1"", ""{0} Physical Damage"")","NSLOCTEXT(""AffixTable"", ""BC1CF90147F27FE0F265F7BBBC357858"", ""Lethal {0}"")","False","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Physical;Item.Weapon.1H;Item.Pet.Tag","Damage","None","None","None","None","None","Damage|Element.Physical","0.77-1.19","0.98-1.33","1.26-1.47","2.65-3.2","","","","","1.200000","",""
Damage_Physical_Primary_2H,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""458660F948A6ABA7FB8C20808D12ECEA"", ""{0} Physical Damage"")","NSLOCTEXT(""AffixTable"", ""DDA8EBC6436A485025CFE2B9E1CFF378"", ""Lethal {0}"")","False","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Physical;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Physical","1.1-1.7","1.4-1.9","1.8-2.1","3.65-4.0","","","","","1.200000","",""
Damage_Physical_Primary_Focus,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""72408D65411F86FADF948CBB5F5E5AA1"", ""{0} Physical Damage"")","NSLOCTEXT(""AffixTable"", ""BC1CF90147F27FE0F265F7BBBC357858"", ""Lethal {0}"")","False","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Physical;Item.Weapon.Global","Damage","None","None","None","None","None","Damage|Element.Physical","0.31-0.48","0.39-0.53","0.5-0.59","0.95-1.5","","","","","1.200000","",""
