---,DisplayName,CompletableTasks,OfferedQuests,ActivatingTasks,ActivatingCompletedTasks,DeactivatingTasks,DeactivatingCompletedTasks,bAlwaysActive,bMapMarkerIsArea,AreaSize,Notes
Warp_GF7_Forest2_boss,"NSLOCTEXT(""QuestObjectTable"", ""FF56D6EF40D20737A186EFA6371D41A7"", ""Exit to Dead\'s End"")","","","","(""GFQ_KillGoblinBarricade:Task_KillUndead"")","","","False","False","0.000000",""
GoblinCage_RescueGuards,"NSLOCTEXT(""QuestObjectTable"", ""A4188F1E44F5D23B4A6C1C8735B66459"", ""Goblin Cage"")","(""GFQ_RescueGuards:Task_RescueGuards"",""Fame_LostandFound:Task_SearchGoblinCages"",""Fame_LostandFound:Task_DropMap"",""Fame_LostandFound:Task_CollectMap"",""Fame_LostandFound:Task_EnableMapDrop"")","","(""GFQ_RescueGuards:Task_RescueGuards"",""Fame_LostandFound:Task_SearchGoblinCages"",""Fame_LostandFound:Task_CollectMap"",""Fame_LostandFound:Task_DropMap"",""Fame_LostandFound:Task_EnableMapDrop"")","","","","False","False","0.000000",""
GoblinCauldron,"NSLOCTEXT(""QuestObjectTable"", ""0D8A19E24B8D4DE5FEC9C796DA25A262"", ""Goblin Cauldron"")","(""GFQ_CollectAntidote:Task_CollectBowlStew"",""GFQ_HarassGoblins:Task_PoisonCauldrons"",""Fame_ChewyStewy:Task_CollectStews"")","","(""GFQ_CollectAntidote:Task_CollectBowlStew"",""GFQ_HarassGoblins:Task_PoisonCauldrons"",""Fame_ChewyStewy:Task_CollectStews"")","","","","False","False","0.000000",""
GoblinFishingSpot,"NSLOCTEXT(""QuestObjectTable"", ""7D1F033A469C04A192F0B483786A9987"", ""Secret Fishing Hole"")","(""DQ_Jawsome:Task_FishingSpot"")","","(""GFQ_CollectPigFish:Task_CollectPigfish"",""DQ_Jawsome:Task_FishingSpot"",""DQ_Jawsome:Task_CollectFreshPigfish"")","","","","False","False","0.000000",""
GoblinShieldwall,"NSLOCTEXT(""QuestObjectTable"", ""38517F2C4E8D414F4BBF71A30C00DA49"", ""Goblin Shieldwall"")","","","","(""GFQ_CollectGoblinBruteShields:Task_TurnIn"")","","","False","False","0.000000",""
GoblinShieldwall_Placeholder,"","","","","","","(""GFQ_CollectGoblinBruteShields:Task_TurnIn"")","False","False","0.000000",""
Guard,"NSLOCTEXT(""QuestObjectTable"", ""0BE97018412F2228947BD8B647686338"", ""Imperial Guard"")","","","","","","","False","False","0.000000",""
HyvidResearcher,"NSLOCTEXT(""QuestObjectTable"", ""563D8D994800B0BFDA679C93EB0A8FB3"", ""Imperial Pest Control Researcher"")","(""DQ_VileVials:Task_TalktoResearcher"",""DQ_VileVials:Task_TurnIn"",""HFQ_OuterPlace:Task_InteractNPC"")","","","","","","True","False","0.000000","npcgeneric01_bp"
HyvidResearcher_Bugswat,"NSLOCTEXT(""QuestObjectTable"", ""F0E866CB4C2A59C720E88DA396C82688"", ""Bugswat Researcher"")","(""HFQ_IngestedForest:Task_TalkToResearcher"")","","","","","","False","False","0.000000","npcgeneric02_bp"
Kenik,"NSLOCTEXT(""QuestObjectTable"", ""3058C46442161FC6A9509B991DD4B345"", ""Kenik"")","(""GFQ_ShadowsRise:Task_TurnIn"",""GFQ_CollectInsignias:Task_TurnIn"",""GFQ_CollectEmbershine:Task_TurnIn"",""HFQ_Grubs:Task_TurnInKenik"",""Quest_Echonok_EM1_Exterior1:Task_TalktoKenik"",""DQ_CursedCoin:Task_TalkToKenik"")","(""GFQ_CollectEmbershine"",""HFQ_Grubs"",""GFQ_ShadowsRise"",""GFQ_CollectInsignias"")","","","","","False","False","0.000000",""
MaleOutpostGuard,"NSLOCTEXT(""QuestObjectTable"", ""C378C99045C24FB5679E73AC13215D80"", ""Imperial Guard"")","","","","","","","False","False","0.000000",""
GoblinStockpile,"NSLOCTEXT(""QuestObjectTable"", ""1393D54E431E78D84C69A7957C397979"", ""Explosive Stockpile"")","(""GFQ_GobBoomBlast:Task_KillStockpiles"")","","","","","","False","False","0.000000","gob_prop_stockpile_01_bp"
SgtKlive,"NSLOCTEXT(""QuestObjectTable"", ""A09493384C49BE91084A259BBA399ECA"", ""Sgt. Klive"")","(""Quest_Fort_BuildSkillStation:Task_TalkToKlive"",""Quest_Fort_BuildSkillStation:Task_TurnIn_DuskMage"",""Quest_Fort_BuildSkillStation:Task_TurnIn_Railmaster"",""Quest_Fort_BuildSkillStation:Task_TurnIn_Forged"")","","","","","","False","False","0.000000",""
Spawner_CollectInsignias,"NSLOCTEXT(""QuestObjectTable"", ""FFC1425C444B22DAAF0542AE25C58124"", ""Carrion Killer Hideout"")","","","(""GFQ_SpawnCarrionKiller:Task_SeeBoss"",""GFQ_SpawnCarrionKiller:Task_DoSpawnEvent"",""GFQ_SpawnCarrionKillerAgain:Task_SeeBoss"",""GFQ_SpawnCarrionKillerAgain:Task_DoSpawnEvent"")","","","","False","False","0.000000",""
Spawner_EventGrandHall,"","","","","","","","False","False","0.000000",""
Zaya,"NSLOCTEXT(""QuestObjectTable"", ""FF08B59C433E98EA47D3258481852B17"", ""Zaya"")","(""GFQ_KillSkeletalMage:Task_TurnIn"",""GFQ_CollectZombieOutfit:Task_TurnIn"",""GFQ_CollectAntidote:Task_TurnIn"",""GFQ_LostExcavation:Task_TurnIn"",""GFQ_RareEarth:Task_TurnIn"",""HFQ_Spores:Task_TurnIn"",""HFQ_FundamentalFungi:Task_TurnInZaya"",""HFQ_NetherRegions:Task_TurnIn"",""GFQ_LostExcavation:Task_StartQuest"",""GFQ_KillNetherim:Task_StartQuest"",""GFQ_KillNetherim:Task_TurnIn"",""Quest_Echonok_EM1_DwarvenRainbow:Task_TurnIn"",""Quest_Echonok_EM1_Interior1:Task_TurnInZaya"",""Quest_Echonok_EM1_Interior1:Task_TurnInCodex"",""DQ_Jawsome:Task_TalktoZaya"",""DQ_LeaveNoStoneUnturned:Task_TalktoZaya"",""DQ_Ransacked:Task_TalktoZaya"",""GFQ_NetherimIncursion:Task_InteractZaya"",""GFQ_NetherimIncursion:Task_TurnIn"",""GFQ_KillNetherimBoss:Task_StartQuest"",""GFQ_KillNetherimBoss:Task_TurnIn"",""GFQ_FightSadista:Task_StartQuest"",""GFQ_FightSadista:Task_TurnIn"",""GFQ_AntiNetherim:Task_StartQuest"",""GFQ_AntiNetherim:Task_TurnIn"",""HFQ_IngestedForest:Task_TalkToZaya"",""HFQ_AwShmups:Task_TalkToZaya"",""HFQ_CrystalCarapace:Task_TalkToZaya"",""HFQ_StrongSignals:Task_TalkToZaya"",""HFQ_Aberration:Task_TalkToZaya"",""TUT_LuckTree:Task_TalkToZaya"",""HFQ_NetherRegions:Task_InteractNPC"")","(""GFQ_KillGoblinBarricade"",""HFQ_Spores"",""HFQ_FlavorBurst"",""HFQ_FundamentalFungi"",""Quest_Echonok_EM1_DwarvenRainbow"",""GFQ_KillNetherimBoss"",""GFQ_CollectAntidote"",""HFQ_VictimOrVermin"",""TUT_LuckTree"")","","","","","False","False","0.000000",""
Trigger_FindSiegeWeapons,"NSLOCTEXT(""QuestObjectTable"", ""65AC74454D085B848B2EF5866B8B2E15"", ""Find out where goblins have dragged the siege weapons"")","(""GFQ_KillSiegeWeapons:Task_FindSiegeWeaponDungeonEntrance"")","","(""GFQ_KillSiegeWeapons:Task_FindSiegeWeaponDungeonEntrance"")","","","","False","True","100.000000",""
GoblinSiegeWeapon1,"NSLOCTEXT(""QuestObjectTable"", ""CF5ACE64446B30E52CBBD59AC33827A1"", ""Smash Blaster"")","(""GFQ_KillSiegeWeapons:Task_DestroySiegeWeapon1"")","","","","","","True","False","0.000000",""
GoblinSiegeWeapon2,"NSLOCTEXT(""QuestObjectTable"", ""56D3822D4842BE078E9C42977BE64EDC"", ""Sword-o-Matic"")","(""GFQ_KillSiegeWeapons:Task_DestroySiegeWeapon2"")","","","","","","True","False","0.000000",""
GoblinSiegeWeapon3,"NSLOCTEXT(""QuestObjectTable"", ""C620AA244DE225A90CB4B6AC9F6FF899"", ""Man Tenderizer"")","(""GFQ_KillSiegeWeapons:Task_DestroySiegeWeapon3"")","","","","","","True","False","0.000000",""
Trigger_GoblinFishingSpot,"","(""GFQ_CollectPigFish:Task_TriggerGoblinFishingSpot"")","","(""GFQ_CollectPigFish:Task_TriggerGoblinFishingSpot"")","","","","False","True","1000.000000","gob_triggersphere_quest_fishingspot_bp"
Trigger_ZombieOutfit,"","","","","","","","False","True","4000.000000",""
ThanesSnow,"NSLOCTEXT(""QuestObjectTable"", ""2D54076E4ADFC4D8C2D42CA7DB07EC22"", ""Thanes Snow"")","","","","","","","True","False","0.000000","npcgeneric_bp"
VespidFlierChampSpawn,"","","","(""Quest_Infested_AreaFlierChamps:Task_DoSpawnEvent"")","","","","False","False","0.000000",""
VespidFlier2ChampSpawn,"","","","(""HFQ_Exterminate:Task_KillChampHyvid"")","","","","False","False","0.000000","HFQ_Exterminate"
VespidLarvaeChampSpawn,"","","","(""Quest_Infested_AreaLarvaeChamps:Task_DoSpawnEvent"",""HFQ_Exterminate:Task_KillChampHyvid"")","","","","False","False","0.000000","HFQ_Exterminate"
WaypointGuard,"NSLOCTEXT(""QuestObjectTable"", ""2735A11B4EEA3A156BA3CEB63D3057D6"", ""Imperial Guard"")","","","","","","","False","False","0.000000","npcgeneric_tut_01_bp"
Yapper,"NSLOCTEXT(""QuestObjectTable"", ""5D9D6FF448B7D5609DCE7EA37B2E9EA4"", ""Yapper"")","(""GFQ_CollectMossratNuggets:Task_GiveNuggets"",""GFQ_FavorForYapper:Task_TurnIn"",""GFQ_KillSiegeWeapons:Task_StartQuest"",""GFQ_CollectPigFish:Task_TurnIn"",""HFQ_FriendshipForever:Task_TurnInYapper"",""GFQ_GobBoomBlast:Task_QuestStart"",""GFQ_FindKey:Task_StartQuest"",""GFQ_FindKey:Task_TurnIn"",""GFQ_SadistasPlan:Task_StartQuest"")","(""GFQ_CollectMossratNuggets"",""GFQ_CollectPigFish"",""HFQ_FriendshipForever"",""GFQ_FavorForYapper"")","","","","","False","False","0.000000","GFQ_CollectMossratNuggets"
LtHix,"NSLOCTEXT(""QuestObjectTable"", ""A7286B344DA8A689F04B3FB6AE780FC7"", ""Lt. Hix, Imperial Scout"")","(""Quest_Echonok_EM1:Task_InteractHix"")","(""Quest_Echonok_EM1_Rescavenge"")","","","","","True","False","0.000000","npcgeneric03_bp"
Wolfram,"NSLOCTEXT(""QuestObjectTable"", ""11AE443A46C7A208F4858EAAD9990B66"", ""Wolfram"")","(""Quest_Echonok_EM1_Rescavenge:Task_TalkToWolfram"")","","","(""Quest_Echonok_EM1_Rescavenge:Task_FindAllTools"")","(""Quest_Echonok_EM1_Rescavenge:Task_InteractWolfram"")","","False","False","0.000000","npcgeneric04_bp"
WolframHix,"NSLOCTEXT(""QuestObjectTable"", ""1CBB01BA42899C18812F9993C206EB57"", ""Wolfram"")","(""Quest_Echonok_EM1_Rescavenge:Task_InteractWolfram"")","","(""Quest_Echonok_EM1_Rescavenge:Task_InteractWolfram"")","","","","False","False","0.000000","npcwolfram_bp"
Goblin_FetidFungi,"NSLOCTEXT(""QuestObjectTable"", ""D696AC2842B3CE4CE37866920BF5180A"", ""Fetid Fungi"")","(""GFQ_CollectAntidote:Task_CollectFetidFungus"",""HFQ_FundamentalFungi:Task_CollectFungus"")","","","","","","False","False","0.000000",""
DragonCannon,"NSLOCTEXT(""QuestObjectTable"", ""D94AB0584DF6A554C0733BB79DDAF118"", ""Inert Dragon Cannon"")","","","(""Quest_Echonok_EM1_DwarvenRainbow:Task_CollectRelicIce"")","","","","False","False","0.000000","Clickable prop for ""The Dwarven Rainbow"" quest in the Echonok Mountains Armory."
SteadfastDead,"NSLOCTEXT(""QuestObjectTable"", ""4A48812D45F5CD6290528A9E679FEE66"", ""Steadfast Dead"")","(""GFQ_CollectInsignias:Task_CollectPortrait"",""GFQ_CollectInsignias:Task_CollectFlask"",""GFQ_CollectInsignias:Task_CollectPaycheck"",""GFQ_CollectInsignias:Task_CollectWhetstone"")","","","","","","True","False","0.000000",""
ImperialGuard_Chief,"NSLOCTEXT(""QuestObjectTable"", ""33E5145E40679242771D83B7BB624A08"", ""Chief Imperial Guard"")","(""HFQ_OuterPlace:Task_InteractGuard"")","","","","","","False","False","0.000000",""
ImperialGuard_01,"NSLOCTEXT(""QuestObjectTable"", ""8E84BA4540A1160B69B1D0809D55BBF5"", ""Imperial Strategist Keller"")","(""HFQ_NetherRealm:Task_TalkToGuard"")","(""HFQ_LostAndFound"")","","","","","False","False","0.000000","npcgeneric07_bp"
ImperialGuard_02,"NSLOCTEXT(""QuestObjectTable"", ""F8E8B6594CFC65F007F05E9562A39E73"", ""Sgt. Womack"")","(""HFQ_LostAndFound:Task_TurnIn"")","","","","","","False","False","0.000000","npcgeneric06_bp"
ImperialGuard_03,"NSLOCTEXT(""QuestObjectTable"", ""09F3484746A7059250E4E8ABC5FD65E7"", ""Imperial Patroller"")","","(""HFQ_FoulPlay"")","","","","","False","False","0.000000","npcgeneric08_bp"
ImperialGuard_04,"NSLOCTEXT(""QuestObjectTable"", ""9B367AB04FCEDD719EB520800E716ABA"", ""Imperial Investigator"")","","","","","","","False","False","0.000000","npcgeneric09_bp"
ImperialGuard_05,"NSLOCTEXT(""QuestObjectTable"", ""9AFAD6634C4D017CC5A9FB9ACC2FF2A5"", ""Sgt. Justinian"")","(""HFQ_InFiltration:Task_TurnIn"",""HFQ_RumblePack:Task_TurnIn"",""HFQ_GettingKrronk:Task_TurnIn"")","(""HFQ_AcidPools"")","","","","","False","False","0.000000","npcgeneric10_bp"
ImperialGuard_06,"NSLOCTEXT(""QuestObjectTable"", ""8A50D0E4466AE962067133B12A04703E"", ""Imperial Scout"")","","","(""HFQ_HyvidHideout:Task_KillChampHyvid"")","","","","False","False","0.000000","npcgeneric11_bp"
ImperialGuard_07,"NSLOCTEXT(""QuestObjectTable"", ""E7ED0F4F4196F3BC4DDC7A9F156F3F35"", ""Imperial Scout Castro"")","(""HFQ_MissingTroops:Task_TurnIn"")","","","","","","False","False","0.000000","npcgeneric12_bp"
ImperialGuard_08,"NSLOCTEXT(""QuestObjectTable"", ""4B3DE52D4948D5E3E9CB359BA543F27C"", ""Imperial Scout"")","","(""HFQ_MessageIntercepted"")","","","","","False","False","0.000000","npcgeneric13_bp"
ImperialGuard_09,"NSLOCTEXT(""QuestObjectTable"", ""431BE0944415FE55FE768EA354E51276"", ""Imperial Scout"")","","(""HFQ_KeyBind"")","","","","","False","False","0.000000","npcgeneric14_bp"
ImperialGuard_10,"NSLOCTEXT(""QuestObjectTable"", ""8F3642CF4729037CC598E7A3FB05578C"", ""Imperial Scout"")","(""HFQ_Buzzworthy:Task_InteractNPC"",""HFQ_Buzzworthy:Task_TurnIn"")","","","","","","False","False","0.000000","npcgeneric15_bp"
Cobweb,"NSLOCTEXT(""QuestObjectTable"", ""6AECE741490BA3070DA9EBAD57AD1F27"", ""Cobweb"")","","","(""Quest_Infested_IF4_Forest2:Task_CollectClues"")","","","","False","False","0.000000","cave_lootable_web_01_bp (Pesky Pests quest)"
Cobweb_Trail,"NSLOCTEXT(""QuestObjectTable"", ""F551E2E94F7487D02EF2CBA2626A740D"", ""Web Trail"")","","","(""Quest_Infested_IF4_Forest2:Task_InspectWebs"")","","","","False","False","0.000000","cave_lootable_webtrail_01_bp (Pesky Pests quest)"
Cocoon,"NSLOCTEXT(""QuestObjectTable"", ""1E7C9E444452BDC36B8018BC62FDA5A6"", ""Cocoon"")","(""HFQ_MissingTroops:Task_InteractCocoons"")","","(""HFQ_MissingTroops:Task_InteractCocoons"")","","","","False","False","0.000000",""
ImperialCorpse,"NSLOCTEXT(""QuestObjectTable"", ""DA3C910C486044449C011FB8BE5DB848"", ""Fallen Imperial Guard"")","(""HFQ_OuterPlace:Task_FindGuards"")","","(""HFQ_MessageIntercepted:Task_CollectNotes"",""DQ_PuttoRest:Task_GetDogTags"",""HFQ_OuterPlace:Task_FindGuards"")","","","","False","False","0.000000","inf_prop_imperialcorpse_01_bp"
EmberBeacon,"NSLOCTEXT(""QuestObjectTable"", ""96EEC91544DD041AE7FC9A88B43AFFAC"", ""Ember Beacon"")","(""HFQ_Buzzworthy:Task_InspectBeacon"")","","(""HFQ_Buzzworthy:Task_InspectBeacon"")","","","","False","False","0.000000","HFQ_Buzzworthy"
HyvidGatekeeperIF1,"NSLOCTEXT(""QuestObjectTable"", ""95D6B6EC4C2FBEB49387BDAD034BEC80"", ""Imperial Guard"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_if1_bp"
HyvidGatekeeperIF2,"NSLOCTEXT(""QuestObjectTable"", ""8FC90ABA46E5F55E63ABDC84418877A6"", ""Bugswat Pass Guard"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_if2_bp"
HyvidGatekeeperIF3,"NSLOCTEXT(""QuestObjectTable"", ""802B64B3465931297E7A0EB06BA524EB"", ""Imperial Guard"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_if3_bp"
HyvidGatekeeperIF4,"NSLOCTEXT(""QuestObjectTable"", ""A9E94A1D42EC5E1C15DD6A8F96D91F72"", ""Imperial Guard"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_if4_bp"
HyvidGatekeeperIF5,"NSLOCTEXT(""QuestObjectTable"", ""575DF1C34EAD23009A6C5F85A7DD6864"", ""Imperial Guard"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_if5_bp"
HyvidGatekeeperIF6,"NSLOCTEXT(""QuestObjectTable"", ""55725A6647EF8CFC939626823F73755B"", ""Imperial Guard"")","","","","","","","False","False","0.000000",""
GatekeeperIF3_NoCollide,"NSLOCTEXT(""QuestObjectTable"", ""93A091874B27F7013ED23E8EDCA5C735"", ""Imperial Guard"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_if3_nocollide_bp"
GatekeeperIF4_NoCollide,"NSLOCTEXT(""QuestObjectTable"", ""6A7021DD48474E5BA436A08BC0BB1321"", ""Imperial Guard"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_if4_nocollide_bp"
GatekeeperIF5_NoCollide,"NSLOCTEXT(""QuestObjectTable"", ""EB28ED364909BB8EAA1C96B16200C823"", ""Imperial Guard"")","","","","","","","False","False","0.000000","npc_m_imperialguard_gatekeeper_if5_nocollide_bp"
GatekeeperIF6_NoCollide,"NSLOCTEXT(""QuestObjectTable"", ""89C3ECD845BA6500F60B2B816C657E80"", ""Imperial Guard"")","","","","","","","False","False","0.000000",""
IntelligenceAgentBray,"NSLOCTEXT(""QuestObjectTable"", ""770F3EFA4ACB247974F411B59FB172E5"", ""Intelligence Agent Bray"")","(""DQ_ForcedRetirement:Task_GetQuest"",""DQ_CleansetheCave:Task_GetQuest"",""DQ_SendingaMessage:Task_GetQuest"",""DQ_PuttoRest:Task_GetQuest"",""DQ_PutEmDown:Task_GetQuest"",""DQ_MuskyBusiness:Task_GetQuest"",""DQ_PoisonControl:Task_GetQuest"",""DQ_RoidRage:Task_GetQuest"",""DQ_EggcelentDestruction:Task_GetQuest"",""WQ_BountiesStartQuest:Task_GetQuest"",""WQ_PrepareYourself:Task_GetQuest"",""WQ_Investigations:Task_GetQuest"",""DQ_MuskyBusiness:Task_TurnIn"",""DQ_PoisonControl:Task_TurnIn"",""DQ_PuttoRest:Task_TurnIn"",""WQ_Bounties:Task_TurnIn"",""WQ_PrepareYourself:Task_TurnIn"",""WQ_Investigations:Task_TurnInGoblin"",""WQ_Investigations:Task_TurnInWideload"",""WQ_Investigations:Task_TurnInOlgarth"",""WQ_Investigations:Task_TurnInHyvid"",""WQ_Investigations:Task_FinalTurnIn"",""WQ_UnholyTerrors:Task_GetQuest"",""WQ_UnholyTerrors:Task_TurnIn"",""DQ_CursedCoin:Task_GetQuest"",""DQ_BarrelOfAGun:Task_GetQuest"",""DQ_BrambleWrangle:Task_GetQuest"",""DQ_Jawsome:Task_GetQuest"",""DQ_WhatTheFrack:Task_GetQuest"",""DQ_PretendThatWereDead:Task_GetQuest"",""DQ_PretendThatWereDead:Task_TurnIn"",""DQ_WhatABoar:Task_GetQuest"",""DQ_PiratedPackages:Task_GetQuest"",""DQ_WritingsOnTheWall:Task_GetQuest"",""DQ_LeaveNoStoneUnturned:Task_GetQuest"",""DQ_LeaveNoStoneUnturned:Task_TalkToBray"",""DQ_LeaveNoStoneUnturned:Task_TalkToZaya"",""DQ_HyvidHunterForHire:Task_GetQuest"",""DQ_HyvidHunterForHire:Task_TurnIn"",""DQ_Ransacked:Task_GetQuest"",""DQ_ItsATrap:Task_GetQuest"",""DQ_BeastOfBurden:Task_GetQuest"",""DQ_MonsterHunter:Task_GetQuest"",""DQ_BruteSquad:Task_GetQuest"",""DQ_NightOfTheUndead:Task_GetQuest"",""DQ_SwatTeam:Task_GetQuest"",""DQ_SticksAndStones:Task_GetQuest"",""DQ_VileVials:Task_GetQuest"",""WQ_WoodsEdgeUprising:Task_GetQuest"",""WQ_SpaceInvaders:Task_GetQuest"",""WQ_GoblinGreed:Task_GetQuest"",""WQ_ViciousCycle:Task_GetQuest"")","","","","","","False","False","0.000000",""
PoisonSample,"NSLOCTEXT(""QuestObjectTable"", ""B2C1239A4457B688D18E06A162993F69"", ""Concentrated Poison Sample"")","","","(""DQ_PoisonControl:Task_GetPoison"")","","","","False","False","0.000000",""
