---,bShouldDrop,bShowInResources,bSavePerAccount,DisplayName,Description,IconText,PickUpUIDuration,Icon,Items,ValueMin,ValueMax,bAllowAddToAllCheat,Tag,QualityTags,TypeText,bUseItemFrame,PreviewActor,Notes
StoneBlock_T1_Sandstone,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""55917FBA42BCB429122E53AE40F78BEC"", ""Stone Block"")","NSLOCTEXT(""CurrencyTable"", ""8AF0D799424A25786D58AB9E2740A8B3"", ""Refined from Stone Rocks at a Stonemason."")","","5.000000","/Game/UI/Textures/CraftingIcons/Stone_T1_Sandstone_Block_icon.Stone_T1_Sandstone_Block_icon","((RowName=""Currency_StoneBlock_T1_Sandstone_01""),(RowName=""Currency_StoneBlock_T1_Sandstone_05""),(RowName=""Currency_StoneBlock_T1_Sandstone_10""),(RowName=""Currency_StoneBlock_T1_Sandstone_25""),(RowName=""Currency_StoneBlock_T1_Sandstone_100""))","0.000000","0.000000","True","(TagName="""")","(GameplayTags=)","","False","None",""
StoneBlock_T1_Flint,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""BA69157C4D47ABECD004D285DE09685E"", ""Flint Block"")","NSLOCTEXT(""CurrencyTable"", ""6A0E2AA34D26D2F625ADBA94FF25C828"", ""Refined from Flint Rocks at a Stonemason."")","","5.000000","/Game/UI/Textures/CraftingIcons/Stone_T1_Sandstone_Block_icon.Stone_T1_Sandstone_Block_icon","((RowName=""Currency_StoneBlock_T1_Flint_01""),(RowName=""Currency_StoneBlock_T1_Flint_05""),(RowName=""Currency_StoneBlock_T1_Flint_10""),(RowName=""Currency_StoneBlock_T1_Flint_25""),(RowName=""Currency_StoneBlock_T1_Flint_100""))","0.000000","0.000000","False","(TagName="""")","(GameplayTags=)","","False","None",""
Gold,"True","False","True","NSLOCTEXT(""CurrencyTable"", ""1445C5C846FB5684241894AF030E400F"", ""Gold"")","","","5.000000","/Game/UI/Textures/LooseIcons/icon_gold.icon_gold","((RowName=""Currency_Gold_01""),(RowName=""Currency_Gold_05""),(RowName=""Currency_Gold_10""),(RowName=""Currency_Gold_25""),(RowName=""Currency_Gold_100""))","0.000000","20000.000000","True","(TagName=""Currency.Gold"")","(GameplayTags=)","","False","None",""
SkillPoints,"True","False","False","NSLOCTEXT(""CurrencyTable"", ""5168E1904727CA9F815658B74D4AE610"", ""Skill Points"")","NSLOCTEXT(""CurrencyTable"", ""1D35E6FC4B91AF353329DAAED2369B6A"", ""Used to purchase new skills for your character."")","","5.000000","/Game/UI/Textures/LooseIcons/icon_skillpoints.icon_skillpoints","","0.000000","3000.000000","True","(TagName=""Currency.SkillPoint"")","(GameplayTags=((TagName=""ItemQuality.Magic"")))","","True","None",""
BloodGems,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""6444A4464136CF4FA682FD9A7FC1EFBF"", ""Blood Gem"")","","","10.000000","/Game/Skills/textures/PlaceholderSkillIcons/Placeholder_RangedSkill03.Placeholder_RangedSkill03","((RowName=""Item_BloodGem""))","0.000000","0.000000","False","(TagName="""")","(GameplayTags=)","","False","None",""
RareWood,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""13DF936941F87AD5384E6784715E4E71"", ""Sacred Hardwood"")","NSLOCTEXT(""CurrencyTable"", ""B5D26AF44AB76578F0A86B9D5A553360"", ""Special wood rarely harvested from any tree."")","","10.000000","/Game/UI/Textures/CraftingIcons/Stone_Tl_RareWood_icon.Stone_Tl_RareWood_icon","((RowName=""Currency_RareWood""))","0.000000","0.000000","True","(TagName="""")","(GameplayTags=)","","False","/Game/Items/Harvesting/HarvestingItem_RareWood_T1.HarvestingItem_RareWood_T1_C",""
RareMetal,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""C306BA884CA1A6F984F324A297124CDD"", ""Ember Ore"")","NSLOCTEXT(""CurrencyTable"", ""9F74C9634D06A495449C5F9194C4EED5"", ""Special metal rarely mined from any vein."")","","10.000000","/Game/UI/Textures/CraftingIcons/Stone_Tl_RareMetal_icon.Stone_Tl_RareMetal_icon","((RowName=""Currency_RareMetal""))","0.000000","0.000000","True","(TagName="""")","(GameplayTags=)","","False","None",""
RareStone,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""A777D9DB4B0BFE673A7AA5A76EA6EF28"", ""Comet Fragment"")","NSLOCTEXT(""CurrencyTable"", ""4435A77F4A9F1E2A3B1FA2AD86BE6974"", ""Special stone rarely mined from any boulder."")","","10.000000","/Game/UI/Textures/CraftingIcons/Stone_Tl_RareStone_icon.Stone_Tl_RareStone_icon","((RowName=""Currency_RareStone""))","0.000000","0.000000","True","(TagName="""")","(GameplayTags=)","","False","None",""
StashTabs,"False","False","True","NSLOCTEXT(""CurrencyTable"", ""77C38F1C4CCA22EDE9360B82BB445A15"", ""Shared Stash Tab"")","NSLOCTEXT(""CurrencyTable"", ""8B0CD7864EC19ADAF4562AA13777642B"", ""\""This loot sparks joy. I will keep it all!\"" - Karie Mondo"")","","10.000000","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/Stash.Stash","","3.000000","10.000000","False","(TagName="""")","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","NSLOCTEXT(""CurrencyTable"", ""C59997A2407B4A192E4905858BE975DB"", ""Account Upgrade"")","True","/Game/UI/Store/blueprints/StashTab_preview.StashTab_preview_C",""
RelicStorageSlots,"False","False","True","NSLOCTEXT(""CurrencyTable"", ""847E460E495E7CEDE70C97BAA015997B"", ""Relic Weapon Slot"")","NSLOCTEXT(""CurrencyTable"", ""CF75F7D74F1658B87D3CF9828D755929"", ""These relic vaults were designed specially for expedition forces to help keep their arsenal at peak performance. "")","","10.000000","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/relic_slot.relic_slot","","5.000000","0.000000","False","(TagName="""")","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","NSLOCTEXT(""CurrencyTable"", ""E7BEAA164AD2088DF7DCA8A8910EFE1B"", ""Account Upgrade"")","True","/Game/UI/Store/blueprints/RelicSlot_preview.RelicSlot_preview_C",""
CharacterSlot,"False","False","True","NSLOCTEXT(""CurrencyTable"", ""0A51008A42519C2A3F0AEBAC12DE3C76"", ""Character Slot"")","NSLOCTEXT(""CurrencyTable"", ""3BA1E0DE4E44DE5D524C4F905FF34733"", ""If you want to go far, bring many powerful allies. "")","","10.000000","/Game/UI/Store/textures/character_slot_icon.character_slot_icon","","10.000000","0.000000","False","(TagName="""")","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","NSLOCTEXT(""CurrencyTable"", ""4AA0157C4AF5A0164E4330B7F2F8A70A"", ""Account Upgrade"")","True","/Game/UI/Store/blueprints/CharacterSlot_preview.CharacterSlot_preview_C","If we increase this number, we'll need to run a migration!"
CharacterSlotOffline,"False","False","True","NSLOCTEXT(""CurrencyTable"", ""0A51008A42519C2A3F0AEBAC12DE3C76"", ""Character Slot"")","NSLOCTEXT(""CurrencyTable"", ""3BA1E0DE4E44DE5D524C4F905FF34733"", ""You have chosen to be on your own"")","","10.000000","/Game/UI/Store/textures/character_slot_icon.character_slot_icon","","25.000000","0.000000","False","(TagName="""")","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","NSLOCTEXT(""CurrencyTable"", ""4AA0157C4AF5A0164E4330B7F2F8A70A"", ""Account Upgrade"")","True","/Game/UI/Store/blueprints/CharacterSlot_preview.CharacterSlot_preview_C","This number can change without consequence other than player education"
RealMoneyBalance_Placeholder,"False","False","False","NSLOCTEXT(""CurrencyTable"", ""254B6770475493CD7B00638EBC23D146"", ""Wings"")","","","10.000000","/Game/UI/Textures/LooseIcons/icon_Lux.icon_Lux","","0.000000","0.000000","False","(TagName="""")","(GameplayTags=)","","False","None",""
Fame,"True","False","False","NSLOCTEXT(""CurrencyTable"", ""47B8388E480C8BAAD4B277AE48C54A6A"", ""Fame"")","","","10.000000","/Game/UI/Textures/LooseIcons/icon_Fame.icon_Fame","((RowName=""Currency_Fame_01""),(RowName=""Currency_Fame_02""),(RowName=""Currency_Fame_05""),(RowName=""Currency_Fame_10""),(RowName=""Currency_Fame_25""))","0.000000","0.000000","False","(TagName="""")","(GameplayTags=)","","False","None",""
ContractTestToken1,"False","False","True","NSLOCTEXT(""CurrencyTable"", ""4AAE29154D1048845CCABC9324C01D1A"", ""Contract Test Token 1"")","NSLOCTEXT(""CurrencyTable"", ""24BE165A42C683D37CA7CA869CE3C113"", ""Use this token to unlock the Premium Pass for Contract 0."")","NSLOCTEXT(""CurrencyTable"", ""4738AC814AF6F09B2C4EDE98D5E07EC3"", ""0-1"")","2.000000","/Game/UI/Textures/LooseIcons/ICN_Token.ICN_Token","","0.000000","0.000000","False","(TagName="""")","(GameplayTags=)","","False","None","Unlocks premium access to one season 1-3."
ContractTestToken2,"False","False","True","NSLOCTEXT(""CurrencyTable"", ""2F238842407DF5AE2A7CF4BCD0CFA874"", ""Contract Test Token 2"")","NSLOCTEXT(""CurrencyTable"", ""2DEB7B8946DE3CF799C594951005B166"", ""Use this token to unlock the Premium Pass for Contract 0."")","NSLOCTEXT(""CurrencyTable"", ""65ACCD9148EAD10CA041CEA8B2A24739"", ""0-2"")","2.000000","/Game/UI/Textures/LooseIcons/ICN_Token.ICN_Token","","0.000000","0.000000","False","(TagName="""")","(GameplayTags=)","","False","None",""
ContractToken_S1-3,"False","True","True","NSLOCTEXT(""CurrencyTable"", ""1FC61FC24D497C7171291CA811C4FDCF"", ""Contract 1-3 Token"")","NSLOCTEXT(""CurrencyTable"", ""083D74174288A240552296B6D0CAF576"", ""Redeem this token for a premium upgrade in Contract Seasons 1, 2 or 3"")","NSLOCTEXT(""CurrencyTable"", ""72E0BAB34C5B709D7E0525AE2B05904E"", ""1-3"")","2.000000","/Game/UI/Textures/LooseIcons/ICN_Token.ICN_Token","","0.000000","0.000000","False","(TagName="""")","(GameplayTags=)","","False","None","Part of early access purchaser benefits"
AlphaWolfToken,"False","True","True","NSLOCTEXT(""CurrencyTable"", ""98E81895444836285588589E8DAE10D6"", ""Wayfinder Wolf Token"")","","","2.000000","/Game/UI/Textures/LooseIcons/wolf_mana_portrait.wolf_mana_portrait","","0.000000","0.000000","False","(TagName="""")","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","","False","None",""
BonusLux,"False","False","True","","NSLOCTEXT(""CurrencyTable"", ""88D1D27B4F68EF3A0EB6BEA80E79A869"", ""The displayed lux is perfect world lux + this"")","","2.000000","None","","0.000000","0.000000","True","(TagName="""")","(GameplayTags=)","","False","None",""
MagicEssence,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""42C3232D4AC5B7F6F3A3CAA54DC243EE"", ""Magic Essence"")","NSLOCTEXT(""CurrencyTable"", ""052DA44742D7D3586EE8EFAAB2178268"", ""Holds a small amount of power."")","","2.000000","/Game/UI/Textures/LooseIcons/icon_Essence_Magic.icon_Essence_Magic","((RowName=""MagicEssence""))","0.000000","0.000000","True","(TagName=""Item.Essence.Magic"")","(GameplayTags=)","","False","None",""
RareEssence,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""CD02E84840FB07DBC86347AC288E9493"", ""Rare Essence"")","NSLOCTEXT(""CurrencyTable"", ""3EE9783A49CF36A292D90E99743CC895"", ""Holds a decent amount of power."")","","2.000000","/Game/UI/Textures/LooseIcons/icon_Essence_Rare.icon_Essence_Rare","((RowName=""RareEssence""))","0.000000","0.000000","True","(TagName=""Item.Essence.Rare"")","(GameplayTags=)","","False","None",""
LegendaryEssence,"True","True","True","NSLOCTEXT(""CurrencyTable"", ""561E5F63442B6488AAD4298E64B54BAC"", ""Legendary Essence"")","NSLOCTEXT(""CurrencyTable"", ""AA1D5C72454871582A025A908D2D42EF"", ""Holds an extreme amount of power."")","","2.000000","/Game/UI/Textures/LooseIcons/icon_Essence_Legendary.icon_Essence_Legendary","((RowName=""LegendaryEssence""))","0.000000","0.000000","True","(TagName=""Item.Essence.Legendary"")","(GameplayTags=)","","False","None",""
HyvidFortSacrifice,"False","True","False","NSLOCTEXT(""CurrencyTable"", ""BC04D73C4B338101DA6B8FB224DD9804"", ""Hyvid Paste"")","NSLOCTEXT(""CurrencyTable"", ""52E1E34040E89868637A98BB056F8750"", ""Collect from Hyvid. Feed to the Hyvidsbane in your fort."")","","2.000000","/Game/UI/Textures/LooseIcons/Icon_HyvidPaste.Icon_HyvidPaste","((RowName=""HyvidSacrificeItem""))","0.000000","0.000000","True","(TagName=""Currency.Monster.Hyvid"")","(GameplayTags=)","","False","None",""
GoblinFortSacrifice,"False","True","False","NSLOCTEXT(""CurrencyTable"", ""2A96A55D4501D87EF310B6B36DAABA71"", ""Goblin Fury"")","NSLOCTEXT(""CurrencyTable"", ""B9481AAE4B6B3BE72E86AEB93B4F81D9"", ""Collect from goblins. Feed to the Worldgnasher in your fort."")","","2.000000","/Game/UI/Textures/LooseIcons/Icon_GoblinRage.Icon_GoblinRage","((RowName=""GoblinSacrificeItem""))","0.000000","0.000000","True","(TagName=""Currency.Monster.Goblin"")","(GameplayTags=)","","False","None",""
AutomatonFortSacrifice,"False","True","False","NSLOCTEXT(""CurrencyTable"", ""CAAD287A48FFA83ED6BE1ABEED4A406D"", ""Automaton Gizmo"")","NSLOCTEXT(""CurrencyTable"", ""ABC59DED44CD25E5E5E16AB05EA54BA4"", ""Collect from automata. Feed to the Fortunauto in your fort."")","","2.000000","/Game/UI/Textures/LooseIcons/icon_Automaton_Gismo.icon_Automaton_Gismo","((RowName=""AutomatonSacrificeItem""))","0.000000","0.000000","True","(TagName=""Currency.Monster.Automaton"")","(GameplayTags=)","","False","None",""
EmberCore,"False","True","True","NSLOCTEXT(""CurrencyTable"", ""B0FE783F43587DCFD9C86C9B93692FB0"", ""Ember Core"")","NSLOCTEXT(""CurrencyTable"", ""491F9BD54010DC1129E547A5DB132F79"", ""Collect from Bosses. Use to craft Relics."")","","10.000000","/Game/UI/Textures/LooseIcons/icon_RelicCurrency.icon_RelicCurrency","((RowName=""EmberCore""),(RowName=""EmberCore_Tutorial""))","0.000000","0.000000","True","(TagName=""Currency.EmberCore"")","(GameplayTags=)","","False","None",""
LegendaryAffixUnlockedDisplay,"False","False","False","NSLOCTEXT(""CurrencyTable"", ""5B7CA45A4516FDE48F9581A0A253A888"", ""Legendary Skill Unlock: {0}"")","","","2.000000","/Game/UI/Textures/LooseIcons/icon_Legendarium.icon_Legendarium","","0.000000","0.000000","False","(TagName="""")","(GameplayTags=)","NSLOCTEXT(""CurrencyTable"", ""9BEC38CF450178F56A6094B18ED41BED"", ""Legendary Skill Unlock"")","False","None","Display placeholder for legendary skill unlocks. The actual value comes from a trait."
