---,QuestRewardText,QuestRewardIconGameplayTag,RequiredPlayerGameplayTags,QuestObjectFilter,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,bRetryIfPickIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
LootChest_Normal,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","0","0","False","False","GotoItemSpawnRow","Gear","3","GotoItemSpawnRow","Gold","7","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
LootChest_Potion,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","1","0","False","False","GotoItemSpawnRow","Potion","3","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
LootChest_Rare,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Each","0","0","False","False","GotoItemSpawnRow","Gear_MagicMin","1","GotoItemSpawnRow","Potion","1","GotoItemSpawnRow","Gold","1","GotoItemSpawnRow","Chest_Luck_Gear","1","GotoItemSpawnRow","Chest_Luck_Potion","1","GotoItemSpawnRow","Chest_Luck_Gold","1","GotoItemSpawnRow","Champ_Luck_LifeboundScroll","1","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Chest_Luck_Gear,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gear_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Chest_NoGear;Chest_Gear-Item.Gear","(None,None)",""
Chest_Luck_Potion,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Potion_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Chest_NoPotion;Chest_Potion-Item.Potion","(None,None)",""
Chest_Luck_Gold,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gold_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Chest_NoGold;Chest_Gold-Item.Currency.Gold","(None,None)",""
BossChest,"NSLOCTEXT(""ItemSpawnTable"", ""0421E8934EF2E69C8AFFF1858543FE37"", ""Boss Reward"")","(TagName=""Item.RewardChest"")","(GameplayTags=)","(RowName="""")","Each","0","0","False","False","GotoItemSpawnRow","BossChest_Normal","1","GotoItemSpawnRow","Champ_Luck_Gear","1","GotoItemSpawnRow","Champ_Luck_Potion","1","GotoItemSpawnRow","Champ_Luck_Gold","1","GotoItemSpawnRow","PhaseDungeon_Luck_LifeboundScroll","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
BossChest_Normal,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Each","0","0","False","False","GotoItemSpawnRow","Gear_RareMin","1","GotoItemSpawnRow","Gear_MagicMin","1","GotoItemSpawnRow","Gear","2","GotoItemSpawnRow","Gold","4","GotoItemSpawnRow","Potion","1","GotoItemSpawnRow","LifeboundScroll","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Clickable,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","20","0","False","False","GotoItemSpawnRow","Gear","5","GotoItemSpawnRow","Gold","75","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Clickable_Wood,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","20","0","False","False","GotoItemSpawnRow","Gear","5","GotoItemSpawnRow","Gold","33","GotoItemSpawnRow","Clickable_T1_Ash_Bonus","20","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Clickable_T1_Ash_Bonus,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","ItemAddCurrency","WoodLog_T1_Ash:1-2","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Clickable_Stone,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","20","0","False","False","GotoItemSpawnRow","Gear","5","GotoItemSpawnRow","Gold","33","GotoItemSpawnRow","Clickable_T1_Sandstone_Bonus","20","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Clickable_T1_Sandstone_Bonus,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","ItemAddCurrency","StoneRock_T1_Sandstone:1-2","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Clickable_Metal,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","20","0","False","False","GotoItemSpawnRow","Gear","4","GotoItemSpawnRow","Gold","33","GotoItemSpawnRow","Clickable_T1_Tin_Bonus","20","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Clickable_T1_Tin_Bonus,"","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","ItemAddCurrency","MetalNugget_T1_Tin:1-2","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Breakable,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","50","0","False","False","GotoItemSpawnRow","Gear","3","GotoItemSpawnRow","Gold","47","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
PickLoot_Popcorn,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","0","0","False","False","GotoItemSpawnRow","Gear","2000","GotoItemSpawnRow","Gold","6175","GotoItemSpawnRow","Potion","1800","AddItemByName","Consumable_Scroll_AddLifebound","25","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
PickLoot,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","0","0","False","False","GotoItemSpawnRow","Gear","2000","GotoItemSpawnRow","Gold","7000","GotoItemSpawnRow","Potion","900","AddItemByName","Consumable_Scroll_AddLifebound","100","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
PickLoot_Tough,"","(TagName="""")","(GameplayTags=)","(RowName="""")","Pick","0","0","False","False","GotoItemSpawnRow","Gear","2000","GotoItemSpawnRow","Gold","7080","GotoItemSpawnRow","Potion","720","AddItemByName","Consumable_Scroll_AddLifebound","200","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Gold,"NSLOCTEXT(""ItemSpawnTable"", ""04C83E9C411860F001A8B1AF88830E90"", ""Random Amount of Gold"")","(TagName=""Item.Currency.Gold"")","(GameplayTags=)","(RowName="""")","Pick","0","0","False","False","GotoItemSpawnRow","Gold_1","25","GotoItemSpawnRow","Gold_2","10","GotoItemSpawnRow","Gold_3","3","GotoItemSpawnRow","Gold_4","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Gold_1,"NSLOCTEXT(""ItemSpawnTable"", ""5E7773444D6B39B1215F8B871C011334"", ""Handful of Gold"")","(TagName=""Item.Currency.Gold"")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","ItemAddCurrency","Gold:2-4","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_2,"NSLOCTEXT(""ItemSpawnTable"", ""051A9015490C73F876BA108D92E1F8DB"", ""Pile of Gold"")","(TagName=""Item.Currency.Gold"")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","ItemAddCurrency","Gold:3-6","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_3,"NSLOCTEXT(""ItemSpawnTable"", ""910DD46649B6F122093C39B25FD3E412"", ""Mound of Gold"")","(TagName=""Item.Currency.Gold"")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","ItemAddCurrency","Gold:4-7","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_4,"NSLOCTEXT(""ItemSpawnTable"", ""83F1A7584371A39ED2F457A2B53588A2"", ""Mountain of Gold"")","(TagName=""Item.Currency.Gold"")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","ItemAddCurrency","Gold:6-9","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_20,"NSLOCTEXT(""ItemSpawnTable"", ""728C24B7486C372CAB2374B773C40607"", ""20 Gold"")","(TagName=""Item.Currency.Gold"")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","ItemAddCurrency","Gold:20","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_50,"NSLOCTEXT(""ItemSpawnTable"", ""41F9DCAE4ACE6CE3B4D294938DA52915"", ""50 Gold"")","(TagName=""Item.Currency.Gold"")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","ItemAddCurrency","Gold:50","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_200,"NSLOCTEXT(""ItemSpawnTable"", ""D1ECE3924E2B0E997E7CFDB19413ED2B"", ""200 Gold"")","(TagName=""Item.Currency.Gold"")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","ItemAddCurrency","Gold:200","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_500,"NSLOCTEXT(""ItemSpawnTable"", ""817B58064EF0ADD98A4866B7E5D76630"", ""500 Gold"")","(TagName=""Item.Currency.Gold"")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","ItemAddCurrency","Gold:500","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Gold_1000,"NSLOCTEXT(""ItemSpawnTable"", ""A6565A074A95DEF19369C9929E676BFB"", ""1,000 Gold"")","(TagName="""")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","ItemAddCurrency","Gold:1000","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_Lucky,"","(TagName=""Item.Currency.Gold"")","(GameplayTags=)","(RowName="""")","All","0","0","False","False","ItemAddAffix","Lucky","1","GotoItemSpawnRow","Gold_Lucky_Roll","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
