---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,bRetryIfPickIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,EntryType12,Entry12,WeightOrCount12,DataCurves,Entries,Notes
MagicChallenge_Tier2,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Negative","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Positive","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
RareChallenge_Tier2,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Negative","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Positive","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
NormalChallenge_Tier3,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Negative","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Positive","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MagicChallenge_Tier3,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Negative","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Positive","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
RareChallenge_Tier3,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Negative","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Positive","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
OrdrakChallenge,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon_Checkpoint_Ordrak","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Boss","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
BigBadChallenge,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon_Checkpoint_BigBads","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Boss","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
BossChallenge,"All","0","0","False","False","GoToDungeonSpawnRowByQuality","BossChallenge_Normal|Normal","1","GoToDungeonSpawnRowByQuality","BossChallenge_Magic|Magic","1","GoToDungeonSpawnRowByQuality","BossChallenge_Rare|Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
BossChallenge_Normal,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon_Checkpoint","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Boss;ItemQuality.Normal","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
BossChallenge_Magic,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon_Checkpoint","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Boss;ItemQuality.Magic","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
BossChallenge_Rare,"All","0","0","False","False","AddUniqueMapworksRowByName","EndlessDungeon_Checkpoint","1","AddUniqueMapworksRowByFilter","Dungeon.Affix.Boss;ItemQuality.Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
