---,BackgroundWidget,ForegroundWidget,Text,PlayerClassAny,AreaAny,SpokeTagsAny,RegionTagsAny,PrimaryElementTagsAny,AreaLoadingScreenTagsAny,CompletedQuestsAny,UncompletedQuestsAny,HasQuestsAny,CompletedQuestTasksAny,HasQuestTasksAny,Weight,Notes
Keybind_FortEditMenu,"None","None","NSLOCTEXT(""[EF45CE9A42E1C2109AAA4DA845845F2D]"", ""0C1BDDD542AA1338ED1F76967A61F77F"", ""Press F or Up on the D-Pad while in your fort to customize your fort."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""TQ_FortIntro"")","","","","","1",""
Keybind_PetToTown,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""DF08161C4CFBEC7172074C84D0E2EE9A"", ""Use the Send Pet to Town button in the Pet Inventory to send your pet to town to sell items."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_PetInventory,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""7799C8E74621756E40B274B4EBE852B6"", ""Press X with an item selected from your inventory to move an item to your pet\'s inventory tab."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_Party,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""246122C84E528A758BD753A0A80FB728"", ""Press P to open the party menu."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_Stats,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""AC5FFAC549975DA5D30221941DADEC01"", ""Press C while in the inventory menu to toggle your stats."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Keybind_ItemDestroy,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""5D7DF391403233429912D1B474783AA5"", ""Hold D to destroy an item from your inventory. This action cannot be undone!"")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Info_Waypoints,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""ED9D415345E220925E1DD4B384C58F18"", ""Travel quickly between unlocked waypoints found throughout the world."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Info_Fame,"None","None","NSLOCTEXT(""[EF45CE9A42E1C2109AAA4DA845845F2D]"", ""8EA7131E48DDFC96ADEDE086A1210C85"", ""Fame can be earned from completing quests, killing champions and bosses."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Info_Reliquary,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""4B4B25A04507094EB783FCA8F8BF4A85"", ""Build a Reliquary in your fort to craft and store your Relics."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""TQ_FortIntro"")","","","","","1",""
Info_RelicWeaponLevel,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""6D89F32544CD97EC205CD3A6EFAE5EC7"", ""Relics become more powerful per level."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Info_RelicWeaponSkill,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""0AA071F841C58F48CE1DB1B68A373714"", ""Unique Relic powers can be unlocked as your experience with a Relic increases."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Info_Sawmill,"None","None","NSLOCTEXT(""[EF45CE9A42E1C2109AAA4DA845845F2D]"", ""37E7DB7F4752C4906E8B2C838767A4C3"", ""Build a Sawmill in your fort to craft Wood Planks from Wood Logs you\'ve gathered."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""TQ_FortIntro"")","","","","","1",""
Info_Smelter,"None","None","NSLOCTEXT(""[EF45CE9A42E1C2109AAA4DA845845F2D]"", ""4B0879B742DDF1FA21A7B58D7BD0F56D"", ""Build a Smelter in your fort to craft Metal Bars from Metal Nuggets you\'ve gathered."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""TQ_FortIntro"")","","","","","1",""
Info_Stonemason,"None","None","NSLOCTEXT(""[EF45CE9A42E1C2109AAA4DA845845F2D]"", ""3AAC4D5A44E168F1C3275980C5DDAED6"", ""Build a Stonemason in your fort to craft Stone Blocks from Stone Rocks you\'ve gathered."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""TQ_FortIntro"")","","","","","1",""
Info_FortDecorations,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""B6ABC17644BED970A194D18663FE9AD3"", ""Other players can randomly encounter your fort in public passages. Customize your fort by building and placing decorations."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""TQ_FortIntro"")","","","","","1",""
Info_Lifebound,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""10724B7746666B6C4347A1A0FB1CDF1B"", ""Lifebound items have slightly better affixes but are immediately destroyed if the character dies. "")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Info_Unbinding,"None","None","NSLOCTEXT(""[EF45CE9A42E1C2109AAA4DA845845F2D]"", ""C074F1B04547B710700A4E9FABB3C0E2"", ""Boss Chests may drop a Scroll of Unbinding. Use this on a Lifebound item to remove its bind to your lifeforce, allowing you to keep the powerful item, even if you die."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Info_Respectacles,"None","None","NSLOCTEXT(""[EF45CE9A42E1C2109AAA4DA845845F2D]"", ""479616B8472BE88E5B04278641156162"", ""Gain Respectacles by leveling up, defeating bosses or gaining contract levels. These allow you to refund a skill point at a skill station in a fort."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_RelicWeapon,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""716B4990408B29AB08B9E58CC0EC2FDA"", ""Relics, forged by the fallen Dwarven empire, are considerably more powerful than standard weapons. Due to their magical and semi-corporeal composition, they can only be used for brief moments at a time."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_Netherim_000,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""C8A37E6A41D216E9EE58408EE44AC244"", ""The Netherim lurk in a realm beyond, always seeking to tear their way into the world at its most vulnerable points."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_Netherim_001,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""DC6A8B5D443372DACA525399D6012DAF"", ""The Netherim have infiltrated civilizations and ranks of power inside Nether-hosts to manipulate and build an ember-blighted uprising."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_Goblins_000,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""DED8097045DC0B8DFD8F56964F9BF5C1"", ""Humans and goblins have a long history of hatred and distrust. The shores on both the human and goblin side bear the marks of past battles and skirmishes."")","","","(GameplayTags=((TagName=""Region.GoblinIsle.GoblinForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_Hyvid_000,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""34ED1B354382139A0114288C245FCAC8"", ""The Hyvid Citadel is the heart of the Hyvid colony, a bustling cave that houses the Hyvid Queen."")","","","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_Hyvid_001,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""Lore_Hyvid_001_Text"", ""The Hyvid often come into conflict with the goblins, who have taken to building a firewall across the border between the goblin forest and the infested forest."")","","","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_Hyvid_002,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""Lore_Hyvid_002_Text"", ""The \""Charger Bug\"" is not a member of the Hyvid species, but is a symbiotic species that uses its destructive strength to smash through the environment, providing places for Hyvid to build."")","","","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_Hyvid_003,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""Lore_Hyvid_003_Text"", ""The Hyvid in the infested forest originally arrived on Zul’Rasha over 100 years ago, adrift on a barge-like chunk of a larger hive that broke off of a nearby Hyvid island colony."")","","","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_Hyvid_004,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""Lore_Hyvid_004_Text"", ""When a Hyvid colony has exceeded its land mass, a portion of the hive mass is made to break away and float on the seas to form a new colony."")","","","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_DM_000,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""3522A29043DE89013FEE498927476160"", ""Initially an eschatological cult, the Order of Dusk arose in response to the strange behavior of ember around the Torchlight site."")","((RowName=""DuskMageFemale""),(RowName=""DuskMageMale""))","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_DM_001,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""C39DE016454E76D6E68348BC856A6898"", ""Dusk Mages rely on Mana, using Dark and Light skills to build up energy. When one type of energy is full, use a skill of the opposite type to trigger a buff."")","((RowName=""DuskMageFemale""),(RowName=""DuskMageMale""))","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_RM_000,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""6BC58F28405C55F2C640BF8A5EB935C0"", ""The Railmasters are the clever, technically-minded men and women of the Rail Kingdoms who learned to use the ancient Dwarven technologies for building rails and trains."")","((RowName=""RailmanFemale""),(RowName=""RailmanMale""))","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_RM_001,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""FF37AFC74E0A5749B1A270BE0DB30654"", ""Railmasters use Endurance for most skills. They can also place tracks to allow their train\'s abilities to support them in combat."")","((RowName=""RailmanFemale""),(RowName=""RailmanMale""))","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_FOR_000,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""54C3A9E34DED1D4C3BFE498FEFE2D1C1"", ""The Forged remained directionless in the cold and dark for hundreds of years until a group of human explorers stumbled into the ruins of Herzgart."")","((RowName=""Forged""))","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_FOR_001,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""57C01A044DE2F4C5EF3372B2E1A92C83"", ""The Forged builds up Heat and consumes Heat to use Vent skills. Venting at higher heat levels increases the effectiveness of the skill. "")","((RowName=""Forged""))","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","","","","1",""
Lore_Boss_Wideload_00,"/Game/UI/Loading/StaticLoadingScreenBackgroundGoblinForest.StaticLoadingScreenBackgroundGoblinForest_C","/Game/UI/Loading/StaticLoadingScreenForegroundWideload.StaticLoadingScreenForegroundWideload_C","NSLOCTEXT(""LoadingScreenTable"", ""7667EB7A4D5F6928ED2A01B9FA63A9E3"", ""The tales of a massive, terrible Goblin were no myth. Wideload is the scourge of the Goblin battlefields."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","(""GFQ_KillSiegeWeapons"")","","","10","Warp Out of Town"
Lore_Boss_Wideload_01,"/Game/UI/Loading/StaticLoadingScreenBackgroundGoblinForest.StaticLoadingScreenBackgroundGoblinForest_C","/Game/UI/Loading/StaticLoadingScreenForegroundWideload.StaticLoadingScreenForegroundWideload_C","NSLOCTEXT(""LoadingScreenTable"", ""4A974A31436F2D8F72294998AA6B98B5"", ""For years, Wideload has terrorized Imperial Soldiers. On the battlefield, he is unstoppable."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","(""GFQ_KillSiegeWeapons"")","","","10","Warp from Gob forest 1 - Gob forest 2"
Lore_Boss_Wideload_02,"/Game/UI/Loading/StaticLoadingScreenBackgroundGoblinForest.StaticLoadingScreenBackgroundGoblinForest_C","/Game/UI/Loading/StaticLoadingScreenForegroundWideload.StaticLoadingScreenForegroundWideload_C","NSLOCTEXT(""LoadingScreenTable"", ""5192647941CCB876FE93B7AE7E7F3BC9"", ""Wideload doesn’t usually start battles, he ends them. The only hope we have is to get him where he lives."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Loading.Wideload"")))","","","","","(""GFQ_KillSiegeWeapons:Task_FindSiegeWeaponDungeonEntrance"")","10","Warp from Gob Forest 2 - Gob Forest 3"
Lore_Boss_Wideload_03,"/Game/UI/Loading/StaticLoadingScreenBackgroundGoblinForest.StaticLoadingScreenBackgroundGoblinForest_C","/Game/UI/Loading/StaticLoadingScreenForegroundWideload.StaticLoadingScreenForegroundWideload_C","NSLOCTEXT(""LoadingScreenTable"", ""92807BF3492F1CAB81145B833F392905"", ""Wideload\'s Lair is rumored to lie deep within the caves of the Goblin Stash."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Loading.Wideload"")))","","","","(""GFQ_KillSiegeWeapons:Task_FindSiegeWeaponDungeonEntrance"",""GFQ_KillSiegeWeapons:Task_GoToDungeon"")","(""GFQ_KillSiegeWeapons:Task_GoToDungeon"")","10","Warp from Gob Forest 3 - Wideload’s Cave"
Lore_Boss_Wideload_04,"/Game/UI/Loading/StaticLoadingScreenBackgroundGoblinForest.StaticLoadingScreenBackgroundGoblinForest_C","/Game/UI/Loading/StaticLoadingScreenForegroundWideload.StaticLoadingScreenForegroundWideload_C","NSLOCTEXT(""LoadingScreenTable"", ""49F69A5A477655731BF517A05AA6E751"", ""Whoever vanquishes Wideload will earn the trust of all Imperial Soldiers. The reward for his death will be Wideload’s Ceremonial Shield, a trophy worthy of a hero."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Loading.Wideload"")))","","","","(""GFQ_KillSiegeWeapons:Task_SeeBoss"")","(""GFQ_KillSiegeWeapons:Task_SeeBoss"",""GFQ_KillSiegeWeapons:Task_KillBoss"",""GFQ_KillSiegeWeapons:Task_CollectGoblinMap"")","10","Warp from Wideload’s Cave - Wideload’s Lair"
Lore_Boss_Krronk,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""0B48D9C54887109D257448AA806746B7"", ""Recent seismic activity revealed evidence of deep, hollow caverns. Some say that a distinct \""krronk!\"" continues to echo throughout the caverns."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","(""HFQ_GettingKrronk"")","","","0",""
Lore_Boss_HyvidQueen_00,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""FB297B98484784031698CAA57B2802F2"", ""The Hyvid obeys Krru\'sha, their Hyvid queen above all else."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","(""HFQ_MotherKrrusha"")","","","0",""
Lore_Boss_HyvidQueen_01,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""C28CD4BA43B9EDFA717F22BCF43FE46A"", ""Although the Hyvid queen controls the Hive, otherworldly forces have taken ahold of its ruler, and a new usurper queen has taken its place."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(""HFQ_MotherKrrusha"")","","","","","0",""
Lore_Boss_Sadista_00,"None","None","NSLOCTEXT(""LoadingScreenTable"", ""DDFD6EE642C6D9BD3F3D6388BEE6827B"", ""Sadista has taken control of the Hyvid Capital, using the Hyvid queen as her puppet. Drive her out before the Hyvid overwhelms us all."")","","","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","","","(""HFQ_ShesLostControl"")","","","0",""
