---,SkillClass,CharacterTag,Animation,AnimationOverride,MaximumSkillLevel,MinimumSkillLevel,EmberWeaponUnlockLevel,bShowSkillLevel,GameplayTags,ExclusiveTags,RequiredSkillTab,RequiredPointsInSkillTab,TraitMode,TraitString,PerLevelDisplayTexts,PerLevelDisplayCategories,TraitCurve1,TraitCurve2,TraitCurve3,TraitCurve4,bCanNeverBeUnlocked,bHiddenBehindCheats,SkillPanelRow,SkillPanelColumn,TryStatusEffect,TryDuration,DefaultSkillSet,DefaultSkillSlot,Notes
Forged_Lodestone,"/Game/Skills/Blueprints/Forged/Skill_Forged_Lodestone.Skill_Forged_Lodestone_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Forged.Melee""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.Vent"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","1","Default","CooldownPctBySkillName|Forged_Lodestone=-.0425;ProcChance|HealthOnHitStun=.05","(NSLOCTEXT(""SkillsTable"", ""B94080D44E07A6416432C6B0E8AA90C3"", ""Vortex Bomb Cooldown""),NSLOCTEXT(""SkillsTable"", ""73BB9A3D4118659C733E7DA0A22F0697"", ""Chance to Heal 3% Health When Hitting Stunned Enemy""))","","PerLevelByOnes","PerLevelByOnes","None","None","False","False","1","0","(RowName="""")","30.000000","Default","Skill00",""
Forged_ShotgonneBlast,"/Game/Skills/Blueprints/Forged/Skill_Forged_CannonBlast.Skill_Forged_CannonBlast_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","1","Default","DamagePctBySkillName|Forged_ShotgonneBlast=0.0595;ForgedHeat.Regen.Multiplier=.04032","(NSLOCTEXT(""SkillsTable"", ""75F9FD6D454C7B5CFA4863A7C6CC4E7E"", ""Shotgonne Blast Damage""),NSLOCTEXT(""SkillsTable"", ""2EEB3C1F4C39CDC0ACCBA2AC7906BEB1"", ""Heat Dissipation""))","","PerLevelByOnes","PerLevelByOnes","None","None","False","False","1","0","(RowName=""TrySkill_Forged_ShotgonneBlast"")","30.000000","Default","Skill00",""
Forged_CycloneMode,"/Game/Skills/Blueprints/Forged/Skill_Forged_DashAttack.Skill_Forged_DashAttack_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Forged.Melee""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","10","Default","DamagePctBySkillName|Forged_CycloneMode=0.0806;CooldownPctBySkillTag|Skill.Emberweapon=-.0168","(NSLOCTEXT(""SkillsTable"", ""B0CB6AEC4A01DA1AEED2E6AB773D14BA"", ""Cyclone Mode Damage""),NSLOCTEXT(""SkillsTable"", ""8EB458D8405FDEC355537E9A7E4A6A87"", ""Relic Skill Cooldowns""))","","PerLevelByOnes","PerLevelByOnes","None","None","False","False","3","2","(RowName=""TrySkill_Forged_CycloneMode"")","30.000000","Default","Skill00",""
Forged_PoisonDart,"/Game/Skills/Blueprints/Forged/Skill_Forged_PoisonDart.Skill_Forged_PoisonDart_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","5","Default","DurationPctBySkillName|Forged_PoisonDart=0.051;DamagePctBySkillTag|Skill.Pet=0.0588","(NSLOCTEXT(""SkillsTable"", ""678BCA9945B635B1666588AD33D86E29"", ""Poison Dart Duration""),NSLOCTEXT(""SkillsTable"", ""DB7715B04FCAD3E11C62659976C73272"", ""Pet Skill and Attack Damage""))","","PerLevelByOnes","PerLevelByOnes","None","None","False","False","2","1","(RowName=""TrySkill_Forged_PoisonDart"")","30.000000","Default","Skill00",""
Forged_ServoDrivenUppercut,"/Game/Skills/Blueprints/Forged/Skill_Forged_ServoDrivenUppercut.Skill_Forged_ServoDrivenUppercut_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Forged.Melee"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","5","Default","BonusChancePctBySkillName|Forged_ServoDrivenUppercut=.085;CriticalHitChanceForType|Skill.Forged.Melee=0.0168","(NSLOCTEXT(""SkillsTable"", ""76AEC5EE4C86E323564045B4B27303FA"", ""Uppercut Stun Chance""),NSLOCTEXT(""SkillsTable"", ""6106757F42847C12F95ABBB63DBEEF55"", ""Melee Skill Crit Chance""))","","PerLevelByOnes","PerLevelByOnes","None","None","False","False","2","1","(RowName=""TrySkill_Forged_ServoDrivenUppercut"")","30.000000","Default","Skill00",""
Forged_SlugShot,"/Game/Skills/Blueprints/Forged/Skill_Forged_SlugShot.Skill_Forged_SlugShot_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Forged.Ranged"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","15","Default","CriticalHitChanceForType|Skill.Forged.Ranged.SlugShot=0.085;DurationPctBySkillName|Forged_RocketBarrage=0.084","(NSLOCTEXT(""SkillsTable"", ""12AFC33B483295AACD5279A74C04388E"", ""Slugshot Critical Hit Chance""),NSLOCTEXT(""SkillsTable"", ""68ED5FEC416E43FBCB982C9CDABA73D9"", ""Coal Launch Area Duration""))","","PerLevelByOnes","PerLevelByOnes","None","None","False","False","4","1","(RowName=""TrySkill_Forged_SlugShot"")","30.000000","Default","Skill00",""
Forged_MyBuddy,"/Game/Skills/Blueprints/Forged/Skill_MyBuddy.Skill_MyBuddy_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Forged.Melee"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","10","Default","BonusChancePctBySkillName|Forged_MyBuddy=.085;BlockChance=.01","(NSLOCTEXT(""SkillsTable"", ""F969FB3F47182345265460A3B6BBE919"", ""Increased bonus defense for Power Projection""),NSLOCTEXT(""SkillsTable"", ""FC86135442150B93FFF10CA04DC526C2"", ""Base block chance""))","","PerLevelByOnes","PerLevelByOnes","None","None","False","True","3","0","(RowName="""")","30.000000","Default","Skill00",""
Forged_VentFurnaceBlast,"/Game/Skills/Blueprints/Forged/Skill_Forged_VentFurnaceBlast.Skill_Forged_VentFurnaceBlast_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.Vent""),(TagName=""Skill.Forged.Ranged"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","15","Default","RandomBonusPctBySkillName|Forged_VentFurnaceBlast=0.125;CriticalHitChanceForType|Skill.Forged.Vent=.025","(NSLOCTEXT(""SkillsTable"", ""3D49002E4B928631A47C41A9EA76E3FD"", ""Furnace Blast Burn Duration""),NSLOCTEXT(""SkillsTable"", ""19237C9547735FD8EC3A30B44659E90D"", ""Increased critical hit chance for Vent skills""))","","PerLevelByOnes","PerLevelByOnes","None","None","False","False","4","2","(RowName="""")","30.000000","Default","Skill00",""
Forged_RammingRobot,"/Game/Skills/Blueprints/Forged/Skill_Forged_BashingCharge.Skill_Forged_BashingCharge_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.Melee"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","1","Default","DamagePctBySkillName|Forged_RammingRobot=0.0595;CooldownPctBySkillTag|Skill.Forged.Ranged=-.025","(NSLOCTEXT(""SkillsTable"", ""55C9881149FF7F38FBA909ADB1FAEF8E"", ""Ramming Robot Damage""),NSLOCTEXT(""SkillsTable"", ""D2AD01D044341333A694C29D8A0AFF3B"", ""Barrage Skill Cooldowns""))","","PerLevelByOnes","PerLevelByOnes","None","None","False","False","1","2","(RowName=""TrySkill_Forged_RammingRobot"")","30.000000","Default","Skill00",""
Forged_SonicPulse,"/Game/Skills/Blueprints/Forged/Skill_Forged_SonicPulse.Skill_Forged_SonicPulse_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.Ranged"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","10","Default","BonusChancePctBySkillName|Forged_SonicPulse=.025;RandomBonusPctBySkillName|Forged_RammingRobot=.0168","(NSLOCTEXT(""SkillsTable"", ""4653CBF744D4F32E1A2C0D886509276E"", ""Additional Stun Chance for Sonic Pulse""),NSLOCTEXT(""SkillsTable"", ""F33C28D94F94ADC4AF96DA8DE2AD5B89"", ""Damage Reduction in melee combat""))","","PerLevelByOnes","PerLevelByOnes","None","None","False","False","3","0","(RowName="""")","30.000000","Default","Skill00",""
Forged_FrackingStrike,"/Game/Skills/Blueprints/Forged/Skill_FrackingStrike.Skill_FrackingStrike_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.Melee""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","15","Default","DamagePctbySkillName|Forged_FrackingStrike=.084;DamagePctBySkillTag|Skill.EmberWeapon.Active=0.0168","(NSLOCTEXT(""SkillsTable"", ""769757134CEFF65698D8CF8498721213"", ""Damage for Fracking Strike""),NSLOCTEXT(""SkillsTable"", ""1D9D72684AFE89DFF26ED3B877F6A3C9"", ""Relic Active Skill Damage""))","","PerLevelByOnes","PerLevelByOnes","None","None","False","False","4","1","(RowName="""")","30.000000","Default","Skill00",""
Forged_VentHeatedSkin,"/Game/Skills/Blueprints/Forged/Skill_Forged_VentHeatedSkin.Skill_Forged_VentHeatedSkin_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Forged.Vent""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName="""")","0","Default","","","","None","None","None","None","False","True","0","0","(RowName="""")","30.000000","None","None",""
Forged_Vent,"/Game/Skills/Blueprints/Forged/Skill_Forged_VentTrail.Skill_Forged_VentTrail_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=)","(GameplayTags=)","(RowName="""")","0","Default","","","","None","None","None","None","True","True","0","0","(RowName="""")","30.000000","Default","Skill00",""
RM_BuildTurret,"/Game/Skills/Blueprints/Railman/Skill_LayTrack.Skill_LayTrack_C","Character.Player.Railman","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Railman.Turret""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName="""")","0","Default","DamagePctBySkillTag|Skill.Railman.Turret.Passive.LeadCar=.085;DamagePctBySkillTag|Skill.Railman.Turret.Passive=.0168","(NSLOCTEXT(""SkillsTable"", ""CC4749F0485BBA08E966749F9342DA85"", ""Train lead car passive damage""),NSLOCTEXT(""SkillsTable"", ""A8CEAEBC45047152CDDB0EAD5C81AC89"", ""Passive damage to all train cars""))","","PerLevelByOnes","PerLevelByOnes","None","None","False","False","0","1","(RowName="""")","30.000000","Default","Skill00",""
