---,TwoCC,TraitType,ParamTagParents,ValueMin,ValueMax,ParamType,bShouldPersist,bPerAccount,bIsCombatTrait,Notes
ExperienceValue,"CM","Value","(GameplayTags=)","","","None","False","False","False","The experience value granted by killing this monster"
ExperiencePercent,"CR","Value","(GameplayTags=)","","","None","True","False","False","The percent of the way through the current level that we have achieved"
ForgedHeat,"BJ","ActiveTrait","(GameplayTags=)","0","","None","True","False","False","The energy pool for the Forged - which skills push up and down"
ForgedVentTier,"BN","Value","(GameplayTags=)","","","None","True","False","False","What level of vent the forged is on"
GetHitChance,"AS","Value","(GameplayTags=)","","","None","True","False","False",""
GetHitCooldown,"AR","Value","(GameplayTags=)","","","None","True","False","False",""
GetHitThreshold,"AQ","Value","(GameplayTags=)","","","None","True","False","False",""
SizeScaleMultiplier,"BZ","Value","(GameplayTags=)","0","","None","True","False","False",""
HarvestingProc,"AK","Proc","(GameplayTags=)","","","None","True","False","False",""
HealthOnHit,"CG","Value","(GameplayTags=)","","","None","True","False","False",""
HealthOnHitVsTarget,"CH","Value","(GameplayTags=((TagName=""Character"")))","","","GameplayTag","True","False","False",""
HealthOnKillVsTarget,"CJ","Value","(GameplayTags=((TagName=""Character"")))","","","GameplayTag","True","False","False",""
HealthOnKill,"CI","Value","(GameplayTags=)","","","None","True","False","False",""
Hitpoints,"AA","ActiveTrait","(GameplayTags=)","","","None","True","False","False",""
Invulnerable,"BB","Value","(GameplayTags=)","","","None","False","False","False","Is the character invulnerable to all forms of damage?"
InvulnerableToElement,"BC","Value","(GameplayTags=((TagName=""Element"")))","","","GameplayTag","False","False","False","Is the character invulnerable to a specific type of elemental damage?"
KnockbackChance,"AY","Proc","(GameplayTags=)","","","None","True","False","True","Chance to cause knockback."
KnockbackResistance,"AZ","Value","(GameplayTags=)","","","None","True","False","False","% reduction in knockback distance. 1 means immune to knockback. Can be negative."
Level,"AG","Value","(GameplayTags=)","","","None","True","False","False",""
LightChargeBar,"BE","ActiveTrait","(GameplayTags=)","0","100","None","True","False","False","The Dusk Mage's charge bar for Light"
LootDropDisabled,"CD","Value","(GameplayTags=)","","","None","False","False","False",""
Luck,"BA","Value","(GameplayTags=((TagName=""Item"")))","0","","GameplayTag","True","False","False","Luck number for the Item Spawn range operation"
MovementDisabled,"CE","Value","(GameplayTags=)","","","None","False","False","False",""
MoveSpeedBonusMult,"AE","Value","(GameplayTags=)","","","None","True","False","False",""
NoCorpseOnDeath,"CU","Value","(GameplayTags=)","","","None","False","False","False","When this monster dies, skills cannot target their corpse."
NotSelectable,"BD","Value","(GameplayTags=)","","","None","False","False","False","Is the character prevented from being selected by skills, AI and players?"
ProcChance,"CO","Proc","(GameplayTags=)","","","Proc","False","False","True",""
ProcDamage,"CS","Value","(GameplayTags=)","","","Proc","False","False","True",""
RailmanEndurance,"BM","ActiveTrait","(GameplayTags=)","","5","None","True","False","False","The energy pool for the Railman"
RecentDamage,"AP","ActiveTrait","(GameplayTags=)","0","","None","True","False","False",""
RotationDisabled,"CL","Value","(GameplayTags=)","","","None","False","False","False",""
SkillLevel,"BQ","Value","(GameplayTags=)","","","Skill","True","False","False",""
StunChance,"AV","Proc","(GameplayTags=)","","","None","True","False","True","Chance to cause stuns."
StunDuration,"AW","Value","(GameplayTags=)","","","None","True","False","True","How long stuns caused by this character last. Uses the max value."
LifeBound,"CT","Value","(GameplayTags=)","0","","None","True","False","False","An item should be removed when the player dies."
BanishOnDeath,"CV","Value","(GameplayTags=)","","","None","False","False","False","Use for gameplay relevant kills that require instant visual removal of monsters. Banished monsters have no corpse."
Ammo,"DZ","ActiveTrait","(GameplayTags=)","","","None","True","False","False",""
EmberWeaponCharge,"DA","ActiveTrait","(GameplayTags=)","0","","None","True","False","False",""
EmberWeaponDrain,"DB","ActiveTrait","(GameplayTags=)","0","","None","True","False","False",""
WeaponSpeed,"DC","Value","(GameplayTags=)","","","None","True","False","False",""
PetSellItemsTime,"DD","Value","(GameplayTags=)","","","None","True","False","False",""
PetSkillUnlocked,"DJ","Value","(GameplayTags=)","0","1","Skill","True","True","False","Accountwide skill trait that keeps track of assignable pet skills."
PetRecoverTime,"DE","Value","(GameplayTags=)","","","None","True","False","False",""
Immortal,"DF","Value","(GameplayTags=)","","","None","True","False","False",""
ProcDuration,"DG","Value","(GameplayTags=)","","","Proc","True","False","True",""
DefenseVsProcDuration,"DH","Value","(GameplayTags=)","","","Proc","True","False","False",""
ZonewideKillCredit,"DI","Value","(GameplayTags=)","0","1","None","False","False","False","When this monster dies, grant kill credit serverwide."
ScatterShotCharge,"DS","ActiveTrait","(GameplayTags=)","0","1","None","False","False","True",""
DamageReduction,"DT","Value","(GameplayTags=)","0","1","None","True","False","True","Reduces all incoming damage by a given factor"
MapworksRowNames,"MR","Value","(GameplayTags=)","","","Mapworks","True","False","False",""
SpokeLevel,"DP","Value","(GameplayTags=((TagName=""Region"")))","0","","GameplayTag","True","False","True",""
SpokeExperience,"DQ","Value","(GameplayTags=((TagName=""Region"")))","","","GameplayTag","False","False","False",""
SpokeExperiencePercent,"DR","Value","(GameplayTags=((TagName=""Region"")))","","","GameplayTag","True","False","False",""
FortPropOption,"DU","Value","(GameplayTags=((TagName=""Character.Gender"")))","","","GameplayTag","True","False","False","Used by fort props to store options"
FameLevel,"DV","Value","(GameplayTags=)","1","","Contract","True","True","False",""
FamePercent,"DW","Value","(GameplayTags=)","0","1","Contract","True","True","False",""
ContractPaid,"DX","Value","(GameplayTags=)","","","Contract","True","True","False",""
EmberWeaponDrainBonus,"DY","Value","(GameplayTags=)","","","None","True","False","True",""
TraitsHaveLoaded,"EB","Value","(GameplayTags=)","","","None","False","False","False","Used internally to track trait replication."
DamageVulnerability,"EC","Value","(GameplayTags=)","0","1","None","True","False","False","Increases all incoming damage by a given factor (competes with DamageReduction)"
ContractStartedFree,"ED","Value","(GameplayTags=)","","","Contract","True","True","False",""
RMHammerSpinCharges,"EE","ActiveTrait","(GameplayTags=)","0","2","None","True","False","False",""
ShadowStepCharges,"EF","ActiveTrait","(GameplayTags=)","0","","None","True","False","False",""
LevelSkillPoints,"EG","Value","(GameplayTags=)","0","","None","True","False","False","Points used to buy and upgrade skills"
DurationPctBySkillName,"EH","Value","(GameplayTags=)","","","Skill","True","False","True","Adjusts something related to duration for skills - varies by skill"
TotalLevelSkillPoints,"EJ","Value","(GameplayTags=)","0","","None","True","False","False","This counts how many skill points we have given the player in total"
DurationPctBySkillTag,"EI","Value","(GameplayTags=((TagName=""Skill"")))","","","GameplayTag","True","False","True","Adjusts something related to duration for skills - varies by skill"
BonusChancePctBySkillName,"EK","Value","(GameplayTags=)","","","Skill","True","False","False","Give a bonus chance pct that we can call in a skill to add to an existing chance, for things like stun or crit chance."
RandomBonusPctBySkillName,"EL","Value","(GameplayTags=)","","","Skill","True","False","False",""
MiscBonusBySkillName,"EM","Value","(GameplayTags=)","","","Skill","True","False","True",""
CriticalHitChanceForType,"EO","Value","(GameplayTags=((TagName=""Skill"")))","","","GameplayTag","True","False","True",""
CriticalHitDamageForType,"EP","Value","(GameplayTags=((TagName=""Skill"")))","","","GameplayTag","True","False","True",""
