---,MonsterClass,MonsterGroup,DisplayName,LevelRangeString,ChampionLevelRangeString,HitpointPercent,DamagePercent,PickWeight,ItemSpawn,ChampionScaleMultiplier,ChampionHitpoints,ChampionDamage,ChampionSpeedBonusPercent,ChampionExperience,ChampionNameSpawnRow,RecentDamageDecayRate,GetHitThreshold,GetHitCooldown,GetHitChance,Drama,AudioDrama,AudioCategory,TraitString1,TraitString2,TraitString3,ExperiencePercent,DamageElement,MonsterGameplayTags,ItemSpawnGameplayTags,ChampionItemSpawnGameplayTags,ScaleMultiplier,PackSizeSmall,PackSizeMedium,PackSizeLarge,PackSizeExtraLarge,Defense,DefensePhysical,DefenseWater,DefenseFire,DefenseCold,DefensePoison,DefenseElectric,Skill00Cooldown,Skill00DamageFactor,Skill01Cooldown,Skill01DamageFactor,Skill02Cooldown,Skill02DamageFactor,Skill03Cooldown,Skill03DamageFactor,Skill04Cooldown,Skill04DamageFactor,Skill05Cooldown,Skill05DamageFactor,MonsterDescription,Bank,Notes
Automaton_Hulk_Physical_Boss,"/Game/Monsters/automatahulk/automatahulk_physical_boss_bp.automatahulk_physical_boss_bp_C","Automaton_Hulk_Physical","NSLOCTEXT(""MonstersTable"", ""4E96DA064EF29B430F9C9985EFFFF7C2"", ""Mechanical Emberhulk"")","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","3.500000","1.500000","0","Tough","2.000000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.450000","0.750000","0.500000","2.000000","2.000000","Brute","KnockbackResistance=1.0","","","2.580000","Element.Physical","Character.Monster.Automaton.Emberhulk;Character.Monster.Day;Character.Monster.Night;Character.Monster.VeryRare;Region.Global;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological;Character.Monster.HighHealth","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","4.000000","0.750000","12.000000","1.250000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""13EDF9584A12CF5FA991D48E9BA08872"", ""Emberhulk: Knockback Immune"")","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Hulk_Poison,"/Game/Monsters/automatahulk/automatahulk_poison_bp.automatahulk_poison_bp_C","Automaton_Hulk_Poison","NSLOCTEXT(""MonstersTable"", ""0B5E5E094C20B734AFBC55AD73A311C6"", ""Toxic Emberhulk"")","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","3.500000","1.500000","1000","Tough","2.000000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.450000","0.750000","0.500000","2.000000","2.000000","Brute","KnockbackResistance=1.0","","","2.580000","Element.Poison","Character.Monster.Automaton.Emberhulk;Character.Monster.Day;Character.Monster.Night;Character.Monster.VeryRare;Region.GoblinIsle.InfestedForest;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological;Character.Monster.HighHealth","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","4.000000","0.750000","8.000000","1.250000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""C290775C497D41B6375E7AB92F085967"", ""Emberhulk: Knockback Immune"")","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Sentry_Electric,"/Game/Monsters/automataeggy/automataeggy_electric_bp.automataeggy_electric_bp_C","Automaton_Sentry_Electric","NSLOCTEXT(""MonstersTable"", ""57A8844C4699E4182C9493BB3542424A"", ""Galvanic Sentry"")","5-12;17-24;29-36;41-48;53-60;65-72;77-84;89-96","5-12;17-24;29-36;41-48;53-60;65-72;77-84;89-96","3.000000","1.250000","1000","Standard","2.000000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.250000","2.500000","1.000000","2.000000","1.000000","Medium","","","","2.200000","Element.Electric","Character.Monster.Automaton.Sentry;Character.Monster.Day;Character.Monster.Night;Character.Monster.Uncommon;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.500000","5.000000","1.500000","1.000000","2.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""A9809B8748EA03CD613C09B00EF3F611"", ""Sentry"")","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Sentry_Fire,"/Game/Monsters/automataeggy/automataeggy_fire_bp.automataeggy_fire_bp_C","Automaton_Sentry_Fire","NSLOCTEXT(""MonstersTable"", ""9C372DA845DE9C78A3BC018C2CCCFE9A"", ""Fiery Sentry"")","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","3.000000","1.250000","0","Standard","2.000000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.400000","0.750000","1.000000","2.000000","1.000000","Medium","","","","2.200000","Element.Fire","Character.Monster.Automaton.Sentry;Character.Monster.Day;Character.Monster.Night;Character.Monster.Uncommon;Region.GoblinIsle.GoblinForest.Forest;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","4.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""7838A3FC4470081D92FC7D9263A07AEA"", ""Sentry"")","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Sentry_Fire_Boss,"/Game/Monsters/automataeggy/automataeggy_fire_boss_nohide_bp.automataeggy_fire_boss_nohide_bp_C","Automaton_Sentry_Fire","NSLOCTEXT(""MonstersTable"", ""9C372DA845DE9C78A3BC018C2CCCFE9A"", ""Fiery Sentry"")","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","3.000000","1.250000","0","Standard","2.000000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.400000","0.750000","1.000000","2.000000","1.000000","Medium","","","","2.200000","Element.Fire","Character.Monster.Automaton.Sentry;Character.Monster.Day;Character.Monster.Night;Character.Monster.Uncommon;Region.GoblinIsle.GoblinForest.Forest;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","4.000000","0.600000","0.000000","1.300000","5.000000","2.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""A23D043845D710F9CD71E3968B4D129C"", ""Sentry"")","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Sentry_FireForest,"/Game/Monsters/automataeggy/automataeggy_fire_forest_bp.automataeggy_fire_forest_bp_C","Automaton_Sentry_Fire","NSLOCTEXT(""MonstersTable"", ""46E064B04620213447AF28A0F3C9DB8E"", ""Fiery Forest Sentry"")","0","20-100","3.000000","1.250000","1000","Standard","1.250000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.400000","0.750000","1.000000","2.000000","1.000000","Medium","","","","2.200000","Element.Fire","Character.Monster.Automaton.Sentry;Character.Monster.Day;Character.Monster.Night;Character.Monster.VeryRare;Region.GoblinIsle.GoblinForest.Forest;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""9D6994214D23DF7D18D693A79E3D5DD5"", ""Sentry"")","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Sentry_Physical,"/Game/Monsters/automataeggy/automataeggy_physical_bp.automataeggy_physical_bp_C","Automaton_Sentry_Physical","NSLOCTEXT(""MonstersTable"", ""890D57E24B2726F858BBA6A0FAC9025E"", ""Mechanical Sentry"")","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","3.000000","1.250000","0","Standard","2.000000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.400000","0.750000","1.000000","2.000000","1.000000","Medium","","","","2.200000","Element.Physical","Character.Monster.Automaton.Sentry;Character.Monster.Day;Character.Monster.Night;Character.Monster.Uncommon;Region.Global;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","5.000000","1.000000","12.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""04D69AD549A7E9DEF407659DFCEA0A66"", ""Sentry"")","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Sentry_Poison,"/Game/Monsters/automataeggy/automataeggy_toxic_bp.automataeggy_toxic_bp_C","Automaton_Sentry_Poison","NSLOCTEXT(""MonstersTable"", ""EB4D653742750577DB60FDAE753418FE"", ""Toxic Sentry"")","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","9-16;21-28;33-40;45-52;57-64;69-76;81-88;93-100","3.000000","1.250000","0","Standard","2.000000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.400000","0.750000","1.000000","2.000000","2.000000","Medium","","","","2.200000","Element.Poison","Character.Monster.Automaton.Sentry;Character.Monster.Day;Character.Monster.Night;Character.Monster.Uncommon;Region.GoblinIsle.InfestedForest;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","4.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""5ABA2C5541D2F30EC4E4859FA372F5C8"", ""Sentry"")","(AssetGuid=00000000000000000000000000000000)",""
Automaton_Sentry_Poison_Boss,"/Game/Monsters/automataeggy/automataeggy_toxic_boss_bp.automataeggy_toxic_boss_bp_C","Automaton_Sentry_Poison_Boss","NSLOCTEXT(""MonstersTable"", ""42353F6340DCD751FFE7178C3A7E867E"", ""Frackmaster 2000"")","18-100","16-100","3.000000","1.250000","0","Boss","2.000000","17.000000","1.360000","0.000000","6.000000","AutomataName","0.020000","0.400000","0.750000","1.000000","3.000000","2.000000","Brute","","","","2.200000","Element.Poison","Character.Monster.Automaton.Sentry;Character.Monster.Day;Character.Monster.Night;Character.Monster.Rare;Region.GoblinIsle.InfestedForest;Character.Monster.Championable;Character.Monster.Championable.Solo;Character.Monster.NonBiological","None","None","1.000000","1","1","1","1","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","4.000000","1.000000","0.000000","1.000000","5.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""D5FCEBE744A0F00F5E31A3BDFF1789E9"", ""Sentry: Toxic Wrecking Ball attack knocks back"")","(AssetGuid=00000000000000000000000000000000)",""
Cocoon_Goblin,"/Game/Monsters/vspegg/cocoongoblin_bp.cocoongoblin_bp_C","Cocoon_Goblin","NSLOCTEXT(""MonstersTable"", ""61F01E144C463C0A8E76A69B143D4516"", ""Cocooned Goblin"")","1-100","4-100","0.400000","0.000000","0","Standard","2.000000","17.000000","1.360000","0.000000","6.000000","None","0.020000","0.100000","0.750000","1.000000","1.000000","2.000000","Medium","","","","0.300000","Element.Poison","Character.Monster.Day;Character.Monster.Night;Character.Monster.Uncommon;Region.GoblinIsle.InfestedForest","None","None","1.000000","1","2","3","5","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""AB2827C54D5C7F72A34A398AD10EBCD4"", ""Immobile"")","(AssetGuid=00000000000000000000000000000000)",""
CursedTomb,"/Game/Environments/Levels/Cinematic/blueprints/TEST_CasketSummoner.TEST_CasketSummoner_C","CursedTomb","NSLOCTEXT(""MonstersTable"", ""2C7165BC4FB8713B0DD847BEFECD1B02"", ""Cursed Tomb"")","3-100","4-100","1.000000","1.000000","1000","Standard","2.000000","17.000000","1.360000","0.000000","6.000000","None","0.020000","0.100000","1.000000","1.000000","2.000000","0.000000","Medium","","","","1.450000","Element.Physical","Character.Monster.Trap","None","None","1.000000","1","1","1","1","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","2.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""95419C20422914CDCE323CADE4B2EA48"", ""Immobile: Summons Skeletons"")","(AssetGuid=00000000000000000000000000000000)",""
Forest_Lurker,"/Game/Monsters/forestlurker/forestlurker_bp.forestlurker_bp_C","Forest_Lurker","NSLOCTEXT(""MonstersTable"", ""2770805B4918FECBCC2F4095D06AD9DE"", ""Cave Lurker"")","2-100","0","1.200000","1.000000","1000","Popcorn","1.350000","17.000000","1.360000","1.000000","6.000000","None","0.020000","1.000000","4.000000","0.000000","2.000000","0.000000","Popcorn","","","","0.530000","Element.Fire","Character.Monster.Day;Character.Monster.Night;Character.Monster.Uncommon;Region.GoblinIsle.GoblinForest.Caves;Character.Monster.ForestLurker","None","None","1.000000","1","2","2","3","0.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000","0.000000","3.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","0.000000","1.000000","NSLOCTEXT(""MonstersTable"", ""7FB9F9D34AB13B92991D0E9D7805B87E"", ""Lurker"")","(AssetGuid=7153C049AF6644A5BDAD419E78A15A6B)",""
