---,TriggerType,TriggerEvent,TagFilter,SkillTagFilter,RequiredStatusEffectTags,EventNameParam,Trait,AccumulateRandomChance,TriggerSkill,CooldownTimeSeconds,bMinionsCanTrigger,Notes
Immobilize,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ElementalProcChance|Proc.Immobilize,0,/Game/Skills/Blueprints/Procs/ProcSkill_Immobilize.ProcSkill_Immobilize_C,0,TRUE,
Knockback,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,KnockbackChance,0,/Game/Skills/Blueprints/Procs/ProcSkill_Knockback.ProcSkill_Knockback_C,1,TRUE,
LightChargeBar,Always,SkillDamage,(GameplayTags=),"(GameplayTags=((TagName=""Skill.DuskMage.Dark"")))",(GameplayTags=),None,None,0,/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarProc_Light.Skill_ChargeBarProc_Light_C,0,TRUE,
LightChargeBarLock,Always,ActiveTraitAtMax,(GameplayTags=),(GameplayTags=),(GameplayTags=),LightChargeBar,LightChargeBarProc,0,/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarLock_DMLight.Skill_ChargeBarLock_DMLight_C,0,TRUE,
LightChargeBarSkillStart,Always,SkillStart,(GameplayTags=),"(GameplayTags=((TagName=""Skill.DuskMage.Light"")))",(GameplayTags=),None,None,0,/Game/Skills/Blueprints/DuskMage/Skill_ChargeStart_DMLight.Skill_ChargeStart_DMLight_C,0,TRUE,
MissilesOnPoisoned,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|MissilesOnPoisoned,0,/Game/Skills/Blueprints/EmberWeapons/Bane/Skill_EmberWeapon_Bane_MissilesOnPoisonHit.Skill_EmberWeapon_Bane_MissilesOnPoisonHit_C,2,TRUE,
PoisonMissilesOnKill,Random,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|PoisonMissilesOnKill,0,/Game/Skills/Blueprints/EmberWeapons/Bane/Skill_EmberWeapon_Bane_MissilesOnPoisonHit.Skill_EmberWeapon_Bane_MissilesOnPoisonHit_C,0,TRUE,
SpiderAllies,Random,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SpiderAllies,0,/Game/Skills/Blueprints/EmberWeapons/Bane/Skill_Bane_SpiderSummon.Skill_Bane_SpiderSummon_C,0,TRUE,
Poison,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ElementalProcChance|Proc.Poison,0,/Game/Skills/Blueprints/Elements/ProcSkill_Poison.ProcSkill_Poison_C,0,TRUE,
Shock,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ElementalProcChance|Proc.Shock,0,/Game/Skills/Blueprints/Elements/ProcSkill_Shock.ProcSkill_Shock_C,0,TRUE,
Slow,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ElementalProcChance|Proc.Slow,0,/Game/Skills/Blueprints/Procs/ProcSkill_Slow.ProcSkill_Slow_C,0,TRUE,
SlowOnCrit,Always,DoCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,None,0,/Game/Skills/Blueprints/EmberWeapons/ProcSkill_SlowOnCrit.ProcSkill_SlowOnCrit_C,0,TRUE,
SpeedOnKill,Always,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,None,1,/Game/Skills/Blueprints/GenericPassives/ProcSkill_SpeedOnKill.ProcSkill_SpeedOnKill_C,0,TRUE,
Stun,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,StunChance,0,/Game/Skills/Blueprints/Procs/ProcSkill_Stun.ProcSkill_Stun_C,0,TRUE,
TemporalDuplicate,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|TemporalDuplicate,0,/Game/Skills/Blueprints/EmberWeapons/ClockworkStaff/Skill_Passive_SummonTemporalDuplicate.Skill_Passive_SummonTemporalDuplicate_C,0,TRUE,
ThornsVsChilled,Random,TakeDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|ThornsVsChilled,0,/Game/Skills/Blueprints/EmberWeapons/ProcSkill_ThornsVsChilled.ProcSkill_ThornsVsChilled_C,0,TRUE,
WarpBack,Always,Died,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,None,0,/Game/Skills/Blueprints/Monsters/Skill_WarpBack.Skill_WarpBack_C,0,TRUE,
AmmoBagSlow,Random,SkillDamage,(GameplayTags=),"(GameplayTags=((TagName=""Skill.Sharpshooter.Ranged"")))",(GameplayTags=),None,ProcChance|AmmoBagSlow,0,/Game/Skills/Blueprints/Sharpshooter/ProcSkill_Sharpshooter_AmmoBagSlow.ProcSkill_Sharpshooter_AmmoBagSlow_C,0,TRUE,
RangedBasicExplode,Always,SkillDamage,(GameplayTags=),"(GameplayTags=((TagName=""Skill.BasicAttack.Ranged"")))",(GameplayTags=),None,ProcChance|RangedBasicExplode,0,/Game/Skills/Blueprints/Sharpshooter/ProcSkill_Sharpshooter_AmmoBagExplosion.ProcSkill_Sharpshooter_AmmoBagExplosion_C,0,TRUE,
AmmoBagWeaken,Random,SkillDamage,(GameplayTags=),"(GameplayTags=((TagName=""Skill.Sharpshooter.Ranged"")))",(GameplayTags=),None,ProcChance|AmmoBagWeaken,0,/Game/Skills/Blueprints/Sharpshooter/ProcSkill_Sharpshooter_AmmoBagWeaken.ProcSkill_Sharpshooter_AmmoBagWeaken_C,0,TRUE,
AmmoBagEnchant,Random,SkillDamage,(GameplayTags=),"(GameplayTags=((TagName=""Skill.Sharpshooter.Ranged"")))",(GameplayTags=),None,ProcChance|AmmoBagEnchant,0,/Game/Skills/Blueprints/Sharpshooter/ProcSkill_Sharpshooter_AmmoBagEnchant.ProcSkill_Sharpshooter_AmmoBagEnchant_C,0,TRUE,
BurnWhenHit,Random,TakeDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),ProcChance|BurnWhenHit,None,0,/Game/Skills/Blueprints/Forged/ProcSkill_BurnWhenHit.ProcSkill_BurnWhenHit_C,0,TRUE,
CannonBleed,Random,SkillDamage,(GameplayTags=),"(GameplayTags=((TagName=""Skill.Forged.Ranged"")))",(GameplayTags=),None,ProcChance|CannonBleed,0,/Game/Skills/Blueprints/Forged/ProcSkill_CannonBleed.ProcSkill_CannonBleed_C,0,TRUE,
AttackSpeedOnTakeDamage,Random,TakeDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|AttackSpeedOnTakeDamage,0,/Game/Skills/Blueprints/Procs/ProcSkill_AttackSpeedOnTakeDamage.ProcSkill_AttackSpeedOnTakeDamage_C,0,TRUE,
SkeletonsOnBlock,Random,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonsOnBlock,0,/Game/Skills/Blueprints/Legendaries/ProcSkill_SummonSkeletonsonBlock.ProcSkill_SummonSkeletonsonBlock_C,8,TRUE,
FireballOnBlock,Random,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|FireballOnBlock,0,/Game/Skills/Blueprints/Legendaries/ProcSkill_FireballOnBlock.ProcSkill_FireballOnBlock_C,0,TRUE,
ColdSicknessSummon,Always,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|ColdSicknessSummon,0,/Game/Skills/Blueprints/EmberWeapons/ProcSkill_ColdSicknessSummon.ProcSkill_ColdSicknessSummon_C,0,TRUE,
MeleeDamageReduction,Always,SkillDamage,(GameplayTags=),"(GameplayTags=((TagName=""Skill.Forged.Melee""),(TagName=""Skill.Railman.Melee""),(TagName=""Skill.BasicAttack.Melee"")))",(GameplayTags=),None,None,0,/Game/Skills/Blueprints/MeleeDamageReduction.MeleeDamageReduction_C,0,TRUE,
AncestralPride,Random,SkillDamage,(GameplayTags=),"(GameplayTags=((TagName=""Skill.Railman.Melee"")))",(GameplayTags=),None,ProcChance|AncestralPride,0,/Game/Skills/Blueprints/Railman/Skill_Proc_AncestralPride.Skill_Proc_AncestralPride_C,0,TRUE,
EnduranceOnMelee,Random,SkillDamage,(GameplayTags=),"(GameplayTags=((TagName=""Skill.Railman.Melee""),(TagName=""Skill.BasicAttackMelee"")))",(GameplayTags=),None,ProcChance|EnduranceOnMelee,0,/Game/Skills/Blueprints/Railman/Skill_Proc_EnduranceOnMelee.Skill_Proc_EnduranceOnMelee_C,0,TRUE,
SkeletonMeleeOnKill,Random,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonMeleeOnKill,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonMelee.ProcSkill_SpawnMinion_SkeletonMelee_C,0,FALSE,
SkeletonShieldOnKill,Random,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonMeleeOnKill,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonShield.ProcSkill_SpawnMinion_SkeletonShield_C,0,FALSE,
SkeletonRangedOnKill,Random,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonRangedOnKill,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonRanged.ProcSkill_SpawnMinion_SkeletonRanged_C,0,FALSE,
SkeletonFireMeleeOnKill,Random,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonFireMeleeOnKill,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireMelee.ProcSkill_SpawnMinion_SkeletonFireMelee_C,0,FALSE,
SkeletonFireRangedOnKill,Random,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonFireRangedOnKill,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireRanged.ProcSkill_SpawnMinion_SkeletonFireRanged_C,0,FALSE,
ZombieOnKill,Random,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|ZombieOnKill,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Zombie.ProcSkill_SpawnMinion_Zombie_C,0,FALSE,
RatOnKill,Random,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|RatOnKill,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Rat.ProcSkill_SpawnMinion_Rat_C,0,FALSE,
NetherlingOnKill,Random,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|NetherlingOnKill,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Netherling.ProcSkill_SpawnMinion_Netherling_C,0,FALSE,
DireWolfOnKill,Random,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|DireWolfOnKill,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_DireWolf.ProcSkill_SpawnMinion_DireWolf_C,0,FALSE,
GhostGuardOnKill,Random,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|GhostGuardOnKill,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_GhostGuard.ProcSkill_SpawnMinion_GhostGuard_C,0,FALSE,
SkeletonMeleeOnCrit,Random,DoCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonMeleeOnCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonMelee.ProcSkill_SpawnMinion_SkeletonMelee_C,0,FALSE,
SkeletonShieldOnCrit,Random,DoCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonShieldOnCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonShield.ProcSkill_SpawnMinion_SkeletonShield_C,0,FALSE,
SkeletonRangedOnCrit,Random,DoCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonRangedOnCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonRanged.ProcSkill_SpawnMinion_SkeletonRanged_C,0,FALSE,
SkeletonFireMeleeOnCrit,Random,DoCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonFireMeleeOnCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireMelee.ProcSkill_SpawnMinion_SkeletonFireMelee_C,0,FALSE,
SkeletonFireRangedOnCrit,Random,DoCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonFireRangedOnCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireRanged.ProcSkill_SpawnMinion_SkeletonFireRanged_C,0,FALSE,
ZombieOnCrit,Random,DoCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|ZombieOnCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Zombie.ProcSkill_SpawnMinion_Zombie_C,0,FALSE,
RatOnCrit,Random,DoCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|RatOnCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Rat.ProcSkill_SpawnMinion_Rat_C,0,FALSE,
NetherlingOnCrit,Random,DoCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|NetherlingOnCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Netherling.ProcSkill_SpawnMinion_Netherling_C,0,FALSE,
DireWolfOnCrit,Random,DoCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|DireWolfOnCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_DireWolf.ProcSkill_SpawnMinion_DireWolf_C,0,FALSE,
GhostGuardOnCrit,Random,DoCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|GhostGuardOnCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_GhostGuard.ProcSkill_SpawnMinion_GhostGuard_C,0,FALSE,
SkeletonMeleeTakeCrit,Random,TakeCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonMeleeTakeCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonMelee.ProcSkill_SpawnMinion_SkeletonMelee_C,0,FALSE,
SkeletonShieldTakeCrit,Random,TakeCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonMeleeTakeCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonShield.ProcSkill_SpawnMinion_SkeletonShield_C,0,FALSE,
SkeletonRangedTakeCrit,Random,TakeCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonRangedTakeCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonRanged.ProcSkill_SpawnMinion_SkeletonRanged_C,0,FALSE,
SkeletonFireMeleeTakeCrit,Random,TakeCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonFireMeleeTakeCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireMelee.ProcSkill_SpawnMinion_SkeletonFireMelee_C,0,FALSE,
SkeletonFireRangedTakeCrit,Random,TakeCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonFireRangedTakeCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireRanged.ProcSkill_SpawnMinion_SkeletonFireRanged_C,0,FALSE,
ZombieTakeCrit,Random,TakeCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|ZombieTakeCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Zombie.ProcSkill_SpawnMinion_Zombie_C,0,FALSE,
RatTakeCrit,Random,TakeCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|RatTakeCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Rat.ProcSkill_SpawnMinion_Rat_C,0,FALSE,
NetherlingTakeCrit,Random,TakeCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|NetherlingTakeCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Netherling.ProcSkill_SpawnMinion_Netherling_C,0,FALSE,
DireWolfTakeCrit,Random,TakeCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|DireWolfTakeCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_DireWolf.ProcSkill_SpawnMinion_DireWolf_C,0,FALSE,
GhostGuardTakeCrit,Random,TakeCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|GhostGuardTakeCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_GhostGuard.ProcSkill_SpawnMinion_GhostGuard_C,0,FALSE,
SkeletonMeleeOnBlock,Random,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonMeleeOnBlock,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonMelee.ProcSkill_SpawnMinion_SkeletonMelee_C,0,FALSE,
SkeletonShieldOnBlock,Random,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonShieldOnBlock,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonShield.ProcSkill_SpawnMinion_SkeletonShield_C,0,FALSE,
SkeletonRangedOnBlock,Random,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonRangedOnBlock,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonRanged.ProcSkill_SpawnMinion_SkeletonRanged_C,0,FALSE,
SkeletonFireMeleeOnBlock,Random,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonFireMeleeOnBlock,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireMelee.ProcSkill_SpawnMinion_SkeletonFireMelee_C,0,FALSE,
SkeletonFireRangedOnBlock,Random,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|SkeletonFireRangedOnBlock,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_SkeletonFireRanged.ProcSkill_SpawnMinion_SkeletonFireRanged_C,0,FALSE,
ZombieOnBlock,Random,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|ZombieOnBlock,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Zombie.ProcSkill_SpawnMinion_Zombie_C,0,FALSE,
RatOnBlock,Random,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|RatOnBlock,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Rat.ProcSkill_SpawnMinion_Rat_C,0,FALSE,
NetherlingOnBlock,Random,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|NetherlingOnBlock,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_Netherling.ProcSkill_SpawnMinion_Netherling_C,0,FALSE,
DireWolfOnBlock,Random,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|DireWolfOnBlock,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_DireWolf.ProcSkill_SpawnMinion_DireWolf_C,0,FALSE,
GhostGuardOnBlock,Random,Block,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|GhostGuardOnBlock,0,/Game/Skills/Blueprints/Procs/ProcSkill_SpawnMinion_GhostGuard.ProcSkill_SpawnMinion_GhostGuard_C,0,FALSE,
Fireballs,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|Fireballs,0,/Game/Skills/Blueprints/EmberWeapons/Skill_Passive_Fireballs.Skill_Passive_Fireballs_C,4,TRUE,
Stalactites,Random,SkillDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|Stalactites,0,/Game/Skills/Blueprints/Procs/ProcSkill_Stalactites.ProcSkill_Stalactites_C,0,TRUE,
MoveSpeedOnKill,Random,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|MoveSpeedOnKill,0,/Game/Skills/Blueprints/GenericPassives/ProcSkill_SpeedOnKill.ProcSkill_SpeedOnKill_C,0,TRUE,
ImmunityBurnOnCrit,Random,DoCritical,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|ImmunityBurnOnCrit,0,/Game/Skills/Blueprints/Procs/ProcSkill_ImmunityBurn.ProcSkill_ImmunityBurn_C,0,TRUE,
ImmunityPoisonOnKill,Random,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|ImmunityPoisonOnKill,0,/Game/Skills/Blueprints/Procs/ProcSkill_ImmunityPoison.ProcSkill_ImmunityPoison_C,0,TRUE,
Rupture,Random,DoDamage,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|Rupture,0,/Game/Skills/Blueprints/EmberWeapons/Skill_Rupture.Skill_Rupture_C,0,TRUE,
BloodPools,Random,DidKill,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,ProcChance|BloodPools,0,/Game/Skills/Blueprints/EmberWeapons/BloodDrinker/SkillTreePlaceholders/SkillTree_BloodDrinker_BloodPools.SkillTree_BloodDrinker_BloodPools_C,0,TRUE,
RadiantBlastMissiles,Always,Died,(GameplayTags=),(GameplayTags=),(GameplayTags=),None,None,0,/Game/Skills/Blueprints/DuskMage/Skill_RadiantBlast_Proc.Skill_RadiantBlast_Proc_C,0,FALSE,
