---,AffixText,bRequiresAreas,RowType,NoPickWeight,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,DataCurves,Entries,Notes
PhaseDungeon_Act2,"NSLOCTEXT(""MapWorksTable"", ""9F55ED53420E21BF7A71E0949E0E497A"", ""Phased Boss Fight: +1 Level, +100% Lifebound Luck, Revive in Town"")","False","Pick","0","GotoRow","Psora_Phased","1","GotoRow","Krronk_Phased","1","GotoRow","Sadista_Phased","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Psora_Phased,"","False","All","0","AddAreaChain","IF2_Forest2_boss","1","SetProperty","BossMonsters|((RowName=""VespidFlier_Phase_Boss""))","1","AdjustLevel","1","1","GotoRow","Hardcore","1","SetProbabilisticGameplayTag","LootLuck|Affix.Lifebound=1.0","1","None","","0","None","","0","None","","0","None","",""
Krronk_Phased,"","False","All","0","AddAreaChain","IF4_Caves2_boss","1","SetProperty","BossMonsters|((RowName=""VespidCharger_Phase_Boss""))","1","AdjustLevel","1","1","GotoRow","Hardcore","1","SetProbabilisticGameplayTag","LootLuck|Affix.Lifebound=1.0","1","None","","0","None","","0","None","","0","None","",""
Sadista_Phased,"","False","All","0","AddAreaChain","IF5_Caves2b_boss","1","SetProperty","BossMonsters|((RowName=""Sadista_Phase""))","1","AdjustLevel","1","1","GotoRow","Hardcore","1","SetProbabilisticGameplayTag","LootLuck|Affix.Lifebound=1.0","1","None","","0","None","","0","None","","0","None","",""
PhaseDungeon_Act3,"NSLOCTEXT(""MapWorksTable"", ""454475F94A4DE07D36ED24A84233C1BE"", ""Phased Boss Fight: +1 Level, +100% Lifebound Luck, Revive in Town"")","False","Pick","0","GotoRow","Squawkclaw_Phased","1","GotoRow","Shriekbeak_Phased","1","GotoRow","Ordrak_Phased","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Squawkclaw_Phased,"","False","All","0","AddAreaChain","EM2_Exterior1a_boss","1","SetProperty","BossMonsters|((RowName=""VolturaInterceptor_Phase_Boss""))","1","AdjustLevel","1","1","GotoRow","Hardcore","1","SetProbabilisticGameplayTag","LootLuck|Affix.Lifebound=1.0","1","None","","0","None","","0","None","","0","None","",""
Shriekbeak_Phased,"","False","All","0","AddAreaChain","Em3_Exterior2a_boss","1","SetProperty","BossMonsters|((RowName=""VolturaFighter_Phase_Boss_Shriekbeak""))","1","AdjustLevel","1","1","GotoRow","Hardcore","1","SetProbabilisticGameplayTag","LootLuck|Affix.Lifebound=1.0","1","None","","0","None","","0","None","","0","None","",""
Ordrak_Phased,"","False","All","0","AddAreaChain","EM4_Interior3a_boss","1","SetProperty","BossMonsters|((RowName=""Ordrak_Phase""))","1","AdjustLevel","1","1","GotoRow","Hardcore","1","SetProbabilisticGameplayTag","LootLuck|Affix.Lifebound=1.0","1","None","","0","None","","0","None","","0","None","",""
WideLoad,"","False","All","0","AddAreaChain","GF2_Caves2_gc3","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_GoblinForest","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Witch,"","False","All","0","AddAreaChain","GF5_Forest2","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_GoblinForest","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Kronch,"","False","All","0","AddAreaChain","GF2_Caves1_gc1","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_GoblinForest","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Strongtusk,"","False","All","0","AddAreaChain","GF5_Forest1a_gc3","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_GoblinForest","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Dogjockey,"","False","All","0","AddAreaChain","GF4_Cave1_gc2","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_GoblinForest","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Brall,"","False","All","0","AddAreaChain","GF5_Cave1_gc5","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_GoblinForest","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpeedRun1,"","False","All","0","AddAreaChain","SpeedRun1","1","GotoRow","SharedChanges","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Krronk,"","False","All","0","AddAreaChain","InfestedForest4","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_HyvidForest","1","GotoRow","Quest_Hyvid_Krronk","1","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Psora,"","False","All","0","AddAreaChain","IF2_Caves1","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_HyvidForest","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Frackmaster2000,"","False","All","0","AddAreaChain","IF3_Caves1","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_HyvidForest","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
HyvidSoldier,"","False","All","0","AddAreaChain","IF1_Caves1","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_HyvidForest","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Spinderella,"","False","All","0","AddAreaChain","IF1_Caves2","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_HyvidForest","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Sadista,"","False","All","0","AddAreaChain","IF5_Caves2b_boss","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_HyvidForest","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Thunderthighs,"","False","All","0","AddAreaChain","EM1_Interior2","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_EchonokMountains","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Overcharger,"","False","All","0","AddAreaChain","EM2_Interior1","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_EchonokMountains","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Squawkclaw,"","False","All","0","AddAreaChain","EM2_Exterior1","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_EchonokMountains","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Shriekbeak,"","False","All","0","AddAreaChain","EM3_Exterior2","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_EchonokMountains","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Hexx,"","False","All","0","AddAreaChain","EM4_Interior1","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_EchonokMountains","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Ordrak,"","False","All","0","AddAreaChain","EM4_Interior3","1","GotoRow","SharedChanges","1","GotoRow","AddAffixes_EchonokMountains","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SharedChanges,"","True","All","0","GotoRow","AdjustLevels","1","SetProperty","RequiredQuestTask|None","1","SetProperty","bRequireCompletingAreaQuestToProceed|true","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
AdjustLevels,"","True","PerArea","0","None","","0","AdjustLevel","1","1","AdjustLevel","2","1","AdjustLevel","3","1","AdjustLevel","3","1","AdjustLevel","3","1","AdjustLevel","3","1","AdjustLevel","3","1","None","(None,None,None,None,None,None,None,None)",""
AddAffixes_Global,"","True","All","0","AddMonsterAffixByTags","Area.Affix","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
AddAffixes_GoblinForest,"","True","Pick","0","AddMonsterAffixByTags","Area.Affix","1","AddMonsterAffixByTags","Area.Affix;Region.GoblinIsle.GoblinForest","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
AddAffixes_HyvidForest,"","True","Pick","0","AddMonsterAffixByTags","Area.Affix","1","AddMonsterAffixByTags","Area.Affix;Region.GoblinIsle.InfestedForest","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
AddAffixes_EchonokMountains,"","True","Pick","0","AddMonsterAffixByTags","Area.Affix","1","AddMonsterAffixByTags","Area.Affix;Region.RedHavenCoast.EchonokMountains","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
ItemLevelBoost,"NSLOCTEXT(""MapWorksTable"", ""ADBC4C9B4D20DA00F38F5CAA40A833D3"", ""+1 Item Level"")","True","All","0","SetProperty","ItemLevelBonus|1","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Hardcore,"NSLOCTEXT(""MapWorksTable"", ""30DB21654F96FB41BFAE628EA90A6077"", ""Revive in Town"")","True","All","0","SetProperty","bReviveInTown|true","1","GotoRow","DisablePortal","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
AreaSize_Epic,"","True","PerArea","0","SetProperty","AreaSize|2","1","SetProperty","AreaSize|3","1","SetProperty","AreaSize|4","1","SetProperty","AreaSize|4","1","SetProperty","AreaSize|4","1","SetProperty","AreaSize|4","1","SetProperty","AreaSize|4","1","SetProperty","AreaSize|4","1","None","(None,None,None,None,None,None,None,None)",""
DisablePortal,"","True","All","0","SetGameplayTagContainer","DisallowedSkillTags|Skill.Portal","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
DisablePotion,"NSLOCTEXT(""MapWorksTable"", ""54C94D254C395D872DE2E5BDB9E4BCB3"", ""Potions Disabled"")","True","All","0","SetGameplayTagContainer","DisallowedSkillTags|Skill.Potion","1","AddGameplayTag","ItemExcludeTags|Item.Potion","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
FortDungeon,"","True","All","0","AddGameplayTag","ItemTags|Item.Currency.FortMapworksChampToken","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Monsters_Random,"","True","Pick","0","GotoRow","Monsters_Goblins","1","GotoRow","Monsters_Hyvid","1","GotoRow","Monsters_Voltura","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Monsters_Goblins,"","True","All","0","SetGameplayTagContainer","MonsterTags|Region.GoblinIsle.AllForests;Region.GoblinIsle.GoblinForest.Forest","1","SetProperty","PrimaryElement|Element.Fire","1","GotoRow","AddAffixes_GoblinForest","1","SetGameplayTag","SpokeTag|Region.GoblinIsle.GoblinForest","1","SetGameplayTagContainer","ItemTags|Region.GoblinIsle.GoblinForest","1","SetGameplayTagContainer","RegionTag|Region.GoblinIsle.GoblinForest","1","SetGameplayTagContainer","AffixTags|Affix.Damage.Goblin","1","None","","0","None","(None,None,None,None,None,None,None)",""
Monsters_Hyvid,"","True","All","0","SetGameplayTagContainer","MonsterTags|Character.Monster.Day;Region.GoblinIsle.InfestedForest","1","SetProperty","PrimaryElement|Element.Poison","1","GotoRow","AddAffixes_HyvidForest","1","SetGameplayTag","SpokeTag|Region.GoblinIsle.InfestedForest","1","SetGameplayTagContainer","ItemTags|Region.GoblinIsle.InfestedForest","1","SetGameplayTagContainer","RegionTag|Region.GoblinIsle.InfestedForest","1","SetGameplayTagContainer","AffixTags|Affix.Damage.Vespid","1","None","","0","None","(None,None,None,None,None,None,None)",""
Monsters_Voltura,"","True","All","0","SetGameplayTagContainer","MonsterTags|Region.RedHavenCoast.EchonokMountains","1","SetProperty","PrimaryElement|Element.Electric","1","GotoRow","AddAffixes_EchonokMountains","1","SetGameplayTag","SpokeTag|Region.RedHavenCoast.EchonokMountains","1","SetGameplayTagContainer","ItemTags|Region.RedHavenCoast.EchonokMountains","1","SetGameplayTagContainer","RegionTag|Region.RedHavenCoast.EchonokMountains","1","SetGameplayTagContainer","AffixTags|Affix.Damage.Voltura","1","None","","0","None","(None,None,None,None,None,None,None)",""
Monsters_Undead,"","True","All","0","SetGameplayTagContainer","MonsterTags|Character.Monster.Undead","1","SetProperty","PrimaryElement|Element.Physical","1","GotoRow","AddAffixes_Global","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
PickArea,"","False","All","0","AddAreaChainByFilter","Mapworks.Dungeon.Goblin","1","AddAreaChainByFilter","Mapworks.Dungeon.Infested","1","AddAreaChainByFilter","Mapworks.Dungeon.Echonok","1","GotoRow","AdjustLevels","1","GotoRow","AddAffixes_Global","1","None","","0","None","","0","None","","0","None","(None,None)",""
ItemLuck_Magic,"NSLOCTEXT(""MapWorksTable"", ""FDC074084345DBEB111996A1FB1D6DCA"", ""+10% Bonus Gear Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Gear=.1","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
GoldLuck_Magic,"NSLOCTEXT(""MapWorksTable"", ""82FC9EB44DE2F214B65E52A89922B17E"", ""+10% Bonus Gold Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Currency.Gold=.1","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
ItemLuck_Common,"NSLOCTEXT(""MapWorksTable"", ""AF77B01B44293891038FB0AE903810CF"", ""+5% Bonus Gear Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Gear=.05","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
GoldLuck_Common,"NSLOCTEXT(""MapWorksTable"", ""B197ED4F4F65C1B6DE52208621A006A0"", ""+5% Bonus Gold Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Currency.Gold=.05","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
ItemLuck_Rare,"NSLOCTEXT(""MapWorksTable"", ""607128F742AEE63FA7284E9BA40810AB"", ""+30% Bonus Gear Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Gear=.3","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
GoldLuck_Rare,"NSLOCTEXT(""MapWorksTable"", ""E576395F443C0C622D0F12A94A805DAF"", ""+30% Bonus Gold Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Currency.Gold=.3","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
ItemLuck_Legendary,"NSLOCTEXT(""MapWorksTable"", ""F5ACB03B456D803DC93DB986A5C4C22F"", ""+50% Bonus Gear Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Gear=.5","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
GoldLuck_Legendary,"NSLOCTEXT(""MapWorksTable"", ""57F73C7B4F730225A9AB96B33648F45D"", ""+50% Bonus Gold Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Currency.Gold=.5","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Intro_Fort,"","False","All","0","AddAreaChain","PlayerFort","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Quest_Hyvid,"","True","All","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Hyvid","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Quest_Hyvid_Krronk,"","True","PerArea","0","SetGameplayTagContainer","QuestPoolTags|QuestPool.Hyvid","1","SetGameplayTagContainer","QuestPoolTags|QuestPool.Hyvid.Krronk","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
