---,AffixText,bRequiresAreas,RowType,NoPickWeight,EntryType1,Entry1,WeightOrCount1,RequireQuest1,EntryType2,Entry2,WeightOrCount2,RequireQuest2,EntryType3,Entry3,WeightOrCount3,RequireQuest3,EntryType4,Entry4,WeightOrCount4,RequireQuest4,EntryType5,Entry5,WeightOrCount5,RequireQuest5,EntryType6,Entry6,WeightOrCount6,RequireQuest6,EntryType7,Entry7,WeightOrCount7,RequireQuest7,EntryType8,Entry8,WeightOrCount8,RequireQuest8,DataCurves,Weight,OwnedGameplayTags,DungeonRequireAllTags,DungeonRequireAnyTags,DungeonExcludeAnyTags,Entries,Notes
Squawkclaw,"","False","All","0","AddAreaChain","EM2_Exterior1","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_EchonokMountains","1","","GotoRow","Quest_Squawkclaw","1","","GotoRow","Monsters_Squawkclaw","1","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Shriekbeak,"","False","All","0","AddAreaChain","EM3_Exterior2","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_EchonokMountains","1","","GotoRow","Quest_Shriekbeak","1","","GotoRow","RequireQuest","1","","GotoRow","Monsters_Shriekbeak","1","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Hexx,"","False","All","0","AddAreaChain","EM4_Interior1","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_EchonokMountains","1","","GotoRow","Quest_Hexx","1","","GotoRow","Monsters_Hexx","1","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Ordrak,"","False","All","0","AddAreaChain","EM4_Interior3","1","","GotoRow","SharedChanges","1","","GotoRow","AddAffixes_EchonokMountains","1","","GotoRow","Quest_Ordrak","1","","GotoRow","Monsters_Ordrak","1","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
SpeedRun1,"","False","All","0","AddAreaChain","SpeedRun1","1","","GotoRow","SharedChanges","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
SharedChanges,"","True","All","0","GotoRow","AdjustLevels","1","","SetProperty","RequiredQuestTask|None","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
SharedChanges_Phase,"","False","All","0","GotoRow","Hardcore","1","","AdjustLevel","1","1","","SetProperty","bLifeBoundItemsOnly|true","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
AdjustLevels,"","True","PerArea","0","None","","0","","AdjustLevel","1","1","","AdjustLevel","2","1","","AdjustLevel","3","1","","AdjustLevel","3","1","","AdjustLevel","3","1","","AdjustLevel","3","1","","AdjustLevel","3","1","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
AddAffixes_Global,"","True","All","0","AddMonsterAffixByTags","Area.Affix","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None)",""
AddAffixes_GoblinForest,"","True","Pick","0","AddMonsterAffixByTags","Area.Affix","1","","AddMonsterAffixByTags","Area.Affix;Region.GoblinIsle.GoblinForest","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
AddAffixes_HyvidForest,"","True","Pick","0","AddMonsterAffixByTags","Area.Affix","1","","AddMonsterAffixByTags","Area.Affix;Region.GoblinIsle.InfestedForest","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
AddAffixes_EchonokMountains,"","True","Pick","0","AddMonsterAffixByTags","Area.Affix","1","","AddMonsterAffixByTags","Area.Affix;Region.RedHavenCoast.EchonokMountains","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
ItemLevelBoost,"NSLOCTEXT(""MapWorksTable"", ""ADBC4C9B4D20DA00F38F5CAA40A833D3"", ""+1 Item Level"")","True","All","0","SetProperty","ItemLevelBonus|1","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None)",""
Hardcore,"NSLOCTEXT(""MapWorksTable"", ""E849833B471C1C2A6D35F3AC25A1A1CB"", ""Revive in Town or previous area"")","True","All","0","SetProperty","bReviveInTown|true","1","","GotoRow","DisablePortal","1","","SetProperty","bCanReviveInPreviousArea|true","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
AreaSize_Epic,"","True","PerArea","0","SetProperty","AreaSize|2","1","","SetProperty","AreaSize|3","1","","SetProperty","AreaSize|4","1","","SetProperty","AreaSize|4","1","","SetProperty","AreaSize|4","1","","SetProperty","AreaSize|4","1","","SetProperty","AreaSize|4","1","","SetProperty","AreaSize|4","1","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
DisablePortal,"","True","All","0","SetGameplayTagContainer","DisallowedSkillTags|Skill.Portal","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None)",""
FortDungeon,"","True","All","0","SetProperty","ItemTags|((GameplayTags=((TagName=""Item.Currency.FortMapworksChampToken""))))","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None)",""
Monsters_Krronk,"","True","PerArea","0","SetProperty","MonsterTags|Character.Monster.Global;Character.Monster.StoneElemental.Vespid;Character.Monster.Vespid.Charger.Newbie;Character.Monster.Vespid.Flier.Normal;Character.Monster.Vespid.Soldier.Tough;Character.Monster.Prop.HyvidCrystal","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Monsters_Psora,"","True","PerArea","0","SetProperty","MonsterTags|Character.Monster.Vespid.Larvae;Character.Monster.Vespid.EggPod;Character.Monster.Global;Character.Monster.Vespid.Egg;Character.Monster.Vespid.Soldier.Tough;Character.Monster.Vespid.Guardian;Character.Monster.InfestedGoblin.Normal","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Monsters_Frackmaster2000,"","True","PerArea","0","SetProperty","MonsterTags|Character.Monster.Global;Character.Monster.Automaton.Custodian.Poison;Character.Monster.Spider.Physical.Melee;Character.Monster.Spider.Physical.Ranged;Character.Monster.Spider.Poison.Melee;Character.Monster.Spider.Poison.Ranged","1","","SetProperty","MonsterTags|Character.Monster.Global;Character.Monster.StoneElemental.Vespid;Character.Monster.Spider.Physical.Melee;Character.Monster.Spider.Physical.Ranged;Character.Monster.Spider.Poison.Melee;Character.Monster.Spider.Poison.Ranged;Character.Monster.Burrower","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Monsters_Syzygyx,"","True","PerArea","0","SetProperty","MonsterTags|Character.Monster.Vespid.Soldier.Newbie;Character.Monster.Vespid.Larvae;Character.Monster.Global;Character.Monster.InfestedGoblin.Normal;Character.Monster.Vespid.Guardian","1","","SetProperty","MonsterTags|Character.Monster.Global;Character.Monster.StoneElemental.Vespid;Character.Monster.Spider.Physical.Melee;Character.Monster.Spider.Physical.Ranged;Character.Monster.Spider.Poison.Melee;Character.Monster.Spider.Poison.Ranged;Character.Monster.Burrower","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Monsters_Spinderella,"","True","All","0","SetProperty","MonsterTags|Character.Monster.Global;Character.Monster.Spider.Physical.Melee;Character.Monster.Spider.Physical.Ranged;Character.Monster.Spider.Poison.Melee;Character.Monster.Spider.Poison.Ranged;Character.Monster.ForestLurker.Normal","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Monsters_Sadista,"","True","PerArea","0","SetProperty","MonsterTags|Character.Monster.Global;Character.Monster.Netherim.WarriorArmored;Character.Monster.Netherim.Netherling;Character.Monster.Netherim.Spellslinger;Character.Monster.Shadowbeast.Normal","1","","SetProperty","MonsterTags|Character.Monster.Global;Character.Monster.Netherim.WarriorArmored;Character.Monster.Netherim.Netherling;Character.Monster.Netherim.Spellslinger;Character.Monster.Shadowbeast.Normal","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Monsters_Thunderthighs,"","True","PerArea","0","SetProperty","MonsterTags|Character.Monster.Goblin.Chanter.Normal.Blue;Character.Monster.Goblin.Brute.Blue;Character.Monster.Goblin.Stabby.Blue;Character.Monster.Goblin.Bomber.Blue","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Monsters_Overcharger,"","True","All","0","SetProperty","MonsterTags|Character.Monster.Automaton.Custodian.Electric;Character.Monster.Automaton.Sentry.Electric;Character.Monster.Automaton.Exploderbot;Character.Monster.PowerCoil","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Monsters_Squawkclaw,"","True","PerArea","0","SetProperty","MonsterTags|Character.Monster.Automaton.Turret.Electric;Character.Monster.Automaton.Exploderbot;Character.Monster.Spider.Physical.Melee;Character.Monster.Spider.Physical.Ranged;Character.Monster.Shadowbeast;Character.Monster.Netherim.Netherling","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Monsters_Shriekbeak,"","True","PerArea","0","SetProperty","MonsterTags|Character.Monster.Automaton.Custodian.Electric;Character.Monster.Spider.Electric.Melee;Character.Monster.Spider.Electric.Ranged;Character.Monster.Netherim.Netherling;Character.Monster.PowerCoil;Character.Monster.Zombie.Electric;Character.Monster.Skeleton.Electric","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Monsters_Hexx,"","True","PerArea","0","SetProperty","MonsterTags|Character.Monster.Spider.Electric.Melee;Character.Monster.Spider.Electric.Ranged;Character.Monster.Netherim.Netherling;Character.Monster.Netherim.WarriorArmored;Character.Monster.Netherim.Spellslinger","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Monsters_Ordrak,"","True","PerArea","0","SetProperty","MonsterTags|Character.Monster.Netherim.Netherling;Character.Monster.Netherim.WarriorArmored;Character.Monster.Netherim.Brute;Character.Monster.Netherim.Spellbreaker;Character.Monster.Shadowbeast","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
ItemLuck_Magic,"NSLOCTEXT(""MapWorksTable"", ""FDC074084345DBEB111996A1FB1D6DCA"", ""+10% Bonus Gear Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Gear=.1","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None)",""
GoldLuck_Magic,"NSLOCTEXT(""MapWorksTable"", ""82FC9EB44DE2F214B65E52A89922B17E"", ""+10% Bonus Gold Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Currency.Gold=.1","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None)",""
ItemLuck_Common,"NSLOCTEXT(""MapWorksTable"", ""AF77B01B44293891038FB0AE903810CF"", ""+5% Bonus Gear Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Item.Gear=.05","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None)",""
GoldLuck_Common,"NSLOCTEXT(""MapWorksTable"", ""B197ED4F4F65C1B6DE52208621A006A0"", ""+5% Bonus Gold Luck"")","True","All","0","SetProbabilisticGameplayTag","LootLuck|Currency.Gold=.05","1","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None)",""
