---,DisplayName,BaseMonster,AffixString,ShouldSpawnReturnPortal,DestroyAllMonstersOnDie,ScaleMultiplier,HitpointBonusMultiplier,DamageBonusMultiplier,SpeedBonusMultiplier,ExperienceBonusMultiplier,AggroRadius,bShouldTether,ChaseRadius,IgnoreMinionChance,StatusEffect,ItemSpawn,TraitString1,TraitString2,TraitString3,ItemSpawnGameplayTags,Notes
Mossrat_Story_Boss,"NSLOCTEXT(""BossTable"", ""E1EF665A420E8A4A5026B6BF9386CA09"", ""Carrion Killer"")","(RowName=""Mossrat_Tough"")","NetherWell","True","False","1.500000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1;StunResistance=1","","","None",""
NetherimBrute_Rando_Boss2,"NSLOCTEXT(""BossTable"", ""A698612E4725813A7193F2931D837D83"", ""B\'hemau"")","(RowName=""Netherim_BruteChampion"")","Berserking","False","False","1.350000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_Boss_Netherim.StatusEffect_Boss_Netherim_C","Champion_Unique","KnockbackResistance=1;StunResistance=1","","","None",""
NetherimBrute_Story_Boss,"NSLOCTEXT(""BossTable"", ""DFC12D434D56C2DD8FE2A7A93898C2D4"", ""Zig, the Defiler"")","(RowName=""Netherim_Brute"")","NetherWell","True","False","1.350000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_Boss_Netherim.StatusEffect_Boss_Netherim_C","Boss","KnockbackResistance=1;StunResistance=1","","","None",""
NetherimBrute_Story_Boss2,"NSLOCTEXT(""BossTable"", ""384D6152496C3089DDEB1DABB0B79CAC"", ""Hexx, the Angered"")","(RowName=""Netherim_BruteChampion"")","Berserking","True","False","1.350000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_Boss_Netherim.StatusEffect_Boss_Netherim_C","Boss","KnockbackResistance=1;StunResistance=1","","","None",""
NetherimSpellbreaker_Rando_Boss,"NSLOCTEXT(""BossTable"", ""5F3D0F6542CCAD034394EBA4B7D6B24A"", ""Xardox, Accursed"")","(RowName=""Netherim_SpellbreakerChampion"")","Illusionist","False","False","1.500000","31.500000","2.000000","0.000000","24.000000","1000.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_Boss_Netherim.StatusEffect_Boss_Netherim_C","Champion_Unique","KnockbackResistance=1;StunResistance=1","","","None",""
NetherimWarrior_Rando_Boss,"NSLOCTEXT(""BossTable"", ""062F63954898D9439C75BB939EDEE54D"", ""Zyxox"")","(RowName=""Netherim_WarriorChampion"")","SiegeSolo","False","False","1.500000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_Boss_Netherim.StatusEffect_Boss_Netherim_C","Champion_Unique","KnockbackResistance=1;StunResistance=1","","","None",""
NetherimWarrior_Story_Boss,"NSLOCTEXT(""BossTable"", ""F7BA5259447042C254A335A3338F9B00"", ""Ohgr Bezzimahl"")","(RowName=""Netherim_WarriorChampion"")","Illusionist","False","False","1.500000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_Boss_Netherim.StatusEffect_Boss_Netherim_C","Boss","KnockbackResistance=1;StunResistance=1","","","None","Quest_Goblin_KillNetherimBoss"
Netherling_Rando_Boss2,"NSLOCTEXT(""BossTable"", ""9303773B4E0B9DA096417FA888D5A36B"", ""Grixl the Ravenous"")","(RowName=""Netherling"")","Berserking","False","False","1.500000","31.500000","1.600000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_Boss_Netherim.StatusEffect_Boss_Netherim_C","Champion_Unique","KnockbackResistance=1;StunResistance=1","","","None",""
ShadowBeast_Story_Boss,"NSLOCTEXT(""BossTable"", ""AC15D0F941B6001A0440F2B5B8151841"", ""Grundlepox, Netherim Herald"")","(RowName=""Shadowbeast"")","","True","False","1.000000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_Boss_Netherim.StatusEffect_Boss_Netherim_C","Boss","KnockbackResistance=1;StunResistance=1","","","None",""
ShadowBeast_Story_Boss2,"NSLOCTEXT(""BossTable"", ""4444C6634E1188296749F796EC660B16"", ""Algramath, Warden of the Falls"")","(RowName=""Shadowbeast"")","NetherWell","False","False","1.000000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_Boss_Netherim.StatusEffect_Boss_Netherim_C","Boss","KnockbackResistance=1;StunResistance=1","","","None",""
Skeleton_MeleeFire_Rando_Boss,"NSLOCTEXT(""BossTable"", ""69946AD24A47186E03A0D8AFBC30F484"", ""Skorch"")","(RowName=""Skeleton_Melee_Fire"")","Blazing","False","False","1.350000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Champion_Unique","KnockbackResistance=1;StunResistance=1","","","None",""
SkeletonMelee_Rando_Boss2,"NSLOCTEXT(""BossTable"", ""2D9A41D04253C65EEB37E39A91986C75"", ""Skullotar, Evil Lord of Ressurection"")","(RowName=""Skeleton_Melee_Unique"")","NetherWell","False","False","1.350000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Champion_Unique","KnockbackResistance=1;StunResistance=1","","","None",""
SkeletonRangedPoison_Rando_Boss,"NSLOCTEXT(""BossTable"", ""6662BCD04327FAC01074909DEE34F110"", ""Sniper Lestrange"")","(RowName=""Skeleton_Ranged_Poison"")","PlagueBearer","False","False","1.350000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Champion_Unique","KnockbackResistance=1;StunResistance=1","","","None",""
SkeletonRangedPoison_Rando_Boss2,"NSLOCTEXT(""BossTable"", ""17FEBD6B43365A2EB0300C83A373CCBB"", ""Wyrm-Rot"")","(RowName=""Skeleton_Ranged_Poison"")","PlagueBearer","False","False","1.350000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Champion_Unique","KnockbackResistance=1;StunResistance=1","","","None","if_lakes_capend_poi_a via Vespid_Small_SkeletonRangedPoison2_Sphere_Unique"
SkeletonRangedFire_Story_Boss,"NSLOCTEXT(""BossTable"", ""06E9B8224D21797A20FB9485F8441B19"", ""Bruce Killis"")","(RowName=""Skeleton_Ranged_Fire_BruceKillis"")","Blazing","True","False","1.350000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1;StunResistance=1","","","None",""
SkeletonShield_Rando_Boss3,"NSLOCTEXT(""BossTable"", ""5C96391E4D52B6300C76709F7EA3D583"", ""Sir Alek"")","(RowName=""Skeleton_Shield"")","SiegeSolo","False","False","1.350000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Champion_Unique","KnockbackResistance=1;StunResistance=1","","","None",""
SkeletonShield_Electric_Mapworks_Boss,"NSLOCTEXT(""BossTable"", ""SkeletonShield_Electric_Mapworks_Boss_DisplayName"", ""Roger Ohm"")","(RowName=""Skeleton_Shield_Electric"")","Illusionist","True","True","1.350000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1;StunResistance=1","","","None",""
SkeletonShieldPoison_Rando_Boss,"NSLOCTEXT(""BossTable"", ""8BC989704AA2009D210DDD8E39D01A83"", ""Watcher Gravely"")","(RowName=""Skeleton_Shield_Poison"")","Berserking","False","False","1.350000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Champion_Unique","KnockbackResistance=1;StunResistance=1","","","None",""
Spider_Electric_Rando_Boss,"NSLOCTEXT(""BossTable"", ""7CABE9944034D91F62F348AA8F94E92B"", ""Electric Widow"")","(RowName=""Spider_Boss_Electric"")","Shocking","True","False","3.000000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_Boss.StatusEffect_Boss_C","Boss","KnockbackResistance=1;StunResistance=1","","","None",""
Spider_Fire_Story_Boss,"NSLOCTEXT(""BossTable"", ""7C9148B441AC82730A33428A1400B02C"", ""Skittles"")","(RowName=""Spider_Boss_Fire"")","Blazing","True","True","3.000000","38.000000","2.000000","0.000000","28.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_Skittles.StatusEffect_MiniBoss_Skittles_C","Boss","KnockbackResistance=1;StunResistance=1","","","None",""
Spider_Poison_Story_Boss,"NSLOCTEXT(""BossTable"", ""83D6724F4D5848F8396D43AE8CA9D2C6"", ""Spinderella"")","(RowName=""Spider_Boss_Poison"")","PlagueBearer","True","False","3.000000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1;StunResistance=1","","","None",""
Spider_Melee_Physical_Mapworks_Boss,"NSLOCTEXT(""BossTable"", ""Spider_Melee_Physical_Mapworks_Boss_DisplayName"", ""Bitey"")","(RowName=""Spider_Melee_Physical"")","Berserking","True","True","3.000000","31.500000","2.000000","0.000000","24.000000","800.000000","True","2500.000000","0.250000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1;StunResistance=1","","","None",""
