---,LevelRangeString,DropWeight,MaxCount,TextFormat,ItemTextFormat,bAlwaysShowAffixName,bIsPrimaryAffix,TraitType,AffixTags,SkillNameTag,ElementTag,AffixCurveValue1,AffixCurveValue2,AffixCurveValue3,AffixCurveValue4,AffixCurveValue5,AffixCurveValue6,TraitString,Normal,Magic,Rare,Legendary,Unique,SetBonusTag,SetBonusCountRequired,EnchantingMagicMultipliers,EnchantingRareMultipliers,EnchantingLegendaryMultipliers,LifeboundMultiplier,bRound,TextOnDrop,Notes
CriticalHit_Chance_vsBleed,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""6F846EA6498D1B6773AEF3B7E2FB3318"", ""+{0%}% Critical Hit chance vs. Bleeding targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.Chance.vsBleed""),(TagName=""Item.Weapon.Sword""),(TagName=""Item.Weapon.Mace""),(TagName=""Item.Weapon.Digitus""),(TagName=""Item.Weapon.Staff""),(TagName=""Item.Weapon.Greatweapon""),(TagName=""Item.Weapon.Hammer"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Bleed","0.3-0.5","0.4-0.6","0.5-0.7","0.5-0.7","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsBurn,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""E17E579B4867436888B04CA5C9B67B6B"", ""+{0%}% Critical Hit chance vs. Burning targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.Chance.vsBurning""),(TagName=""Affix.Pet.Secondary"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Burn","0.3-0.5","0.4-0.6","0.5-0.7","0.5-0.7","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsChilled,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""C9A78F76472C4669B62969AEF89EE3F7"", ""+{0%}% Critical Hit chance vs. Chilled targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.Chance.vsChilled""),(TagName=""Affix.Pet.Secondary"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Chilled","0.3-0.5","0.4-0.6","0.5-0.7","0.5-0.7","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsFear,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""79BFD9DE4D197CB390CB1295CC3B9E13"", ""+{0%}% Critical Hit chance vs. Feared targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.Chance"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Fear","0.3-0.5","0.4-0.6","0.5-0.7","0.5-0.7","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsFrozen,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""BE43E987477F903F49ECB0BC60FAD39A"", ""+{0%}% Critical Hit chance vs. Frozen targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.Chance.vsFrozen""),(TagName=""Item.Weapon.Sword""),(TagName=""Item.Weapon.Mace""),(TagName=""Item.Weapon.Digitus""),(TagName=""Item.Weapon.Staff""),(TagName=""Item.Weapon.Greatweapon""),(TagName=""Item.Weapon.Hammer"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Frozen","0.3-0.5","0.4-0.6","0.5-0.7","0.5-0.7","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsGoblins,"1-16;47-100","200","1","NSLOCTEXT(""AffixTable"", ""764D8666419B8B1648FDF3B7638A3482"", ""+{0%}% Critical Hit chance vs. Goblins"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.Chance.vsGoblins""),(TagName=""Item.Weapon.Sword""),(TagName=""Item.Weapon.Mace""),(TagName=""Item.Weapon.Digitus""),(TagName=""Item.Weapon.Staff""),(TagName=""Item.Weapon.Greatweapon""),(TagName=""Item.Weapon.Hammer"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Goblin","0.3-0.5","0.4-0.6","0.5-0.7","0.5-0.7","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsImmobilize,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""DC04F27144924889460147B25600CDB4"", ""+{0%}% Critical Hit chance vs. Immobilized targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.Chance"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Immobilize","0.3-0.5","0.4-0.6","0.5-0.7","0.5-0.7","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsNetherim,"5-100","0","0","NSLOCTEXT(""AffixTable"", ""B776E07C4C66A2AC0D3BC4B99893079C"", ""+{0%}% Critical Hit chance vs. Netherim"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.Chance"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Netherim","0.3-0.5","0.4-0.6","0.5-0.7","0.5-0.7","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsPoison,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""3BF8AC9A457738A236DA54BE7E69FAC9"", ""+{0%}% Critical Hit chance vs. Poisoned targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Weapon.2H""),(TagName=""Affix.Legendary.Global.CritvsPoisoned""),(TagName=""Item.Weapon.Staff"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Poison","","","","0.5-0.7","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsShock,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""B3DAF9C045EA741EA2A614A79786F87C"", ""+{0%}% Critical Hit chance vs. Shocked targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.Chance.vsShocked""),(TagName=""Affix.Pet.Secondary"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Shock","0.3-0.5","0.4-0.6","0.5-0.7","0.5-0.7","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsSlow,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""49ED612B4D59A2E886E8698CEF17C229"", ""+{0%}% Critical Hit chance vs. Slowed targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag""),(TagName=""Item.Weapon.Sword""),(TagName=""Item.Weapon.Mace""),(TagName=""Item.Weapon.Digitus""),(TagName=""Item.Weapon.Staff""),(TagName=""Item.Weapon.Greatweapon""),(TagName=""Item.Weapon.Hammer""),(TagName=""Affix.CriticalHit.Chance.vsSlowed"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Slow","0.3-0.5","0.4-0.6","0.5-0.7","0.5-0.7","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsStunned,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""A1D4187442B6C6495AE127B5E07A6E80"", ""+{0%}% Critical Hit chance vs. Stunned targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.Chance"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Stunned","0.3-0.5","0.4-0.6","0.5-0.7","0.5-0.7","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsUndead,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""4C8941274CB8613EA790C890009938F4"", ""+{0%}% Critical Hit chance vs. Undead"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.Chance"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Undead","0.3-0.5","0.4-0.6","0.5-0.7","0.5-0.7","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsVespid,"17-30;47-100","0","0","NSLOCTEXT(""AffixTable"", ""815FA248483D394DC922939165E33565"", ""+{0%}% Critical Hit chance vs. Hyvid"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.Chance"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Vespid","0.3-0.5","0.4-0.6","0.5-0.7","0.5-0.7","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsVoltura,"31-100","0","0","NSLOCTEXT(""AffixTable"", ""9E7BBA294129B7F68577EABF591E614D"", ""+{0%}% Critical Hit chance vs. Voltura"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Pet.Tag""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Armour.Gloves""),(TagName=""Affix.CriticalHit.Chance"")))","(TagName="""")","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Voltura","0.3-0.5","0.4-0.6","0.5-0.7","0.5-0.7","","(TagName="""")","0","","","","1.200000","False","NSLOCTEXT(""AffixTable"", ""B2C6FA2847C9D90E2065159F3815FAC5"", ""Legendary Secondary"")",""
CriticalHit_Damage,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""6FC68E1947308CB3DCB3A397A5E7DD41"", ""+{0%}% bonus to Critical Damage"")","NSLOCTEXT(""AffixTable"", ""96800F7C485D2EDBE0DD118179AC8151"", ""{0} of Power"")","True","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Cannon""),(TagName=""Affix.CriticalHit.BonusDamage""),(TagName=""Item.Weapon.Sword""),(TagName=""Item.Weapon.Mace""),(TagName=""Item.Weapon.Digitus""),(TagName=""Item.Weapon.Staff""),(TagName=""Item.Weapon.Greatweapon""),(TagName=""Item.Weapon.Hammer""),(TagName=""Affix.Pet.Secondary""),(TagName=""Item.Armour.Chest"")))","(TagName="""")","(TagName="""")","CritBonusDamage","None","None","None","None","None","CriticalDamageBonus","0.75-1.0","0.9-1.4","1.5-2.0","1.5-2.0","","(TagName="""")","0","","","","1.200000","False","",""
CriticalHit_Damage_Armor,"1-100","200","1","NSLOCTEXT(""AffixTable"", ""6FC68E1947308CB3DCB3A397A5E7DD41"", ""+{0%}% bonus to Critical Damage"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Armour.Boots""),(TagName=""Item.Armour.Hatch""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.BonusDamage"")))","(TagName="""")","(TagName="""")","CritBonusDamage","None","None","None","None","None","CriticalDamageBonus","0.75-1.0","0.9-1.4","1.5-2.0","1.5-2.0","","(TagName="""")","0","","","","1.200000","False","",""
CriticalHit_Damage_vsChilled_vsFrozen,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""53D2CC2148055EC16ECDAD9879DC52C6"", ""+{0%}% bonus to Critical Damage vs. Chilled targets and +{1%}% vs. Frozen targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.BonusDamage"")))","(TagName="""")","(TagName="""")","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|StatusEffect.Chilled;CriticalDamageBonusVs|StatusEffect.Frozen","0.65-0.85;0.65-0.85","0.8-1.2;0.8-1.2","1.35-1.65;1.35-1.65","1.35-1.65;1.35-1.65","","(TagName="""")","0","","","","1.200000","False","",""
CriticalHit_Damage_vsGoblins,"1-16;47-100","0","0","NSLOCTEXT(""AffixTable"", ""120F1BE54C27607B0942F3974B9EF413"", ""+{0%}% bonus to Critical Damage vs. Goblins"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.BonusDamage"")))","(TagName="""")","(TagName="""")","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Goblin","0.65-0.85","0.8-1.2","1.35-1.65","1.35-1.65","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Damage_vsNetherim,"5-100","0","0","NSLOCTEXT(""AffixTable"", ""E7264D0F49ACC3A96850BFA79D295373"", ""+{0%}% bonus to Critical Damage vs. Netherim"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.BonusDamage"")))","(TagName="""")","(TagName="""")","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Netherim","0.65-0.85","0.8-1.2","1.35-1.65","1.35-1.65","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Damage_vsUndead,"1-100","0","0","NSLOCTEXT(""AffixTable"", ""AF00BC2B41ECBF5C481A3B9D9612F152"", ""+{0%}% bonus to Critical Damage vs. Undead"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.BonusDamage"")))","(TagName="""")","(TagName="""")","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Undead","0.65-0.85","0.8-1.2","1.35-1.65","1.35-1.65","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Damage_vsVespid,"17-30;47-100","0","0","NSLOCTEXT(""AffixTable"", ""66B7752846016587925C9BA379E811F5"", ""+{0%}% bonus to Critical Damage vs. Hyvid"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.CriticalHit.BonusDamage"")))","(TagName="""")","(TagName="""")","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Vespid","0.65-0.85","0.8-1.2","1.35-1.65","1.35-1.65","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
Damage_Electric_Primary,"1-100","100","1","NSLOCTEXT(""AffixTable"", ""701209A447B4DCA535C5659B2621B6C2"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""A2FF7AD34B04EA30D3E8B89E83C8B64B"", ""Voltaic {0}"")","False","True","Weapon","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Global""),(TagName=""Affix.Damage.Global""),(TagName=""Affix.Damage.Electric""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","(TagName=""Element.Electric"")","Damage","None","None","None","None","None","Damage|Element.Electric","0.94-1.45","1.19-1.62","1.53-1.79","1.53-2.148","","(TagName="""")","0","","","","1.200000","False","",""
