---,Category,InternalDescription,IsDisplayed,ItemTableRowHandle,FortPropTableRowHandle,RecipeName,GrantedByDlcId,MailboxFrom,MailboxBody,PurchaseDetails,RotationGroup,RealMoneyCost,DeliveryType,SyncToCommerce,Notes
Vendor_Buy_Scroll_Map_Voltura_Gold_Magic,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Voltura_Gold_Magic","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Voltura_Item_Magic,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Voltura_Item_Magic","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Gold_Rare,"(TagName=""Store.Vendor"")","","False","(RowName=""LuckGold_Map_Rare"")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Gold_Rare","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Item_Rare,"(TagName=""Store.Vendor"")","","False","(RowName=""LuckItem_Map_Rare"")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Item_Rare","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Gold_Legendary,"(TagName=""Store.Vendor"")","","False","(RowName=""LuckGold_Map_Legendary"")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Gold_Legendary","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Item_Legendary,"(TagName=""Store.Vendor"")","","False","(RowName=""LuckItem_Map_Legendary"")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Item_Legendary","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Potion,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_Potion","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Scroll_Map_Item_Boost,"(TagName=""Store.Vendor"")","","False","(RowName=""ItemLevelBoost_Map"")","(RowName="""")","Vendor_Buy_Scroll_Mapworks_ItemBoost","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Alpaca01,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Pet_Alpaca_White","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Alpaca02,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Pet_Alpaca_Golden","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Alpaca_03,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Pet_Alpaca_Chocolate","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Owl_01,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Pet_Owl_Red","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Owl_02,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Pet_Owl_Golden","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Owl_03,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Pet_Owl_Teal","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Retriever01,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Pet_Retriever_Golden","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Retriever_02,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Pet_Retriever_Chocolate","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Buy_Retriever_03,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Pet_Retriever_Silver","-1","","","","(RowName="""")","0","PerCharacter","False",""
Hyvid_Contract,"(TagName="""")","Hyvid Contract","False","(RowName="""")","(RowName="""")","Store_HyvidContract_Paid","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Random_Helm,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Random_Helm","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Random_Shoulders,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Random_Shoulders","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Random_Chest,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Random_Chest","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Random_Gloves,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Random_Gloves","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Random_Pants,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Random_Pants","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Random_Locomotion,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Random_Locomotion","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Random_Boots,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Random_Boots","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Random_Hatch,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Random_Hatch","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Random_1H_Weapon,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Random_1H_Weapon","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Random_2H_Weapon,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Random_2H_Weapon","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Random_Focus,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Random_Focus","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Random_Shield,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Random_Shield","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Random_Cannon,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Random_Cannon","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Random_PetTag,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Random_PetTag","-1","","","","(RowName="""")","0","PerCharacter","False",""
Vendor_Random_PetCollar,"(TagName=""Store.Vendor"")","","False","(RowName="""")","(RowName="""")","Vendor_Buy_Random_PetCollar","-1","","","","(RowName="""")","0","PerCharacter","False",""
Exclusive_Email_Gift,"(TagName="""")","","False","(RowName="""")","(RowName="""")","Pet_Ferret_Red","-1","NSLOCTEXT(""CatalogTable"", ""A17A51864E1FE9BDCF9987B3AEDFEB33"", ""Email Stuff"")","NSLOCTEXT(""CatalogTable"", ""183E0D814673D0886F14B1AFFAC626B0"", ""Thank you for joining us with your email!"")","","(RowName="""")","0","PerCharacter","False",""
Alpha_2018_Gift,"(TagName="""")","Alpha 2018 Gift","False","(RowName="""")","(RowName=""BannerAlpha_01"")","None","1358460","NSLOCTEXT(""CatalogTable"", ""3BEE660C46DF6AF54776BC80A91B5A06"", ""Alpha 2018 Gift"")","NSLOCTEXT(""CatalogTable"", ""81C52B334A360D2E608D1390F6B89DA5"", ""From the beginning... "")","","(RowName="""")","0","PerAccount","False",""
Alpha_2019_Gift,"(TagName="""")","Alpha 2019 Gift","False","(RowName="""")","(RowName=""BannerAlpha_02"")","None","1358461","NSLOCTEXT(""CatalogTable"", ""3AC09386409E0643115498936B9CA6F3"", ""Alpha 2019 Gift"")","NSLOCTEXT(""CatalogTable"", ""6A1886274B64795E01188687ECDDC16C"", ""An epic journey, adventurer!"")","","(RowName="""")","0","PerAccount","False",""
Alpha_2019_Gift_Dusk,"(TagName="""")","Alpha 2019 Gift Dusk Statue","False","(RowName="""")","(RowName=""DuskMageStatue03"")","None","1358461","NSLOCTEXT(""CatalogTable"", ""3AC09386409E0643115498936B9CA6F3"", ""Alpha 2019 Gift"")","NSLOCTEXT(""CatalogTable"", ""6A1886274B64795E01188687ECDDC16C"", ""An epic journey, adventurer!"")","","(RowName="""")","0","PerAccount","False",""
Alpha_2019_Gift_Iron,"(TagName="""")","Alpha 2019 Gift Forged Statue","False","(RowName="""")","(RowName=""ForgedStatue03"")","None","1358461","NSLOCTEXT(""CatalogTable"", ""3AC09386409E0643115498936B9CA6F3"", ""Alpha 2019 Gift"")","NSLOCTEXT(""CatalogTable"", ""6A1886274B64795E01188687ECDDC16C"", ""An epic journey, adventurer!"")","","(RowName="""")","0","PerAccount","False",""
Alpha_2019_Gift_Steel,"(TagName="""")","Alpha 2019 Gift Railmaster Statue","False","(RowName="""")","(RowName=""RailmasterStatue03"")","None","1358461","NSLOCTEXT(""CatalogTable"", ""3AC09386409E0643115498936B9CA6F3"", ""Alpha 2019 Gift"")","NSLOCTEXT(""CatalogTable"", ""6A1886274B64795E01188687ECDDC16C"", ""An epic journey, adventurer!"")","","(RowName="""")","0","PerAccount","False",""
Alpha_2019_Gift_Forged_Limited,"(TagName="""")","Alpha 2019 Gift Limited Forged Statue","False","(RowName="""")","(RowName=""AlphaContractStatue_Forged"")","None","1358461","NSLOCTEXT(""CatalogTable"", ""3AC09386409E0643115498936B9CA6F3"", ""Alpha 2019 Gift"")","NSLOCTEXT(""CatalogTable"", ""6A1886274B64795E01188687ECDDC16C"", ""An epic journey, adventurer!"")","","(RowName="""")","0","PerAccount","False",""
Alpha_2019_Gift_Dusk_Limited,"(TagName="""")","Alpha 2019 Gift Duskmage Statue","False","(RowName="""")","(RowName=""AlphaContractStatue_DuskMage"")","None","1358461","NSLOCTEXT(""CatalogTable"", ""3AC09386409E0643115498936B9CA6F3"", ""Alpha 2019 Gift"")","NSLOCTEXT(""CatalogTable"", ""6A1886274B64795E01188687ECDDC16C"", ""An epic journey, adventurer!"")","","(RowName="""")","0","PerAccount","False",""
Alpha_2019_Gift_Pet,"(TagName="""")","Alpha 2019 Gift Pet","False","(RowName="""")","(RowName="""")","Pet_Retriever_Echtralife","1358461","NSLOCTEXT(""CatalogTable"", ""3AC09386409E0643115498936B9CA6F3"", ""Alpha 2019 Gift"")","NSLOCTEXT(""CatalogTable"", ""6A1886274B64795E01188687ECDDC16C"", ""An epic journey, adventurer!"")","","(RowName="""")","0","PerCharacter","False",""
Early_Access_Gift,"(TagName="""")","Early Access Gift - Banner","False","(RowName="""")","(RowName=""BannerAlpha_04"")","None","1337370","NSLOCTEXT(""CatalogTable"", ""6C55C6044670980B13C0B0A7DAC87293"", ""Early Access Gift"")","NSLOCTEXT(""CatalogTable"", ""F36D4CD44AAEAFAA62E2229C8BEC797F"", ""Now YOU bear the Torch."")","","(RowName="""")","0","PerAccount","False",""
Exclusive_Xbox_Gift_Pet,"(TagName="""")","","False","(RowName="""")","(RowName="""")","Pet_Faerie_Green","-1","NSLOCTEXT(""CatalogTable"", ""5A968ECC407EBA9192A94EB620E79685"", ""Xbox One Player Gift"")","NSLOCTEXT(""CatalogTable"", ""B35797A54ED0F47B91014899BF87BFED"", ""They\'re cute, but watch the teeth."")","","(RowName="""")","0","PerAccount","False",""
Exclusive_Playstation_Gift_Pet,"(TagName="""")","","False","(RowName="""")","(RowName="""")","Pet_Faerie_Blue","-1","NSLOCTEXT(""CatalogTable"", ""146BC2B947C5388C603ADDAE45DE09BE"", ""PlayStation 4 Player Gift"")","NSLOCTEXT(""CatalogTable"", ""9F8899A44190C41655C533A88D4932DB"", ""They\'re cute, but watch the teeth."")","","(RowName="""")","0","PerCharacter","False",""
Exclusive_Switch_Gift_Pet,"(TagName="""")","","False","(RowName="""")","(RowName="""")","Pet_Faerie_Gray","-1","NSLOCTEXT(""CatalogTable"", ""EC4D9808423CD26D8654CABC9389132A"", ""Switch Player Gift"")","NSLOCTEXT(""CatalogTable"", ""7A9964324D382B3D2E99B2968F492A93"", ""They\'re cute, but watch the teeth."")","","(RowName="""")","0","PerCharacter","False",""
Exclusive_Steam_Gift_Pet,"(TagName="""")","","False","(RowName="""")","(RowName="""")","Pet_Faerie_Purple","-1","NSLOCTEXT(""CatalogTable"", ""9B7192244200BAAEAEE4F68D4F4A99FF"", ""Steam Player Gift"")","NSLOCTEXT(""CatalogTable"", ""9D7965B54EFDF954CA086E86CF11830D"", ""They\'re cute, but watch the teeth."")","","(RowName="""")","0","PerCharacter","False",""
