---,Group,SubGroup,MaxCount,DisplayName,Description,Icon,bIsEnabled,bCanCraftDirectly,bRequiresUnlock,bRequired,Prop,Vendor,bAffectsGameplay,StatusEffect,GameplayTagContainer,UpgradeTo,bShowCraftingConfirmation,bShowStorageTab,PropType,CustomCraftingVerb,CustomCraftingUI,bCanCraftInOtherPlayersForts,PropComplexity,UpgradeChainIndex,DropWeight,QualityTags,CostType1,CostQuery1,Cost1,CostQuantity1,CostText1,CostIcon1,bApplyCost1ToFortProp,CostType2,CostQuery2,Cost2,CostQuantity2,CostText2,CostIcon2,bApplyCost2ToFortProp,Notes
Barrel,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""B25C6C5743850B95150579AE34E6EC82"", ""Sturdy Useful Barrel"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/barrel_single.barrel_single","True","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestBarrel03.FortTestBarrel03_C","None","False","None","(GameplayTags=((TagName=""Fort.Prop.Deco.HomesteaderContract""),(TagName=""Fort.Prop.Deco.Bundle_4"")))","None","False","False","FortDecor","","None","False","1","0","100","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","216","","None","False","Currency","Name","WoodLog_T1_Ash","2","","None","False","Small"
BarrelGroup,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""E5A0F8F5486A43E147713C90530FCF07"", ""Buncha Wooden Barrels"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/barrel_stack.barrel_stack","True","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_barrelgrp_a_bp.fort_prop_barrelgrp_a_bp_C","None","False","None","(GameplayTags=((TagName=""Fort.Prop.Deco.HomesteaderContract""),(TagName=""Fort.Prop.Deco.Bundle_2"")))","None","False","False","FortDecor","","None","False","1","0","100","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","287","","None","False","Currency","Name","WoodLog_T1_Ash","3","","None","False","Medium"
BarrelofEmberCrystals,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""BarrelofEmberCrystals_DisplayName"", ""Crystal-Filled Barrel"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/barrel_crystals.barrel_crystals","True","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_barrel_crystals_01.fort_barrel_crystals_01_C","None","False","None","(GameplayTags=((TagName=""Fort.Prop.Deco.AdventurerContract""),(TagName=""Fort.Prop.Deco.Bundle_2"")))","None","False","False","FortDecor","","None","False","1","0","60","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","Gold","300","","None","False","Currency","Name","WoodLog_T1_Ash","6","","None","False","Medium"
Bench_Wood_Bare_01,"(RowName=""Decorations"")","(RowName=""Furniture"")","0","NSLOCTEXT(""FortPropsTable"", ""49D84B914291FA330DB0C0ADE1156701"", ""Rustic Bench"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/branch_bench.branch_bench","True","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/Contracts/fort_prop_barewoodseat_01_bp.fort_prop_barewoodseat_01_bp_C","None","False","None","(GameplayTags=((TagName=""Fort.Prop.Deco.HomesteaderContract""),(TagName=""Fort.Prop.Deco.Bundle_2"")))","None","False","False","FortDecor","","None","False","1","0","60","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","Gold","300","","None","False","Currency","Name","WoodLog_T1_Ash","6","","None","False","Medium"
Bench_Wooden,"(RowName=""Decorations"")","(RowName=""Furniture"")","0","NSLOCTEXT(""FortPropsTable"", ""90BDB0BE4408781C3AD230919F985110"", ""Splintered Bench"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/basic_bench.basic_bench","True","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestGoblinBench.FortTestGoblinBench_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","False","1","0","0","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","216","","None","False","Currency","Name","WoodLog_T1_Ash","2","","None","False","Small"
Brazier,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""F47F7C684BED93096070F1B4576CB0FC"", ""Evil-looking Brazier"")","","None","True","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestEvilBrazier.FortTestEvilBrazier_C","None","False","None","(GameplayTags=((TagName=""Fort.Prop.Deco.AdventurerContract""),(TagName=""Fort.Prop.Deco.Bundle_2"")))","None","False","False","FortDecor","","None","False","2","0","60","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","Gold","300","","None","False","Currency","Name","MetalNugget_T1_Tin","26","","None","False","Medium"
BrewingBarrel_01,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""E035B2D64CEFD21530EAF3BDC38680A9"", ""Brew Barrel"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/drink_barrel.drink_barrel","True","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/Contracts/fort_prop_brewingbarrel_01_bp.fort_prop_brewingbarrel_01_bp_C","None","False","None","(GameplayTags=((TagName=""Fort.Prop.Deco.CraftsmanContract""),(TagName=""Fort.Prop.Deco.Bundle_1"")))","None","False","False","FortDecor","","None","False","1","0","5","(GameplayTags=((TagName=""ItemQuality.Rare"")))","Currency","Name","Gold","400","","None","False","Currency","Name","WoodPlank_T1_Ash","10","","None","False","Medium"
BrickPile_Fort_a,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""6A2CC9794670951AE26DDBAF452964E4"", ""Buncha Stacked Blocks"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/bricks_b.bricks_b","True","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_brickpile_a.fort_prop_brickpile_a_C","None","False","None","(GameplayTags=((TagName=""Fort.Prop.Deco.AdventurerContract""),(TagName=""Fort.Prop.Deco.Bundle_4"")))","None","False","False","FortDecor","","None","False","1","0","100","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","287","","None","False","Currency","Name","StoneRock_T1_Sandstone","8","","None","False","Medium"
BrickPile_Fort_b,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""CFC3B4B6499B2F76C961FAA74BAA0205"", ""Buncha Piled Blocks"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/bricks_a.bricks_a","True","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_brickpile_b.fort_prop_brickpile_b_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","False","1","0","0","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","287","","None","False","Currency","Name","StoneRock_T1_Sandstone","8","","None","False","Medium"
BrickPile_Fort_c,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""DB5D59AB42A0A2C46270DD9CF338A47D"", ""Buncha Heaped Blocks"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/bricks_c.bricks_c","True","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_brickpile_c.fort_prop_brickpile_c_C","None","False","None","(GameplayTags=((TagName=""Fort.Prop.Deco.CraftsmanContract""),(TagName=""Fort.Prop.Deco.Bundle_4"")))","None","False","False","FortDecor","","None","False","1","0","100","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","287","","None","False","Currency","Name","StoneRock_T1_Sandstone","8","","None","False","Medium"
Bucket_Gob_01,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""E608BF924DDBF33A4C1F6E8102C6B913"", ""Slightly Leaky Bucket"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/bucket.bucket","True","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_bucket_gob_01.fort_prop_bucket_gob_01_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","False","1","0","0","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","216","","None","False","Currency","Name","WoodLog_T1_Ash","2","","None","False","Small"
Bucket_Gob_Broken_01,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""E7FF3872487F1F7AA6C251B062BF2887"", ""Very Leaky Bucket"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/leaky_bucket.leaky_bucket","True","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_bucket_broken__gob_container_01.fort_prop_bucket_broken__gob_container_01_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","False","1","0","0","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","216","","None","False","Currency","Name","WoodLog_T1_Ash","2","","None","False","Small"
CampaignMap,"(RowName=""Decorations"")","(RowName=""Furniture"")","0","NSLOCTEXT(""FortPropsTable"", ""468AA29B4515383CBBBFDE96EFC4958C"", ""War Planning Table"")","NSLOCTEXT(""FortPropsTable"", ""D3708EBE4C88CA812B77709C9EF72541"", ""Danger lurks around every corner. Plan your grand strategy from the safety of your fort."")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/planning_table_old.planning_table_old","True","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestCampaignMap.FortTestCampaignMap_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","False","1","0","0","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","Currency","Name","WoodPlank_T1_Ash","16","","None","False","Currency","Name","RareWood","1","","None","False","Medium"
Campfire_CookPot_Gob_02,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""015AE13F471F53AA9482B9BE41DBD99F"", ""Backcountry Cookpot"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/firepit_2.firepit_2","True","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_campfire_gob_02.fort_prop_campfire_gob_02_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","False","3","0","0","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","Gold","200","","None","False","Currency","Name","MetalNugget_T1_Tin","26","","None","False","Medium"
Campfire_Stone,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""5C7F92D643397B6307954CB32823C83D"", ""Cozy Little Campfire"")","","None","True","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestCampfire.FortTestCampfire_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","False","2","0","0","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","287","","None","False","Currency","Name","StoneRock_T1_Sandstone","8","","None","False","Medium"
CarouselPavilion,"(RowName=""Decorations"")","(RowName=""Structures"")","0","NSLOCTEXT(""FortPropsTable"", ""A678CF114D985A04788AE0888C7AAC50"", ""Patchwork Pavilion"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/tent_round.tent_round","True","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_tent_a_bp.fort_prop_tent_a_bp_C","None","False","None","(GameplayTags=((TagName=""Fort.Prop.Deco.CraftsmanContract""),(TagName=""Fort.Prop.Deco.Bundle_2"")))","None","False","False","FortDecor","","None","False","1","0","100","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","200","","None","False","Currency","Name","WoodLog_T1_Ash","4","","None","False","Large"
Cauldron_Goblin,"(RowName=""Decorations"")","(RowName=""Misc"")","0","NSLOCTEXT(""FortPropsTable"", ""8A8F68D241832187218FADB787EBBE0D"", ""Goblin Cauldron"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/goblin_cauldron_1.goblin_cauldron_1","True","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortTestCauldron.FortTestCauldron_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","False","1","0","0","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","Gold","200","","None","False","Currency","Name","MetalNugget_T1_Tin","26","","None","False","Medium"
Chair_Stool_Gobcave_01,"(RowName=""Decorations"")","(RowName=""Furniture"")","0","NSLOCTEXT(""FortPropsTable"", ""7C18716543A6D0AAED263D91A80ED054"", ""Mostly Sturdy Stool"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/stool.stool","True","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_stool_gcave_01.fort_prop_stool_gcave_01_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","False","1","0","0","(GameplayTags=((TagName=""ItemQuality.Normal"")))","Currency","Name","Gold","216","","None","False","Currency","Name","WoodLog_T1_Ash","2","","None","False","Small"
ChickenCoop_01,"(RowName=""Decorations"")","(RowName=""Structures"")","0","NSLOCTEXT(""FortPropsTable"", ""F16C13DE458DAC4A9DA10D9DF885A29C"", ""Chicken Coop"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/chickencoop_1.chickencoop_1","True","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/Contracts/fort_prop_chickencoop_01_bp.fort_prop_chickencoop_01_bp_C","None","False","None","(GameplayTags=((TagName=""Fort.Prop.Deco.CraftsmanContract""),(TagName=""Fort.Prop.Deco.Bundle_1"")))","None","False","False","FortDecor","","None","False","1","0","5","(GameplayTags=((TagName=""ItemQuality.Rare"")))","Currency","Name","Gold","400","","None","False","Currency","Name","WoodPlank_T1_Ash","10","","None","False","Medium"
ChickenCoop_02,"(RowName=""Decorations"")","(RowName=""Structures"")","0","NSLOCTEXT(""FortPropsTable"", ""57DD1EE141EF585AAEAEBAA7157EF866"", ""Classy Chicken Coop"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/chickencoop_2.chickencoop_2","True","True","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/Contracts/fort_prop_chickencoup_02_bp.fort_prop_chickencoup_02_bp_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","None","False","1","0","0","(GameplayTags=((TagName=""ItemQuality.Legendary"")))","Currency","Name","WoodPlank_T1_Ash","16","","None","False","Currency","Name","RareWood","1","","None","False","Medium"
Column_GoblinGate_01,"(RowName=""Decorations"")","(RowName=""Walls"")","0","NSLOCTEXT(""FortPropsTable"", ""EC2B43C34B9B98F1D781CBBE591CB712"", ""Goblin Post"")","","None","True","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/fort_prop_gob_column_01.fort_prop_gob_column_01_C","None","False","None","(GameplayTags=((TagName=""Fort.Prop.Deco.CraftsmanContract""),(TagName=""Fort.Prop.Deco.Bundle_2"")))","None","False","False","FortDecor","","None","False","2","0","60","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","Gold","300","","None","False","Currency","Name","WoodLog_T1_Ash","6","","None","False","Medium"
Column_WoodMoss_01,"(RowName=""Decorations"")","(RowName=""Walls"")","0","NSLOCTEXT(""FortPropsTable"", ""7575CE1E4D5AFF10AB6D7A97A36E7340"", ""Weathered Pillar"")","","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/weathered_pillar.weathered_pillar","True","False","True","False","/Game/Environments/GlobalProps/Blueprints/Fort/IntoTheUnknown/fort_prop_ITU_column_1a_bp.fort_prop_ITU_column_1a_bp_C","None","False","None","(GameplayTags=((TagName=""Fort.Prop.Deco.HomesteaderContract""),(TagName=""Fort.Prop.Deco.Bundle_4"")))","None","False","False","FortDecor","","None","False","1","0","60","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","Gold","300","","None","False","Currency","Name","WoodLog_T1_Ash","6","","None","False","Medium"
Crafting_Enchanter,"(RowName=""Functional"")","(RowName=""Crafting"")","1","NSLOCTEXT(""FortPropsTable"", ""987E70B3478EE90D6DDBE5B42F76A644"", ""Enchanter\'s Altar"")","NSLOCTEXT(""FortPropsTable"", ""CD67E17A44916BC552D4FB84A33338FB"", ""A place to enhance items and break down unwanted gear. "")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/enchanting_fort_icon.enchanting_fort_icon","True","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortEnchantingStation_bp.FortEnchantingStation_bp_C","None","False","None","(GameplayTags=)","None","False","False","FortDecor","","/Game/UI/Enchanting/EnchantingMenuWidget.EnchantingMenuWidget_C","True","2","0","0","(GameplayTags=((TagName=""ItemQuality.Rare"")))","None","None","None","0","","None","False","None","None","None","0","","None","False",""
Crafting_Sawmill,"(RowName=""Functional"")","(RowName=""Crafting"")","1","NSLOCTEXT(""FortPropsTable"", ""42AE1529451E07326AAFCE9DCBC7F202"", ""Sawmill"")","NSLOCTEXT(""FortPropsTable"", ""C8D5BF6D4019EDE1603FCFB1296D0D24"", ""Craft wood logs into wood planks."")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/sawmill_fort_icon.sawmill_fort_icon","True","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortSawmill_bp.FortSawmill_bp_C","None","False","None","(GameplayTags=)","None","True","False","FortDecor","","None","False","1","0","0","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","WoodLog_T1_Ash","100","","None","False","Currency","Name","StoneRock_T1_Sandstone","100","","None","False",""
Crafting_Smelter,"(RowName=""Functional"")","(RowName=""Crafting"")","1","NSLOCTEXT(""FortPropsTable"", ""9C164CDF49211D337789C495014F50E2"", ""Smelter"")","NSLOCTEXT(""FortPropsTable"", ""A004DDF446250FD3412DAF915833E8FA"", ""Craft metal nuggets into metal bars."")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/smelter_fort_icon.smelter_fort_icon","True","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortSmelter_bp.FortSmelter_bp_C","None","False","None","(GameplayTags=)","None","True","False","FortDecor","","None","False","4","0","0","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","WoodLog_T1_Ash","100","","None","False","Currency","Name","StoneRock_T1_Sandstone","100","","None","False",""
Crafting_Stonemason,"(RowName=""Functional"")","(RowName=""Crafting"")","1","NSLOCTEXT(""FortPropsTable"", ""5996B6604385BDDD16D03CB3CB31073E"", ""Stonemason"")","NSLOCTEXT(""FortPropsTable"", ""59DA07D84ACDF184961E92BC0446F75D"", ""Craft stone rocks into stone blocks."")","/Game/Environments/GlobalProps/Blueprints/Fort/FortObjectIcons/stonemason_fort_icon.stonemason_fort_icon","True","True","False","False","/Game/Environments/GlobalProps/Blueprints/Fort/FortStoneMason_bp.FortStoneMason_bp_C","None","False","None","(GameplayTags=)","None","True","False","FortDecor","","None","False","2","0","0","(GameplayTags=((TagName=""ItemQuality.Magic"")))","Currency","Name","WoodLog_T1_Ash","100","","None","False","Currency","Name","StoneRock_T1_Sandstone","100","","None","False",""
