---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
Common+Uncommon,"Each","0","0","False","GotoMonsterSpawnRow","Common","1","GotoMonsterSpawnRow","Uncommon","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Rare,"All","3","0","False","AddMonsterByFilter","Character.Monster.Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
VeryRare,"All","0","0","False","AddMonsterByFilter","Character.Monster.VeryRare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Common+Rare,"Each","0","0","False","GotoMonsterSpawnRow","Common","1","GotoMonsterSpawnRow","Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Uncommon+Rare,"Each","0","0","False","GotoMonsterSpawnRow","Uncommon","1","GotoMonsterSpawnRow","Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
ChampionOrBetter,"Pick","0","0","False","GotoMonsterSpawnRow","Champion","10","GotoMonsterSpawnRow","Legendary","3","GotoMonsterSpawnRow","Unique","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Unique,"All","0","5","False","SetMonsterChampions","Unique","1","SetMonsterPackSize","Medium","1","GotoMonsterSpawnRow","PackOrAny","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Legendary,"All","0","5","False","SetMonsterChampions","Legendary","1","SetMonsterPackSize","Large","1","GotoMonsterSpawnRow","PackOrAny","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Champion,"All","0","0","False","SetMonsterChampions","Champion","1","GotoMonsterSpawnRow","ChampionPickPackSize","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
ChampionPickPackSize,"Pick","0","0","False","GotoMonsterSpawnRow","ChampionSolo","3","GotoMonsterSpawnRow","ChampionPackMedium","3","GotoMonsterSpawnRow","ChampionPackLarge","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
ChampionSolo,"All","0","0","False","SetMonsterPackSize","Small","1","GotoMonsterSpawnRow","SoloOrAny","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
ChampionPackMedium,"All","0","0","False","SetMonsterPackSize","Medium","1","GotoMonsterSpawnRow","PackOrAny","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
ChampionPackLarge,"All","0","0","False","SetMonsterPackSize","Large","1","GotoMonsterSpawnRow","PackOrAny","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
SoloOrAny,"Pick","0","0","False","AddMonsterByFilter","Character.Monster.Championable.Solo","2","AddMonsterByFilter","Character.Monster.Championable","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
PackOrAny,"Pick","0","0","False","AddMonsterByFilter","Character.Monster.Championable.Pack","2","AddMonsterByFilter","Character.Monster.Championable","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Skeletons,"All","0","0","False","AddAreaTagsToAny","","1","GameplayTagAll","Character.Monster.Skeleton.Physical","1","GotoMonsterSpawnRow","ChooseMonsters","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Undead,"All","0","0","False","GameplayTagAll","Character.Monster.Undead","1","AddAreaTagsToAny","","1","GotoMonsterSpawnRow","ChooseMonsters","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Zombies,"All","0","0","False","GameplayTagAll","Character.Monster.Zombie;Region.Global","1","GotoMonsterSpawnRow","ChooseMonsters_Night","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Goblins,"All","0","0","False","AddAreaTagsToAny","","1","GameplayTagAll","Character.Monster.Goblin","1","GotoMonsterSpawnRow","ChooseMonsters","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Goblin_Miner,"All","0","0","False","AddMonsterByFilter","Character.Monster.Goblin.Miner","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Goblin_Lumberjack,"All","0","0","False","AddMonsterByName","Goblin_Lumberjack","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
MimicTreasureChest,"All","0","5","False","AddMonsterByName","Mimic_TreasureChest","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
MimicTreasureChestBoss,"All","0","0","False","AddChampionMonsterByName","Mimic_TreasureChest_Boss","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
MimicSkeletonMelee,"All","0","0","False","AddAreaTagsToAny","","1","AddMonsterByFilter","Character.Monster.Skeleton.Melee.Mimic","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
MimicSkeletonRanged,"All","0","0","False","AddAreaTagsToAny","","1","AddMonsterByFilter","Character.Monster.Skeleton.Ranged.Mimic","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
MimicSkeletonShield,"All","0","0","False","AddAreaTagsToAny","","1","AddMonsterByFilter","Character.Monster.Skeleton.Shield.Mimic","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Mossrat,"All","0","0","False","GotoMonsterSpawnRow","ChoosePackSize","1","GotoMonsterSpawnRow","IncreasePackSize","1","AddMonsterByFilter","Character.Monster.Rat","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Gargoyle,"All","0","0","False","AddMonsterByName","Gargoyle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
StoneElemental,"All","0","0","False","AddMonsterByName","Stone_Elemental","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
StoneElemental_Caves,"All","0","0","False","AddMonsterByName","Stone_Elemental_GoblinCaves","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
StoneElemental_Hyvid,"All","0","0","False","AddMonsterByName","Stone_Elemental_Hyvid","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
StoneElemental_Echonok,"All","0","0","False","AddMonsterByName","Stone_Elemental_Echonok","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
PhaseBeast,"All","0","0","False","AddMonsterByName","Phasebeast","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
BossRoom,"Pick","0","0","False","GotoMonsterSpawnRow","Common+Uncommon","1","GotoMonsterSpawnRow","Common+Rare","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
VespidEggPod,"All","2","0","False","AddMonsterByFilter","Character.Monster.Vespid.Eggpod","1","GotoMonsterSpawnRow","VespidGuardian","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
GoblinChanter,"All","0","0","False","AddMonsterByName","Goblin_Chanter2|Force","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Goblins_NoChanter,"All","0","0","False","GameplayTagExclude","Character.Monster.Goblin.Chanter","1","GotoMonsterSpawnRow","Goblins","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
VespidSoldier,"All","0","0","False","SetMonsterPackSize","Large","1","GotoMonsterSpawnRow","IncreasePackSize","1","AddMonsterByName","Vespid_Soldier","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
VespidFlier,"All","0","0","False","SetMonsterPackSize","Medium","1","AddMonsterByName","Vespid_Flier","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
VespidGuardian,"All","20","0","False","AddMonsterByFilter","Character.Monster.Vespid.Guardian","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
VespidLarvae,"All","0","0","False","SetMonsterPackSize","Medium","1","AddMonsterByName","Vespid_Larvae","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
SpawnMonsters_SoldierChampions,"All","0","0","False","SetMonsterChampions","Champion","1","SetMonsterPackSize","Small","1","AddMonsterByName","Vespid_Soldier_Newbie","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_SoldierToughChampions,"All","0","0","False","SetMonsterChampions","Champion","1","SetMonsterPackSize","Small","1","AddMonsterByName","Vespid_SoldierTough","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_GuardianChampions,"All","0","0","False","SetMonsterChampions","Champion","1","SetMonsterPackSize","Small","1","AddMonsterByName","Vespid_Guardian","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
SpawnMonsters_LarvaeChampions,"All","0","0","False","SetMonsterChampions","Champion","1","SetMonsterPackSize","Small","1","AddMonsterByName","Vespid_Larvae","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
SpawnMonsters_FlierChampions,"All","0","0","False","SetMonsterChampions","Champion","1","SetMonsterPackSize","Small","1","AddMonsterByName","Vespid_Flier_Newbie","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)","This was for the Quest_Infested_AreaFlierChamps quest but is no longer used and can be cleaned up/removed."
SpawnMonsters_FlierChampions2,"All","0","0","False","SetMonsterChampions","Champion","1","SetMonsterPackSize","Small","1","AddMonsterByName","Vespid_Flier","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_NetherimChamps,"All","0","0","False","SetMonsterChampions","Champion","1","SetMonsterPackSize","Small","1","AddMonsterByFilter","Character.Monster.Netherim","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Charger,"All","0","0","False","SetMonsterPackSize","Small","1","AddMonsterByName","Vespid_Charger","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
QuestChamp_GoblinRider,"All","0","0","False","SetMonsterChampions","Unique","1","AddChampionMonsterByName","Goblin_RiderBeast","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
SpawnMonsters_PhaseBeast,"All","0","0","False","AddAreaTagsToAny","","1","GameplayTagAll","Character.Monster.PhaseBeast","1","GotoMonsterSpawnRow","PhaseBeast","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
QuestChamp_GoblinWarrior,"All","0","0","False","SetMonsterChampions","Unique","1","AddChampionMonsterByName","Goblin_Stabby","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
QuestChamp_GoblinGunner,"All","0","0","False","SetMonsterChampions","Unique","1","AddChampionMonsterByName","Goblin_Gunner_Tough","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
QuestChamp_GoblinBrute,"All","0","0","False","SetMonsterChampions","Unique","1","AddChampionMonsterByName","Goblin_Brute","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
SpawnFriendly_ImperialGuardMelee,"All","0","0","False","AddMonsterByName","ImperialGuard_Melee_Friendly","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
VolturaGlider_SwoopSquadron,"All","0","0","False","SetMonsterPackSize","Large","1","AddMonsterByName","Voltura_Glider","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
SpawnProp_Pylon,"All","0","0","False","AddMonsterByName","Prop_Pylon","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
SpawnMonsters_StrongtuskP2_Goblins,"All","0","0","False","AddMonsterByName","Goblin_Stabby2","2","AddMonsterByName","Goblin_Stabby3","2","AddMonsterByName","Goblin_Chanter2","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
SpawnMonsters_StrongtuskP2_Netherim,"All","0","0","False","AddMonsterByName","Netherling","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
SpawnMonsters_StrongtuskP4_Goblins,"All","0","0","False","AddMonsterByName","Goblin_Stabby2","2","AddMonsterByName","Goblin_Stabby3","1","AddMonsterByName","Goblin_Brute2","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
SpawnProp_CorruptCrystal,"All","0","0","False","AddMonsterByName","Prop_CorruptEmberCrystal","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Caves_Day,"All","0","0","False","AddAreaTagsToAny","","1","GotoMonsterSpawnRow","ChooseMonsters","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonster_RottenGuardsman,"All","0","0","False","SetMonsterChampions","Champion","1","SetMonsterPackSize","Small","1","AddMonsterByName","Skeleton_Melee_PoisonQuest","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","For the Quest_Echonok_EM1_DwarvenRainbow quest"
QuestChamp_VarkeninBruteNewbie,"All","0","0","False","SetMonsterChampions","Unique","1","AddChampionMonsterByName","Varkenin_Brute_Newbie","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Netherling,"All","0","0","False","AddMonsterByFilter","Character.Monster.Netherim.Netherling","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Champions_Goblins,"All","0","0","False","AddAreaTagsToAny","","1","GameplayTagAll","Character.Monster.Goblin","1","GotoMonsterSpawnRow","ChampionOrBetter","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Voltura,"All","0","0","False","GameplayTagAll","Character.Monster.Voltura","1","GotoMonsterSpawnRow","ChooseMonsters","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Voltura_Champs,"All","0","0","False","GameplayTagAll","Character.Monster.Voltura","1","GotoMonsterSpawnRow","ChampionOrBetter","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Voltura_Bomber,"All","0","0","False","AddMonsterByFilter","Character.Monster.Voltura.Bomber","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Voltura_Bomber_Champs,"All","0","0","False","GameplayTagAll","Character.Monster.Voltura.Bomber","1","GotoMonsterSpawnRow","ChampionOrBetter","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Voltura_Fighter,"All","0","0","False","AddMonsterByFilter","Character.Monster.Voltura.Fighter","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Voltura_Fighter_Champs,"All","0","0","False","GameplayTagAll","Character.Monster.Voltura.Fighter","1","GotoMonsterSpawnRow","ChampionOrBetter","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Voltura_Glider,"All","0","0","False","AddMonsterByFilter","Character.Monster.Voltura.Glider","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Voltura_Glider_Champs,"All","0","0","False","GameplayTagAll","Character.Monster.Voltura.Glider","1","GotoMonsterSpawnRow","ChampionOrBetter","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Voltura_Gunner,"All","0","0","False","AddMonsterByFilter","Character.Monster.Voltura.Gunner","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Voltura_Gunner_Champs,"All","0","0","False","GameplayTagAll","Character.Monster.Voltura.Gunner","1","GotoMonsterSpawnRow","ChampionOrBetter","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Voltura_Interceptor,"All","0","0","False","AddMonsterByFilter","Character.Monster.Voltura.Interceptor","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
SpawnMonsters_Voltura_Interceptor_Champs,"All","0","0","False","GameplayTagAll","Character.Monster.Voltura.Interceptor","1","GotoMonsterSpawnRow","ChampionOrBetter","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
