---,DisplayName,Type,Dye,SkinHairGradient,MinLevel,MaxLevel,DropWeight,AreaTags,Notes
VsGroupsDigitus,"NSLOCTEXT(""DyeTable"", ""3C9467D1481AE4FE75892FB9E51CBA93"", ""Versus Groups Digitus"")","GearDye","/Game/Items/Dyes/Dye_VsGroupsDigitus.Dye_VsGroupsDigitus_C","None","0.000000","0.000000","0","None",""
LightDigitus,"NSLOCTEXT(""DyeTable"", ""CF29573843CC7EC045900B84683A0124"", ""Light Digitus"")","GearDye","/Game/Items/Dyes/Dye_LightDigitus.Dye_LightDigitus_C","None","0.000000","0.000000","0","None",""
ShadowsDigitus,"NSLOCTEXT(""DyeTable"", ""D01794734277424D867512990D0980BE"", ""Shadows Digitus"")","GearDye","/Game/Items/Dyes/Dye_ShadowsDigitus.Dye_ShadowsDigitus_C","None","0.000000","0.000000","0","None",""
VespidDigitus,"NSLOCTEXT(""DyeTable"", ""F68E5E3741287C7FD56209B6ACD52794"", ""Vespid Digitus"")","GearDye","/Game/Items/Dyes/Dye_VespidDigitus.Dye_VespidDigitus_C","None","0.000000","0.000000","0","None",""
VolturaDigitus,"NSLOCTEXT(""DyeTable"", ""2672AA0D47137717D1E7FD8EB5DB2A57"", ""Voltura Digitus"")","GearDye","/Game/Items/Dyes/Dye_VolturaDigitus.Dye_VolturaDigitus_C","None","0.000000","0.000000","0","None",""
VsIndividualsDigitus,"NSLOCTEXT(""DyeTable"", ""0BED628349E44824B7A9AAAC121DCD66"", ""Versus Individuals Digitus"")","GearDye","/Game/Items/Dyes/Dye_VsIndividualsDigitus.Dye_VsIndividualsDigitus_C","None","0.000000","0.000000","0","None",""
GoblinCannon,"NSLOCTEXT(""DyeTable"", ""135A350C4AAABF3CD3CFEAA4A6B4F68D"", ""Goblin Cannon"")","GearDye","/Game/Items/Dyes/Dye_GoblinCannon.Dye_GoblinCannon_C","None","0.000000","0.000000","0","None",""
IconicCannon,"NSLOCTEXT(""DyeTable"", ""07D61BC3494E73ABA608DA998F245486"", ""Iconic Cannon"")","GearDye","/Game/Items/Dyes/Dye_IconicCannon.Dye_IconicCannon_C","None","0.000000","0.000000","0","None",""
Iconic2Cannon,"NSLOCTEXT(""DyeTable"", ""3264070046E893372F79169CC3B28936"", ""Iconic 2 Cannon"")","GearDye","/Game/Items/Dyes/Dye_Iconic2Cannon.Dye_Iconic2Cannon_C","None","0.000000","0.000000","0","None",""
Iconic3Cannon,"NSLOCTEXT(""DyeTable"", ""DA55D54340091CACF0383F9DD961D07E"", ""Iconic 3 Cannon"")","GearDye","/Game/Items/Dyes/Dye_Iconic3Cannon.Dye_Iconic3Cannon_C","None","0.000000","0.000000","0","None",""
Iconic4Cannon,"NSLOCTEXT(""DyeTable"", ""90010C634F05FE62FB780C821317870A"", ""Iconic 4 Cannon"")","GearDye","/Game/Items/Dyes/Dye_Iconic4Cannon.Dye_Iconic4Cannon_C","None","0.000000","0.000000","0","None",""
Iconic5Cannon,"NSLOCTEXT(""DyeTable"", ""191DD9EC4287FE541E2A9481D610A343"", ""Iconic 5 Cannon"")","GearDye","/Game/Items/Dyes/Dye_Iconic5Cannon.Dye_Iconic5Cannon_C","None","0.000000","0.000000","0","None",""
Iconic6Cannon,"NSLOCTEXT(""DyeTable"", ""A6F00F7B41DB27DCF2CC4882037D1546"", ""Iconic 6 Cannon"")","GearDye","/Game/Items/Dyes/Dye_Iconic6Cannon.Dye_Iconic6Cannon_C","None","0.000000","0.000000","0","None",""
NewbieCannon,"NSLOCTEXT(""DyeTable"", ""964139B14E9CF0EF794393956AAF2ED1"", ""Newbie Cannon"")","GearDye","/Game/Items/Dyes/Dye_NewbieCannon.Dye_NewbieCannon_C","None","0.000000","0.000000","0","None",""
ShadowsCannon,"NSLOCTEXT(""DyeTable"", ""85D0992A4760EF3BE44901858B379DDE"", ""Shadows Cannon"")","GearDye","/Game/Items/Dyes/Dye_ShadowsCannon.Dye_ShadowsCannon_C","None","0.000000","0.000000","0","None",""
SkeletonCannon,"NSLOCTEXT(""DyeTable"", ""0A23918F4D8A2E1C9790DF9283BE36D6"", ""Skeleton Cannon"")","GearDye","/Game/Items/Dyes/Dye_SkeletonCannon.Dye_SkeletonCannon_C","None","0.000000","0.000000","0","None",""
SteampunkCannon,"NSLOCTEXT(""DyeTable"", ""9D3816964A664BEB5726C68FA88E7FF8"", ""Steampunk Cannon"")","GearDye","/Game/Items/Dyes/Dye_SteampunkCannon.Dye_SteampunkCannon_C","None","0.000000","0.000000","0","None",""
VolturaCannon,"NSLOCTEXT(""DyeTable"", ""143994484B76F92E7EAA5F8DA860EBC9"", ""Voltura Cannon"")","GearDye","/Game/Items/Dyes/Dye_VolturaCannon.Dye_VolturaCannon_C","None","0.000000","0.000000","0","None",""
VsGroupsCannon,"NSLOCTEXT(""DyeTable"", ""2DA9BF5443D4D24ABBB71488E35BCE11"", ""Versus Groups Cannon"")","GearDye","/Game/Items/Dyes/Dye_VsGroupsCannon.Dye_VsGroupsCannon_C","None","0.000000","0.000000","0","None",""
VsIndividualsCannon,"NSLOCTEXT(""DyeTable"", ""447DB20C4BED321641966B96F4CD3B1E"", ""Versus Individuals Cannon"")","GearDye","/Game/Items/Dyes/Dye_VsIndividualsCannon.Dye_VsIndividualsCannon_C","None","0.000000","0.000000","0","None",""
VsIndividuals2Cannon,"NSLOCTEXT(""DyeTable"", ""0EF35F644DAA78659C716BB82E61D998"", ""Versus Individuals 2 Cannon"")","GearDye","/Game/Items/Dyes/Dye_VsIndividuals2Cannon.Dye_VsIndividuals2Cannon_C","None","0.000000","0.000000","0","None",""
VsIndividuals3Cannon,"NSLOCTEXT(""DyeTable"", ""FAD8118041BE23B85DEC4D9F5E6EDEB4"", ""Versus Individuals 3 Cannon"")","GearDye","/Game/Items/Dyes/Dye_VsIndividuals3Cannon.Dye_VsIndividuals3Cannon_C","None","0.000000","0.000000","0","None",""
GoblinChaseDM,"NSLOCTEXT(""DyeTable"", ""2CB0960748CA2AC26A3D64A16E882836"", ""Goblin Chase DM"")","GearDye","/Game/Items/Dyes/Dye_GoblinChaseDM.Dye_GoblinChaseDM_C","None","0.000000","0.000000","0","None",""
GoblinChaseRM,"NSLOCTEXT(""DyeTable"", ""FBFF549046D1CBCFF7F91E9C346471AA"", ""Goblin Chase RM"")","GearDye","/Game/Items/Dyes/Dye_GoblinChaseRM.Dye_GoblinChaseRM_C","None","0.000000","0.000000","0","None",""
GoblinChaseFOR,"NSLOCTEXT(""DyeTable"", ""5148FB824BFD316B9A11869D045DCCC9"", ""Goblin Chase FOR"")","GearDye","/Game/Items/Dyes/Dye_GoblinChaseFOR.Dye_GoblinChaseFOR_C","None","0.000000","0.000000","0","None",""
VolturaChaseDM,"NSLOCTEXT(""DyeTable"", ""80E8D5824314EB47E3DE249E6CD827CD"", ""Voltura Chase DM"")","GearDye","/Game/Items/Dyes/Dye_VolturaChaseDM.Dye_VolturaChaseDM_C","None","0.000000","0.000000","0","None",""
VolturaChaseRM,"NSLOCTEXT(""DyeTable"", ""983D5E454E46A865F4899F86721D08F9"", ""Voltura Chase RM"")","GearDye","/Game/Items/Dyes/Dye_VolturaChaseRM.Dye_VolturaChaseRM_C","None","0.000000","0.000000","0","None",""
VolturaChaseFOR,"NSLOCTEXT(""DyeTable"", ""85B0D379438DFDB97C7069A52D50B44F"", ""Voltura Chase FOR"")","GearDye","/Game/Items/Dyes/Dye_VolturaChaseFor.Dye_VolturaChaseFOR_C","None","0.000000","0.000000","0","None",""
VolturaChaseSS,"NSLOCTEXT(""DyeTable"", ""C84C90BD4A6F9DC62A8E738EC8FF513F"", ""Voltura Chase SS"")","GearDye","/Game/Items/Dyes/Dye_VolturaChaseSS.Dye_VolturaChaseSS_C","None","0.000000","0.000000","0","None",""
VespidChaseDM,"NSLOCTEXT(""DyeTable"", ""EAE9E15B40892B3943E0C289167FE3FB"", ""Vespid Chase DM"")","GearDye","/Game/Items/Dyes/Dye_VespidChaseDM.Dye_VespidChaseDM_C","None","0.000000","0.000000","0","None",""
HyvidChaseRM,"NSLOCTEXT(""DyeTable"", ""491DE90E4BF3DB116646329F8650CF03"", ""Hyvid Chase RM"")","GearDye","/Game/Items/Dyes/Dye_HyvidChaseRM.Dye_HyvidChaseRM_C","None","0.000000","0.000000","0","None",""
HyvidChaseFOR,"NSLOCTEXT(""DyeTable"", ""A62C4DB849E84FF8CAEF8DB9C97BF2B6"", ""Hyvid Chase FOR"")","GearDye","/Game/Items/Dyes/Dye_HyvidChaseFOR.Dye_HyvidChaseFOR_C","None","0.000000","0.000000","0","None",""
CommonChaseDM,"NSLOCTEXT(""DyeTable"", ""FE760E50489E0DACFD379C9E5D7CF7BE"", ""Common Chase DM"")","GearDye","/Game/Items/Dyes/Dye_CommonChaseDM.Dye_CommonChaseDM_C","None","0.000000","0.000000","0","None",""
CommonChaseRM,"NSLOCTEXT(""DyeTable"", ""B8F5B8204346F93436CF4EBF4AFDE26D"", ""Common Chase RM"")","GearDye","/Game/Items/Dyes/Dye_CommonChaseRM.Dye_CommonChaseRM_C","None","0.000000","0.000000","0","None",""
CommonChaseFOR,"NSLOCTEXT(""DyeTable"", ""F10DF21040E548E9FC49BBB464FB12F8"", ""Common Chase FOR"")","GearDye","/Game/Items/Dyes/Dye_CommonChaseFOR.Dye_CommonChaseFOR_C","None","0.000000","0.000000","0","None",""
CommonChaseSS,"NSLOCTEXT(""DyeTable"", ""BC6444244B703103D98BD881E9CBA6CB"", ""Common Chase SS"")","GearDye","/Game/Items/Dyes/Dye_CommonChaseSS.Dye_CommonChaseSS_C","None","0.000000","0.000000","0","None",""
SkinLight,"","SkinDye","None","Texture2D'/Game/Items/Dyes/gradients/Skin/grad_skin_light.grad_skin_light'","0.000000","0.000000","0","None",""
SkinLight2,"","SkinDye","None","Texture2D'/Game/Items/Dyes/gradients/Skin/grad_skin_light2.grad_skin_light2'","0.000000","0.000000","0","None",""
SkinMedium,"","SkinDye","None","Texture2D'/Game/Items/Dyes/gradients/Skin/grad_skin_medium.grad_skin_medium'","0.000000","0.000000","0","None",""
SkinMedium2,"","SkinDye","None","Texture2D'/Game/Items/Dyes/gradients/Skin/grad_skin_medium2.grad_skin_medium2'","0.000000","0.000000","0","None",""
SkinTan,"","SkinDye","None","Texture2D'/Game/Items/Dyes/gradients/Skin/grad_skin_tan.grad_skin_tan'","0.000000","0.000000","0","None",""
SkinTan2,"","SkinDye","None","Texture2D'/Game/Items/Dyes/gradients/Skin/grad_skin_tan2.grad_skin_tan2'","0.000000","0.000000","0","None",""
SkinDeep,"","SkinDye","None","Texture2D'/Game/Items/Dyes/gradients/Skin/grad_skin_deep.grad_skin_deep'","0.000000","0.000000","0","None",""
SkinDeep2,"","SkinDye","None","Texture2D'/Game/Items/Dyes/gradients/Skin/grad_skin_deep2.grad_skin_deep2'","0.000000","0.000000","0","None",""
