---,TriggerType,TriggerEvent,TagFilter,EventNameParam,Trait,AccumulateRandomChance,TriggerSkill,CooldownTimeSeconds,Notes
DarkChargeBar,"Always","SkillDamage","(GameplayTags=((TagName=""Skill.DuskMage.Light"")))","None","None","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarProc_Dark.Skill_ChargeBarProc_Dark_C","0.000000",""
DarkChargeBarDark,"Always","SkillDamage","(GameplayTags=((TagName=""Skill.DuskMage.Dark"")))","None","None","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarProc_Dark.Skill_ChargeBarProc_Dark_C","0.000000",""
DarkChargeBarDarkLock,"Always","ActiveTraitAtMax","(GameplayTags=)","DarkChargeBar","DarkChargeBarProc","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarLock_Balance_DM_Dark.Skill_ChargeBarLock_Balance_DM_Dark_C","0.000000",""
DarkChargeBarLock,"Always","ActiveTraitAtMax","(GameplayTags=)","DarkChargeBar","DarkChargeBarProc","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarLock_DMDark.Skill_ChargeBarLock_DMDark_C","0.000000",""
DarkChargeBarSkillStart,"Always","SkillStart","(GameplayTags=((TagName=""Skill.DuskMage.Dark"")))","None","None","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeStart_DMDark.Skill_ChargeStart_DMDark_C","0.000000",""
DarkChargeBarSkillStartBalance,"Always","SkillStart","(GameplayTags=((TagName=""Skill.DuskMage.Dark"")))","None","None","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_Charge_KeeperofBalance_Dark.Skill_Charge_KeeperofBalance_Dark_C","0.000000",""
EmberWeaponCharged,"Always","ActiveTraitAtMax","(GameplayTags=)","EmberWeaponCharge","EmberWeaponChargeProc","0.000000","/Game/Skills/Blueprints/EmberWeapons/ProcSkill_EmberWeaponCharged.ProcSkill_EmberWeaponCharged_C","0.000000",""
EmberWeaponDrainBonus,"Always","DidKill","(GameplayTags=)","None","EmberWeaponDrainBonus","0.000000","/Game/Skills/Blueprints/EmberWeapons/ProcSkill_EmberWeaponDrainBonus.ProcSkill_EmberWeaponDrainBonus_C","1.000000",""
Fear,"Random","DoDamage","(GameplayTags=)","None","ElementalProcChance|Proc.Fear","0.000000","/Game/Skills/Blueprints/ProcSkill_Fear.ProcSkill_Fear_C","0.000000",""
Freeze,"Random","DoDamage","(GameplayTags=((TagName=""Element.Ice"")))","None","ElementalProcChance|Proc.Freeze","0.000000","/Game/Skills/Blueprints/Elements/ProcSkill_Freeze.ProcSkill_Freeze_C","0.000000",""
FreezeWhenHit,"Random","TakeDamage","(GameplayTags=)","None","ProcChance|FreezeWhenHit","0.000000","/Game/Skills/Blueprints/Elements/ProcSkill_FreezeWhenHit.ProcSkill_FreezeWhenHit_C","0.000000",""
GhostSummon,"Random","DoDamage","(GameplayTags=)","None","ProcChance|GhostSummon","0.000000","/Game/Skills/Blueprints/EmberWeapons/Skill_Passive_SummonGhostsSummon.Skill_Passive_SummonGhostsSummon_C","0.000000",""
HarvestWood,"Accumulated","TakeDamage","(GameplayTags=)","None","HarvestingProc","0.000000","/Game/Skills/Blueprints/Harvesting/ProcSkill_HarvestWood.ProcSkill_HarvestWood_C","0.000000",""
HealthBall,"AccumulatedRandom","DoDamage","(GameplayTags=)","None","HealthBallProc","0.300000","/Game/Skills/Blueprints/ProcSkill_HealthBall.ProcSkill_HealthBall_C","0.000000",""
Icicle,"Random","TakeDamage","(GameplayTags=)","None","ProcChance|Icicle","0.000000","/Game/Skills/Blueprints/EmberWeapons/ProcSkill_Icicle.ProcSkill_Icicle_C","0.000000",""
Immobilize,"Random","DoDamage","(GameplayTags=)","None","ElementalProcChance|Proc.Immobilize","0.000000","/Game/Skills/Blueprints/ProcSkill_Immobilize.ProcSkill_Immobilize_C","0.000000",""
Knockback,"Random","DoDamage","(GameplayTags=)","None","KnockbackChance","0.000000","/Game/Skills/Blueprints/ProcSkill_Knockback.ProcSkill_Knockback_C","1.000000",""
LightChargeBar,"Always","SkillDamage","(GameplayTags=((TagName=""Skill.DuskMage.Dark"")))","None","None","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarProc_Light.Skill_ChargeBarProc_Light_C","0.000000",""
LightChargeBarLight,"Always","SkillDamage","(GameplayTags=((TagName=""Skill.DuskMage.Light"")))","None","None","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarProc_Light.Skill_ChargeBarProc_Light_C","0.000000",""
LightChargeBarLightLock,"Always","ActiveTraitAtMax","(GameplayTags=((TagName=""Skill.DuskMage.Light"")))","LightChargeBar","LightChargeBarProc","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarLock_Balance_DM_Light.Skill_ChargeBarLock_Balance_DM_Light_C","0.000000",""
LightChargeBarLock,"Always","ActiveTraitAtMax","(GameplayTags=)","LightChargeBar","LightChargeBarProc","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeBarLock_DMLight.Skill_ChargeBarLock_DMLight_C","0.000000",""
LightChargeBarSkillStart,"Always","SkillStart","(GameplayTags=((TagName=""Skill.DuskMage.Light"")))","None","None","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_ChargeStart_DMLight.Skill_ChargeStart_DMLight_C","0.000000",""
LightChargeBarSkillStartBalance,"Always","SkillStart","(GameplayTags=((TagName=""Skill.DuskMage.Light"")))","None","None","0.000000","/Game/Skills/Blueprints/DuskMage/Skill_Charge_KeeperofBalance_Dark.Skill_Charge_KeeperofBalance_Dark_C","0.000000",""
MissilesOnPoisoned,"Random","DoDamage","(GameplayTags=)","None","ProcChance|MissilesOnPoisoned","0.000000","/Game/Skills/Blueprints/EmberWeapons/Skill_EmberWeapon_Bane_MissilesOnPoisonHit.Skill_EmberWeapon_Bane_MissilesOnPoisonHit_C","1.000000",""
Poison,"Random","DoDamage","(GameplayTags=((TagName=""Element.Poison"")))","None","ElementalProcChance|Proc.Poison","0.000000","/Game/Skills/Blueprints/Elements/ProcSkill_Poison.ProcSkill_Poison_C","0.000000",""
Shock,"Random","DoDamage","(GameplayTags=((TagName=""Element.Electric"")))","None","ElementalProcChance|Proc.Shock","0.000000","/Game/Skills/Blueprints/Elements/ProcSkill_Shock.ProcSkill_Shock_C","0.000000",""
Slow,"Random","DoDamage","(GameplayTags=)","None","ElementalProcChance|Proc.Slow","0.000000","/Game/Skills/Blueprints/ProcSkill_Slow.ProcSkill_Slow_C","0.000000",""
SlowOnCrit,"Always","DoCritical","(GameplayTags=)","None","None","0.000000","/Game/Skills/Blueprints/EmberWeapons/ProcSkill_SlowOnCrit.ProcSkill_SlowOnCrit_C","0.000000",""
SpeedOnKill,"Always","DidKill","(GameplayTags=)","None","None","1.000000","/Game/Skills/Blueprints/GenericPassives/ProcSkill_SpeedOnKill.ProcSkill_SpeedOnKill_C","0.000000",""
Stun,"Random","DoDamage","(GameplayTags=)","None","StunChance","0.000000","/Game/Skills/Blueprints/ProcSkill_Stun.ProcSkill_Stun_C","0.000000",""
TemporalDuplicate,"Random","DoDamage","(GameplayTags=)","None","ProcChance|TemporalDuplicate","0.000000","/Game/Skills/Blueprints/EmberWeapons/ClockworkStaff/Skill_Passive_SummonTemporalDuplicate.Skill_Passive_SummonTemporalDuplicate_C","0.000000",""
ThornsVsChilled,"Random","TakeDamage","(GameplayTags=)","None","ProcChance|ThornsVsChilled","0.000000","/Game/Skills/Blueprints/EmberWeapons/ProcSkill_ThornsVsChilled.ProcSkill_ThornsVsChilled_C","0.000000",""
WarpBack,"Always","Died","(GameplayTags=)","None","None","0.000000","/Game/Skills/Blueprints/Monsters/Skill_WarpBack.Skill_WarpBack_C","0.000000",""
AmmoBagSlow,"Random","SkillDamage","(GameplayTags=((TagName=""Skill.Sharpshooter.Ranged"")))","None","ProcChance|AmmoBagSlow","0.000000","/Game/Skills/Blueprints/Sharpshooter/ProcSkill_Sharpshooter_AmmoBagSlow.ProcSkill_Sharpshooter_AmmoBagSlow_C","0.000000",""
AmmoBagExplosion,"Random","SkillDamage","(GameplayTags=((TagName=""Skill.Sharpshooter.Ranged"")))","None","ProcChance|AmmoBagExplosion","0.000000","/Game/Skills/Blueprints/Sharpshooter/ProcSkill_Sharpshooter_AmmoBagExplosion.ProcSkill_Sharpshooter_AmmoBagExplosion_C","0.000000",""
AmmoBagWeaken,"Random","SkillDamage","(GameplayTags=((TagName=""Skill.Sharpshooter.Ranged"")))","None","ProcChance|AmmoBagWeaken","0.000000","/Game/Skills/Blueprints/Sharpshooter/ProcSkill_Sharpshooter_AmmoBagWeaken.ProcSkill_Sharpshooter_AmmoBagWeaken_C","0.000000",""
AmmoBagEnchant,"Random","SkillDamage","(GameplayTags=((TagName=""Skill.Sharpshooter.Ranged"")))","None","ProcChance|AmmoBagEnchant","0.000000","/Game/Skills/Blueprints/Sharpshooter/ProcSkill_Sharpshooter_AmmoBagEnchant.ProcSkill_Sharpshooter_AmmoBagEnchant_C","0.000000",""
BurnWhenHit,"Random","TakeDamage","(GameplayTags=)","ProcChance|BurnWhenHit","None","0.000000","/Game/Skills/Blueprints/Forged/ProcSkill_BurnWhenHit.ProcSkill_BurnWhenHit_C","0.000000",""
CannonBleed,"Random","SkillDamage","(GameplayTags=((TagName=""Skill.Forged.Ranged"")))","None","ProcChance|CannonBleed","0.000000","/Game/Skills/Blueprints/Forged/ProcSkill_CannonBleed.ProcSkill_CannonBleed_C","0.000000",""
AttackSpeedOnTakeDamage,"Random","TakeDamage","(GameplayTags=)","None","ProcChance|AttackSpeedOnTakeDamage","0.000000","/Game/Skills/Blueprints/ProcSkill_AttackSpeedOnTakeDamage.ProcSkill_AttackSpeedOnTakeDamage_C","0.000000",""
SkeletonsOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|SkeletonsOnBlock","0.000000","/Game/Skills/Blueprints/Legendaries/ProcSkill_SummonSkeletonsonBlock.ProcSkill_SummonSkeletonsonBlock_C","8.000000",""
FireballOnBlock,"Random","Block","(GameplayTags=)","None","ProcChance|FireballOnBlock","0.000000","/Game/Skills/Blueprints/Legendaries/ProcSkill_FireballOnBlock.ProcSkill_FireballOnBlock_C","0.000000",""
ColdSicknessSummon,"Always","DidKill","(GameplayTags=)","None","ProcChance|ColdSicknessSummon","0.000000","/Game/Skills/Blueprints/EmberWeapons/ProcSkill_ColdSicknessSummon.ProcSkill_ColdSicknessSummon_C","0.000000",""
MeleeDamageReduction,"Always","SkillDamage","(GameplayTags=((TagName=""Skill.Forged.Melee""),(TagName=""Skill.Railman.Melee""),(TagName=""Skill.BasicAttackMelee"")))","None","None","0.000000","/Game/Skills/Blueprints/MeleeDamageReduction.MeleeDamageReduction_C","0.000000",""
AncestralPride,"Always","SkillStart","(GameplayTags=((TagName=""Skill.Railman.Turret"")))","None","None","0.000000","/Game/Skills/Blueprints/Railman/Skill_Passive_AncestralPride.Skill_Passive_AncestralPride_C","0.000000",""
EnduranceOnMelee,"Random","SkillDamage","(GameplayTags=((TagName=""Skill.Railman.Melee""),(TagName=""Skill.BasicAttackMelee"")))","None","ProcChance|EnduranceOnMelee","0.000000","/Game/Skills/Blueprints/Railman/Skill_Proc_EnduranceOnMelee.Skill_Proc_EnduranceOnMelee_C","0.000000",""
