---,StatusEffectClass,Notes
TrySkill_Skill_Passive_CritChance,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Skill_Passive_CritChance.TrySkill_Skill_Passive_CritChance_C",""
TrySkill_Skill_Passive_IncreasedDamage,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Skill_Passive_IncreasedDamage.TrySkill_Skill_Passive_IncreasedDamage_C",""
TrySkill_Skill_Passive_DamageOnBlock,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Skill_Passive_DamageOnBlock.TrySkill_Skill_Passive_DamageOnBlock_C",""
TrySkill_Skill_Passive_IncreasedGWDamage,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Skill_Passive_IncreasedGWDamage.TrySkill_Skill_Passive_IncreasedGWDamage_C",""
TrySkill_Skill_Passive_IncreasedStaffDamage,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Skill_Passive_IncreasedStaffDamage.TrySkill_Skill_Passive_IncreasedStaffDamage_C",""
TrySkill_Skill_Passive_IncreasedSwordDamage,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Skill_Passive_IncreasedSwordDamage.TrySkill_Skill_Passive_IncreasedSwordDamage_C",""
TrySkill_Skill_Passive_IncreasedMaceDamage,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Skill_Passive_IncreasedMaceDamage.TrySkill_Skill_Passive_IncreasedMaceDamage_C",""
TrySkill_Skill_Passive_DefenseVsPoison,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Skill_Passive_DefenseVsPoison.TrySkill_Skill_Passive_DefenseVsPoison_C",""
TrySkill_Skill_Passive_IncreasedMovementSpeed,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Skill_Passive_IncreasedMovementSpeed.TrySkill_Skill_Passive_IncreasedMovementSpeed_C",""
TrySkill_Skill_Passive_Regen,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_Skill_Passive_Regen.TrySkill_Skill_Passive_Regen_C",""
GoblinBomberSelfDestruct,"/Game/Skills/Blueprints/Monsters/StatusEffect_GoblinBomber_SelfDestructMode.StatusEffect_GoblinBomber_SelfDestructMode_C",""
TrySkill_RM_MiddleCar_Shotgonne,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_RM_MiddleCar_Shotgonne.TrySkill_RM_MiddleCar_Shotgonne_C",""
TrySkill_RM_RearCar_Flamethrower,"/Game/Skills/Blueprints/TrySkillStatusEffects/TrySkill_RM_RearCar_Flamethrower.TrySkill_RM_RearCar_Flamethrower_C",""
