---,SkillClass,CharacterTag,Animation,AnimationOverride,MaximumSkillLevel,MinimumSkillLevel,GameplayTags,ExclusiveTags,RequiredSkillTab,RequiredPointsInSkillTab,TraitString,PerLevelDisplay,TraitCurve1,TraitCurve2,TraitCurve3,TraitCurve4,bCanNeverBeUnlocked,bHiddenBehindCheats,SkillPanelRow,SkillPanelColumn,TryStatusEffect,TryDuration,DefaultSkillSet,DefaultSkillSlot,Notes
DM_Consecration,"/Game/Skills/Blueprints/DuskMage/Skill_Consecration.Skill_Consecration_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","10","DamagePctBySkillName|DM_Consecration=0.025;DurationPctBySkillName|DM_Damnation=.0125","NSLOCTEXT(""[DA9604CA47192542D1210C94959E3074]"", ""74EE71EC40BE59AE214581A81AEFE631"", ""{0} Consecration Damage Bonus\r\n{1} to a Mystery Skill\'s Duration"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","3","2","(RowName=""TrySkill_DM_Consecration"")","30.000000","Default","None",""
DM_Damnation,"/Game/Skills/Blueprints/DuskMage/Skill_Damnation.Skill_Damnation_C","Character.Player.Duskmage","Default","None","20","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Dark"")))","(GameplayTags=)","(RowName=""DM_Light"")","15","DurationPctBySkillName|DM_Damnation=.05;CooldownPctBySkillTag|Skill.Emberweapon=-.05","NSLOCTEXT(""SkillsTable"", ""4CA4205741D1ED7B81D9418980CDB09B"", ""{0} Damnation Duration\r\n{1} Relic Skill Cooldowns"")","PerLevelGrowCurve","PerLevelGrowCurve","None","None","True","True","4","0","(RowName="""")","30.000000","Default","None",""
DM_EnergySpike,"/Game/Skills/Blueprints/DuskMage/Skill_EnergySpike.Skill_EnergySpike_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Dark"")))","(GameplayTags=)","(RowName=""DM_Light"")","15","DamagePctBySkillName|DM_EnergySpike=0.05;MiscBonusBySkillName|DM_EnergySpike=0.035","NSLOCTEXT(""SkillsTable"", ""96D9D7E24B05BC9E5AF571A18207A90A"", ""{0} Energy Spike damage\r\n{1} Light Bar Charge gain"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","4","1","(RowName=""TrySkill_DM_EnergySpike"")","30.000000","Default","None",""
DM_LightSpear,"/Game/Skills/Blueprints/DuskMage/Skill_Lightspear.Skill_Lightspear_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Light"")))","(GameplayTags=)","(RowName=""DM_Dark"")","15","DamagePctBySkillName|DM_LightSpear=0.15;MiscBonusBySkillName|DM_LightSpear=0.05","NSLOCTEXT(""SkillsTable"", ""8006460E41DE3BEF187F14AAE1B0948B"", ""{0} Bonus to Light Spear\'s Chance to Heal\r\n{1} Bonus to Light Charged Buff Duration"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","True","True","4","1","(RowName="""")","30.000000","Default","None",""
DM_UltimateLight,"/Game/Skills/Blueprints/Skill_Placeholder.Skill_Placeholder_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Light"")))","(GameplayTags=)","(RowName=""DM_Dark"")","20","","","None","None","None","None","True","False","5","1","(RowName="""")","30.000000","Default","None",""
DM_UltimateDark,"/Game/Skills/Blueprints/Skill_Placeholder.Skill_Placeholder_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Dark"")))","(GameplayTags=)","(RowName=""DM_Light"")","20","","","None","None","None","None","True","False","5","1","(RowName="""")","30.000000","Default","None",""
DM_SoulStripper,"/Game/Skills/Blueprints/DuskMage/Skill_DuskMage_SoulRipper.Skill_DuskMage_SoulRipper_C","Character.Player.DuskMage","Default","None","1","0","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName="""")","0","","","None","None","None","None","False","True","0","0","(RowName="""")","30.000000","None","None",""
DM_RocknRoll,"/Game/Skills/Blueprints/DuskMage/Skill_RocknRoll.Skill_RocknRoll_C","Character.Player.DuskMage","Default","None","1","1","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage""),(TagName=""Character.Player.DuskMage"")))","(GameplayTags=)","(RowName="""")","0","","","None","None","None","None","False","True","0","0","(RowName="""")","30.000000","None","None",""
DM_ShadowStep,"/Game/Skills/Blueprints/DuskMage/Skill_ShadowStep.Skill_ShadowStep_C","Character.Player.DuskMage","Default","None","1","0","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","15","","","None","None","None","None","False","True","3","0","(RowName="""")","30.000000","None","None",""
DM_KeeperofBalance,"/Game/Skills/Blueprints/DuskMage/Skill_Passive_KeeperofBalance.Skill_Passive_KeeperofBalance_C","Character.Player.DuskMage","Default","None","1","0","(GameplayTags=((TagName=""Skill.Passive""),(TagName=""Skill.DuskMage"")))","(GameplayTags=((TagName=""Skill.DuskMage.Balance"")))","(RowName="""")","0","","","None","None","None","None","False","True","0","0","(RowName="""")","30.000000","None","None",""
DM_Passive_UnlimitedPower,"/Game/Skills/Blueprints/DuskMage/Skill_Passive_UnlimitedPower.Skill_Passive_UnlimitedPower_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.Passive""),(TagName=""Skill.DuskMage"")))","(GameplayTags=)","(RowName="""")","0","","","None","None","None","None","False","True","0","0","(RowName=""TrySkill_DM_Passive_UnlimitedPower"")","30.000000","None","None",""
DM_OpposingForces,"/Game/Skills/Blueprints/DuskMage/Skill_Passive_OpposingForces.Skill_Passive_OpposingForces_C","Character.Player.DuskMage","None","None","20","0","(GameplayTags=)","(GameplayTags=((TagName=""Skill.DuskMage.Balance"")))","(RowName="""")","0","","","None","None","None","None","False","True","0","0","(RowName="""")","30.000000","None","None",""
DM_RichHarvest,"/Game/Skills/Blueprints/DuskMage/Skill_Passive_RichHarvest.Skill_Passive_RichHarvest_C","Character.Player.DuskMage","Default","None","4","0","(GameplayTags=((TagName=""Skill.DuskMage""),(TagName=""Skill.Passive"")))","(GameplayTags=)","(RowName="""")","0","","","None","None","None","None","False","True","0","0","(RowName=""TrySkill_DM_RichHarvest"")","30.000000","None","None",""
Forged_RapidFire,"/Game/Skills/Blueprints/Forged/Skill_Forged_ShootCannon.Skill_Forged_ShootCannon_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName="""")","0","DamagePctBySkillName|Forged_RapidFire=0.025;DamagePctBySkillTag|Skill.Forged.Ranged=0.025","NSLOCTEXT(""SkillsTable"", ""6240283D4F0830185B41928D2520C49E"", ""{0} Rapid Fire damage\r\n{1} Barrage skills damage"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","0","1","(RowName="""")","30.000000","None","None",""
Forged_RapidStrike,"/Game/Skills/Blueprints/Forged/Skill_Forged_RapidStrike.Skill_Forged_RapidStrike_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Forged.Melee"")))","(GameplayTags=)","(RowName="""")","0","DamagePctBySkillName|Forged_RapidStrike=0.04;DamagePctBySkillTag|Skill.Forged.Melee=0.025","NSLOCTEXT(""SkillsTable"", ""592EFC3947CD03D21F6E3BB2795508E2"", ""{0} Rapid Strike damage\r\n{1} Brawl skill damage"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","0","2","(RowName=""TrySkill_Forged_RapidStrike"")","30.000000","None","None",""
Forged_RocketBarrage,"/Game/Skills/Blueprints/Forged/Skill_Forged_RocketBarrage.Skill_Forged_RocketBarrage_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.Vent"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","1","DamagePctBySkillName|Forged_RocketBarrage=0.04;DamagePctBySkillTag|Skill.Forged.Vent=0.025","NSLOCTEXT(""SkillsTable"", ""7922F1654EFF7B84E9801B8944A1C34B"", ""{0} Coal Launch Damage\r\n{1} Damage to Heat-spending Skills"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","1","0","(RowName=""TrySkill_Forged_RocketBarrage"")","30.000000","None","None",""
Forged_Lodestone,"/Game/Skills/Blueprints/Forged/Skill_Forged_Lodestone.Skill_Forged_Lodestone_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Forged.Melee""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.Vent"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","1","CooldownPctBySkillName|Forged_Lodestone=-.025;DamagePctBySkillTag|Skill.EmberWeapon=0.025","NSLOCTEXT(""SkillsTable"", ""4B7BECEE47E6462E2F59098103552569"", ""{0} Cooldown for Vortex Bomb\r\n{1} Relic Damage"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","1","0","(RowName="""")","30.000000","None","None",""
Forged_ShotgonneBlast,"/Game/Skills/Blueprints/Forged/Skill_Forged_CannonBlast.Skill_Forged_CannonBlast_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","1","DamagePctBySkillName|Forged_ShotgonneBlast=0.035;ForgedHeat.Regen.Multiplier=.02","NSLOCTEXT(""SkillsTable"", ""B39156D041A05C65FD6F369199F6F6BB"", ""{0} Shotgonne Blast Damage\r\n{1} Heat Dissipation"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","1","2","(RowName=""TrySkill_Forged_ShotgonneBlast"")","30.000000","None","None",""
Forged_CycloneMode,"/Game/Skills/Blueprints/Forged/Skill_Forged_DashAttack.Skill_Forged_DashAttack_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Forged.Melee""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","5","DamagePctBySkillName|Forged_CycloneMode=0.03;MoveSpeedBonusMult=.01","NSLOCTEXT(""SkillsTable"", ""7B0D22814D1D7A5721994291B108F4E3"", ""{0} Cyclone Mode Damage\r\n{1} Movement Speed"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","2","2","(RowName=""TrySkill_Forged_CycloneMode"")","30.000000","None","None",""
Forged_PoisonDart,"/Game/Skills/Blueprints/Forged/Skill_Forged_PoisonDart.Skill_Forged_PoisonDart_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","5","DurationPctBySkillName|Forged_PoisonDart=0.03;DamagePctBySkillTag|Skill.Pet=0.035","NSLOCTEXT(""SkillsTable"", ""3F7323094115C53C241C1FA53A5D0856"", ""{0} Poison Dart Duration\r\n{1} Pet Skill and Attack Damage"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","2","1","(RowName=""TrySkill_Forged_PoisonDart"")","30.000000","None","None",""
Forged_ServoDrivenUppercut,"/Game/Skills/Blueprints/Forged/Skill_Forged_ServoDrivenUppercut.Skill_Forged_ServoDrivenUppercut_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Forged.Melee"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","5","BonusChancePctBySkillName|Forged_ServoDrivenUppercut=.01;CriticalHitChanceForType|Skill.Forged.Melee=0.01","NSLOCTEXT(""SkillsTable"", ""006FA64B4A9A5760432DFA97DD4E3177"", ""{0} Bonus Stun Chance to Uppercut\r\n{1} Crit Chance for Melee Skills"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","2","0","(RowName=""TrySkill_Forged_ServoDrivenUppercut"")","30.000000","None","None",""
Forged_SlugShot,"/Game/Skills/Blueprints/Forged/Skill_Forged_SlugShot.Skill_Forged_SlugShot_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Forged.Ranged"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","10","CriticalHitChanceForType|Skill.Forged.Ranged.SlugShot=0.05;DurationPctBySkillName|Forged_RocketBarrage=0.05","NSLOCTEXT(""SkillsTable"", ""40FFA5B84B124B38F7F3C4967BD58922"", ""{0} Slugshot Critical Hit Chance\r\n{1} Coal Launch Area Duration"")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","3","0","(RowName=""TrySkill_Forged_SlugShot"")","30.000000","None","None",""
Forged_MyBuddy,"/Game/Skills/Blueprints/Forged/Skill_MyBuddy.Skill_MyBuddy_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Forged.Ranged"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","10","","","None","None","None","None","True","True","3","2","(RowName="""")","30.000000","None","None",""
Forged_VentFurnanceBlast,"/Game/Skills/Blueprints/Forged/Skill_Forged_VentFurnaceBlast.Skill_Forged_VentFurnaceBlast_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Forged.Melee""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.Vent"")))","(GameplayTags=)","(RowName=""RM_Melee"")","10","","","None","None","None","None","True","True","3","1","(RowName="""")","30.000000","None","None",""
Forged_RammingRobot,"/Game/Skills/Blueprints/Forged/Skill_Forged_BashingCharge.Skill_Forged_BashingCharge_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Forged.Melee""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","15","DamagePctBySkillName|Forged_RammingRobot=0.035;RandomBonusPctBySkillName|Forged_RammingRobot=.01","NSLOCTEXT(""SkillsTable"", ""751285E74B32EA40EE6F6CAE3829CD6E"", ""{0} Ramming Robot Damage\r\n{1} Damage Reduction in melee combat "")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","4","0","(RowName=""TrySkill_Forged_RammingRobot"")","30.000000","None","None",""
Forged_SonicPulse,"/Game/Skills/Blueprints/Forged/Skill_Forged_SonicPulse.Skill_Forged_SonicPulse_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.Ranged"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","15","","","None","None","None","None","True","True","4","1","(RowName="""")","30.000000","None","None",""
Forged_FrackingStrike,"/Game/Skills/Blueprints/Skill_Placeholder.Skill_Placeholder_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.Melee""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","15","","","None","None","None","None","True","False","4","2","(RowName="""")","30.000000","None","None",""
Forged_UltimateMelee,"/Game/Skills/Blueprints/Skill_Placeholder.Skill_Placeholder_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.Melee""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","20","","","None","None","None","None","True","False","5","2","(RowName="""")","30.000000","None","None",""
Forged_UltimateRanged,"/Game/Skills/Blueprints/Skill_Placeholder.Skill_Placeholder_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","20","","","None","None","None","None","True","False","5","1","(RowName=""TrySkill_Forged_RocketBarrage"")","30.000000","None","None",""
Forged_VentHeatedSkin,"/Game/Skills/Blueprints/Forged/Skill_Forged_VentHeatedSkin.Skill_Forged_VentHeatedSkin_C","Character.Player.Forged","Default","None","1","1","(GameplayTags=((TagName=""Skill.Forged.Vent""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName="""")","0","","","None","None","None","None","False","True","0","0","(RowName="""")","30.000000","None","None",""
Forged_AutoVent,"/Game/Skills/Blueprints/Forged/Skill_Passive_AutoVent.Skill_Passive_AutoVent_C","Character.Player.Forged","Default","None","1","0","(GameplayTags=)","(GameplayTags=)","(RowName="""")","0","","","None","None","None","None","True","True","0","0","(RowName="""")","30.000000","None","None",""
Forged_Vent,"/Game/Skills/Blueprints/Forged/Skill_Forged_VentTrail.Skill_Forged_VentTrail_C","Character.Player.Forged","Default","None","1","0","(GameplayTags=)","(GameplayTags=)","(RowName="""")","0","","","None","None","None","None","True","True","0","0","(RowName="""")","30.000000","None","None",""
Forged_LongBoreBarrel,"/Game/Skills/Blueprints/Forged/Skill_Passive_LongBoreBarrel.Skill_Passive_LongBoreBarrel_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Forged""),(TagName=""Skill.Passive"")))","(GameplayTags=)","(RowName="""")","0","","","None","None","None","None","False","True","0","0","(RowName=""TrySkill_Forged_LongBoreBarrel"")","30.000000","None","None",""
Forged_IncreasedVentilation,"/Game/Skills/Blueprints/Forged/Skill_Passive_IncreasedVentilation.Skill_Passive_IncreasedVentilation_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Forged""),(TagName=""Skill.Passive"")))","(GameplayTags=)","(RowName="""")","0","","","None","None","None","None","False","True","0","0","(RowName=""TrySkill_Forged_IncreasedVentilation"")","30.000000","None","None",""
Forged_Passive_CycloneModeBonus,"/Game/Skills/Blueprints/Forged/Skill_Passive_CycloneMode.Skill_Passive_CycloneMode_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Forged""),(TagName=""Skill.Passive"")))","(GameplayTags=)","(RowName="""")","0","","","None","None","None","None","False","True","0","0","(RowName=""TrySkill_Forged_Passive_CycloneModeBonus"")","30.000000","None","None",""
Forged_Passive_RapidFireBoost,"/Game/Skills/Blueprints/Forged/Skill_Passive_RapidFireBoost.Skill_Passive_RapidFireBoost_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Forged""),(TagName=""Skill.Passive"")))","(GameplayTags=)","(RowName="""")","0","","","None","None","None","None","False","True","0","0","(RowName=""TrySkill_Forged_Passive_RapidFireBoost"")","30.000000","None","None",""
Forged_ShotgonneShove,"/Game/Skills/Blueprints/Forged/Skill_Passive_ShotgonneShove.Skill_Passive_ShotgonneShove_C","Character.Player.Forged","Default","None","20","0","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Passive"")))","(GameplayTags=)","(RowName="""")","0","","","None","None","None","None","False","True","0","0","(RowName=""TrySkill_Forged_ShotgonneShove"")","30.000000","None","None",""
RM_BuildTurret,"/Game/Skills/Blueprints/Railman/Skill_LayTrack.Skill_LayTrack_C","Character.Player.Railman","Default","None","20","0","(GameplayTags=((TagName=""Skill.Railman.Turret""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName="""")","0","DamagePctBySkillTag|Skill.Railman.Turret.Passive.LeadCar=.05;DamagePctBySkillTag|Skill.Railman.Turret.Passive=.01","NSLOCTEXT(""SkillsTable"", ""8C7120684A4B52A1E11C26B9B8153A18"", ""{0} Train lead car passive damage\r\n{1} passive damage to all train cars."")","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","0","1","(RowName="""")","30.000000","None","None",""
