---,Trait,DisplayPrimarySlot,DisplaySecondarySlot,DisplayName,TraitTextFormat,bShowAsNegative,CategoryName,Notes
AttackSpeedBonusMult,"AttackSpeedBonusMult","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""7C1B6075471015DB3434D9BE639E8BF6"", ""Attack Speed"")","BonusPercentage","False","Attack",""
EnergyCostPctBySkillName,"EnergyCostPctBySkillName","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""0FE00C8F40DD612CAD770C9CC647F278"", ""Resource Cost for {0}"")","Percentage","False","Attack",""
EnergyCostPctBySkillTag,"EnergyCostPctBySkillTag","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""B0379E674B07309BE49F3D85B9D60110"", ""Resource Cost for {0}"")","Percentage","False","Attack",""
CriticalHitChance,"CriticalHitChance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""EB2F9E9A4F9ABCA4F6AC03853D09BE1C"", ""Critical Hit Chance"")","BonusPercentage","False","Attack",""
CriticalDamageBonus,"CriticalDamageBonus","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""4133B6F84945A98E8CE2638B1FFAD309"", ""Bonus to Critical Damage"")","BonusPercentage","False","Attack",""
CooldownPctBySkillTag,"CooldownPctBySkillTag","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""9B2E820C4EFE9AA4055581BCB8E064C7"", ""Cooldown for {0}"")","Percentage","False","Attack",""
CooldownPctBySkillName,"CooldownPctBySkillName","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""47AC57CB4321C1EC50F6C3B6A879C0E1"", ""Cooldown for {0}"")","Percentage","False","Attack",""
BlockChance,"BlockChance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""EFCF00844E58B727D0553A98D2802A61"", ""Block Chance"")","Percentage","False","Defense",""
DefenseVsPoisonDuration,"DefenseVsElementalProcDuration|Proc.Poison","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""6CBB23004EC110397E6A5ABC889A844E"", ""Poisoned duration"")","Percentage","True","Defense",""
DefenseVsElementPct,"DefenseVsElement","Value","Multiplier","NSLOCTEXT(""TraitDisplayTable"", ""217857CB4339CEAD828334B55C21C095"", ""Armor vs {0}"")","BonusPercentage","False","Defense",""
HealthOnKill,"HealthOnKill","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""AEC7A37C4CB94F9D116D98832E990461"", ""Health on Kill"")","None","False","Attack",""
HealthOnKillVsGoblins,"HealthOnKillVsTarget|Character.Monster.Goblin","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""35D2B4BD42F40E0FF4DD218FECC2CDFA"", ""Health on Killing Goblins"")","None","False","Attack",""
HealthOnKillVsVespid,"HealthOnKillVsTarget|Character.Monster.Vespid","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""CE0FD3E7406FE1978F8C99A3F5A869EA"", ""Health on Killing Hyvid"")","None","False","Attack",""
HealthOnKillVsVoltura,"HealthOnKillVsTarget|Character.Monster.Voltura","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""798BB410409F219D5C6A6EBADF480BDA"", ""Health on Killing Voltura"")","None","False","Attack",""
HealthOnHitVsGoblins,"HealthOnHitVsTarget|Character.Monster.Goblin","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""A34A946341EB5942F3CF4EA8BE4103A0"", ""Health on Hitting Goblins"")","None","False","Attack",""
HealthOnHitVsVespid,"HealthOnHitVsTarget|Character.Monster.Vespid","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""EEF468F1422C3D318F0198B62D6432FD"", ""Health on Hitting Hyvid"")","None","False","Attack",""
HealthOnHitVsVoltura,"HealthOnHitVsTarget|Character.Monster.Voltura","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""284843804472F50BC54E3FA770B1A5C9"", ""Health on Hitting Voltura"")","None","False","Attack",""
ShockBoltsBonus,"ElementalProcCount|Proc.Shock","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""D9587BC7430BB7FAF43338BF9882F6E0"", ""Bonus bolts fired on Shock"")","Bonus","False","Attack",""
EnergyRegen,"Energy","Regen","None","NSLOCTEXT(""TraitDisplayTable"", ""59836F94442D3D4DBB8EE7B77CB22A25"", ""Mana Regen /sec."")","Bonus","False","Defense",""
ForgedHeat,"ForgedHeat","Regen","None","NSLOCTEXT(""TraitDisplayTable"", ""6428431040870E83DD1EACB5A9B60618"", ""Steam Dissipation /sec."")","None","False","Defense",""
RailmanEndurance,"RailmanEndurance","Regen","None","NSLOCTEXT(""TraitDisplayTable"", ""5DDE51AC4ED6F7A97D8B79A868314793"", ""Endurance Regen /sec."")","Bonus","False","Defense",""
MovementSpeedBonusMult,"MoveSpeedBonusMult","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""DF8B919F4976340AC32547A2BAD4338C"", ""Movement Speed"")","BonusPercentage","False","Defense",""
ScatterShotCharge,"ScatterShotCharge","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""9575C5F8433D4168C6EC76AD0F842748"", ""Scatter Shot Charge"")","None","False","Attack",""
ScatterShotRegen,"ScatterShotCharge","Regen","None","NSLOCTEXT(""TraitDisplayTable"", ""9C2BE411486B81EBCCB16793ABD247E9"", ""Scatter Shot Regen"")","None","False","Attack",""
DamageReduction,"DamageReduction","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""C73967D745630A9FC1CF1EB08D7249F8"", ""Damage Reduction"")","Percentage","False","Defense",""
DamageOverTime,"DamageOverTime","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""E6EB2F8E48C67FF4AF6EEE8496B13EAD"", ""Damage Over Time"")","Percentage","False","None",""
DamageVulnerability,"DamageVulnerability","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""D03CC45D447C5F97F501D8B7E5650066"", ""Damage Vulnerability"")","Percentage","False","None",""
DurationPctBySkillName,"DurationPctBySkillName","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""2D0A6908445220C0CA2C9DBFE8B689C6"", ""Duration Bonus for {0}"")","BonusPercentage","False","Attack",""
DurationPctBySkillTag,"DurationPctBySkillTag","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""DBF8A32E42417FEF4A72999968905A12"", ""Duration Bonus for {0}"")","BonusPercentage","False","Attack",""
BonusChancePctBySkillName,"BonusChancePctBySkillName","Value","None","NSLOCTEXT(""[464A55C74FDA08F018E3AC8423732077]"", ""226A0AD24D4BC60E3D2AF5BEF20C3EB0"", ""Bonus Chance for {0}"")","BonusPercentage","False","Attack",""
RandomBonusPctBySkillName,"RandomBonusPctBySkillName","Value","None","NSLOCTEXT(""[464A55C74FDA08F018E3AC8423732077]"", ""34D66A7F41D263C9E9BF369739E5FC7B"", ""Bonus for {0}"")","BonusPercentage","False","None",""
MiscBonusBySkillName,"MiscBonusBySkillName","Value","None","NSLOCTEXT(""[464A55C74FDA08F018E3AC8423732077]"", ""1F5BA7B44CB119D5477DD8B33A254B6E"", ""Bonus for {0}"")","BonusPercentage","False","None",""
CriticalHitChanceForType,"CriticalHitChanceForType","Value","None","NSLOCTEXT(""[464A55C74FDA08F018E3AC8423732077]"", ""09D6FFD14C86174F978B41897D28F032"", ""Bonus Crit Chance for {0}"")","BonusPercentage","False","Attack",""
CriticalHitDamageForType,"CriticalHitDamageForType","Value","None","NSLOCTEXT(""[464A55C74FDA08F018E3AC8423732077]"", ""9EF3B7A64F6D05481B58DEA81C9353A3"", ""Bonus Crit Damage for {0}"")","BonusPercentage","False","Attack",""
