---,DisplayName,bSave,bStartingPet,bIgnoreSpawnCollision,MinionOffset,MinionScaleMultiplier,Description,DefaultSkill,MinionClass,CharacterCreateMinionClass,ClosestDyeColor,bIsFlying,CharacterSelectIdle,Hitpoints,Damage,LifetimeSeconds,MinionGameplayTags,MinionTypeGameplayTag,TraitString1,TraitString2,TraitString3,TraitString4,TraitString5,Notes
Retriever02,"NSLOCTEXT(""MinionsTable"", ""2D5253A1432FECDE670FC4ADEE3C2B55"", ""Chocolate Retriever"")","True","True","True","(X=-200.000000,Y=300.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petretriever/petretriever_02.petretriever_02_C","/Game/Player/CharacterCreate/petretriever_charactercreate_02.petretriever_charactercreate_02_C","(RowName=""PetRetrieverChocolate"")","False","None","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Retriever","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Retriever03,"NSLOCTEXT(""MinionsTable"", ""88A5DCC94439FB83637DCC98D2A81137"", ""Silver Retriever"")","True","True","True","(X=-200.000000,Y=300.000000,Z=0.000000)","1.000000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petretriever/petretriever_03.petretriever_03_C","/Game/Player/CharacterCreate/petretriever_charactercreate_03.petretriever_charactercreate_03_C","(RowName=""PetRetrieverSilver"")","False","None","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Retriever","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Wolf01,"NSLOCTEXT(""MinionsTable"", ""3558568E46D8051BBA1D28B1DABE2E99"", ""Brown Wolf"")","True","False","True","(X=-200.000000,Y=300.000000,Z=0.000000)","1.300000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petwolf/petwolf_01.petwolf_01_C","None","(RowName="""")","False","None","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Wolf","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Wolf02,"NSLOCTEXT(""MinionsTable"", ""2D608751434018A27DB2609B8159E590"", ""White Wolf"")","True","False","True","(X=-200.000000,Y=300.000000,Z=0.000000)","1.300000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petwolf/petwolf_02.petwolf_02_C","None","(RowName="""")","False","None","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Wolf","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Wolf03,"NSLOCTEXT(""MinionsTable"", ""37D13AFE4AF9C005E4E71DAAC17F5D03"", ""Grey Wolf"")","True","False","True","(X=-200.000000,Y=300.000000,Z=0.000000)","1.300000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petwolf/petwolf_03.petwolf_03_C","None","(RowName="""")","False","None","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Wolf","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
Wolf04,"NSLOCTEXT(""MinionsTable"", ""A6AB2AB84BF717B634AFD9B3AB7EDE15"", ""Alpha Wolf"")","True","False","True","(X=-200.000000,Y=300.000000,Z=0.000000)","1.300000","","(RowName=""PetBuff_BattleCry"")","/Game/Monsters/petwolf/petwolf_01_alpha_bp.petwolf_01_alpha_bp_C","None","(RowName="""")","False","None","3.000000","0.500000","0.000000","Character.Minion.Pet","Character.Minion.Wolf","PetSellItemsTime=120;PetRecoverTime=120","Immortal=1","","","",""
RailmanTurret,"","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/rmturrett1a/Railman_Turret_Actor1a.Railman_Turret_Actor1a_C","None","(RowName="""")","False","None","0.000000","1.000000","0.000000","Character.Minion.Turret","None","","","","","",""
RailmanTrackBuffer,"","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Skills/Blueprints/Railman/RailmanTrackBuffer.RailmanTrackBuffer_C","None","(RowName="""")","False","None","0.000000","0.000000","0.000000","Character.Minion.Track","None","","","","","",""
mountbuffalope,"","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/mountbuffalope/mountbuffalope.mountbuffalope_C","None","(RowName="""")","False","None","1.000000","1.000000","0.000000","Character.Minion.Pet","None","","","","","",""
DuskMageSpiritWell,"NSLOCTEXT(""MinionsTable"", ""2A68BD024762380B7C3DF99B1ED7B7B1"", ""Spirit Well"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Skills/Blueprints/DuskMage/SpiritWellSummoner.SpiritWellSummoner_C","None","(RowName="""")","False","None","0.250000","1.000000","0.000000","Character.Minion.SpiritWell","None","","","","","",""
DuskMageSpiritSummon,"NSLOCTEXT(""MinionsTable"", ""ACF15E2744640ED5F8147CB10CBC8E7A"", ""Soulless"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/prototypes/spiritwell_minion/SpiritWellMinion.SpiritWellMinion_C","None","(RowName="""")","False","None","0.250000","0.600000","0.000000","Character.Minion.SpiritSummon","None","","","","","",""
EnergySpikeMinion,"NSLOCTEXT(""MinionsTable"", ""B250554D444FBFF0EC9502A482C53639"", ""Soulless"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/prototypes/spiritwell_minion/EnergySpikeMinion.EnergySpikeMinion_C","None","(RowName="""")","False","None","0.250000","0.250000","0.000000","Character.Minion.EnergySpike","None","","","","","",""
RailmasterFreightCar,"","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/rmturrett1a/Railman_FreightCar_Actor.Railman_FreightCar_Actor_C","None","(RowName="""")","False","None","0.000000","0.000000","0.000000","Character.Minion.Turret","None","","","","","",""
RailmasterCabooseCar,"","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/rmturrett1a/Railman_CabooseCar_Actor.Railman_CabooseCar_Actor_C","None","(RowName="""")","False","None","0.000000","0.000000","0.000000","Character.Minion.Turret","None","","","","","",""
RailmasterTurretCar,"","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/rmturrett1a/Railman_Turret_Follow_Actor.Railman_Turret_Follow_Actor_C","None","(RowName="""")","False","None","0.000000","0.500000","0.000000","Character.Minion.Turret","None","","","","","",""
RailmasterMortarTurret,"","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/rmturrett1a/Railman_MortarCar_Actor.Railman_MortarCar_Actor_C","None","(RowName="""")","False","None","0.000000","1.000000","0.000000","Character.Minion.Turret","None","","","","","",""
LostLegion,"NSLOCTEXT(""MinionsTable"", ""8E0A71D7455A6570515D46AD1EAD923F"", ""Lost Legion"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/skeleton/Skeleton_01_melee_friendly_ghostly_b.Skeleton_01_melee_friendly_ghostly_b_C","None","(RowName="""")","False","None","0.350000","0.800000","0.000000","Character.Minion.LostLegion","None","","","","","",""
LostLegionHero,"NSLOCTEXT(""MinionsTable"", ""28568C004626A0374D3B40A0CB1251D4"", ""Lost Legion Hero"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/skeleton/skeleton_shield_ghost_minion.skeleton_shield_ghost_minion_C","None","(RowName="""")","False","None","0.750000","1.000000","0.000000","Character.Minion.LostLegionHero","None","","","","","",""
InfestedLarvae,"NSLOCTEXT(""MinionsTable"", ""240A081948D7ED2419447DA5700F47BD"", ""Hyvid Larva"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/vsplarvae/vsplarvae_minion_bp.vsplarvae_minion_bp_C","None","(RowName="""")","False","None","0.250000","0.250000","0.000000","Character.Minion.InfestedLarvae","None","","","","","",""
EggGuard,"NSLOCTEXT(""MinionsTable"", ""36AC0678476372032894FD871B759635"", ""Egg Guard"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/vspsoldier/vspeggguard_b.vspeggguard_b_C","None","(RowName="""")","False","None","1.000000","0.250000","0.000000","Character.Minion.EggGuard","None","","","","","",""
Spellbreaker_Netherling,"NSLOCTEXT(""MinionsTable"", ""4F0C611041081C309A95F7845F150B70"", ""Netherling"")","False","False","True","(X=-450.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/netherling/netherling_minion_b.netherling_minion_b_C","None","(RowName="""")","False","None","0.115000","0.035000","0.000000","Character.Minion.Netherling","None","","","","","",""
TemporalStaffDuplicate,"NSLOCTEXT(""MinionsTable"", ""AB103EB64A51AFCC249F7C8BAF19B510"", ""Temporal Clockwork Duplicate"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/spiritweapon/spiritweapon_staff_temporal_b.spiritweapon_staff_temporal_b_C","None","(RowName="""")","False","None","0.350000","0.400000","0.000000","Character.Minion.Duplicate","None","","","","","",""
RailmasterShieldCar,"","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/rmturrett1a/Railman_ShieldCar_Actor.Railman_ShieldCar_Actor_C","None","(RowName="""")","False","None","0.000000","0.000000","0.000000","Character.Minion.Turret","None","","","","","",""
SquawkclawTrackBuffer,"","False","False","True","(X=0.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/Blueprints/SquawkclawBoss/SquawkclawTrackBuffer.SquawkclawTrackBuffer_C","None","(RowName="""")","False","None","0.000000","0.000000","0.000000","None","None","","","","","",""
Vespid_Egg,"","False","False","True","(X=0.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/vspegg/vspegg_bp.vspegg_bp_C","None","(RowName="""")","False","None","0.250000","0.250000","0.000000","Character.Minion","None","","","","","",""
RailmasterShotgonneCar,"","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/rmturrett1a/Railman_ShotgonneCar_Actor.Railman_ShotgonneCar_Actor_C","None","(RowName="""")","False","None","0.000000","0.500000","0.000000","Character.Minion.Turret","None","","","","","",""
RailmasterFlamethrowerCar,"","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/rmturrett1a/Railman_FlamethrowerCar_Actor.Railman_FlamethrowerCar_Actor_C","None","(RowName="""")","False","None","0.000000","0.500000","0.000000","Character.Minion.Turret","None","","","","","",""
SpiderAllies,"NSLOCTEXT(""MinionsTable"", ""E1098A274375D7D4D8CB4F9F1412E368"", ""Summoned Spiderling"")","False","False","True","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Skills/Blueprints/EmberWeapons/Bane/Bane_SpiderMinion.Bane_SpiderMinion_C","None","(RowName="""")","False","None","1.000000","1.000000","0.000000","Character.Minion.BaneSpider","None","","","","","",""
AffixSkeletonMelee,"NSLOCTEXT(""MinionsTable"", ""057CED554DECB5902D6A228A19585CAE"", ""Skeleton Warrior"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/skeleton/Skeleton_01_melee_friendly_affix_b.Skeleton_01_melee_friendly_affix_b_C","None","(RowName="""")","False","None","0.350000","0.400000","0.000000","Character.Minion.Affix.Skeleton","Character.Minion.Affix.Skeleton","","Immortal=1","","","",""
AffixSkeletonShield,"NSLOCTEXT(""MinionsTable"", ""5B50A3F743311323A953CCBB7E35FEBB"", ""Skeleton Knight"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/skeleton/skeleton_02_shield_friendly_affix_b.skeleton_02_shield_friendly_affix_b_C","None","(RowName="""")","False","None","0.350000","0.400000","0.000000","Character.Minion.Affix.Skeleton","Character.Minion.Affix.Skeleton","","Immortal=1","","","",""
AffixSkeletonRanged,"NSLOCTEXT(""MinionsTable"", ""9F469A62494A236852108982F9391CDA"", ""Skeleton Archer"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/skeleton/skeleton_03_ranged_friendly_affix_b.skeleton_03_ranged_friendly_affix_b_C","None","(RowName="""")","False","None","0.350000","0.350000","0.000000","Character.Minion.Affix.Skeleton","Character.Minion.Affix.Skeleton","","Immortal=1","","","",""
AffixSkeletonFireMelee,"NSLOCTEXT(""MinionsTable"", ""9861E92E4FE1567DBADAE487C209D6E0"", ""Burning Skeleton Warrior"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/skeleton/skeleton_01_melee_fire_friendly_affix_bp.skeleton_01_melee_fire_friendly_affix_bp_C","None","(RowName="""")","False","None","0.350000","0.400000","0.000000","Character.Minion.Affix.Skeleton","Character.Minion.Affix.Skeleton","","Immortal=1","","","",""
AffixSkeletonFireRanged,"NSLOCTEXT(""MinionsTable"", ""7B7A8579436FC85048EC5C84F87FE6A6"", ""Burning Skeleton Archer"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/skeleton/skeleton_03_ranged_fire_friendly_affix_bp.skeleton_03_ranged_fire_friendly_affix_bp_C","None","(RowName="""")","False","None","0.350000","0.400000","0.000000","Character.Minion.Affix.Skeleton","Character.Minion.Affix.Skeleton","","Immortal=1","","","",""
AffixZombieMelee,"NSLOCTEXT(""MinionsTable"", ""3B33D859464229A348AF81A5E9888AA7"", ""Zombie"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/zombmelee/zombmelee_friendly_affix_b.zombmelee_friendly_affix_b_C","None","(RowName="""")","False","None","0.350000","0.400000","0.000000","Character.Minion.Affix.Zombie","Character.Minion.Affix.Zombie","","Immortal=1","","","",""
AffixRat,"NSLOCTEXT(""MinionsTable"", ""C39CC81244FD790C760180867934C6F3"", ""Rat"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/mossrat/mossrat_friendly_affix_b.mossrat_friendly_affix_b_C","None","(RowName="""")","False","None","0.350000","0.300000","0.000000","Character.Minion.Affix.Rat","Character.Minion.Affix.Rat","","Immortal=1","","","",""
AffixNetherling,"NSLOCTEXT(""MinionsTable"", ""C76AA4414E4E9B96D080E0B481EF75F4"", ""Enthralled Netherling"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/netherling/netherling_friendly_affix_b.netherling_friendly_affix_b_C","None","(RowName="""")","False","None","0.350000","0.350000","0.000000","Character.Minion.Affix.Netherling","Character.Minion.Affix.Netherling","","Immortal=1","","","",""
AffixDireWolf,"NSLOCTEXT(""MinionsTable"", ""1D28351D4BB890ECDFCE018FAB6E5577"", ""Dire Wolf"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/petwolf/petwolf_direwolf_affix_bp.petwolf_direwolf_affix_bp_C","None","(RowName="""")","False","None","0.350000","0.400000","0.000000","Character.Minion.Affix.Wolf","Character.Minion.Affix.Wolf","","Immortal=1","","","",""
AffixGhostGuard,"NSLOCTEXT(""MinionsTable"", ""E967ABD34A4CBF79A1057F9028066075"", ""Spectral Guard"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/npcimperialguard/npcimperialguard_attack_affix_bp.npcimperialguard_attack_affix_bp_C","None","(RowName="""")","False","None","0.500000","0.400000","0.000000","Character.Minion.Affix.GhostGuard","Character.Minion.Affix.GhostGuard","","Immortal=1","","","",""
AffixOnProcSkeletonMelee,"NSLOCTEXT(""MinionsTable"", ""057CED554DECB5902D6A228A19585CAE"", ""Skeleton Warrior"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/skeleton/Skeleton_01_melee_friendly_affix_b.Skeleton_01_melee_friendly_affix_b_C","None","(RowName="""")","False","None","0.350000","0.400000","10.000000","Character.Minion.Affix.Skeleton","Character.Minion.Affix.Skeleton","","Immortal=1","","","",""
AffixOnProcSkeletonShield,"NSLOCTEXT(""MinionsTable"", ""1BCA0F1E47AB20FD4FEE57A7321A1B4F"", ""Skeleton Knight"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/skeleton/skeleton_02_shield_friendly_affix_b.skeleton_02_shield_friendly_affix_b_C","None","(RowName="""")","False","None","0.500000","0.400000","20.000000","Character.Minion.Affix.Skeleton","Character.Minion.Affix.Skeleton","","Immortal=1","","","",""
AffixOnProcSkeletonRanged,"NSLOCTEXT(""MinionsTable"", ""D04865E4467EE44710EA61841C82726C"", ""Skeleton Archer"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/skeleton/skeleton_03_ranged_friendly_affix_b.skeleton_03_ranged_friendly_affix_b_C","None","(RowName="""")","False","None","0.350000","0.350000","10.000000","Character.Minion.Affix.Skeleton","Character.Minion.Affix.Skeleton","","Immortal=1","","","",""
AffixOnProcSkeletonFireMelee,"NSLOCTEXT(""MinionsTable"", ""70D47B954B1F8564D7558E99253940E8"", ""Burning Skeleton Warrior"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/skeleton/skeleton_01_melee_fire_friendly_affix_bp.skeleton_01_melee_fire_friendly_affix_bp_C","None","(RowName="""")","False","None","0.350000","0.600000","10.000000","Character.Minion.Affix.Skeleton","Character.Minion.Affix.Skeleton","","Immortal=1","","","",""
AffixOnProcSkeletonFireRanged,"NSLOCTEXT(""MinionsTable"", ""335DF0FB429547A9039BCF8651DBA856"", ""Burning Skeleton Archer"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/skeleton/skeleton_03_ranged_fire_friendly_affix_bp.skeleton_03_ranged_fire_friendly_affix_bp_C","None","(RowName="""")","False","None","0.350000","0.400000","10.000000","Character.Minion.Affix.Skeleton","Character.Minion.Affix.Skeleton","","Immortal=1","","","",""
AffixOnProcZombieMelee,"NSLOCTEXT(""MinionsTable"", ""F52E2FCF469F0743E15AE3B20B74758D"", ""Zombie"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/zombmelee/zombmelee_friendly_affix_b.zombmelee_friendly_affix_b_C","None","(RowName="""")","False","None","0.350000","0.400000","10.000000","Character.Minion.Affix.Zombie","Character.Minion.Affix.Zombie","","Immortal=1","","","",""
AffixOnProcRat,"NSLOCTEXT(""MinionsTable"", ""DDE8E9384BFB35B43BC3FB9A50ACCA63"", ""Rat"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/mossrat/mossrat_friendly_affix_b.mossrat_friendly_affix_b_C","None","(RowName="""")","False","None","0.350000","0.300000","10.000000","Character.Minion.Affix.Rat","Character.Minion.Affix.Rat","","Immortal=1","","","",""
AffixOnProcNetherling,"NSLOCTEXT(""MinionsTable"", ""6D6799AC4212D48BC50D8AA5142497D9"", ""Enthralled Netherling"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/netherling/netherling_friendly_affix_b.netherling_friendly_affix_b_C","None","(RowName="""")","False","None","0.350000","0.350000","10.000000","Character.Minion.Affix.Netherling","Character.Minion.Affix.Netherling","","Immortal=1","","","",""
AffixOnProcDireWolf,"NSLOCTEXT(""MinionsTable"", ""DF9F3A77474B0DF84F8D9BB5BB588F48"", ""Dire Wolf"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/petwolf/petwolf_direwolf_affix_bp.petwolf_direwolf_affix_bp_C","None","(RowName="""")","False","None","0.350000","0.400000","10.000000","Character.Minion.Affix.Wolf","Character.Minion.Affix.Wolf","","Immortal=1","","","",""
AffixOnProcGhostGuard,"NSLOCTEXT(""MinionsTable"", ""CE133A4B4F1AD5FF0A8F738884C354DF"", ""Spectral Guard"")","False","False","False","(X=-300.000000,Y=0.000000,Z=0.000000)","1.000000","","(RowName="""")","/Game/Monsters/npcimperialguard/npcimperialguard_attack_affix_bp.npcimperialguard_attack_affix_bp_C","None","(RowName="""")","False","None","0.350000","0.400000","10.000000","Character.Minion.Affix.GhostGuard","Character.Minion.Affix.GhostGuard","","Immortal=1","","","",""
