---,Speakers,Type,TitleText,Text,ButtonText,Voiceover,AudioTableEntry,ContextType1,ContextParam1,ContextType2,ContextParam2,ContextType3,ContextParam3,IconPortraitTag,Tags,Weight,ContextEntries,bDefaultSet,Notes
A1C1Q1_Modal_TalktoGraye,"((RowName=""GeneralGraye""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A1C1Q1_Modal_TalktoGraye_Text"", ""Loss is a natural part of life. Even in death, we honor our soldiers by laying the swords of the fallen to rest. It\'s a sign of respect. May we all have someone to do the same for us when we fall."")","NSLOCTEXT(""DialogueTable"", ""ADEC35AB499A3B4F6DB33B87CB6EC002"", ""Yes!"")","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A1C1Q1_Modal_TalktoGraye_Graye"")","QuestActive","A1C1Q1","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True",""
A1C1Q1_Task_TalktoGraye,"((RowName=""GeneralGraye""))","Quest","","NSLOCTEXT(""DialogueTable"", ""A1C1Q1_Task_TalktoGraye_Text"", ""May the fallen soldiers rest in peace. We’re all grateful for your help, recruit, but we must resume our mission. I need you to gather medicine while we’re shorthanded. There are a lot of sick people back in Redhaven counting on you. Are you up to the task?"")","NSLOCTEXT(""DialogueTable"", ""ADEC35AB499A3B4F6DB33B87CB6EC002"", ""Yes!"")","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_Graye_A1C1Q1_Task_TalktoGraye"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True","Moved to A1C1Q2."
A1C1Q1_Modal_GeneralGraye,"((RowName=""GeneralGraye""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A1C1Q1_Modal_GeneralGraye_Text"", ""The Skycap Mushrooms in the Zul\'rasha region are one-of-a-kind. They’re the only thing that seems to cure the plague back in Redhaven. These mushrooms become more vital with every passing day. I hope we harvest enough."")","NSLOCTEXT(""DialogueTable"", ""ADEC35AB499A3B4F6DB33B87CB6EC002"", ""Yes!"")","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A1C1Q1_Modal_GeneralGraye_Graye"")","QuestActive","A1C1Q2","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True",""
A1C1Q1_Modal_Kenik,"((RowName=""Kenik_Act1_Town""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A1C1Q1_Modal_Kenik_Text"", ""Hey rookie, just saw that you got saddled with mushroom duty. Little tip, next time Graye looks your way, just grab a barrel and act like you\'re moving it. That\'s what I did.  Well, I wasn\'t acting, I DID move it. I moved it to my tent. These soldiers are all sticklers, they\'ll never notice if we\'re missing a keg of that sweet ale."")","NSLOCTEXT(""DialogueTable"", ""ADEC35AB499A3B4F6DB33B87CB6EC002"", ""Yes!"")","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A1C1Q1_Modal_Kenik"")","QuestActive","A1C1Q2","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
A1C1Q2_Task_TalktoGraye,"((RowName=""GeneralGraye""))","Quest","","NSLOCTEXT(""DialogueTable"", ""A1C1Q2_Task_TalktoGraye_Text"", ""Good job with the mushrooms, recruit. What’s that? A giant purple monster? I’m grateful for your help, but that sounds like a stretch. It\'s dark in those caves, who knows what you saw. Why don\'t you get some rest? Dismissed."")","NSLOCTEXT(""DialogueTable"", ""2FC37DF3491D1541E34240AED4D0D089"", ""Hmm..."")","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_Graye_A1C1Q2_Task_TalktoGraye"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True",""
A1C1Q2_Task_TalktoZaya,"((RowName=""Zaya""))","Quest","","NSLOCTEXT(""DialogueTable"", ""9A269CDB421D6A7B6AAF38B38BFA5E24"", ""Hey adventurer! I overheard you and the general talking. Giant purple monsters? You must mean the Netherim. Long ago they invaded our world, but the heroes of the past banished them.\r\n\r\nAre you saying they\'re back...? We have to change the general’s mind. Adventurer, travel deeper into the forest and collect proof that the netherim threat is real. Bones, hides, skulls, anything you can find to convince her."")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_Zaya_A1C1Q2_Task_TalktoZaya"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Zaya"")","(GameplayTags=)","1","","True",""
A1C1Q2_Modal_Zaya,"((RowName=""Zaya""))","Modal","","NSLOCTEXT(""DialogueTable"", ""96470F1045D2A5B51A6B829783AFD280"", ""How could the Netherim be back? What could this mean? It\'s an exciting, yet terrifying, discovery. I wish Father were here. He would know what to make of this. "")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A1C1Q2_Modal_Zaya"")","QuestActive","A1C2Q1","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Zaya"")","(GameplayTags=)","1","","True",""
A1C1Q2_Modal_Kenik,"((RowName=""Kenik_Act1_Town""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A1C1Q2_Modal_Kenik_Text"", ""You and that foolish child Zaya, what are you playing at? I overheard you badgering the General with those fairy tales. Don\'t cause more trouble, we already have enough. I\'m warning you, rookie."")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A1C1Q2_Modal_Kenik"")","QuestActive","A1C2Q1","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
A1C1Q2_Modal_GeneralGraye,"((RowName=""GeneralGraye""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A1C1Q2_Modal_GeneralGraye_Text"", ""As a general, I have to guide my people to victory. That means playing it safe, and following solid intel. You don\'t strike me as a liar, but I need more before I risk the safety of my troops."")","NSLOCTEXT(""DialogueTable"", ""2FC37DF3491D1541E34240AED4D0D089"", ""Hmm..."")","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A1C1Q2_Modal_GeneralGraye_Graye"")","QuestActive","A1C2Q1","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True",""
TQ_FortIntro_Task_TalkToGraye,"((RowName=""GeneralGraye""))","Quest","","NSLOCTEXT(""DialogueTable"", ""BCC13EDF44FC2C7EB33AFF90D9E1476E"", ""The passage has been blocked since we were attacked by the Snotskin tribe. Before you can proceed, you’ll need to take the goblin’s strategic position. As long as you can take back the fort, we’ll be able to use the trail into the Fields of Unrest."")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_Graye_TQ_FortIntro_Task_TalkToGraye"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True",""
TQ_FortIntro_Modal_TalkToGraye,"((RowName=""GeneralGraye""))","Modal","","NSLOCTEXT(""DialogueTable"", ""2B25A5E7419D26C0B0D105B29C01222B"", ""Search <span color=\""#F6BA19\"">Edgewood Bluff</> for the entry into <span color=\""#F6BA19\"">Trevail Passage</> to proceed. You\'ll need to clear a safe path through <span color=\""#F6BA19\"">Trevail Passage</> before you can reach the <span color=\""#F6BA19\"">Fields of Unrest</>. "")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_TQ_FortIntro_Modal_TalkToGraye_Graye"")","QuestActive","TQ_FortIntro","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True",""
TQ_FortIntro_Modal_TalkToGraye2,"((RowName=""GeneralGraye""))","Modal","","NSLOCTEXT(""DialogueTable"", ""49ECD40D4266C6A0FE123BBC856C99CD"", ""What are you waiting for? You going to claim your fort, or what?"")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_TQ_FortIntro_Modal_TalkToGraye2_Graye"")","QuestActive","TQ_FortIntro","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True",""
TQ_FortProps,"((RowName=""GeneralGraye""))","Quest","","NSLOCTEXT(""DialogueTable"", ""49CFA7244925B3766858579637D4FE65"", ""Good job clearing out that abandoned fort. The goblins will return if we leave fortifications like that up for grabs, so why not call it your home? I bet you could even spruce it up to better suit your needs. \r\n\r\nSergeant Klive will meet you at your fort to explain the fort essentials. Go there when you are ready to get started."")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_Graye_TQ_FortProps"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True",""
TQ_Enchanting_Task_TalktoKlive,"((RowName=""SgtKlive""))","Quest","","NSLOCTEXT(""DialogueTable"", ""CD05C6FD4D9800C9043DA099FCEBBD98"", ""Hey there. General Graye stationed me here to help you with the basics of strengthening your fort and guide you through some other useful fortifications. Are you ready to get started?"")","NSLOCTEXT(""DialogueTable"", ""4080AA5D4E24C40C550C45A7B0D9F18B"", ""Yes!"")","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_Klive_TQ_Enchanting_Task_TalktoKlive"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.ImperialSoldier"")","(GameplayTags=)","1","","True",""
TQ_Enchanting_Klive_Modal,"((RowName=""SgtKlive""))","Modal","","NSLOCTEXT(""DialogueTable"", ""D31FCB8B49838DDC59BE81BC7F257223"", ""If you stumble upon additional enchanting recipes or unwanted gear, you can use the Enchanter\'s Altar to create essence and add enhancements to your gear."")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_MOD_TQ_Enchanting_Klive_Modal_Klive_Klive"")","QuestComplete","TQ_Enchanting","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.ImperialSoldier"")","(GameplayTags=)","1","","True",""
Quest_Tut_LuckTree_Intro,"((RowName=""Zaya""))","Quest","","NSLOCTEXT(""DialogueTable"", ""640D74814983F46BC79A86863C3470E3"", ""Hey there! I need your help with something.\r\n\r\nI was carrying a <span color=\""#FFD700\"">Sack of Luck Seeds</> when we were attacked by monsters. If you can find it for me, I’ll give you one! I have no way to find any more Luck Seeds, so I could really use your help."")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_Zaya_Quest_Tut_LuckTree_Intro"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Zaya"")","(GameplayTags=)","1","","True",""
Quest_Tut_LuckTree_TalkToZaya,"((RowName=""Zaya""))","Quest","","NSLOCTEXT(""DialogueTable"", ""092A087041EA4EE90C69159FA1FDF470"", ""Great! Plant this humble seed in your fort and it can grow into a majestic <span color=\""#FFD700\"">Luck Tree</>.\r\n\r\nBeing magical, Luck Trees crave magical items. Yes, really. Go plant this in your fort and start feeding it with nourishing items and it will help you find more amazing gear!"")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_Zaya_Quest_Tut_LuckTree_TalkToZaya"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Zaya"")","(GameplayTags=)","1","","True",""
A1C2Q2_TalktoZaya,"((RowName=""Zaya""))","Quest","","NSLOCTEXT(""DialogueTable"", ""A1C2Q2_TalktoZaya_Text"", ""These are perfect. Kenik called me a fool, but I knew you\'d succeed. Where’d that old drunk go, anyway? No matter, bring these to the general at once, and tell her what you saw in the caves! I\'ve already filled her in on the details."")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_Zaya_A1C2Q2_TalktoZaya"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Zaya"")","(GameplayTags=)","1","","True",""
A1C2Q2_Task_InteractGraye,"((RowName=""GeneralGraye""))","Quest","","NSLOCTEXT(""DialogueTable"", ""B6C633464C1B1272179CAAACB92EFD45"", ""Let me see those, recruit. Hmm. Wideload in league with the netherim? As outlandish as your claims are, it’s hard to ignore the proof when I’m holding it in my hands. Maybe I should have listened to you.\r\n\r\nUnfortunately the Netherim will have to wait. Some of my soldiers have gone missing and I need you to find them. We can\'t take on the Netherim with our ranks diminished. Bring them back, recruit, then we will discuss our next move."")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_Graye_A1C2Q2_Task_InteractGraye"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True",""
A1C2Q2_Modal_GeneralGraye,"((RowName=""GeneralGraye""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A1C2Q2_Modal_GeneralGraye_Text"", ""Whatever could have driven those soldiers to do something so impulsive is beyond me. They better have a good explanation, otherwise I\'ll have them chained up right next to Yapper."")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A1C2Q2_Modal_GeneralGraye_Graye"")","QuestActive","A1C3Q1","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True",""
A1C3Q1_RescueCocoonedNPC_01,"((RowName=""KenikCocoon""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""E0FC6AC346962B5E1E73148B4D571320"", ""Help!"")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","QuestActive","A1C3Q1:Task_RescueKenik","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
A1C3Q1_RescueCocoonedNPC_02,"((RowName=""KenikCocoon""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""42E1DE5342B10F8C2F40E191C5B801DE"", ""Help me!"")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","QuestActive","A1C3Q1:Task_RescueKenik","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
A1C3Q1_RescueCocoonedNPC_03,"((RowName=""HixCocoon""),(RowName=""LtHix""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""10A0B5B04BA9C5CC4D583DB81CF894C4"", ""Mmmmphf!"")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","QuestActive","A1C3Q1:Task_RescueHix","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Hix"")","(GameplayTags=)","1","","True",""
A1C3Q1_RescueCocoonedNPC_04,"((RowName=""HixCocoon""),(RowName=""LtHix""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""ACF7F901464A4C9AD7ACB0842FA6FF18"", ""I\'m stuck!"")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","QuestActive","A1C3Q1:Task_RescueHix","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Hix"")","(GameplayTags=)","1","","True",""
A1C3Q1_RescueCocoonedNPC_05,"((RowName=""KenikCocoon""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""A26B423240791BEC2FED59BD1A54EFA4"", ""Get this off of me!"")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","QuestActive","A1C3Q1:Task_RescueKenik","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
A1C3Q1_SavedCocoonedNPC_01,"((RowName=""HixCocoon""),(RowName=""LtHix""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""844209204D551FA0F49C59A743669F36"", ""I\'m saved!"")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","QuestComplete","A1C3Q1:Task_RescueHix","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Hix"")","(GameplayTags=)","1","","True",""
A1C3Q1_SavedCocoonedNPC_02,"((RowName=""KenikCocoon""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""04902A7A4AD4C645FBE35DB101E37362"", ""I survived!"")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","QuestComplete","A1C3Q1:Task_RescueKenik","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
A1C3Q1_SavedCocoonedNPC_03,"((RowName=""KenikCocoon""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""00CE7FF742C4D989510433B7BF8E5BC7"", ""I can breathe again!"")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","QuestComplete","A1C3Q1:Task_RescueKenik","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
A1C3Q1_SavedCocoonedNPC_04,"((RowName=""HixCocoon""),(RowName=""LtHix""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""D705F0C547C7E4E6A240A2A1F1AAC3BC"", ""Thanks for the save."")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","QuestComplete","A1C3Q1:Task_RescueHix","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Hix"")","(GameplayTags=)","1","","True",""
A1C3Q1_SavedCocoonedNPC_05,"((RowName=""WolframCocoon""))","Bubble","","NSLOCTEXT(""DialogueTable"", ""C54191D74DA6219F9801C489BB5060DC"", ""I\'m glad you showed up."")","","(AssetGuid=00000000000000000000000000000000)","(AudioTableEntry="""")","QuestComplete","A1C3Q1:Task_RescueWolfram","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Wolfram"")","(GameplayTags=)","1","","True",""
A1C3Q1_Task_RescueWolfram,"((RowName=""WolframCocoon""))","Quest","","NSLOCTEXT(""DialogueTable"", ""A1C3Q1_Task_RescueWolfram_Text"", ""You have my gratitude, dear hero, but there\'s no time to celebrate! I overheard the goblins plotting a new assault. They found an ancient dwarven automaton in the Excavated Workshop. Hurry! Before the goblins repair that death machine!"")","","(AssetGuid=D9304693E1CC4BC0B5CA4CE34D5CA1DF)","(AudioTableEntry=""QST_A1C3Q1_Task_RescueWolfram_Wolfram"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Wolfram"")","(GameplayTags=)","1","","True",""
A1C3Q1_Modal_Kenik,"((RowName=""Kenik_Act1_Town""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A1C3Q1_Modal_Kenik_Text"", ""\""Buried treasure\"" my left foot! When I get a hold of that Yapper, I\'m going to wring his scrawny little neck! Try to make a fool of ME, will ya?"")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A1C3Q1_Modal_Kenik"")","QuestActive","A1C3Q2","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
A1C3Q1_Modal_Hix,"((RowName=""Hix_Act1""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A1C3Q1_Modal_Hix_Text"", ""That dolt Kenik, he said we had the go-ahead from the general. Ugh, why did I believe that hooch hound? Graye will have my tail, I\'ll have to beg for her forgiveness. Thanks for the rescue, boss."")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A1C3Q1_Modal_Hix"")","QuestActive","A1C3Q2","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Hix"")","(GameplayTags=)","1","","True",""
A1C4Q1_Task_InteractGraye,"((RowName=""GeneralGraye""))","Quest","","NSLOCTEXT(""DialogueTable"", ""A1C4Q1_Task_InteractGraye_Text"", ""Recruit, good job on rescuing our officers. It appears that Yapper is behind this farce. As usual I have Kenik demanding one thing, and Zaya insisting on another. Kenik thinks we should execute Yapper, and Zaya thinks we should bargain with him. We\'re going to try Zaya\'s plan, maybe we can get something useful out of him.\r\n\r\nSpeak to Yapper, and see if he\'ll cooperate."")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_Graye_A1C4Q1_Task_InteractGraye"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.General"")","(GameplayTags=)","1","","True",""
A1C4Q1_Task_InteractYapper,"((RowName=""Yapper""))","Quest","","NSLOCTEXT(""DialogueTable"", ""A1C4Q1_Task_InteractYapper_Text"", ""What’s that? Dumb Dumb Hero wants to help Yapper? Trade for secrets? Hmm… Yes! Yapper agrees! Here’s a list, get these things and Yapper will help. Will tell secrets... Netherim secrets…"")","","(AssetGuid=B43419C951AB4F2B88F2E3A1C48CE0C9)","(AudioTableEntry=""QST_Yapper_A1C4Q1_Task_InteractYapper_FX"")","None","None","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Yapper"")","(GameplayTags=)","1","","True",""
A1C4Q1_Modal_Kenik,"((RowName=""Kenik_Act1_Town""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A1C4Q1_Modal_Kenik_Text"", ""You fools want to HELP Yapper? Graye is insane. Unfit for command, just like everyone else in the empire. (sigh) And I\'m stuck working for \'em. Because who else has the coin these days?"")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A1C4Q1_Modal_Kenika"")","QuestActive","A1C4Q1:Task_InteractYapper","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Kenik"")","(GameplayTags=)","1","","True",""
A1C4Q1_Modal_Zaya,"((RowName=""Zaya""))","Modal","","NSLOCTEXT(""DialogueTable"", ""A1C4Q1_Modal_Zaya_Text"", ""I know Kenik is mad at Yapper, but if he gets rid of Yapper then he gets rid of all the information Yapper could provide us. The general made the right choice, I wish Kenik would stop taking her decisions so personally."")","","(AssetGuid=E357856E64CE43F6B4DF293399715635)","(AudioTableEntry=""MOD_A1C4Q1_Modal_Zayaa"")","QuestActive","A1C4Q1:Task_InteractYapper","None","None","None","None","(TagName=""Dialogue.LoreSpeakers.Zaya"")","(GameplayTags=)","1","","True",""
