---,DisplayName,Type,Dye,SkinHairGradient,Icon,MinLevel,MaxLevel,ItemHasAnyTags,bIsPlayerDye,DropWeight,AreaTags,Notes
Goldenrod,"NSLOCTEXT(""DyeTable"", ""1EA83F8C4076D7159C546CB94C999A73"", ""Goldenrod"")","GearDye","/Game/Items/Dyes/Dye_Goldenrod.Dye_Goldenrod_C","None","None","5.000000","54.000000","(GameplayTags=((TagName=""ItemQuality.Magic"")))","False","200","(GameplayTags=)",""
NavyChocolate,"NSLOCTEXT(""DyeTable"", ""BC97ECE6430627EBCE94CB9E08F5769A"", ""Navy Chocolate"")","GearDye","/Game/Items/Dyes/Dye_NavyChocolate.Dye_NavyChocolate_C","None","None","25.000000","74.000000","(GameplayTags=((TagName=""ItemQuality.Magic"")))","False","500","(GameplayTags=)",""
PinkLemonade,"NSLOCTEXT(""DyeTable"", ""EF606FDB435574141B2E0B8B4095E86D"", ""Pink Lemonade"")","GearDye","/Game/Items/Dyes/Dye_PinkLemonade.Dye_PinkLemonade_C","None","None","50.000000","99.000000","(GameplayTags=((TagName=""ItemQuality.Magic"")))","False","300","(GameplayTags=)",""
MonoYellow,"NSLOCTEXT(""DyeTable"", ""CA355FFB49EEA9552557259F218A59E3"", ""Mono Yellow"")","GearDye","/Game/Items/Dyes/Dye_MonoYellow.Dye_MonoYellow_C","None","None","75.000000","100.000000","(GameplayTags=((TagName=""ItemQuality.Magic"")))","False","200","(GameplayTags=)",""
PurpleBrown,"NSLOCTEXT(""DyeTable"", ""1CF172884BB94E5C3E3AEA86D1F8C8F9"", ""Purple Brown"")","GearDye","/Game/Items/Dyes/Dye_PurpleBrown.Dye_PurpleBrown_C","None","None","1.000000","50.000000","(GameplayTags=((TagName=""ItemQuality.Rare"")))","False","500","(GameplayTags=)",""
Scarab,"NSLOCTEXT(""DyeTable"", ""2A46755047F6D746DE414CB46E2855CB"", ""Scarab"")","GearDye","/Game/Items/Dyes/Dye_Scarab.Dye_Scarab_C","None","None","5.000000","54.000000","(GameplayTags=((TagName=""ItemQuality.Rare"")))","False","300","(GameplayTags=)",""
Tangerine,"NSLOCTEXT(""DyeTable"", ""0F8B4D3D4B3E446FB049C48A88782FFD"", ""Tangerine"")","GearDye","/Game/Items/Dyes/Dye_Tangerine.Dye_Tangerine_C","None","None","20.000000","69.000000","(GameplayTags=((TagName=""ItemQuality.Rare"")))","False","200","(GameplayTags=)",""
Crimson,"NSLOCTEXT(""DyeTable"", ""D658062F4CB6415B2EF76F86B9A3D381"", ""Crimson"")","GearDye","/Game/Items/Dyes/Dye_Crimson.Dye_Crimson_C","None","None","60.000000","100.000000","(GameplayTags=((TagName=""ItemQuality.Rare"")))","False","500","(GameplayTags=)",""
Midnight,"NSLOCTEXT(""DyeTable"", ""3E41AEFE46A178C7AF04F4B43472B907"", ""Midnight"")","GearDye","/Game/Items/Dyes/Dye_Midnight.Dye_Midnight_C","None","None","75.000000","100.000000","(GameplayTags=((TagName=""ItemQuality.Rare"")))","False","300","(GameplayTags=)",""
Snow,"NSLOCTEXT(""DyeTable"", ""57A74F8546C0031A35E4E29ABFE2DBB8"", ""Snow"")","GearDye","/Game/Items/Dyes/Dye_Snow.Dye_Snow_C","None","None","85.000000","100.000000","(GameplayTags=((TagName=""ItemQuality.Rare"")))","False","200","(GameplayTags=)",""
SkeletonDigitus,"NSLOCTEXT(""DyeTable"", ""C73746B74DDD96EA4AB2B3BD0FBC7E7E"", ""Skeleton Digitus"")","GearDye","/Game/Items/Dyes/Dye_SkeletonDigitus.Dye_SkeletonDigitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
KarkinosDigitus,"NSLOCTEXT(""DyeTable"", ""B69D6EFF45D0834B01B828BFD7DF202D"", ""Karkinos Digitus"")","GearDye","/Game/Items/Dyes/Dye_KarkinosDigitus.Dye_KarkinosDigitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
IconicDigitus,"NSLOCTEXT(""DyeTable"", ""D17063114824A3FA17BB77BF545F3923"", ""Iconic Digitus"")","GearDye","/Game/Items/Dyes/Dye_IconicDigitus.Dye_IconicDigitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
Iconic2Digitus,"NSLOCTEXT(""DyeTable"", ""AEF6667C431AD3E266F6D0BAF9F12399"", ""Iconic2 Digitus"")","GearDye","/Game/Items/Dyes/Dye_Iconic2Digitus.Dye_Iconic2Digitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
Iconic3Digitus,"NSLOCTEXT(""DyeTable"", ""A035E77440B8253431AB83838E5972E6"", ""Iconic3 Digitus"")","GearDye","/Game/Items/Dyes/Dye_Iconic3Digitus.Dye_Iconic3Digitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
Iconic4Digitus,"NSLOCTEXT(""DyeTable"", ""6FF3F99845CF77F922294EBE123B2F77"", ""Iconic4 Digitus"")","GearDye","/Game/Items/Dyes/Dye_Iconic4Digitus.Dye_Iconic4Digitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
NewbieDigitus,"NSLOCTEXT(""DyeTable"", ""B1DC734F466EA3985457828A419B9D8D"", ""Newbie Digitus"")","GearDye","/Game/Items/Dyes/Dye_NewbieDigitus.Dye_NewbieDigitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
Newbie2Digitus,"NSLOCTEXT(""DyeTable"", ""7B7C189D4EC15FC2830986AD9FFD160A"", ""Newbie2 Digitus"")","GearDye","/Game/Items/Dyes/Dye_Newbie2Digitus.Dye_Newbie2Digitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
Newbie3Digitus,"NSLOCTEXT(""DyeTable"", ""049D618546ABB0082D9D189B8BEA716F"", ""Newbie3 Digitus"")","GearDye","/Game/Items/Dyes/Dye_Newbie3Digitus.Dye_Newbie3Digitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
Newbie4Digitus,"NSLOCTEXT(""DyeTable"", ""2F095D094C6099B269D92A86975346B1"", ""Newbie4 Digitus"")","GearDye","/Game/Items/Dyes/Dye_Newbie4Digitus.Dye_Newbie4Digitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
Newbie5Digitus,"NSLOCTEXT(""DyeTable"", ""776607EA43D6C86FFD8F3DB20841B27B"", ""Newbie5 Digitus"")","GearDye","/Game/Items/Dyes/Dye_Newbie5Digitus.Dye_Newbie5Digitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
Newbie6Digitus,"NSLOCTEXT(""DyeTable"", ""3C2D5CE84DA8397F742CD8AB285DBA7C"", ""Newbie6 Digitus"")","GearDye","/Game/Items/Dyes/Dye_Newbie6Digitus.Dye_Newbie6Digitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
VsGroupsDigitus,"NSLOCTEXT(""DyeTable"", ""3C9467D1481AE4FE75892FB9E51CBA93"", ""Versus Groups Digitus"")","GearDye","/Game/Items/Dyes/Dye_VsGroupsDigitus.Dye_VsGroupsDigitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
LightDigitus,"NSLOCTEXT(""DyeTable"", ""CF29573843CC7EC045900B84683A0124"", ""Light Digitus"")","GearDye","/Game/Items/Dyes/Dye_LightDigitus.Dye_LightDigitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
ShadowsDigitus,"NSLOCTEXT(""DyeTable"", ""D01794734277424D867512990D0980BE"", ""Shadows Digitus"")","GearDye","/Game/Items/Dyes/Dye_ShadowsDigitus.Dye_ShadowsDigitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
VespidDigitus,"NSLOCTEXT(""DyeTable"", ""F68E5E3741287C7FD56209B6ACD52794"", ""Vespid Digitus"")","GearDye","/Game/Items/Dyes/Dye_VespidDigitus.Dye_VespidDigitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
VolturaDigitus,"NSLOCTEXT(""DyeTable"", ""2672AA0D47137717D1E7FD8EB5DB2A57"", ""Voltura Digitus"")","GearDye","/Game/Items/Dyes/Dye_VolturaDigitus.Dye_VolturaDigitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
VsIndividualsDigitus,"NSLOCTEXT(""DyeTable"", ""0BED628349E44824B7A9AAAC121DCD66"", ""Versus Individuals Digitus"")","GearDye","/Game/Items/Dyes/Dye_VsIndividualsDigitus.Dye_VsIndividualsDigitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
t3kDigitus,"NSLOCTEXT(""DyeTable"", ""A62DD87E497C4C234BA7C9A3AD621D66"", ""Glowing Steampunk"")","GearDye","/Game/Items/Dyes/Dye_t3k_Digitus.Dye_t3k_Digitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
t2gDigitus,"NSLOCTEXT(""DyeTable"", ""EE4A31274C20B3FA7CEB5489930626C5"", ""Mossy Stone Elemental"")","GearDye","/Game/Items/Dyes/Dye_t2g_digitus.Dye_t2g_digitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
t2hDigitus,"NSLOCTEXT(""DyeTable"", ""40D166EB4A8705407D267EAC5DEC266F"", ""Dwarf King"")","GearDye","/Game/Items/Dyes/Dye_t2h_digitus.Dye_t2h_digitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
t2fDigitus,"NSLOCTEXT(""DyeTable"", ""22D49EDE48B4B08DC7D22AA08E995D7C"", ""Maroon Bug"")","GearDye","/Game/Items/Dyes/Dye_t2f_digitus.Dye_t2f_digitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
t2iDigitus,"NSLOCTEXT(""DyeTable"", ""B1E7D7364040D0226529C7AC7BBD4558"", ""Sandy Carapace"")","GearDye","/Game/Items/Dyes/Dye_t2i_Digitus.Dye_t2i_Digitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
t3iDigitus,"NSLOCTEXT(""DyeTable"", ""EA7C24F4437D263725CEC4B1FCAF8434"", ""Voltura Grabber"")","GearDye","/Game/Items/Dyes/Dye_t3i_Digitus.Dye_t3i_Digitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
t4bDigitus,"NSLOCTEXT(""DyeTable"", ""E427FC6F42B7ED6425C844B356EF30A3"", ""Steampunk Brazier"")","GearDye","/Game/Items/Dyes/Dye_t4b_Digitus.Dye_t4b_Digitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
Netherim3Digitus,"NSLOCTEXT(""DyeTable"", ""BFC321DE40E931C578F72A9A999B3C1E"", ""Netherealm Brazier"")","GearDye","/Game/Items/Dyes/Dye_Netherim_03.Dye_Netherim_03_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
GoblinTentacleDigitus,"NSLOCTEXT(""DyeTable"", ""7EBF6A7947912C4223E2E29FB53C197E"", ""Goblin Bone Tentacles"")","GearDye","/Game/Items/Dyes/Dye_GoblinTentacleDigitus.Dye_GoblinTentacleDigitus_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
GoblinCannon,"NSLOCTEXT(""DyeTable"", ""135A350C4AAABF3CD3CFEAA4A6B4F68D"", ""Goblin Cannon"")","GearDye","/Game/Items/Dyes/Dye_GoblinCannon.Dye_GoblinCannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
IconicCannon,"NSLOCTEXT(""DyeTable"", ""07D61BC3494E73ABA608DA998F245486"", ""Iconic Cannon"")","GearDye","/Game/Items/Dyes/Dye_IconicCannon.Dye_IconicCannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
Iconic2Cannon,"NSLOCTEXT(""DyeTable"", ""3264070046E893372F79169CC3B28936"", ""Iconic 2 Cannon"")","GearDye","/Game/Items/Dyes/Dye_Iconic2Cannon.Dye_Iconic2Cannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
Iconic3Cannon,"NSLOCTEXT(""DyeTable"", ""DA55D54340091CACF0383F9DD961D07E"", ""Iconic 3 Cannon"")","GearDye","/Game/Items/Dyes/Dye_Iconic3Cannon.Dye_Iconic3Cannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
Iconic4Cannon,"NSLOCTEXT(""DyeTable"", ""90010C634F05FE62FB780C821317870A"", ""Iconic 4 Cannon"")","GearDye","/Game/Items/Dyes/Dye_Iconic4Cannon.Dye_Iconic4Cannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
Iconic5Cannon,"NSLOCTEXT(""DyeTable"", ""191DD9EC4287FE541E2A9481D610A343"", ""Iconic 5 Cannon"")","GearDye","/Game/Items/Dyes/Dye_Iconic5Cannon.Dye_Iconic5Cannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
Iconic6Cannon,"NSLOCTEXT(""DyeTable"", ""A6F00F7B41DB27DCF2CC4882037D1546"", ""Iconic 6 Cannon"")","GearDye","/Game/Items/Dyes/Dye_Iconic6Cannon.Dye_Iconic6Cannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
KarkinosCannon,"NSLOCTEXT(""DyeTable"", ""CD04D5564ED3949DCDF38BB0988BDDAF"", ""Karkinos Cannon"")","GearDye","/Game/Items/Dyes/Dye_KarkinosCannon.Dye_KarkinosCannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
NewbieCannon,"NSLOCTEXT(""DyeTable"", ""964139B14E9CF0EF794393956AAF2ED1"", ""Newbie Cannon"")","GearDye","/Game/Items/Dyes/Dye_NewbieCannon.Dye_NewbieCannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
ShadowsCannon,"NSLOCTEXT(""DyeTable"", ""85D0992A4760EF3BE44901858B379DDE"", ""Shadows Cannon"")","GearDye","/Game/Items/Dyes/Dye_ShadowsCannon.Dye_ShadowsCannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
SkeletonCannon,"NSLOCTEXT(""DyeTable"", ""0A23918F4D8A2E1C9790DF9283BE36D6"", ""Skeleton Cannon"")","GearDye","/Game/Items/Dyes/Dye_SkeletonCannon.Dye_SkeletonCannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
SteampunkCannon,"NSLOCTEXT(""DyeTable"", ""9D3816964A664BEB5726C68FA88E7FF8"", ""Steampunk Cannon"")","GearDye","/Game/Items/Dyes/Dye_SteampunkCannon.Dye_SteampunkCannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
VolturaCannon,"NSLOCTEXT(""DyeTable"", ""143994484B76F92E7EAA5F8DA860EBC9"", ""Voltura Cannon"")","GearDye","/Game/Items/Dyes/Dye_VolturaCannon.Dye_VolturaCannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
VsGroupsCannon,"NSLOCTEXT(""DyeTable"", ""2DA9BF5443D4D24ABBB71488E35BCE11"", ""Versus Groups Cannon"")","GearDye","/Game/Items/Dyes/Dye_VsGroupsCannon.Dye_VsGroupsCannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
VsIndividualsCannon,"NSLOCTEXT(""DyeTable"", ""447DB20C4BED321641966B96F4CD3B1E"", ""Versus Individuals Cannon"")","GearDye","/Game/Items/Dyes/Dye_VsIndividualsCannon.Dye_VsIndividualsCannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
VsIndividuals2Cannon,"NSLOCTEXT(""DyeTable"", ""0EF35F644DAA78659C716BB82E61D998"", ""Versus Individuals 2 Cannon"")","GearDye","/Game/Items/Dyes/Dye_VsIndividuals2Cannon.Dye_VsIndividuals2Cannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
VsIndividuals3Cannon,"NSLOCTEXT(""DyeTable"", ""FAD8118041BE23B85DEC4D9F5E6EDEB4"", ""Versus Individuals 3 Cannon"")","GearDye","/Game/Items/Dyes/Dye_VsIndividuals3Cannon.Dye_VsIndividuals3Cannon_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
GoblinChaseDM,"NSLOCTEXT(""DyeTable"", ""2CB0960748CA2AC26A3D64A16E882836"", ""Goblin Chase DM"")","GearDye","/Game/Items/Dyes/Dye_GoblinChaseDM.Dye_GoblinChaseDM_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
GoblinChaseRM,"NSLOCTEXT(""DyeTable"", ""FBFF549046D1CBCFF7F91E9C346471AA"", ""Goblin Chase RM"")","GearDye","/Game/Items/Dyes/Dye_GoblinChaseRM.Dye_GoblinChaseRM_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
GoblinChaseFOR,"NSLOCTEXT(""DyeTable"", ""5148FB824BFD316B9A11869D045DCCC9"", ""Goblin Chase FOR"")","GearDye","/Game/Items/Dyes/Dye_GoblinChaseFOR.Dye_GoblinChaseFOR_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
VolturaChaseDM,"NSLOCTEXT(""DyeTable"", ""80E8D5824314EB47E3DE249E6CD827CD"", ""Voltura Chase DM"")","GearDye","/Game/Items/Dyes/Dye_VolturaChaseDM.Dye_VolturaChaseDM_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
VolturaChaseRM,"NSLOCTEXT(""DyeTable"", ""983D5E454E46A865F4899F86721D08F9"", ""Voltura Chase RM"")","GearDye","/Game/Items/Dyes/Dye_VolturaChaseRM.Dye_VolturaChaseRM_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
VolturaChaseFOR,"NSLOCTEXT(""DyeTable"", ""85B0D379438DFDB97C7069A52D50B44F"", ""Voltura Chase FOR"")","GearDye","/Game/Items/Dyes/Dye_VolturaChaseFor.Dye_VolturaChaseFOR_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
VolturaChaseSS,"NSLOCTEXT(""DyeTable"", ""C84C90BD4A6F9DC62A8E738EC8FF513F"", ""Voltura Chase SS"")","GearDye","/Game/Items/Dyes/Dye_VolturaChaseSS.Dye_VolturaChaseSS_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
VespidChaseDM,"NSLOCTEXT(""DyeTable"", ""EAE9E15B40892B3943E0C289167FE3FB"", ""Vespid Chase DM"")","GearDye","/Game/Items/Dyes/Dye_VespidChaseDM.Dye_VespidChaseDM_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
HyvidChaseRM,"NSLOCTEXT(""DyeTable"", ""491DE90E4BF3DB116646329F8650CF03"", ""Hyvid Chase RM"")","GearDye","/Game/Items/Dyes/Dye_HyvidChaseRM.Dye_HyvidChaseRM_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
HyvidChaseFOR,"NSLOCTEXT(""DyeTable"", ""A62C4DB849E84FF8CAEF8DB9C97BF2B6"", ""Hyvid Chase FOR"")","GearDye","/Game/Items/Dyes/Dye_HyvidChaseFOR.Dye_HyvidChaseFOR_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
CommonChaseDM,"NSLOCTEXT(""DyeTable"", ""FE760E50489E0DACFD379C9E5D7CF7BE"", ""Common Chase DM"")","GearDye","/Game/Items/Dyes/Dye_CommonChaseDM.Dye_CommonChaseDM_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
CommonChaseRM,"NSLOCTEXT(""DyeTable"", ""B8F5B8204346F93436CF4EBF4AFDE26D"", ""Common Chase RM"")","GearDye","/Game/Items/Dyes/Dye_CommonChaseRM.Dye_CommonChaseRM_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
CommonChaseFOR,"NSLOCTEXT(""DyeTable"", ""F10DF21040E548E9FC49BBB464FB12F8"", ""Common Chase FOR"")","GearDye","/Game/Items/Dyes/Dye_CommonChaseFOR.Dye_CommonChaseFOR_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
CommonChaseSS,"NSLOCTEXT(""DyeTable"", ""BC6444244B703103D98BD881E9CBA6CB"", ""Common Chase SS"")","GearDye","/Game/Items/Dyes/Dye_CommonChaseSS.Dye_CommonChaseSS_C","None","None","0.000000","0.000000","(GameplayTags=)","False","0","(GameplayTags=)",""
SkinLight,"","SkinDye","None","Texture2D'/Game/Items/Dyes/gradients/Skin/grad_skin_light.grad_skin_light'","/Game/UI/Textures/LooseIcons/grad_skin1.grad_skin1","0.000000","0.000000","(GameplayTags=)","True","0","(GameplayTags=)",""
SkinLight2,"","SkinDye","None","Texture2D'/Game/Items/Dyes/gradients/Skin/grad_skin_light2.grad_skin_light2'","/Game/UI/Textures/LooseIcons/grad_skin2.grad_skin2","0.000000","0.000000","(GameplayTags=)","True","0","(GameplayTags=)",""
SkinMedium,"","SkinDye","None","Texture2D'/Game/Items/Dyes/gradients/Skin/grad_skin_medium.grad_skin_medium'","/Game/UI/Textures/LooseIcons/grad_skin3.grad_skin3","0.000000","0.000000","(GameplayTags=)","True","0","(GameplayTags=)",""
SkinMedium2,"","SkinDye","None","Texture2D'/Game/Items/Dyes/gradients/Skin/grad_skin_medium2.grad_skin_medium2'","/Game/UI/Textures/LooseIcons/grad_skin4.grad_skin4","0.000000","0.000000","(GameplayTags=)","True","0","(GameplayTags=)",""
SkinTan,"","SkinDye","None","Texture2D'/Game/Items/Dyes/gradients/Skin/grad_skin_tan.grad_skin_tan'","/Game/UI/Textures/LooseIcons/grad_skin5.grad_skin5","0.000000","0.000000","(GameplayTags=)","True","0","(GameplayTags=)",""
