---,MinLevel,MaxLevel,DropWeight,MaxCount,TextFormat,ItemTextFormat,bAlwaysShowAffixName,bIsPrimaryAffix,TraitType,AffixTags,ElementTag,AffixCurveValue1,AffixCurveValue2,AffixCurveValue3,AffixCurveValue4,AffixCurveValue5,AffixCurveValue6,TraitString,Normal,Magic,Rare,Legendary,Unique,SetBonusTag,SetBonusCountRequired,EnchantingMagicMultipliers,EnchantingRareMultipliers,EnchantingLegendaryMultipliers,LifeboundMultiplier,bRound,TextOnDrop,Notes
CriticalHit_Chance_vsBurn,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""E17E579B4867436888B04CA5C9B67B6B"", ""+{0%}% Critical Hit chance vs. Burning targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Burn","","2-3.5","3-4.5","3-4.5","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsChilled,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""C9A78F76472C4669B62969AEF89EE3F7"", ""+{0%}% Critical Hit chance vs. Chilled targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Chilled","","2-3.5","3-4.5","3-4.5","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsFear,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""79BFD9DE4D197CB390CB1295CC3B9E13"", ""+{0%}% Critical Hit chance vs. Feared targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Fear","","3-4","4-6","4-6","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsFrozen,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""BE43E987477F903F49ECB0BC60FAD39A"", ""+{0%}% Critical Hit chance vs. Frozen targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Frozen","","2-3.5","3-4.5","3-4.5","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsGoblins,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""764D8666419B8B1648FDF3B7638A3482"", ""+{0%}% Critical Hit chance vs. Goblins"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Goblin","","1.5-2.5","2-3","2-3","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsImmobilize,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""DC04F27144924889460147B25600CDB4"", ""+{0%}% Critical Hit chance vs. Immobilized targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Immobilize","","2-3.5","3-4.5","3-4.5","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsNetherim,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""B776E07C4C66A2AC0D3BC4B99893079C"", ""+{0%}% Critical Hit chance vs. Netherim"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Netherim","","1.5-2.5","2-3","2-3","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsPoison,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""3BF8AC9A457738A236DA54BE7E69FAC9"", ""+{0%}% Critical Hit chance vs. Poisoned targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag""),(TagName=""Affix.Legendary.Global.CritvsPoisoned"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Poison","","2-3.5","3-4.5","3-4.5","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsShock,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""B3DAF9C045EA741EA2A614A79786F87C"", ""+{0%}% Critical Hit chance vs. Shocked targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Shock","","2-3.5","3-4.5","3-4.5","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsSlow,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""49ED612B4D59A2E886E8698CEF17C229"", ""+{0%}% Critical Hit chance vs. Slowed targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Fear","","2-3.5","3-4.5","3-4.5","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsStunned,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""A1D4187442B6C6495AE127B5E07A6E80"", ""+{0%}% Critical Hit chance vs. Stunned targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Stunned","","2-3.5","3-4.5","3-4.5","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsUndead,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""4C8941274CB8613EA790C890009938F4"", ""+{0%}% Critical Hit chance vs. Undead"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Undead","","1.5-2.5","2-3","2-3","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsVespid,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""815FA248483D394DC922939165E33565"", ""+{0%}% Critical Hit chance vs. Hyvid"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Vespid","","1.5-2.5","2-3","2-3","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Damage_vsGoblins,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""CD095F574E6A13F95226E893F395D8ED"", ""+{0%}% Critical Damage vs Goblins"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Armour.AmmoBag""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Goblin","",".5-1.5","1-2.5","1-2.5","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Damage_vsNetherim,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""34766A87486CCD2C4833A3A12D208BC9"", ""+{0%}% Critical Damage vs Netherim"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Armour.AmmoBag""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Netherim","",".5-1.5","1-2.5","1-2.5","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Damage_vsUndead,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""6452FA084BBC379BA3713E9836E6FC7C"", ""+{0%}% Critical Damage vs Undead"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Armour.AmmoBag""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Undead","",".5-1.5","1-2.5","1-2.5","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Damage_vsVespid,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""B40DC86B44560004F01132ADFDDD0545"", ""+{0%}% Critical Damage vs Hyvid"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Armour.AmmoBag""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Vespid","",".5-1.5","1-2.5","1-2.5","","(TagName="""")","0","","","","1.200000","False","","Legendary Secondary"
CriticalHit_Chance_vsVoltura,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""9E7BBA294129B7F68577EABF591E614D"", ""+{0%}% Critical Hit chance vs. Voltura"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Pet.Tag""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Armour.Gloves"")))","(TagName="""")","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Voltura","","1.5-2.5","2-3","2-3","","(TagName="""")","0","","","","1.200000","False","NSLOCTEXT(""AffixTable"", ""B2C6FA2847C9D90E2065159F3815FAC5"", ""Legendary Secondary"")",""
CriticalHit_vsChilled_vsFrozen,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""3A356FC641F3869CD8C66486986DB501"", ""+{0%}% Critical vs. Chilled targets and +{1%}% Critical vs. Frozen targets"")","","False","False","Default","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Affix.NonElemental""),(TagName=""Item.Armour.Shoulders""),(TagName=""Item.Armour.AmmoBag""),(TagName=""Item.Pet.Tag"")))","(TagName="""")","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|StatusEffect.Chilled;CriticalDamageBonusVs|StatusEffect.Frozen","","","","","","(TagName="""")","0","","","","1.200000","False","",""
Damage_Electric_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""701209A447B4DCA535C5659B2621B6C2"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""A2FF7AD34B04EA30D3E8B89E83C8B64B"", ""Voltaic {0}"")","False","True","Weapon","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Global""),(TagName=""Affix.Damage.Global""),(TagName=""Affix.Damage.Electric""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Pet.Tag"")))","(TagName=""Element.Electric"")","Damage","None","None","None","None","None","Damage|Element.Electric","0.94-1.45","1.19-1.62","1.53-1.79","1.53-1.79","","(TagName="""")","0","","","","1.200000","False","",""
Damage_Electric_Primary_2H,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""58B2480440440AEE67BAF1A5DC5E8D92"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""43A7AF124D24B53B817F3291F4EB637E"", ""Voltaic {0}"")","False","True","Weapon","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Global""),(TagName=""Affix.Damage.Global""),(TagName=""Affix.Damage.Electric""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Cannon"")))","(TagName=""Element.Electric"")","Damage","None","None","None","None","None","Damage|Element.Electric","1.1-1.7","1.4-1.9","1.8-2.1","1.8-2.1","","(TagName="""")","0","","","","1.200000","False","",""
Damage_Electric_Primary_Focus,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""701209A447B4DCA535C5659B2621B6C2"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""A2FF7AD34B04EA30D3E8B89E83C8B64B"", ""Voltaic {0}"")","False","True","Weapon","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Focus""),(TagName=""Affix.Damage.Global""),(TagName=""Affix.Damage.Electric""),(TagName=""Item.Weapon.Global"")))","(TagName=""Element.Electric"")","Damage","None","None","None","None","None","Damage|Element.Electric","0.31-0.48","0.39-0.53","0.5-0.59","0.5-0.59","","(TagName="""")","0","","","","1.200000","False","",""
Damage_Electric_Primary_Focus_Strong,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""701209A447B4DCA535C5659B2621B6C2"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""A2FF7AD34B04EA30D3E8B89E83C8B64B"", ""Voltaic {0}"")","False","True","Weapon","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Focus""),(TagName=""Affix.Damage.Global""),(TagName=""Affix.Damage.Electric""),(TagName=""Item.Weapon.Global""),(TagName=""Affix.DamageFocusStrong"")))","(TagName=""Element.Electric"")","Damage","None","None","None","None","None","Damage|Element.Electric","0.37-0.58","0.47-0.64","0.6-0.71","0.6-0.71","","(TagName="""")","0","","","","1.200000","False","",""
Damage_Electric_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""01848DD74928704EC705638CC42C02A6"", ""+{0} Electric Damage"")","","False","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Weapon.Global""),(TagName=""Affix.Damage.Global""),(TagName=""Affix.Damage.Electric""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Weapon.Focus""),(TagName=""Item.Pet.Tag""),(TagName=""Item.Armour.Pants""),(TagName=""Item.Armour.Locomotion""),(TagName=""Item.Armour.Chest"")))","(TagName="""")","Damage","None","None","None","None","None","Damage|Element.Electric","0.19-0.3","0.25-0.33","0.32-0.37","0.32-0.37","","(TagName="""")","0","","","","1.200000","False","",""
Damage_Electric_Secondary_2H,"1.000000","100.000000","100","2","NSLOCTEXT(""AffixTable"", ""01848DD74928704EC705638CC42C02A6"", ""+{0} Electric Damage"")","","False","False","Weapon","(GameplayTags=((TagName=""Affix.Secondary""),(TagName=""Item.Weapon.Global""),(TagName=""Affix.Damage.Global""),(TagName=""Affix.Damage.Electric""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Cannon"")))","(TagName="""")","Damage","None","None","None","None","None","Damage|Element.Electric","0.19-0.3","0.25-0.33","0.32-0.37","0.32-0.37","","(TagName="""")","0","","","","1.200000","False","",""
Damage_Fire_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""9B9D14A54B0055CD11E61BADB5744510"", ""{0} Fire Damage"")","NSLOCTEXT(""AffixTable"", ""164243E94F3504B72F8D17BE4406DCF2"", ""Blazing {0}"")","False","True","Weapon","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Global""),(TagName=""Affix.Damage.Global""),(TagName=""Affix.Damage.Fire""),(TagName=""Item.Weapon.1H""),(TagName=""Item.Pet.Tag"")))","(TagName=""Element.Fire"")","Damage","None","None","None","None","None","Damage|Element.Fire","0.94-1.45","1.19-1.62","1.53-1.79","1.53-1.79","","(TagName="""")","0","","","","1.200000","False","",""
Damage_Fire_Primary_2H,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""148F502E4A9B5096A37E59A47E95D65B"", ""{0} Fire Damage"")","NSLOCTEXT(""AffixTable"", ""FDC250524DADC538511449AE549E210A"", ""Blazing {0}"")","False","True","Weapon","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Global""),(TagName=""Affix.Damage.Global""),(TagName=""Affix.Damage.Fire""),(TagName=""Item.Weapon.2H""),(TagName=""Item.Weapon.Cannon"")))","(TagName=""Element.Fire"")","Damage","None","None","None","None","None","Damage|Element.Fire","1.1-1.7","1.4-1.9","1.8-2.1","1.8-2.1","","(TagName="""")","0","","","","1.200000","False","",""
Damage_Fire_Primary_Focus,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""B6701CA54A7FC8929362E49BAC60D1C0"", ""{0} Fire Damage"")","NSLOCTEXT(""AffixTable"", ""71E5F4D94E19698FA1ED03AA031D3623"", ""Blazing {0}"")","False","True","Weapon","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Focus""),(TagName=""Affix.Damage.Global""),(TagName=""Affix.Damage.Fire""),(TagName=""Item.Weapon.Global"")))","(TagName=""Element.Fire"")","Damage","None","None","None","None","None","Damage|Element.Fire","0.31-0.48","0.39-0.53","0.5-0.59","0.5-0.59","","(TagName="""")","0","","","","1.200000","False","",""
Damage_Fire_Primary_Focus_Strong,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""B6701CA54A7FC8929362E49BAC60D1C0"", ""{0} Fire Damage"")","NSLOCTEXT(""AffixTable"", ""71E5F4D94E19698FA1ED03AA031D3623"", ""Blazing {0}"")","False","True","Weapon","(GameplayTags=((TagName=""Affix.Primary""),(TagName=""Item.Weapon.Focus""),(TagName=""Affix.Damage.Global""),(TagName=""Affix.Damage.Fire""),(TagName=""Item.Weapon.Global""),(TagName=""Affix.DamageFocusStrong"")))","(TagName=""Element.Fire"")","Damage","None","None","None","None","None","Damage|Element.Fire","0.37-0.58","0.47-0.64","0.6-0.71","0.6-0.71","","(TagName="""")","0","","","","1.200000","False","",""
