---,SkillClass,CharacterTag,Animation,AnimationOverride,MaximumSkillLevel,MinimumSkillLevel,EmberWeaponUnlockLevel,bShowSkillLevel,GameplayTags,ExclusiveTags,RequiredSkillTab,RequiredPointsInSkillTab,TraitMode,TraitString,PerLevelDisplayTexts,PerLevelDisplayCategories,TraitCurve1,TraitCurve2,TraitCurve3,TraitCurve4,Tier1TraitString,Tier1DisplayText,Tier2TraitString,Tier2DisplayText,Tier3TraitString,Tier3DisplayText,bCanNeverBeUnlocked,bHiddenBehindCheats,SkillPanelRow,SkillPanelColumn,TryStatusEffect,TryDuration,DefaultSkillSet,DefaultSkillSlot,Notes
DM_Damnation,"/Game/Skills/Blueprints/DuskMage/Skill_Damnation.Skill_Damnation_C","Character.Player.DuskMage","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Cooldown.DuskMage"")))","(GameplayTags=)","(RowName=""DM_Dark"")","10","Default","DurationPctBySkillName|DM_Damnation=.0425","(NSLOCTEXT(""SkillsTable"", ""86E6B38441BEC53DC68336AD02120069"", ""Damnation Duration""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.Damnation1=1","NSLOCTEXT(""SkillsTable"", ""12A9B0464F17CA896579B7BA401040AF"", ""Hitting an enemy affected by Damnation returns 5% Mana (1s Cooldown)"")","CooldownPctBySkillTag|Skill.Emberweapon=-.2","NSLOCTEXT(""SkillsTable"", ""45074CC64BB5A213AD9D43AF0F67A260"", ""-20% to Relic Active Skill Cooldowns"")","SkillModifier|Skill.DuskMage.Milestone.Damnation2=1","NSLOCTEXT(""SkillsTable"", ""CE4BE59344A6BF5BAC983991807F5281"", ""Damnation Immobilizes enemies for 1s"")","False","False","1","3","(RowName="""")","30.000000","Default","Skill00",""
DM_ShadowStep,"/Game/Skills/Blueprints/DuskMage/Skill_ShadowStep.Skill_ShadowStep_C","Character.Player.DuskMage","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active""),(TagName=""Skill.Cooldown.DuskMage"")))","(GameplayTags=)","(RowName=""DM_Dark"")","15","Default","CooldownPctBySkillName|DM_Shadowstep=-.0205","(NSLOCTEXT(""SkillsTable"", ""00C529564EE6E3F404A525AFFBCBCC96"", ""Cooldown for Shadowstep""))","(NSLOCTEXT(""SkillsTable"", ""DM_ShadowStep_PerLevelDisplayCategories_Index0"", """"),NSLOCTEXT(""SkillsTable"", ""6589F09F475E30283CC37EBDB10C7BF4"", ""Consecration""))","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.ShadowStep1=1","NSLOCTEXT(""SkillsTable"", ""C7E8332542AA7AD1FC281190A27A5123"", ""Hit Enemies at Starting Location and Gain 5% Mana Per Enemy Hit"")","Energy.Regen.Multiplier=.15","NSLOCTEXT(""SkillsTable"", ""EB762AD74C6E2AE5B59D3B9BB31764E2"", ""15% increased Mana Regeneration"")","ShadowStepCharges.Max=1","NSLOCTEXT(""SkillsTable"", ""5037058A4F681B7C0EDD46BEEC3702A2"", ""Shadowstep Now Has Four Charges"")","False","False","2","4","(RowName="""")","30.000000","Default","Skill00",""
DM_LightSpear,"/Game/Skills/Blueprints/DuskMage/Skill_Lightspear.Skill_Lightspear_C","Character.Player.DuskMage","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Light"")))","(GameplayTags=)","(RowName=""DM_Light"")","15","Default","SkillDamageFactorMultiplier|DM_LightSpear=0.255","(NSLOCTEXT(""SkillsTable"", ""73E04D3C4686ED4FED7C8183318C096A"", ""Damage for Light Spear""))","(NSLOCTEXT(""SkillsTable"", ""DM_LightSpear_PerLevelDisplayCategories_Index0"", """"),NSLOCTEXT(""SkillsTable"", ""D190F8A949B47757D9F95A8B687D38AD"", ""Light Skills""))","PerLevelByOnes","None","None","None","SkillModifier|SKill.DuskMage.Milestone.LightSpear1=1","NSLOCTEXT(""SkillsTable"", ""51A71E574FB717742FC95FA16076D1B9"", ""While Light Charged Heal 3% Total Health Per Enemy Hit with Spear"")","MiscBonusBySkillName|DM_LightSpear=.5","NSLOCTEXT(""SkillsTable"", ""18D316D04DF8E5C417BD82BE20B80319"", ""+50% Light Charge Buff Duration"")","SkillModifier|Skill.DuskMage.Milestone.LightSpear2=1","NSLOCTEXT(""SkillsTable"", ""DFB3F438413ACD386C0CEFA85BBA6FE3"", ""While Dark Charged Throw a Second Dark Spear"")","False","False","1","4","(RowName="""")","30.000000","Default","Skill00",""
DM_EnergySpike,"/Game/Skills/Blueprints/DuskMage/Skill_EnergySpike.Skill_EnergySpike_C","Character.Player.DuskMage","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Dark"")))","(GameplayTags=)","(RowName=""DM_Dark"")","15","Default","SkillDamageFactorMultiplier|DM_EnergySpike=0.042","(NSLOCTEXT(""SkillsTable"", ""74CCFCF84F05A0E8145D90A5C89ED404"", ""Energy Spike damage""))","(NSLOCTEXT(""SkillsTable"", ""DM_EnergySpike_PerLevelDisplayCategories_Index0"", """"),NSLOCTEXT(""SkillsTable"", ""6AAF28054D17623F84E8C9A572BDBE00"", ""Light Skills""))","PerLevelByOnes","None","None","None","SkillModifier|Skill.DuskMage.Milestone.EnergySpike1=1","NSLOCTEXT(""SkillsTable"", ""3D5DD80049A59155877F1C85B8773A3E"", ""When Dark Charged You Fire an Extra Energy Spike"")","MiscBonusBySkillName|DM_EnergySpike=0.5","NSLOCTEXT(""SkillsTable"", ""43D2475745AF3D68B1C93588E8F8E989"", ""+50% Dark Charge Buff Duration"")","SkillModifier|Skill.DuskMage.Milestone.EnergySpike2=1","NSLOCTEXT(""SkillsTable"", ""0F204F964C8F47B0A5D299B08AC0987F"", ""If Light Charged You Fire an Extra Two Light Energy Spikes"")","False","False","0","4","(RowName=""TrySkill_DM_EnergySpike"")","30.000000","Default","Skill00",""
Forged_RapidFire,"/Game/Skills/Blueprints/Forged/Skill_Forged_ShootCannon.Skill_Forged_ShootCannon_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName="""")","0","Default","SkillDamageFactorMultiplier|Forged_RapidFire=0.0425;","(NSLOCTEXT(""SkillsTable"", ""BD1370E448256DF3D66691B97DE52B27"", ""Rapid Fire damage""),NSLOCTEXT(""SkillsTable"", ""A0397DB64EBD6235A94B398118D0F92B"", ""Barrage skills damage""))","","PerLevelByOnes","PerLevelByOnes","None","None","","NSLOCTEXT(""SkillsTable"", ""1E613C124CC49C48AE6F6E8385B733AE"", ""DamagePctBySkillTag|Skill.Forged.Ranged=0.2"")","+20% Barrage Skill Damage","","","","False","False","1","0","(RowName="""")","30.000000","Default","Skill00",""
Forged_RapidStrike,"/Game/Skills/Blueprints/Forged/Skill_Forged_RapidStrike.Skill_Forged_RapidStrike_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Forged.Melee"")))","(GameplayTags=)","(RowName="""")","0","Default","SkillDamageFactorMultiplier|Forged_RapidStrike=0.068;DamagePctBySkillTag|Skill.Forged.Melee=0.021","(NSLOCTEXT(""SkillsTable"", ""B88ACDAB4E087941482F09A5DB5A65F4"", ""Rapid Strike damage""),NSLOCTEXT(""SkillsTable"", ""CEA8FE6C48E1953BE21702A6A2E75D89"", ""Brawl skill damage""))","","PerLevelByOnes","PerLevelByOnes","None","None","SkillModifier|Skill.Forged.Milestone.RapidStrike1=1","NSLOCTEXT(""[1BA8F4A14C484999C81F2F8ABFA28128]"", ""03E609E5456B1793EC970685CAFBF25F"", ""Rapid Strike Hits an Additional Two Times"")","DamagePctBySkillTag|Skill.Forged.Melee=0.2","NSLOCTEXT(""[1BA8F4A14C484999C81F2F8ABFA28128]"", ""C94990454AC245127AB2C8B081C5D41A"", ""+20% Brawl Skills Damage"")","SkillModifier|Skill.Forged.Milestone.RapidStrike2=1","NSLOCTEXT(""[1BA8F4A14C484999C81F2F8ABFA28128]"", ""4CBF14F14C6BB077A312DA81FEEE3A19"", ""RapidStrike"")","False","False","1","0","(RowName=""TrySkill_Forged_RapidStrike"")","30.000000","Default","Skill00",""
Forged_RocketBarrage,"/Game/Skills/Blueprints/Forged/Skill_Forged_RocketBarrage.Skill_Forged_RocketBarrage_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.Vent""),(TagName=""Skill.Cooldown.Forged"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","1","Default","SkillDamageFactorMultiplier|Forged_RocketBarrage=0.068;DamagePctBySkillTag|Skill.Forged.Vent=0.042","(NSLOCTEXT(""SkillsTable"", ""70F45896495808330E4D44BD2973ACD4"", ""Coal Launch Damage""),NSLOCTEXT(""SkillsTable"", ""89B29A85403518FDA6E4B680FEA2A2D1"", ""Heat-spending Skill Damage""))","","PerLevelByOnes","PerLevelByOnes","None","None","","","","","","","False","False","0","1","(RowName=""TrySkill_Forged_RocketBarrage"")","30.000000","Default","Skill00",""
Forged_Lodestone,"/Game/Skills/Blueprints/Forged/Skill_Forged_Lodestone.Skill_Forged_Lodestone_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Forged.Melee""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.Vent""),(TagName=""Skill.Cooldown.Forged"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","1","Default","CooldownPctBySkillName|Forged_Lodestone=-.0425","(NSLOCTEXT(""SkillsTable"", ""B94080D44E07A6416432C6B0E8AA90C3"", ""Vortex Bomb Cooldown""))","","PerLevelByOnes","None","None","None","SkillModifier|Skill.Forged.Milestone.VortexBomb1=1","NSLOCTEXT(""[1BA8F4A14C484999C81F2F8ABFA28128]"", ""F8FB40254AF8864D038B748D3456EBA2"", ""Double Armor Bonus Lasts for 4s After Using Vortex Bomb"")","RandomBonusPctBySkillName|Forged_RammingRobot=.2","NSLOCTEXT(""[1BA8F4A14C484999C81F2F8ABFA28128]"", ""A86482DB44A040DAA981D39243537AF4"", ""+20% Damage Reduction in Melee Combat"")","SkillModifier|Skill.Forged.Milestone.VortexBomb2=1","NSLOCTEXT(""[1BA8F4A14C484999C81F2F8ABFA28128]"", ""251462904DCB3759957DCFBDF67E5094"", ""Using Vortex Bomb lobs 4 Fire Bombs that Deal Skill\'s Current Weapon Damage in an Area on Impact"")","False","False","2","1","(RowName="""")","30.000000","Default","Skill00",""
Forged_ShotgonneBlast,"/Game/Skills/Blueprints/Forged/Skill_Forged_CannonBlast.Skill_Forged_CannonBlast_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","1","Default","SkillDamageFactorMultiplier|Forged_ShotgonneBlast=0.0595;ForgedHeat.Regen.Multiplier=.04032","(NSLOCTEXT(""SkillsTable"", ""75F9FD6D454C7B5CFA4863A7C6CC4E7E"", ""Shotgonne Blast Damage""),NSLOCTEXT(""SkillsTable"", ""2EEB3C1F4C39CDC0ACCBA2AC7906BEB1"", ""Heat Dissipation""))","","PerLevelByOnes","PerLevelByOnes","None","None","","","","","","","False","False","2","1","(RowName=""TrySkill_Forged_ShotgonneBlast"")","30.000000","Default","Skill00",""
Forged_CycloneMode,"/Game/Skills/Blueprints/Forged/Skill_Forged_DashAttack.Skill_Forged_DashAttack_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Forged.Melee""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","10","Default","EnergyCostPctBySkillName|Forged_CycloneMode=-0.0417;CooldownPctBySkillTag|Skill.Emberweapon=-.0168","(NSLOCTEXT(""SkillsTable"", ""1A025DBF4F9178EA6C2F679820353E15"", ""Cyclone Mode Heat Cost""),NSLOCTEXT(""SkillsTable"", ""8EB458D8405FDEC355537E9A7E4A6A87"", ""Relic Skill Cooldowns""))","","PerLevelByOnes","PerLevelByOnes","None","None","","","","","","","False","False","0","3","(RowName=""TrySkill_Forged_CycloneMode"")","30.000000","Default","Skill00",""
Forged_PoisonDart,"/Game/Skills/Blueprints/Forged/Skill_Forged_PoisonDart.Skill_Forged_PoisonDart_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Cooldown.Forged"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","5","Default","SkillDamageFactorMultiplier|Forged_PoisonDart=0.051;DamagePctBySkillTag|Skill.Pet=0.0588","(NSLOCTEXT(""SkillsTable"", ""678BCA9945B635B1666588AD33D86E29"", ""Poison Dart Duration""),NSLOCTEXT(""SkillsTable"", ""DB7715B04FCAD3E11C62659976C73272"", ""Pet Skill and Attack Damage""))","","PerLevelByOnes","PerLevelByOnes","None","None","","","","","","","False","False","1","2","(RowName=""TrySkill_Forged_PoisonDart"")","30.000000","Default","Skill00",""
Forged_ServoDrivenUppercut,"/Game/Skills/Blueprints/Forged/Skill_Forged_ServoDrivenUppercut.Skill_Forged_ServoDrivenUppercut_C","Character.Player.Forged","Default","None","12","0","0","True","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Forged.Melee"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","5","Default","BonusChancePctBySkillName|Forged_ServoDrivenUppercut=.085;CriticalHitChanceForType|Skill.Forged.Melee=0.0168","(NSLOCTEXT(""SkillsTable"", ""76AEC5EE4C86E323564045B4B27303FA"", ""Uppercut Stun Chance""),NSLOCTEXT(""SkillsTable"", ""6106757F42847C12F95ABBB63DBEEF55"", ""Melee Skill Crit Chance""))","","PerLevelByOnes","PerLevelByOnes","None","None","","","","","","","False","False","1","2","(RowName=""TrySkill_Forged_ServoDrivenUppercut"")","30.000000","Default","Skill00",""
