---,QuestRewardText,QuestRewardIconGameplayTag,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,bRetryIfPickIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
Boss,"","(TagName="""")","Each","0","0","False","False","GotoItemSpawnRow","Boss_Normal","1","GotoItemSpawnRow","Champ_Luck_Gear","1","GotoItemSpawnRow","Champ_Luck_Potion","1","GotoItemSpawnRow","Champ_Luck_Gear","1","GotoItemSpawnRow","EnchantingRecipes","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Boss_NoFame,"","(TagName="""")","Each","0","0","False","False","GotoItemSpawnRow","Boss_Normal","1","GotoItemSpawnRow","Champ_Luck_Gear","1","GotoItemSpawnRow","Champ_Luck_Potion","1","GotoItemSpawnRow","Champ_Luck_Gear","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Boss_Normal,"","(TagName="""")","Each","0","0","False","False","GotoItemSpawnRow","Gear_RareMin","1","GotoItemSpawnRow","Gear_MagicMin","1","GotoItemSpawnRow","Gear","2","GotoItemSpawnRow","Gold","8","GotoItemSpawnRow","Potion","1","GotoItemSpawnRow","EnchantingRecipes","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Champ_Luck_Gear,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gear_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Champ_NoGear;Champ_Gear-Item.Gear","(None,None)",""
Champ_Luck_Potion,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Potion_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Champ_NoPotion;Champ_Potion-Item.Potion","(None,None)",""
Champ_Luck_Gold,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gold_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Champ_NoGold;Champ_Gold-Item.Currency.Gold","(None,None)",""
LootChest,"","(TagName="""")","Each","0","0","False","False","GotoItemSpawnRow","LootChest_Normal","1","GotoItemSpawnRow","LootChest_Potion","1","GotoItemSpawnRow","Chest_Luck_Gear","1","GotoItemSpawnRow","Chest_Luck_Potion","1","GotoItemSpawnRow","Chest_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
LootChest_Normal,"","(TagName="""")","Pick","0","0","False","False","GotoItemSpawnRow","Gear","3","GotoItemSpawnRow","LootChest_Gold","7","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
LootChest_Potion,"","(TagName="""")","Pick","1","0","False","False","GotoItemSpawnRow","Potion","3","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
LootChest_Gold,"","(TagName="""")","All","0","0","False","False","ItemAddCurrency","Gold:6-12","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
LootChest_Gold_Rare,"","(TagName="""")","All","0","0","False","False","ItemAddCurrency","Gold:10-20","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
LootChest_Rare,"","(TagName="""")","Each","0","0","False","False","GotoItemSpawnRow","Gear_MagicMin","1","GotoItemSpawnRow","Potion","1","GotoItemSpawnRow","LootChest_Gold_Rare","1","GotoItemSpawnRow","Chest_Luck_Gear","1","GotoItemSpawnRow","Chest_Luck_Potion","1","GotoItemSpawnRow","Chest_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Chest_Luck_Gear,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gear_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Chest_NoGear;Chest_Gear-Item.Gear","(None,None)",""
Chest_Luck_Potion,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Potion_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Chest_NoPotion;Chest_Potion-Item.Potion","(None,None)",""
Chest_Luck_Gold,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","NoLoot","0","GotoItemSpawnRow","Gold_Lucky","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Chest_NoGold;Chest_Gold-Item.Currency.Gold","(None,None)",""
BossChest,"","(TagName="""")","Each","0","0","False","False","GotoItemSpawnRow","BossChest_Normal","1","GotoItemSpawnRow","Champ_Luck_Gear","1","GotoItemSpawnRow","Champ_Luck_Potion","1","GotoItemSpawnRow","Champ_Luck_Gold","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
BossChest_Normal,"","(TagName="""")","Each","0","0","False","False","GotoItemSpawnRow","Gear_RareMin","1","GotoItemSpawnRow","Gear_MagicMin","1","GotoItemSpawnRow","Gear","2","GotoItemSpawnRow","Gold","8","GotoItemSpawnRow","Potion","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Clickable,"","(TagName="""")","Pick","20","0","False","False","GotoItemSpawnRow","Gear","5","GotoItemSpawnRow","Gold","75","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Clickable_Wood,"","(TagName="""")","Pick","20","0","False","False","GotoItemSpawnRow","Gear","5","GotoItemSpawnRow","Gold","33","GotoItemSpawnRow","Clickable_T1_Ash_Bonus","20","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Clickable_T1_Ash_Bonus,"","(TagName="""")","All","0","0","False","False","ItemAddCurrency","WoodLog_T1_Ash:1-2","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Clickable_Stone,"","(TagName="""")","Pick","20","0","False","False","GotoItemSpawnRow","Gear","5","GotoItemSpawnRow","Gold","33","GotoItemSpawnRow","Clickable_T1_Sandstone_Bonus","20","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Clickable_T1_Sandstone_Bonus,"","(TagName="""")","All","0","0","False","False","ItemAddCurrency","StoneRock_T1_Sandstone:1-2","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Clickable_Metal,"NSLOCTEXT(""ItemSpawnTable"", ""B5FE48994A19EED43F9FBF951AF61D2E"", ""0.0105"")","(TagName="""")","Pick","20","0","False","False","GotoItemSpawnRow","Gear","4","GotoItemSpawnRow","Gold","33","GotoItemSpawnRow","Clickable_T1_Tin_Bonus","20","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Clickable_T1_Tin_Bonus,"","(TagName="""")","All","0","0","False","False","ItemAddCurrency","MetalNugget_T1_Tin:1-2","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Breakable,"","(TagName="""")","Pick","50","0","False","False","GotoItemSpawnRow","Gear","3","GotoItemSpawnRow","Gold","47","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
PickLoot,"","(TagName="""")","Pick","0","0","False","False","GotoItemSpawnRow","Gear","10","GotoItemSpawnRow","Gold","41","GotoItemSpawnRow","Potion","4","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Gold,"NSLOCTEXT(""ItemSpawnTable"", ""04C83E9C411860F001A8B1AF88830E90"", ""Random Amount of Gold"")","(TagName=""Item.Currency.Gold"")","Pick","0","0","False","False","GotoItemSpawnRow","Gold_1","25","GotoItemSpawnRow","Gold_2","10","GotoItemSpawnRow","Gold_3","3","GotoItemSpawnRow","Gold_4","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Gold_1,"NSLOCTEXT(""ItemSpawnTable"", ""5E7773444D6B39B1215F8B871C011334"", ""Handful of Gold"")","(TagName=""Item.Currency.Gold"")","All","0","0","False","False","ItemAddCurrency","Gold:1-4","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_2,"NSLOCTEXT(""ItemSpawnTable"", ""051A9015490C73F876BA108D92E1F8DB"", ""Pile of Gold"")","(TagName=""Item.Currency.Gold"")","All","0","0","False","False","ItemAddCurrency","Gold:2-5","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_3,"NSLOCTEXT(""ItemSpawnTable"", ""910DD46649B6F122093C39B25FD3E412"", ""Mound of Gold"")","(TagName=""Item.Currency.Gold"")","All","0","0","False","False","ItemAddCurrency","Gold:3-6","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_4,"NSLOCTEXT(""ItemSpawnTable"", ""83F1A7584371A39ED2F457A2B53588A2"", ""Mountain of Gold"")","(TagName=""Item.Currency.Gold"")","All","0","0","False","False","ItemAddCurrency","Gold:5-9","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_20,"NSLOCTEXT(""ItemSpawnTable"", ""0A4DCF7A42C016CF5BAFF5823F346959"", ""20"")","(TagName=""Item.Currency.Gold"")","All","0","0","False","False","ItemAddCurrency","Gold:20","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_50,"NSLOCTEXT(""ItemSpawnTable"", ""05F44EB64B0CB87582616DB267F0A239"", ""50"")","(TagName=""Item.Currency.Gold"")","All","0","0","False","False","ItemAddCurrency","Gold:50","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_200,"NSLOCTEXT(""ItemSpawnTable"", ""0E2EB6ED470E7319291909B944BF9C61"", ""200"")","(TagName=""Item.Currency.Gold"")","All","0","0","False","False","ItemAddCurrency","Gold:200","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_500,"NSLOCTEXT(""ItemSpawnTable"", ""61A7D33240CBFB5E2DE62A9A2D41EEB4"", ""500"")","(TagName=""Item.Currency.Gold"")","All","0","0","False","False","ItemAddCurrency","Gold:500","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Gold_1000,"NSLOCTEXT(""ItemSpawnTable"", ""9BD541854E6188745D503AAC71D6A3DD"", ""1,000"")","(TagName="""")","All","0","0","False","False","ItemAddCurrency","Gold:1000","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_Lucky,"","(TagName=""Item.Currency.Gold"")","All","0","0","False","False","ItemAddAffix","Lucky","1","GotoItemSpawnRow","Gold_Lucky_Roll","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gold_Lucky_Roll,"","(TagName="""")","Pick","0","0","False","False","GotoItemSpawnRow","Gold_1","25","GotoItemSpawnRow","Gold_2","10","GotoItemSpawnRow","Gold_3","3","GotoItemSpawnRow","Gold_4","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
FamePoints,"NSLOCTEXT(""ItemSpawnTable"", ""D86092234301DDC50F3852A58FD64187"", ""Random Amount of Fame"")","(TagName=""Item.Fame"")","Pick","0","0","False","False","ItemAddCurrency","Fame:5-10","1","ItemAddCurrency","Fame:6-12","1","ItemAddCurrency","Fame:7-14","1","ItemAddCurrency","Fame:8-16","1","ItemAddCurrency","Fame:10-20","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
FamePoints_1,"NSLOCTEXT(""ItemSpawnTable"", ""1E16F00C484E11EFDA83049957C11A73"", ""1 Fame"")","(TagName=""Item.Fame"")","All","0","0","False","False","ItemAddCurrency","Fame:1","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
FamePoints_3,"NSLOCTEXT(""ItemSpawnTable"", ""0B5E66724D302C57CD39CF8106A76DC6"", ""3 Fame"")","(TagName=""Item.Fame"")","All","0","0","False","False","ItemAddCurrency","Fame:3","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
FamePoints_5,"NSLOCTEXT(""ItemSpawnTable"", ""D5DDE94A4F540048483988AB12DE7991"", ""5 Fame"")","(TagName=""Item.Fame"")","All","0","0","False","False","ItemAddCurrency","Fame:5","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
FamePoints_10,"NSLOCTEXT(""ItemSpawnTable"", ""55DE6C3243AE9B31F72B659DC3E63B0B"", ""10 Fame"")","(TagName=""Item.Fame"")","All","0","0","False","False","ItemAddCurrency","Fame:10","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Potion,"NSLOCTEXT(""ItemSpawnTable"", ""0377F20D42796A7CEF12BF994AD58770"", ""Potion"")","(TagName=""Item.Potion"")","All","0","0","False","False","AddAreaTagsToAll","0","1","AddItemByFilter","Item.Potion","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Potion_Health,"NSLOCTEXT(""ItemSpawnTable"", ""9D4EF8C54FF2E1B955DB15A06D09073F"", ""Health Potion"")","(TagName=""Item.Potion.Health"")","All","0","0","False","False","AddItemByName","Potion_Health","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Potion_Antidote,"NSLOCTEXT(""ItemSpawnTable"", ""33FDEEBD42CCE7F98E8569A18B4F31D0"", ""Antidote Potion"")","(TagName=""Item.Potion.Poison"")","All","0","0","False","False","AddItemByName","Potion_Poison","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Potion_Antidote_5,"NSLOCTEXT(""ItemSpawnTable"", ""0E9F0B9649CB9732F20F13A9CCA3E6FB"", ""5 Antidote Potions"")","(TagName=""Item.Potion.Poison"")","All","0","0","False","False","AddItemByName","Potion_Poison","5","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Potion_Lucky,"NSLOCTEXT(""ItemSpawnTable"", ""9D4EF8C54FF2E1B955DB15A06D09073F"", ""Health Potion"")","(TagName=""Item.Potion"")","All","0","0","False","False","ItemAddAffix","Lucky","1","GotoItemSpawnRow","Potion","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Potion_Champs,"","(TagName="""")","All","0","3","False","False","GotoItemSpawnRow","Potion","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gear_Lucky,"","(TagName="""")","All","0","0","False","False","ItemAddAffix","Lucky","1","GotoItemSpawnRow","Gear_Lucky_Roll","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Gear_Lucky_Roll,"","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","Normal","0","GotoItemSpawnRow","Magic","0","GotoItemSpawnRow","Rare","0","GotoItemSpawnRow","Rare","0","GotoItemSpawnRow","Legendary","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Normal;Magic;Rare;RareLucky-Luck.RareSpawn;Legendary","(None,None,None,None,None)",""
Phased_Pick,"","(TagName="""")","Pick_Curve","0","0","False","False","ItemRemoveAffix","LifeBound","1","ItemAddAffix","LifeBound","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Phased_NoPick;Phased_Pick","",""
Tags_Area,"","(TagName="""")","All","0","0","False","False","AddAreaTagsToAll","0","1","RemoveGameplayTagAll","Region.Global","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Tags_Global,"","(TagName="""")","All","0","0","False","False","RemoveAreaTagsFromAll","0","1","GameplayTagAll","Region.Global","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Gear,"NSLOCTEXT(""ItemSpawnTable"", ""BA61F3EB4B2CB6F1303981A0D50CECCD"", ""Random Item"")","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","Normal","0","GotoItemSpawnRow","Magic","0","GotoItemSpawnRow","Rare","0","GotoItemSpawnRow","Rare","0","GotoItemSpawnRow","Legendary","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Normal;Magic;Rare;RareLucky-Luck.RareSpawn;Legendary","(None,None,None,None,None)",""
Gear_MagicMin,"NSLOCTEXT(""ItemSpawnTable"", ""F1A00BB74693070B2DC7728EE6C1D82D"", ""Random Item (Magic or Better)"")","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","Magic","0","GotoItemSpawnRow","Rare","0","GotoItemSpawnRow","Legendary","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Magic_Min;Rare;Legendary","(None,None,None)",""
Gear_RareMin,"NSLOCTEXT(""ItemSpawnTable"", ""C516085C47338357AE93E2991CE1CA8A"", ""Random Item (Rare or Better)"")","(TagName="""")","Pick_Curve","0","0","False","False","GotoItemSpawnRow","Rare","0","GotoItemSpawnRow","Legendary","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","Rare_Min;Legendary","(None,None)",""
Normal_Level,"","(TagName="""")","Pick","80","0","False","False","LevelDelta","1","15","LevelDelta","2","5","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","",""
Normal,"","(TagName="""")","All","0","0","False","False","GotoItemSpawnRow","Normal_Level","1","GotoItemSpawnRow","Phased_Pick","1","GotoItemSpawnRow","Gear_Normal_PickType","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Magic,"","(TagName="""")","All","0","0","False","False","GotoItemSpawnRow","Phased_Pick","1","GotoItemSpawnRow","Gear_Magic_PickType","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Rare,"","(TagName="""")","All","0","0","False","False","GotoItemSpawnRow","Phased_Pick","1","GotoItemSpawnRow","Gear_Rare_PickType","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
