---,Type,ParameterName,Level,bIsPaid,bFeatured,RewardRecipe1,RewardRecipe2,RewardRecipe3,RewardRecipe4,RewardRecipe5,RewardRecipe6,Notes
Contract0_Paid_12,"Contract","Contract0","12","True","False","(RowName=""FortProp_Rare_GoblinSkulls_Quantity5"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_13,"Contract","Contract0","13","True","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_14,"Contract","Contract0","14","True","False","(RowName=""FortProp_Magic_CartographersRug_Quantity1"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_15,"Contract","Contract0","15","True","False","(RowName=""FortProp_Legendary_HyvidCage_Quantity1"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_16,"Contract","Contract0","16","True","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_17,"Contract","Contract0","17","True","False","(RowName=""FortProp_Magic_ImperialBanner_Quantity2"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_18,"Contract","Contract0","18","True","False","(RowName=""MetalNuggets_100"")","(RowName=""StoneRocks_100"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_19,"Contract","Contract0","19","True","False","(RowName=""FortProp_Magic_EvergreenTree_Quantity5"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_20,"Contract","Contract0","20","True","False","(RowName=""FortProp_Legendary_WarPlanningTable_Quantity1"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_21,"Contract","Contract0","21","True","False","(RowName=""WoodLogs_100"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_22,"Contract","Contract0","22","True","False","(RowName=""FortProp_Magic_MossyStoneWall_Quantity5"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_23,"Contract","Contract0","23","True","False","(RowName=""RareStone_10"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_24,"Contract","Contract0","24","True","False","(RowName=""RareWood_10"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract0_Paid_25,"Contract","Contract0","25","True","False","(RowName=""StashTab"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_1,"Contract","Contract1","1","True","False","(RowName=""ContractReward_TestEmberWeapon"")","(RowName=""ContractReward_TestFortProp"")","(RowName=""RelicSlot"")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_2,"Contract","Contract1","2","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_3,"Contract","Contract1","3","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_4,"Contract","Contract1","4","True","False","(RowName=""Gold_500"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_5,"Contract","Contract1","5","True","False","(RowName=""ContractReward_TestEmberWeapon"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_6,"Contract","Contract1","6","True","False","(RowName=""Gold_500"")","(RowName=""WoodLogs_100"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_7,"Contract","Contract1","7","True","False","(RowName=""Gold_500"")","(RowName=""StoneBlocks_90"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_8,"Contract","Contract1","8","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_9,"Contract","Contract1","9","True","False","(RowName=""Gold_500"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_10,"Contract","Contract1","10","True","False","(RowName=""ContractReward_TestEmberWeapon"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_11,"Contract","Contract1","11","True","False","(RowName=""MetalBars_90"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_12,"Contract","Contract1","12","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_13,"Contract","Contract1","13","True","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_14,"Contract","Contract1","14","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_15,"Contract","Contract1","15","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_16,"Contract","Contract1","16","True","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_17,"Contract","Contract1","17","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_18,"Contract","Contract1","18","True","False","(RowName=""MetalNuggets_100"")","(RowName=""StoneRocks_100"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_19,"Contract","Contract1","19","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_20,"Contract","Contract1","20","True","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_21,"Contract","Contract1","21","True","False","(RowName=""WoodLogs_100"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_22,"Contract","Contract1","22","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_23,"Contract","Contract1","23","True","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_24,"Contract","Contract1","24","True","False","(RowName=""RareWood_10"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_25,"Contract","Contract1","25","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_26,"Contract","Contract1","26","True","False","(RowName=""RareStone_10"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_27,"Contract","Contract1","27","True","False","(RowName=""RareMetal_10"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_28,"Contract","Contract1","28","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_29,"Contract","Contract1","29","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_30,"Contract","Contract1","30","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_31,"Contract","Contract1","31","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_32,"Contract","Contract1","32","True","False","(RowName=""WoodPlanks_90"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_33,"Contract","Contract1","33","True","False","(RowName=""StoneBlocks_90"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_34,"Contract","Contract1","34","True","False","(RowName=""MetalBars_90"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_35,"Contract","Contract1","35","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_36,"Contract","Contract1","36","True","False","(RowName=""WoodLogs_100"")","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_37,"Contract","Contract1","37","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_38,"Contract","Contract1","38","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_39,"Contract","Contract1","39","True","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_40,"Contract","Contract1","40","True","False","(RowName=""ContractReward_TestEmberWeapon"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_41,"Contract","Contract1","41","True","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_42,"Contract","Contract1","42","False","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_43,"Contract","Contract1","43","False","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_44,"Contract","Contract1","44","False","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_45,"Contract","Contract1","45","False","False","(RowName=""GoldBag"")","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_46,"Contract","Contract1","46","False","False","(RowName=""RareMetal_10"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_47,"Contract","Contract1","47","False","False","(RowName=""RareWood_10"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_48,"Contract","Contract1","48","False","False","(RowName=""RareStone_10"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_49,"Contract","Contract1","49","False","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Paid_50,"Contract","Contract1","50","False","False","(RowName=""ContractReward_TestEmberWeapon"")","(RowName=""ContractReward_TestFortProp"")","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_1,"Contract","Contract1","1","False","False","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_2,"Contract","Contract1","2","False","False","(RowName=""WoodPlanks_90"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_3,"Contract","Contract1","3","False","False","(RowName=""MagicItemBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_4,"Contract","Contract1","4","False","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_5,"Contract","Contract1","5","False","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_8,"Contract","Contract1","8","False","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_10,"Contract","Contract1","10","False","False","(RowName=""MagicItemBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_12,"Contract","Contract1","12","False","False","(RowName=""RareItemBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_15,"Contract","Contract1","15","False","False","(RowName="""")","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_18,"Contract","Contract1","18","False","False","(RowName=""RareItemBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_20,"Contract","Contract1","20","False","False","(RowName=""ContractReward_TestFortProp"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_23,"Contract","Contract1","23","False","False","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_25,"Contract","Contract1","25","False","False","(RowName="""")","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_30,"Contract","Contract1","30","False","False","(RowName=""RareItemBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_35,"Contract","Contract1","35","False","False","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_40,"Contract","Contract1","40","False","False","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_45,"Contract","Contract1","45","False","False","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
Contract1_Free_50,"Contract","Contract1","50","False","False","(RowName=""RelicCore_TBD"")","(RowName="""")","(RowName=""GoldBag"")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_1,"Contract","GoblinContract","1","False","False","(RowName=""MapBundle_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_2,"Contract","GoblinContract","2","False","False","(RowName=""EnchantingBundle_Essence_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_3,"Contract","GoblinContract","3","False","False","(RowName=""MapBundle_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_4,"Contract","GoblinContract","4","False","False","(RowName=""MapBundle_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_5,"Contract","GoblinContract","5","False","False","(RowName=""ResourceBundle_Refined_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_6,"Contract","GoblinContract","6","False","True","(RowName=""FortProp_Wardrobe_DuskMage_Wood_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_7,"Contract","GoblinContract","7","False","False","(RowName=""MapBundle_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_8,"Contract","GoblinContract","8","False","False","(RowName=""EnchantingBundle_Essence_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_9,"Contract","GoblinContract","9","False","False","(RowName=""RelicCore_FlamingDestroyer_3"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_10,"Contract","GoblinContract","10","False","False","(RowName=""ResourceBundle_Refined_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_11,"Contract","GoblinContract","11","False","False","(RowName=""MapBundle_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_12,"Contract","GoblinContract","12","False","True","(RowName=""FortProp_Wardrobe_Railmaster_Wood_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_13,"Contract","GoblinContract","13","False","False","(RowName=""EnchantingBundle_Essence_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_14,"Contract","GoblinContract","14","False","False","(RowName=""ResourceBundle_Refined_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_15,"Contract","GoblinContract","15","False","False","(RowName=""MapBundle_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_16,"Contract","GoblinContract","16","False","False","(RowName=""MapBundle_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_17,"Contract","GoblinContract","17","False","False","(RowName=""EnchantingBundle_Essence_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_18,"Contract","GoblinContract","18","False","True","(RowName=""FortProp_Wardrobe_Forged_Wood_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_19,"Contract","GoblinContract","19","False","False","(RowName=""MapBundle_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_20,"Contract","GoblinContract","20","False","False","(RowName=""ResourceBundle_Refined_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_21,"Contract","GoblinContract","21","False","False","(RowName=""RelicCore_FlamingDestroyer_3"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_22,"Contract","GoblinContract","22","False","False","(RowName=""MapBundle_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_23,"Contract","GoblinContract","23","False","False","(RowName=""EnchantingBundle_Essence_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_24,"Contract","GoblinContract","24","False","True","(RowName=""Pet_Eagle_Bald"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_25,"Contract","GoblinContract","25","False","False","(RowName=""ResourceBundle_Refined_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_26,"Contract","GoblinContract","26","False","False","(RowName=""MapBundle_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_27,"Contract","GoblinContract","27","False","False","(RowName=""FortProp_Deco_CaveRocksShort_02"")","(RowName=""FortProp_Deco_CaveRocksTall_02"")","(RowName=""FortProp_Deco_CaveRockPattern"")","(RowName=""FortProp_Deco_RockOutcropping"")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_28,"Contract","GoblinContract","28","False","False","(RowName=""EnchantingBundle_Essence_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_29,"Contract","GoblinContract","29","False","False","(RowName=""ResourceBundle_Refined_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_30,"Contract","GoblinContract","30","False","True","(RowName=""FortProp_Deco_GoblinPedestal"")","(RowName=""FortProp_Deco_GrindyMill"")","(RowName=""FortProp_Deco_IlluminatedTotem"")","(RowName=""FortProp_Deco_GoblinAltar"")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_31,"Contract","GoblinContract","31","False","False","(RowName=""MapBundle_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_32,"Contract","GoblinContract","32","False","False","(RowName=""EnchantingBundle_Essence_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_33,"Contract","GoblinContract","33","False","False","(RowName=""MapBundle_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_34,"Contract","GoblinContract","34","False","False","(RowName=""MapBundle_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_35,"Contract","GoblinContract","35","False","False","(RowName=""ResourceBundle_Refined_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_36,"Contract","GoblinContract","36","False","True","(RowName=""FortProp_Wardrobe_Railmaster_Plant_01"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_37,"Contract","GoblinContract","37","False","False","(RowName=""MapBundle_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_38,"Contract","GoblinContract","38","False","False","(RowName=""EnchantingBundle_Essence_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_39,"Contract","GoblinContract","39","False","False","(RowName=""RelicCore_FlamingDestroyer_3"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_40,"Contract","GoblinContract","40","False","False","(RowName=""ResourceBundle_Refined_Legendary"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
GoblinContract_OTO_Free_41,"Contract","GoblinContract","41","False","False","(RowName=""MapBundle_Rare"")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")","(RowName="""")",""
