---,TwoCC,TraitType,ParamTagParents,ValueMin,ValueMax,ParamType,ReplicateType,ShowAsCurrency,bShouldPersist,bPerAccount,bIsCombatTrait,bInheritFromInstigator,bRemoveFromTraitsIfZero,Notes
KnockbackResistance,"AZ","Value","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","% reduction in knockback distance. 1 means immune to knockback. Can be negative."
Level,"AG","Value","(GameplayTags=)","","","None","ReplicateToAll","(RowName="""")","True","False","False","True","True",""
LightChargeBar,"BE","ActiveTrait","(GameplayTags=)","0","100","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","The Dusk Mage's charge bar for Light"
LootDropDisabled,"CD","Value","(GameplayTags=)","","","None","DontReplicate","(RowName="""")","False","False","False","True","True",""
Luck,"BA","Value","(GameplayTags=((TagName=""Item"")))","0","1","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","Luck number for the Item Spawn range operation"
MovementDisabled,"CE","Value","(GameplayTags=)","","","None","ReplicateToAll","(RowName="""")","False","False","False","True","True",""
MoveSpeedBonusMult,"AE","Value","(GameplayTags=)","-0.5","","None","ReplicateToAll","(RowName="""")","True","False","False","True","True",""
NoCorpseOnDeath,"CU","Value","(GameplayTags=)","","","None","DontReplicate","(RowName="""")","False","False","False","True","True","When this monster dies, skills cannot target their corpse."
NotSelectable,"BD","Value","(GameplayTags=)","","","None","ReplicateToAll","(RowName="""")","False","False","False","True","True","Is the character prevented from being selected by skills, AI and players?"
ProcChance,"CO","Proc","(GameplayTags=)","","","Proc","ReplicateToMyPlayerOnly","(RowName="""")","False","False","True","True","True",""
ProcDamage,"CS","Value","(GameplayTags=)","","","Proc","ReplicateToMyPlayerOnly","(RowName="""")","False","False","True","True","True",""
RailmanEndurance,"BM","ActiveTrait","(GameplayTags=)","","5","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","The energy pool for the Railman"
RecentDamage,"AP","ActiveTrait","(GameplayTags=)","0","","None","DontReplicate","(RowName="""")","True","False","False","True","True",""
RotationDisabled,"CL","Value","(GameplayTags=)","","","None","ReplicateToAll","(RowName="""")","False","False","False","True","True",""
SkillLevel,"BQ","Value","(GameplayTags=)","","","Skill","ReplicateToPlayersOnly","(RowName="""")","True","False","True","True","True",""
StunChance,"AV","Proc","(GameplayTags=)","","0.6","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","Chance to cause stuns."
StunDuration,"AW","Value","(GameplayTags=)","","3","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","How long stuns caused by this character last. Uses the max value."
LifeBound,"CT","Value","(GameplayTags=)","0","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","An item should be removed when the player dies."
BanishOnDeath,"CV","Value","(GameplayTags=)","","","None","DontReplicate","(RowName="""")","False","False","False","True","True","Use for gameplay relevant kills that require instant visual removal of monsters. Banished monsters have no corpse."
Ammo,"DZ","ActiveTrait","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
EmberWeaponCharge,"DA","ActiveTrait","(GameplayTags=)","0","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
EmberWeaponDrain,"DB","ActiveTrait","(GameplayTags=)","0","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
WeaponSpeed,"DC","Value","(GameplayTags=)","","","None","ReplicateToAll","(RowName="""")","True","False","False","True","True",""
PetSellItemsTime,"DD","BaseWithMult","(GameplayTags=)","12","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
PetSkillUnlocked,"DJ","Value","(GameplayTags=)","0","1","Skill","ReplicateToMyPlayerOnly","(RowName="""")","True","True","False","True","True","Accountwide skill trait that keeps track of assignable pet skills."
PetRecoverTime,"DE","BaseWithMult","(GameplayTags=)","12","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
Immortal,"DF","Value","(GameplayTags=)","","","None","DontReplicate","(RowName="""")","True","False","False","True","True",""
ProcDuration,"DG","Value","(GameplayTags=)","","","Proc","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True",""
DefenseVsProcDuration,"DH","Value","(GameplayTags=)","","","Proc","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
ZonewideKillCredit,"DI","Value","(GameplayTags=)","0","1","None","DontReplicate","(RowName="""")","False","False","False","True","True","When this monster dies, grant kill credit serverwide."
ScatterShotCharge,"DS","ActiveTrait","(GameplayTags=)","0","1","None","ReplicateToMyPlayerOnly","(RowName="""")","False","False","True","True","True",""
DamageReduction,"DT","Value","(GameplayTags=((TagName=""DamageReductionSource"")))","0",".9","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","Reduces all incoming damage by a given factor"
MapworksRowNames,"MR","Value","(GameplayTags=)","","","Mapworks","DontReplicate","(RowName="""")","True","False","False","True","True",""
SpokeLevel,"DP","Value","(GameplayTags=((TagName=""Region"")))","0","","GameplayTag","ReplicateToAll","(RowName="""")","True","False","True","True","True",""
SpokeExperience,"DQ","Value","(GameplayTags=((TagName=""Region"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","False","False","False","True","True",""
SpokeExperiencePercent,"DR","Value","(GameplayTags=((TagName=""Region"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
FortPropOption,"DU","Value","(GameplayTags=((TagName=""Character.Gender"")))","","","GameplayTag","ReplicateToAll","(RowName="""")","True","False","False","True","True","Used by fort props to store options"
FameLevel,"DV","Value","(GameplayTags=)","","","Contract","ReplicateToMyPlayerOnly","(RowName="""")","True","True","False","True","True",""
FamePercent,"DW","Value","(GameplayTags=)","0","1","Contract","ReplicateToMyPlayerOnly","(RowName="""")","True","True","False","True","True",""
EmberWeaponDrainBonus,"DY","Proc","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True",""
TraitsHaveLoaded,"EB","Value","(GameplayTags=)","","","None","ReplicateToAll","(RowName="""")","False","False","False","True","True","Used internally to track trait replication."
DamageVulnerability,"EC","Value","(GameplayTags=)","0","1","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","Increases all incoming damage by a given factor (competes with DamageReduction)"
RMHammerSpinCharges,"EE","ActiveTrait","(GameplayTags=)","0","4","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
ShadowStepCharges,"EF","ActiveTrait","(GameplayTags=)","0","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
LevelSkillPoints,"EG","Value","(GameplayTags=)","0","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","Points used to buy and upgrade skills"
DurationPctBySkillName,"EH","Value","(GameplayTags=)","","","Skill","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","Adjusts something related to duration for skills - varies by skill"
TotalLevelSkillPoints,"EJ","Value","(GameplayTags=)","0","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","This counts how many skill points we have given the player in total"
DurationPctBySkillTag,"EI","Value","(GameplayTags=((TagName=""Skill"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","Adjusts something related to duration for skills - varies by skill"
BonusChancePctBySkillName,"EK","Value","(GameplayTags=)","","","Skill","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","Give a bonus chance pct that we can call in a skill to add to an existing chance, for things like stun or crit chance."
RandomBonusPctBySkillName,"EL","Value","(GameplayTags=)","","","Skill","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
MiscBonusBySkillName,"EM","Value","(GameplayTags=)","","","Skill","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True",""
CriticalHitChanceForType,"EO","Value","(GameplayTags=((TagName=""Skill"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True",""
CriticalHitDamageForType,"EP","Value","(GameplayTags=((TagName=""Skill"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True",""
EmberWeaponSkillPoints,"EQ","Value","(GameplayTags=)","0","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
BonusInventoryCapacity,"ER","Value","(GameplayTags=((TagName=""Inventory""),(TagName=""Character.Minion""),(TagName=""Affix"")))","0","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","False","False","False","True","True",""
MinionsFromAffix,"ES","Value","(GameplayTags=)","","","Minion","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
MinionsOnProcFromAffix,"ET","Value","(GameplayTags=)","","","Minion","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
MinionLifespanBonus,"EU","Value","(GameplayTags=((TagName=""Character.Minion"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
SkillRegretPoints,"EV","Value","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","Points that can be used to unlearn a skill level and get a skill point back"
CharacterHasSeenCinematic,"EY","Value","(GameplayTags=((TagName=""Cinematic"")))","","","GameplayTag","DontReplicate","(RowName="""")","True","False","False","True","True",""
Difficulty,"EZ","Value","(GameplayTags=)","-1","","None","ReplicateToPlayersOnly","(RowName="""")","True","False","False","True","False","Corresponds to the row index in the Difficulty Table"
Hardcore,"FA","Value","(GameplayTags=)","","","None","ReplicateToPlayersOnly","(RowName="""")","True","False","False","True","True",""
HardcoreDead,"FB","Value","(GameplayTags=)","","","None","ReplicateToPlayersOnly","(RowName="""")","True","False","False","True","True",""
RandomPctForSkillName,"FC","Value","(GameplayTags=)","","","Skill","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","For bonuses we need that dont just have an automatic + on it, like for negative values. "
EnchantingSlots,"FD","Value","(GameplayTags=)","0","","None","ReplicateToMyPlayerOnly","(RowName="""")","False","False","False","False","True",""
RecipeUnlocked,"FE","Value","(GameplayTags=)","","1","Recipe","ReplicateToMyPlayerOnly","(RowName="""")","True","True","False","False","True",""
FortPropExperience,"FF","Value","(GameplayTags=)","0","","None","ReplicateToAll","(RowName="""")","True","True","False","True","True",""
SkillModifier,"LA","Value","(GameplayTags=((TagName=""Affix""),(TagName=""Skill"")))","","","GameplayTag","ReplicateToPlayersOnly","(RowName="""")","True","False","True","True","True",""
SetCounter,"LB","Value","(GameplayTags=((TagName=""Affix.Legendary.SetCounter"")))","","","GameplayTag","ReplicateToPlayersOnly","(RowName="""")","True","False","True","True","True",""
LegendarySkillUseCounter,"LC","Value","(GameplayTags=)","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
EmberWeaponExperience,"LD","Value","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
EmberWeaponExperiencePct,"LE","Value","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
NoTether,"LF","Value","(GameplayTags=)","","","None","DontReplicate","(RowName="""")","False","False","False","False","True","If >0 the character will not tether to spawn/instigator location."
ChaseRadiusBonusMultiplier,"LG","Value","(GameplayTags=)","","","None","DontReplicate","(RowName="""")","False","False","False","False","True","Increases or decreases how far a monster will follow you before losing aggro."
SmokeBombCharges,"LJ","ActiveTrait","(GameplayTags=)","0","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
StatusEffectBonusDuration,"LK","Value","(GameplayTags=)","","","StatusEffect","ReplicateToMyPlayerOnly","(RowName="""")","False","False","True","True","True",""
StatusEffectResistChance,"LL","Value","(GameplayTags=((TagName=""StatusEffect"")))","","","GameplayTag","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True",""
BonusStunChanceforSkill,"LM","Value","(GameplayTags=)","","","Skill","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True","A specific version of the bonus chance trait, but made seperately so we can note STUN chance in the text so it makes sense in tooltips."
SkillDamageFactorMultiplier,"LN","Value","(GameplayTags=)","","","Skill","ReplicateToMyPlayerOnly","(RowName="""")","True","False","True","True","True",""
XPDropDisabled,"LO","Value","(GameplayTags=)","","","None","DontReplicate","(RowName="""")","False","False","False","True","True","When > 0, the monster will not grant any experience when killed"
SkillLevelBonus,"LQ","Value","(GameplayTags=)","","","Skill","ReplicateToPlayersOnly","(RowName="""")","True","False","True","True","True",""
ConditionalStatus,"LR","Value","(GameplayTags=((TagName=""StatusEffect"")))","0","100","GameplayTag","ReplicateToPlayersOnly","(RowName="""")","True","False","True","True","True",""
RammingRobotCharges,"LS","ActiveTrait","(GameplayTags=)","0","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
ReloadCharges,"LT","ActiveTrait","(GameplayTags=)","0","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
LegendaryAffixUnlocked,"LU","Value","(GameplayTags=)","0","1","Item","ReplicateToMyPlayerOnly","(RowName=""LegendaryAffixUnlockedDisplay"")","True","True","False","False","True","Tracks whether the player has unlocked a legendary item affix."
CharacterEntitlement,"LV","Value","(GameplayTags=)","0","","Entitlement","DontReplicate","(RowName="""")","True","False","False","False","True","Trait to hold weather a character has been sent the entitlements."
AccountEntitlement,"LW","Value","(GameplayTags=)","0","","Entitlement","DontReplicate","(RowName="""")","True","True","False","False","True","Trait to hold weather an account has been sent the entitlements."
LegendaryAffixSeen,"LX","Value","(GameplayTags=)","","","Item","ReplicateToMyPlayerOnly","(RowName="""")","True","True","False","False","True","Tracks whether the player has viewed a legendary item affix."
LegendaryAffixSlotsSeen,"LY","Value","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","How many unlocked slots the player has seen in the legendarium."
LowestDifficulty,"LZ","Value","(GameplayTags=)","-1","","None","ReplicateToPlayersOnly","(RowName="""")","True","False","False","True","False","Corresponds to the lowest row index in the difficulty table that the character has used."
Evasion,"KA","Value","(GameplayTags=)","","0.4","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True","Percent chance to avoid damage"
LuminousRunCharges,"KB","ActiveTrait","(GameplayTags=)","0","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
LightSpearCharges,"KC","ActiveTrait","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
PoundCharges,"KD","ActiveTrait","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
FlyingPicksCharges,"KE","ActiveTrait","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
BlastingChargeCharges,"KF","ActiveTrait","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
GhostTrainCharges,"KG","ActiveTrait","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
SpikeDriveCharges,"KH","ActiveTrait","(GameplayTags=)","","","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
HighestDungeonChallengeLevel,"KI","Value","(GameplayTags=)","0","","None","ReplicateToPlayersOnly","(RowName="""")","True","False","False","False","True",""
PotionHealingPct,"KJ","Value","(GameplayTags=)","","5","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","False","True",""
GetHitChanceMelee,"KK","Value","(GameplayTags=)","0","1","None","DontReplicate","(RowName="""")","False","False","False","True","True","Chance for someone to go into gethit when the recent damage is above the threshold"
HideCombatFX,"KL","Value","(GameplayTags=)","","","None","ReplicateToAll","(RowName="""")","False","False","False","False","True","Disables combat feedback VFX, SFX and floating letters"
DLCAccountGranted,"MA","Value","(GameplayTags=)","","","Entitlement","DontReplicate","(RowName="""")","True","True","False","False","True","DLC Items granted to the whole account"
DLCCharacterGranted,"MB","Value","(GameplayTags=)","","","Entitlement","DontReplicate","(RowName="""")","True","False","False","True","True","DLC Items granted to individual characters"
DungeonLevelOnNameplate,"MC","Value","(GameplayTags=)","","","None","ReplicateToPlayersOnly","(RowName="""")","True","False","False","True","True",""
RelicEnergyChargeBonusPct,"MD","Value","(GameplayTags=)","","5","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","False","True",""
MeleeDamageReductionBonusPct,"ME","Value","(GameplayTags=)","",".4","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","False","True",""
ShockBoltIncreaseCount,"MF","Value","(GameplayTags=)","","6","None","ReplicateToPlayersOnly","(RowName="""")","True","False","False","True","True",""
RelicPowerCharge,"MG","ActiveTrait","(GameplayTags=)","0","200","None","ReplicateToMyPlayerOnly","(RowName="""")","True","False","False","True","True",""
BonusStatusEffectStacks,"MH","Value","(GameplayTags=((TagName=""StatusEffect"")))","","","GameplayTag","ReplicateToPlayersOnly","(RowName="""")","True","False","True","True","True",""
TransmogUnlocked,"MJ","Value","(GameplayTags=)","","1","Item","ReplicateToMyPlayerOnly","(RowName="""")","True","True","False","False","True",""
dmTransmogUnlocked,"MK","Value","(GameplayTags=)","","1","Item","ReplicateToMyPlayerOnly","(RowName="""")","True","True","False","False","True",""
rmTransmogUnlocked,"ML","Value","(GameplayTags=)","","1","Item","ReplicateToMyPlayerOnly","(RowName="""")","True","True","False","False","True",""
forTransmogUnlocked,"MM","Value","(GameplayTags=)","","1","Item","ReplicateToMyPlayerOnly","(RowName="""")","True","True","False","False","True",""
ssTransmogUnlocked,"MN","Value","(GameplayTags=)","","1","Item","ReplicateToMyPlayerOnly","(RowName="""")","True","True","False","False","True",""
