---,RowType,NoPickWeight,MinLevel,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,bHideInDemo,Entries,Notes
GoblinTheTitle,"All","0","0","SetNameParameter","TheTitle|Moldy/Gross/Bold/Wild/Cowardly/Unpleasant/Wicked/Slow/Stupid/Moist/Dank","1","SetNameParameter","TheTitleModifier|Least/Most/Very/Mostly/Sometimes/Occasionally/Would-Be","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
GoblinOfTitle,"All","0","0","SetNameParameter","OfTitleFirst|Keeper/Holder/Master/Sweeper/Grabber/Snatcher/Borrower/Lord/","1","SetNameParameter","OfTitleSecond|Spoons/Swords/Guts/Bones/Trinkets/Shinies/Skulls/Blood/Slime/Foulness/Stinks","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
GoblinPreTitle,"All","0","0","SetNameParameter","PreTitle|Watcher/Farmer/Leader/Master/Lord/Father/Mother/Sir","1","SetNameParameter","PreTitlePrefix|Pack/Team/Gaggle/Foe/Dog/Hound/Muck/Gob/Dead","1","SetNameParameter","PreTitleSuffix|leader/master/lord/tamer/mother/father/farmer","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
SkeletonName,"All","0","0","GoToNameSpawnRow","PickFormat","1","GoToNameSpawnRow","SkeletonNameStyle","1","GoToNameSpawnRow","SkeletonOfTitle","1","SetNameParameter","TheTitle|Atrocious/Barbaric/Vile/Grim/Cruel/Bloodthirsty/Unkillable/Immortal/Foul/Fetid/Fierce/Endless/Unending/Unyielding/Indomitable/Incorrigable","1","GoToNameSpawnRow","SkeletonPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
SkeletonNameStyle,"Pick","0","0","GoToNameSpawnRow","SkeletonGibberishPrefixSuffix","1","GoToNameSpawnRow","SkeletonEnglishPrefixSuffix","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
SkeletonGibberishPrefixSuffix,"All","0","0","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Kreig/Ur'/Pal/Yur'/Reig/Lau/Vice/Xer/Wrath/Rawn/Wrik/Our/Corth/Sinn/Ar'","1","SetNameParameter","Suffix|baur/win/yek/ir/volin/lin/er/az/ets/alor/nath","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
SkeletonEnglishPrefixSuffix,"All","0","0","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Rattle/Brittle/Dry/Grim/Dark/Dust/Pale/Stark/Break/Snap/Clatter","1","SetNameParameter","Suffix|bones/lock/knees/joints/fiend/lord","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
SkeletonPreTitle,"All","0","0","SetNameParameter","PreTitle|Lord/Duke/Baron/Revenant/Grand Wraith/Ancestor/Patriarch/Matriarch/Almighty/Great Nemesis/Ancient/Ascendant/Archon","1","SetNameParameter","PreTitlePrefix|Fear/Dark/Foul/Necro/Demo/Moss/Mold","1","SetNameParameter","PreTitleSuffix|maker/taker/breaker/lord/master/arch/bearer","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
SkeletonOfTitle,"All","0","0","SetNameParameter","OfTitleFirst|King/Holder/Master/Breaker/Stealer/Usurper/Driver/Herald/Harbinger","1","SetNameParameter","OfTitleSecond|Misery/Madness/Steel/Banners/Trinkets/Feasts/Pain/Agony/Suffering/Chains/Thorns/Cold/Flames/Darkness/Night/The End/Gloom","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
ZombieName,"All","0","0","GoToNameSpawnRow","PickFormat","1","GoToNameSpawnRow","ZombieNameStyle","1","GoToNameSpawnRow","ZombieOfTitle","1","SetNameParameter","TheTitle|Atrocious/Gross/Vomitworthy/Dripping/Bloated/Bloodthirsty/Unkillable/Immortal/Foul/Fetid/Oily/Swamplord/Unending/Tattered/Broken/Pustulent","1","GoToNameSpawnRow","ZombiePreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
ZombieNameStyle,"Pick","0","0","GoToNameSpawnRow","ZombieGibberishPrefixSuffix","1","GoToNameSpawnRow","ZombieEnglishPrefixSuffix","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
ZombieGibberishPrefixSuffix,"All","0","0","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Glob/Glib/Gut/Wiggle/Snaw/Swipe/Gorb/Gribble/Hob","1","SetNameParameter","Suffix|bor/lib/gobble/leg/wrap/lash/goo/snot/spit","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
ZombieEnglishPrefixSuffix,"All","0","0","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Pus/Vomit/Sick/Bloat/Corpse","1","SetNameParameter","Suffix|pile/taker/rot/puke/pool/lash/digger","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
ZombiePreTitle,"All","0","0","SetNameParameter","PreTitle|Big/Little/Old/Lost/Tired","1","SetNameParameter","PreTitlePrefix|Gut/Puke/Slime/Ick/Sewage/Corpse","1","SetNameParameter","PreTitleSuffix|maker/taker/breaker/tamer/licker/master/father/mother","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
ZombieOfTitle,"All","0","0","SetNameParameter","OfTitleFirst|Eater/Hoarder/Holder/Lover/Coveter/Bride/Husband/Gobbler/Taker/Lord","1","SetNameParameter","OfTitleSecond|Foulness/Wretchedness/Darkness/Sickness/Pustules/Slime/Night/Disease/Filth","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
AutomataName,"All","0","0","GoToNameSpawnRow","PickFormat","1","GoToNameSpawnRow","AutomataNameStyle","1","GoToNameSpawnRow","AutomataOfTitle","1","SetNameParameter","TheTitle|Efficient/Eternal/Lifeless/Ember-Fueled/Driven/Sleepless/Rusty/Seeking/Calculating/Soulless/Defective/Unreasoning/Broken/Precise","1","GoToNameSpawnRow","AutomataPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
AutomataNameStyle,"Pick","0","0","GoToNameSpawnRow","AutomataGibberishPrefixSuffix","1","GoToNameSpawnRow","AutomataEnglishPrefixSuffix","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
AutomataGibberishPrefixSuffix,"All","0","0","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Zap/Fizz/1101001/10010011/ELSE/IF/SELECTFROM","1","SetNameParameter","Suffix|Fix/Zif/IF/OR/NOT/ARRAY","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
AutomataEnglishPrefixSuffix,"All","0","0","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Auto/Mechano/Steam/Electro","1","SetNameParameter","Suffix|pile/loader/patroller/seeker/worker/unit","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
AutomataPreTitle,"All","0","0","SetNameParameter","PreTitle|Supreme/First/Last/Ultimate","1","SetNameParameter","PreTitlePrefix|Circuit/Steam/Gear/Cogs","1","SetNameParameter","PreTitleSuffix|maker/taker/breaker/tamer/defender/master","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
AutomataOfTitle,"All","0","0","SetNameParameter","OfTitleFirst|Keeper/Minder/Selector/Collector","1","SetNameParameter","OfTitleSecond|Treasures/Relics/Legacy/the Mountain/Night","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
HyvidName,"All","0","0","GoToNameSpawnRow","PickFormatNoPostTitle","1","GoToNameSpawnRow","HyvidGibberishPrefixSuffix","1","GoToNameSpawnRow","HyvidOfTitle","1","SetNameParameter","TheTitle|Stinging/Stinger/Slicer/Viscious/Screeching/Clattering/Quick/Many-Limbed/Hatcher","1","GoToNameSpawnRow","HyvidPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
HyvidGibberishPrefixSuffix,"All","0","0","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Klick/Klack/Kir'/Kith'/Naz'/Skri'/Shak/Krri/Zzith'/Zzip/Shi/Shiri/Klis/Iss/Vrii/Vrre/Xik/Xikki","1","SetNameParameter","Suffix|li/iz/yi/yo/yik/yiz/ssi/ski/sh'a/ik","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
HyvidPreTitle,"All","0","0","SetNameParameter","PreTitle|Keeper/Stinger/Poisoner/Toxic/Singer/Cutter/Slicer/Spitter/Burrower","1","SetNameParameter","PreTitlePrefix|Hive/Swarm/Wing/Bug/Hum","1","SetNameParameter","PreTitleSuffix|lord/leader/singer/keeper/lurker/burrower","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
MossratName,"All","0","0","GoToNameSpawnRow","PickFormat","1","GoToNameSpawnRow","MossratEnglishPrefixSuffix","1","GoToNameSpawnRow","MossratOfTitle","1","SetNameParameter","TheTitle|Burrower/Eater/Napper/Sleeper/Taker/Filthy/Mossy/Old/Sour/Ravenous/Rabid","1","GoToNameSpawnRow","MossratPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
MossratEnglishPrefixSuffix,"All","0","0","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Snout/Nose/Nibble/Whisker/Moss/Grass/Fur","1","SetNameParameter","Suffix|snok/nubber/whisk/mock/nibble/fur","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
MossratOfTitle,"All","0","0","SetNameParameter","OfTitleFirst|Keeper/Hoarder/Pilferer/Eater/Grabber/Lover/Nibbler","1","SetNameParameter","OfTitleSecond|Acorns/Limbs/Snacks/People/Grass/Dirt/Stones/Bark","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
MossratPreTitle,"All","0","0","SetNameParameter","PreTitle|Angry/Scary/Big/Little/Old/Rancid/Sneaky/Unwanted","1","SetNameParameter","PreTitlePrefix|Nibble/Nobble/Whisker/Snout/Snort","1","SetNameParameter","PreTitleSuffix|licker/burrower/limb/snot/scurry","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
NetherlingName,"All","0","0","GoToNameSpawnRow","PickFormat","1","GoToNameSpawnRow","NetherlingNameStyle","1","GoToNameSpawnRow","NetherlingOfTitle","1","SetNameParameter","TheTitle|Devourer/Hungry/Insatiable/Ravenous/Greedy/Round/Many-Mouthed/Broken/Wild/Incorrigible/Corrupted/Foul/Roller/Nibbler/Mistake/Failure","1","GoToNameSpawnRow","NetherlingPreTitle","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
NetherlingNameStyle,"Pick","0","0","GoToNameSpawnRow","NetherlingGibberishPrefixSuffix","1","GoToNameSpawnRow","NetherlingEnglishPrefixSuffix","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
NetherlingGibberishPrefixSuffix,"All","0","0","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Cl'/Tha'/Tha'na'/Gnilth/Nith/Prion/Yyinth/Yygug/Yyng/Zenzi/Za'/Zakra'/Zether/Zed/Zeon/Ze'/Ziw'","1","SetNameParameter","Suffix|na/kil/ni/gyi/koru/kza/rim/ar'drak/zim/zim'rok/roku'ra/rokur/yur/romak/thul/tos/on'thun/an'then/an'wriz/an'durath/in'ssadrath","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
NetherlingEnglishPrefixSuffix,"All","0","0","SetNameParameter","BaseName|{Prefix}{Suffix}","1","SetNameParameter","Prefix|Tooth/Bite/Maw/Jaw/Snap/Drool/Chomp/Nibble/Hunger/Foul/Round/Mangle/Rip/Shred","1","SetNameParameter","Suffix|shredder/master/mother/father/lord/nibbler/ripper/mangler/snarl/roll/tumble/bobble/lobber/roller/hound","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
NetherlingPreTitle,"All","0","0","SetNameParameter","PreTitle|Wrecker/Devourer/Hungerer/Tooth-Haver/Toothy/Fetid/Amin/Jurion/Alion/Rwan/Yurion/Turon/Biter/Snacker/Nibbler/Hungerer/Muncher","1","SetNameParameter","PreTitlePrefix|Tooth/Bite/Hate/Anger/Drool/Saliva/Nibble/Snack/Meal","1","SetNameParameter","PreTitleSuffix|maker/taker/breaker/lord/master/bearer","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
NetherlingOfTitle,"All","0","0","SetNameParameter","OfTitleFirst|Servant/Holder/Breaker/Stealer/Usurper/Herald/Harbinger","1","SetNameParameter","OfTitleSecond|Misery/Bites/Flesh/Suffering/Nibbles/Limbs/Bones/Snacks/Chomps/Munches/Guts/Organs/Livers/Prio'ratha/An'yul/Than'kri/Thul'irak/Tha'ni'grosk","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","False","",""
