---,Trait,DisplayPrimarySlot,DisplaySecondarySlot,DisplayName,TraitTextFormat,bShowAsNegative,CategoryName,Notes
ElementalProcDamage,"ElementalProcDamage","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""CA2E56764531939FD4C2A9871C541065"", ""{0} Damage"")","None","False","Attack",""
AttackSpeedBonusMult,"AttackSpeedBonusMult","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""7C1B6075471015DB3434D9BE639E8BF6"", ""Attack Speed"")","BonusPercentage","False","Attack",""
EnergyCostPctBySkillName,"EnergyCostPctBySkillName","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""0FE00C8F40DD612CAD770C9CC647F278"", ""Resource Cost for {0}"")","Percentage","False","Attack",""
EnergyCostPctBySkillTag,"EnergyCostPctBySkillTag","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""B0379E674B07309BE49F3D85B9D60110"", ""Resource Cost for {0}"")","Percentage","False","Attack",""
CriticalHitChance,"CriticalHitChance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""EB2F9E9A4F9ABCA4F6AC03853D09BE1C"", ""Critical Hit Chance"")","BonusPercentage","False","Attack",""
CriticalDamageBonus,"CriticalDamageBonus","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""4133B6F84945A98E8CE2638B1FFAD309"", ""Bonus to Critical Damage"")","BonusPercentage","False","Attack",""
CooldownPctBySkillTag,"CooldownPctBySkillTag","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""9B2E820C4EFE9AA4055581BCB8E064C7"", ""Cooldown for {0}"")","Percentage","False","Attack",""
CooldownPctBySkillName,"CooldownPctBySkillName","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""47AC57CB4321C1EC50F6C3B6A879C0E1"", ""Cooldown for {0}"")","Percentage","False","Attack",""
BlockChance,"BlockChance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""EFCF00844E58B727D0553A98D2802A61"", ""Block Chance"")","Percentage","False","Defense",""
DefenseVsPoisonDuration,"DefenseVsElementalProcDuration|Proc.Poison","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""6CBB23004EC110397E6A5ABC889A844E"", ""Poisoned duration"")","Percentage","True","Defense",""
DefenseVsElementPct,"DefenseVsElement","Value","Multiplier","NSLOCTEXT(""TraitDisplayTable"", ""217857CB4339CEAD828334B55C21C095"", ""Armor vs {0}"")","BonusPercentage","False","Defense",""
HealthOnKill,"HealthOnKill","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""AEC7A37C4CB94F9D116D98832E990461"", ""Health on Kill"")","None","False","Attack",""
HealthOnKillPct,"HealthOnKillPct","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""A7EB1F7A414D9F6188B30B8FFCB54E3F"", ""Health on Kill"")","Percentage","False","Attack",""
HealthOnKillVsGoblins,"HealthOnKillVsTarget|Character.Monster.Goblin","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""35D2B4BD42F40E0FF4DD218FECC2CDFA"", ""Health on Killing Goblins"")","None","False","Attack",""
HealthOnKillVsVespid,"HealthOnKillVsTarget|Character.Monster.Vespid","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""CE0FD3E7406FE1978F8C99A3F5A869EA"", ""Health on Killing Hyvid"")","None","False","Attack",""
HealthOnKillVsGoblinsPct,"HealthOnKillVsTargetPct|Character.Monster.Goblin","Value","None","NSLOCTEXT("""", ""E10BC9B84FC8B24FCEF3E2980C243AF1"", ""Health on Killing Goblins"")","Percentage","False","Attack",""
HealthOnKillVsVespidPct,"HealthOnKillVsTargetPct|Character.Monster.Vespid","Value","None","NSLOCTEXT("""", ""098845484387AA1DB350189E8F6CF57E"", ""Health on Killing Hyvid"")","Percentage","False","Attack",""
HealthOnHitVsGoblins,"HealthOnHitVsTarget|Character.Monster.Goblin","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""A34A946341EB5942F3CF4EA8BE4103A0"", ""Health on Hitting Goblins"")","None","False","Attack",""
HealthOnHitVsVespid,"HealthOnHitVsTarget|Character.Monster.Vespid","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""EEF468F1422C3D318F0198B62D6432FD"", ""Health on Hitting Hyvid"")","None","False","Attack",""
ShockBoltsBonus,"ElementalProcCount|Proc.Shock","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""D9587BC7430BB7FAF43338BF9882F6E0"", ""Bonus bolts fired on Shock"")","Bonus","False","Attack",""
EnergyRegen,"Energy","Regen","None","NSLOCTEXT(""TraitDisplayTable"", ""59836F94442D3D4DBB8EE7B77CB22A25"", ""Mana Regen /sec."")","Bonus","False","Defense",""
ForgedHeat,"ForgedHeat","Regen","None","NSLOCTEXT(""TraitDisplayTable"", ""1660AA1C4EC67C242BB8848C36979DF2"", ""Heat Dissipation /sec."")","None","False","Defense",""
ForgedHeatMultiplier,"ForgedHeat","Regen","Multiplier","NSLOCTEXT(""TraitDisplayTable"", ""63B580024F92B0179B42B88B19532133"", ""Heat Dissipation"")","BonusPercentage","False","None",""
RailmanEndurance,"RailmanEndurance","Regen","None","NSLOCTEXT(""TraitDisplayTable"", ""5DDE51AC4ED6F7A97D8B79A868314793"", ""Endurance Regen /sec."")","Bonus","False","Defense",""
RailmanEnduranceMultiplier,"RailmanEndurance","Regen","Multiplier","NSLOCTEXT(""TraitDisplayTable"", ""36B231004FCD9940B75406BE4267FD1C"", ""Endurance Regen"")","BonusPercentage","False","None",""
MovementSpeedBonusMult,"MoveSpeedBonusMult","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""DF8B919F4976340AC32547A2BAD4338C"", ""Movement Speed"")","BonusPercentage","False","Defense",""
ScatterShotCharge,"ScatterShotCharge","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""9575C5F8433D4168C6EC76AD0F842748"", ""Scatter Shot Charge"")","None","False","Attack",""
ScatterShotRegen,"ScatterShotCharge","Regen","None","NSLOCTEXT(""TraitDisplayTable"", ""9C2BE411486B81EBCCB16793ABD247E9"", ""Scatter Shot Regen"")","None","False","Attack",""
DamageReduction,"DamageReduction","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""C73967D745630A9FC1CF1EB08D7249F8"", ""Damage Reduction"")","Percentage","False","Defense",""
DamageOverTime,"DamageOverTime","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""E6EB2F8E48C67FF4AF6EEE8496B13EAD"", ""Damage Over Time"")","Percentage","False","None",""
DamageVulnerability,"DamageVulnerability","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""D03CC45D447C5F97F501D8B7E5650066"", ""Damage Vulnerability"")","Percentage","False","None",""
DurationPctBySkillName,"DurationPctBySkillName","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""2D0A6908445220C0CA2C9DBFE8B689C6"", ""Duration Bonus for {0}"")","BonusPercentage","False","Attack",""
DurationPctBySkillTag,"DurationPctBySkillTag","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""DBF8A32E42417FEF4A72999968905A12"", ""Duration Bonus for {0}"")","BonusPercentage","False","Attack",""
BonusChancePctBySkillName,"BonusChancePctBySkillName","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""226A0AD24D4BC60E3D2AF5BEF20C3EB0"", ""Bonus Chance for {0}"")","BonusPercentage","False","Attack",""
RandomBonusPctBySkillName,"RandomBonusPctBySkillName","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""34D66A7F41D263C9E9BF369739E5FC7B"", ""Bonus for {0}"")","BonusPercentage","False","None",""
MiscBonusBySkillName,"MiscBonusBySkillName","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""1F5BA7B44CB119D5477DD8B33A254B6E"", ""Bonus for {0}"")","BonusPercentage","False","None",""
CriticalHitChanceForType,"CriticalHitChanceForType","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""09D6FFD14C86174F978B41897D28F032"", ""Bonus Crit Chance for {0}"")","BonusPercentage","False","Attack",""
CriticalHitDamageForType,"CriticalHitDamageForType","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""9EF3B7A64F6D05481B58DEA81C9353A3"", ""Bonus Crit Damage for {0}"")","BonusPercentage","False","Attack",""
MinionsFromAffixSkeletonMelee,"MinionsFromAffix|AffixSkeletonMelee","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""A6E08FA94E8E86422768BE948B849FA5"", ""Summon {0} on equip"")","None","False","None",""
MinionsFromAffixSkeletonShield,"MinionsFromAffix|AffixSkeletonShield","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""CB394CDD4FDCD3CFB90010A714E11B31"", ""Summon {0} on equip"")","None","False","None",""
MinionsFromAffixSkeletonRanged,"MinionsFromAffix|AffixSkeletonRanged","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""42EA4D114D1858C779FC2188CD1490BC"", ""Summon {0} on equip"")","None","False","None",""
MinionsFromAffixAffixSkeletonFireMelee,"MinionsFromAffix|AffixSkeletonFireMelee","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""54BD7BE847DBB9305ACD8082933C1A06"", ""Summon {0} on equip"")","None","False","None",""
MinionsFromAffixAffixSkeletonFireRanged,"MinionsFromAffix|AffixSkeletonFireRanged","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""BF4C3FA0454BD700C5E4888035A7CA70"", ""Summon {0} on equip"")","None","False","None",""
MinionsFromAffixAffixZombieMelee,"MinionsFromAffix|AffixZombieMelee","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""550725914E80DD0A6E8B4398E8D0AFD1"", ""Summon {0} on equip"")","None","False","None",""
MinionsFromAffixAffixRat,"MinionsFromAffix|AffixRat","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""1082AB22448A31601F83CA9775347CBD"", ""Summon {0} on equip"")","None","False","None",""
MinionsFromAffixAffixNetherling,"MinionsFromAffix|AffixNetherling","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""100C98994145EDE7DF5C07871EF835BA"", ""Summon {0} on equip"")","None","False","None",""
MinionsFromAffixAffixDireWolf,"MinionsFromAffix|AffixDireWolf","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""018039EE46CFE050265FBC965353AB2C"", ""Summon {0} on equip"")","None","False","None",""
MinionsFromAffixAffixGhostGuard,"MinionsFromAffix|AffixGhostGuard","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""4A2C16894A5E1D8EEF694E97976275F1"", ""Summon {0} on equip"")","None","False","None",""
MinionsOnProcFromAffixAffixOnProcSkeletonMelee,"MinionsOnProcFromAffix|AffixOnProcSkeletonMelee","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""6DF8F95345E8A5904A8C078FF429C466"", ""Chance to summon {0}"")","None","False","None",""
MinionsOnProcFromAffixAffixOnProcSkeletonShield,"MinionsOnProcFromAffix|AffixOnProcSkeletonShield","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""4C889F7245AE75A39E23E19669DBC0FB"", ""Chance to summon {0}"")","None","False","None",""
MinionsOnProcFromAffixAffixOnProcSkeletonRanged,"MinionsOnProcFromAffix|AffixOnProcSkeletonRanged","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""692AAB2A49D398DD7F2F1DBDED5F83DA"", ""Chance to summon {0}"")","None","False","None",""
MinionsOnProcFromAffixAffixOnProcSkeletonFireMelee,"MinionsOnProcFromAffix|AffixOnProcSkeletonFireMelee","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""46864DE341C3E95B98A45C87EAA043E2"", ""Chance to summon {0}"")","None","False","None",""
MinionsOnProcFromAffixAffixOnProcSkeletonFireRanged,"MinionsOnProcFromAffix|AffixOnProcSkeletonFireRanged","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""6D20F78C448F56759310C2A1C7D87714"", ""Chance to summon {0}"")","None","False","None",""
MinionsOnProcFromAffixAffixOnProcZombieMelee,"MinionsOnProcFromAffix|AffixOnProcZombieMelee","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""53CF2E6147CD34E6B776AC88FD784404"", ""Chance to summon {0}"")","None","False","None",""
MinionsOnProcFromAffixAffixOnProcRat,"MinionsOnProcFromAffix|AffixOnProcRat","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""B1AA5301438C4A12FCBB4EB347D2C39C"", ""Chance to summon {0}"")","None","False","None",""
MinionsOnProcFromAffixAffixOnProcNetherling,"MinionsOnProcFromAffix|AffixOnProcNetherling","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""89614ED744CB36A234632F8C86FDFF95"", ""Chance to summon {0}"")","None","False","None",""
MinionsOnProcFromAffixAffixOnProcDireWolf,"MinionsOnProcFromAffix|AffixOnProcDireWolf","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""173A81C94D8B963F198B8FA5BE02CF39"", ""Chance to summon {0}"")","None","False","None",""
MinionsOnProcFromAffixAffixOnProcGhostGuard,"MinionsOnProcFromAffix|AffixOnProcGhostGuard","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""E221214145627AC0DDCABCBA1CDF4551"", ""Chance to summon {0}"")","None","False","None",""
BonusInventoryCapacitySkeletons,"BonusInventoryCapacity|Character.Minion.Affix.Skeleton","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""B407C1CD422FA1D79B0D72BA950F04AE"", ""+{0} summoned Skeletons max"")","None","False","None",""
BonusInventoryCapacityZombies,"BonusInventoryCapacity|Character.Minion.Affix.Zombie","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""A543E30A48B6B96BD27661A4584EF4C5"", ""+{0} summoned Zombies max"")","None","False","None",""
BonusInventoryCapacityRats,"BonusInventoryCapacity|Character.Minion.Affix.Rat","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""799FE7094BC59AD3BEDA71A08D78E4FF"", ""+{0} summoned Rats max"")","None","False","None",""
BonusInventoryCapacityNetherlings,"BonusInventoryCapacity|Character.Minion.Affix.Netherling","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""D29FC6EB4C42776480A744BF7EC1B646"", ""+{0} summoned Netherlings max"")","None","False","None",""
BonusInventoryCapacityWolves,"BonusInventoryCapacity|Character.Minion.Affix.Wolf","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""DBCC213B43012D48CB389DA2A6B1E506"", ""+{0} summoned Wolves max"")","None","False","None",""
BonusInventoryCapacityGhostGuards,"BonusInventoryCapacity|Character.Minion.Affix.GhostGuard","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""63BDACF94E1043437439EA93FC37C1C4"", ""+{0} summoned Spectral Guards max"")","None","False","None",""
MinionLifespanBonusSkeletons,"MinionLifespanBonus|Character.Minion.Affix.Skeleton","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""2FA423EA45D6E92F36340EA7B98E0C8A"", ""+{0} sec. summoned Skeletons duration"")","None","False","None",""
MinionLifespanBonusZombies,"MinionLifespanBonus|Character.Minion.Affix.Zombie","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""141828654C5712442542CBBF560210A6"", ""+{0} sec. summoned Zombies duration"")","None","False","None",""
MinionLifespanBonusRats,"MinionLifespanBonus|Character.Minion.Affix.Rat","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""4CE55EC9422A6AF7EC5152BDA12A9877"", ""+{0} sec. summoned Rats duration"")","None","False","None",""
MinionLifespanBonusNetherlings,"MinionLifespanBonus|Character.Minion.Affix.Netherling","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""0C1AD61A4E85CC43E906048FD712CA13"", ""+{0} sec. summoned Netherlings duration"")","None","False","None",""
MinionLifespanBonusWolves,"MinionLifespanBonus|Character.Minion.Affix.Wolf","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""2BA7FEAB45661D8E77BEDAA8B30EF84B"", ""+{0} sec. summoned Wolves duration"")","None","False","None",""
MinionLifespanBonusGhostGuards,"MinionLifespanBonus|Character.Minion.Affix.GhostGuard","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""C53788DC47D764576EE6FC932E9A2CC9"", ""+{0} sec. summoned Spectral Guards duration"")","None","False","None",""
Stalactites,"ProcChance|Stalactites","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""871C83B345E48CF6CE961290EC9F2706"", ""{0} chance to drop Stalactites"")","Percentage","False","Attack",""
