---,SkillClass,CharacterTag,Animation,AnimationOverride,MaximumSkillLevel,MinimumSkillLevel,GameplayTags,ExclusiveTags,RequiredSkillTab,RequiredPointsInSkillTab,TraitString,PerLevelDisplay,PerLevelDisplayTexts,TraitCurve1,TraitCurve2,TraitCurve3,TraitCurve4,bCanNeverBeUnlocked,bHiddenBehindCheats,SkillPanelRow,SkillPanelColumn,TryStatusEffect,TryDuration,DefaultSkillSet,DefaultSkillSlot,Notes
DM_Consecration,"/Game/Skills/Blueprints/DuskMage/Skill_Consecration.Skill_Consecration_C","Character.Player.DuskMage","Default","None","12","0","(GameplayTags=((TagName=""Skill.DuskMage.Light""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","10","DamagePctBySkillName|DM_Consecration=0.043;DurationPctBySkillName|DM_Damnation=.021","NSLOCTEXT(""SkillsTable"", ""FDBF6A6E4FF58214C1865C9E55A827FB"", ""Consecration Damage Bonus\r\nMystery Skill\'s Duration"")","(NSLOCTEXT("""", ""968B0F2348296D610CEFEB9C56DC01DD"", ""Consecration Damage Bonus""),NSLOCTEXT("""", ""97BE192543A6D9D75C526881505884D8"", ""Mystery Skill\'s Duration""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","3","2","(RowName=""TrySkill_DM_Consecration"")","30.000000","Default","None",""
DM_Damnation,"/Game/Skills/Blueprints/DuskMage/Skill_Damnation.Skill_Damnation_C","Character.Player.Duskmage","Default","None","12","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Dark"")))","(GameplayTags=)","(RowName=""DM_Light"")","15","DurationPctBySkillName|DM_Damnation=.05;CooldownPctBySkillTag|Skill.Emberweapon=-.05","NSLOCTEXT(""SkillsTable"", ""0D071A9344523069D832B6B9CC71BE63"", ""Damnation Duration\r\nRelic Skill Cooldowns"")","(NSLOCTEXT("""", ""86E6B38441BEC53DC68336AD02120069"", ""Damnation Duration""),NSLOCTEXT("""", ""198FEA9341D63C63EBD003B36CFD1814"", ""Relic Skill Cooldowns""))","PerLevelGrowCurve","PerLevelGrowCurve","None","None","True","True","4","0","(RowName="""")","30.000000","Default","None",""
DM_EnergySpike,"/Game/Skills/Blueprints/DuskMage/Skill_EnergySpike.Skill_EnergySpike_C","Character.Player.DuskMage","Default","None","12","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Dark"")))","(GameplayTags=)","(RowName=""DM_Light"")","15","DamagePctBySkillName|DM_EnergySpike=0.085;MiscBonusBySkillName|DM_EnergySpike=0.0588","NSLOCTEXT(""SkillsTable"", ""991F626048C7308FBF4A9B9D8FABC7AF"", ""Energy Spike damage\r\nLight Bar Charge gain"")","(NSLOCTEXT("""", ""74CCFCF84F05A0E8145D90A5C89ED404"", ""Energy Spike damage""),NSLOCTEXT("""", ""F0A0102C4974D11318BD99810AB5F948"", ""Light Bar Charge gain""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","4","1","(RowName=""TrySkill_DM_EnergySpike"")","30.000000","Default","None",""
DM_LightSpear,"/Game/Skills/Blueprints/DuskMage/Skill_Lightspear.Skill_Lightspear_C","Character.Player.DuskMage","Default","None","12","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Light"")))","(GameplayTags=)","(RowName=""DM_Dark"")","15","DamagePctBySkillName|DM_LightSpear=0.255;MiscBonusBySkillName|DM_LightSpear=0.084","NSLOCTEXT(""SkillsTable"", ""6B3209774F26720C279AC5AE75C83CA0"", ""Light Spear\'s Chance to Heal\r\nLight Charged Buff Duration"")","(NSLOCTEXT("""", ""942594044B40099F65EA00957980E616"", ""Light Spear\'s Chance to Heal""),NSLOCTEXT("""", ""D850B1124349167EBD2DA1BBF2453451"", ""Light Charged Buff Duration""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","True","True","4","1","(RowName="""")","30.000000","Default","None",""
DM_UltimateLight,"/Game/Skills/Blueprints/Skill_Placeholder.Skill_Placeholder_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Light"")))","(GameplayTags=)","(RowName=""DM_Dark"")","20","","","","None","None","None","None","True","False","5","1","(RowName="""")","30.000000","Default","None",""
DM_UltimateDark,"/Game/Skills/Blueprints/Skill_Placeholder.Skill_Placeholder_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage.Dark"")))","(GameplayTags=)","(RowName=""DM_Light"")","20","","","","None","None","None","None","True","False","5","1","(RowName="""")","30.000000","Default","None",""
DM_SoulStripper,"/Game/Skills/Blueprints/DuskMage/Skill_DuskMage_SoulRipper.Skill_DuskMage_SoulRipper_C","Character.Player.DuskMage","Default","None","1","0","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName="""")","0","","","","None","None","None","None","False","True","0","0","(RowName="""")","30.000000","None","None",""
DM_RocknRoll,"/Game/Skills/Blueprints/DuskMage/Skill_RocknRoll.Skill_RocknRoll_C","Character.Player.DuskMage","Default","None","1","1","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.DuskMage""),(TagName=""Character.Player.DuskMage"")))","(GameplayTags=)","(RowName="""")","0","","","","None","None","None","None","False","True","0","0","(RowName="""")","30.000000","None","None",""
DM_ShadowStep,"/Game/Skills/Blueprints/DuskMage/Skill_ShadowStep.Skill_ShadowStep_C","Character.Player.DuskMage","Default","None","1","0","(GameplayTags=((TagName=""Skill.DuskMage.Dark""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""DM_Dark"")","15","","","","None","None","None","None","False","True","3","0","(RowName="""")","30.000000","None","None",""
DM_KeeperofBalance,"/Game/Skills/Blueprints/DuskMage/Skill_Passive_KeeperofBalance.Skill_Passive_KeeperofBalance_C","Character.Player.DuskMage","Default","None","1","0","(GameplayTags=((TagName=""Skill.Passive""),(TagName=""Skill.DuskMage"")))","(GameplayTags=((TagName=""Skill.DuskMage.Balance"")))","(RowName="""")","0","","","","None","None","None","None","False","True","0","0","(RowName="""")","30.000000","None","None",""
DM_Passive_UnlimitedPower,"/Game/Skills/Blueprints/DuskMage/Skill_Passive_UnlimitedPower.Skill_Passive_UnlimitedPower_C","Character.Player.DuskMage","Default","None","20","0","(GameplayTags=((TagName=""Skill.Passive""),(TagName=""Skill.DuskMage"")))","(GameplayTags=)","(RowName="""")","0","","","","None","None","None","None","False","True","0","0","(RowName=""TrySkill_DM_Passive_UnlimitedPower"")","30.000000","None","None",""
DM_OpposingForces,"/Game/Skills/Blueprints/DuskMage/Skill_Passive_OpposingForces.Skill_Passive_OpposingForces_C","Character.Player.DuskMage","None","None","20","0","(GameplayTags=)","(GameplayTags=((TagName=""Skill.DuskMage.Balance"")))","(RowName="""")","0","","","","None","None","None","None","False","True","0","0","(RowName="""")","30.000000","None","None",""
DM_RichHarvest,"/Game/Skills/Blueprints/DuskMage/Skill_Passive_RichHarvest.Skill_Passive_RichHarvest_C","Character.Player.DuskMage","Default","None","4","0","(GameplayTags=((TagName=""Skill.DuskMage""),(TagName=""Skill.Passive"")))","(GameplayTags=)","(RowName="""")","0","","","","None","None","None","None","False","True","0","0","(RowName=""TrySkill_DM_RichHarvest"")","30.000000","None","None",""
Forged_RapidFire,"/Game/Skills/Blueprints/Forged/Skill_Forged_ShootCannon.Skill_Forged_ShootCannon_C","Character.Player.Forged","Default","None","12","0","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName="""")","0","DamagePctBySkillName|Forged_RapidFire=0.0425;DamagePctBySkillTag|Skill.Forged.Ranged=0.042","NSLOCTEXT(""SkillsTable"", ""B39CD43F485C04EE82F4E0A26467189E"", ""Rapid Fire damage\r\nBarrage skills damage"")","(NSLOCTEXT("""", ""BD1370E448256DF3D66691B97DE52B27"", ""Rapid Fire damage""),NSLOCTEXT("""", ""A0397DB64EBD6235A94B398118D0F92B"", ""Barrage skills damage""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","0","1","(RowName="""")","30.000000","None","None",""
Forged_RapidStrike,"/Game/Skills/Blueprints/Forged/Skill_Forged_RapidStrike.Skill_Forged_RapidStrike_C","Character.Player.Forged","Default","None","12","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Forged.Melee"")))","(GameplayTags=)","(RowName="""")","0","DamagePctBySkillName|Forged_RapidStrike=0.068;DamagePctBySkillTag|Skill.Forged.Melee=0.042","NSLOCTEXT(""SkillsTable"", ""BF87C3B740F61B297FB0059DD2988E18"", ""Rapid Strike damage\r\nBrawl skill damage"")","(NSLOCTEXT("""", ""B88ACDAB4E087941482F09A5DB5A65F4"", ""Rapid Strike damage""),NSLOCTEXT("""", ""CEA8FE6C48E1953BE21702A6A2E75D89"", ""Brawl skill damage""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","0","2","(RowName=""TrySkill_Forged_RapidStrike"")","30.000000","None","None",""
Forged_RocketBarrage,"/Game/Skills/Blueprints/Forged/Skill_Forged_RocketBarrage.Skill_Forged_RocketBarrage_C","Character.Player.Forged","Default","None","12","0","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.Vent"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","1","DamagePctBySkillName|Forged_RocketBarrage=0.068;DamagePctBySkillTag|Skill.Forged.Vent=0.042","NSLOCTEXT(""SkillsTable"", ""93CBFFEE4AB7E8DD86A36A9642EA6453"", ""Coal Launch Damage\r\nHeat-spending Skill Damage"")","(NSLOCTEXT("""", ""70F45896495808330E4D44BD2973ACD4"", ""Coal Launch Damage""),NSLOCTEXT("""", ""89B29A85403518FDA6E4B680FEA2A2D1"", ""Heat-spending Skill Damage""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","1","0","(RowName=""TrySkill_Forged_RocketBarrage"")","30.000000","None","None",""
Forged_Lodestone,"/Game/Skills/Blueprints/Forged/Skill_Forged_Lodestone.Skill_Forged_Lodestone_C","Character.Player.Forged","Default","None","12","0","(GameplayTags=((TagName=""Skill.Forged.Melee""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.Vent"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","1","CooldownPctBySkillName|Forged_Lodestone=-.0425;DamagePctBySkillTag|Skill.EmberWeapon=0.0168","NSLOCTEXT(""SkillsTable"", ""8C2CD3AF4751E4B86C213D8CC136545A"", ""Vortex Bomb Cooldown\r\nRelic Damage"")","(NSLOCTEXT("""", ""B94080D44E07A6416432C6B0E8AA90C3"", ""Vortex Bomb Cooldown""),NSLOCTEXT("""", ""C6BF1F36453C079321E60B94B3656BED"", ""Relic Damage""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","1","0","(RowName="""")","30.000000","None","None",""
Forged_ShotgonneBlast,"/Game/Skills/Blueprints/Forged/Skill_Forged_CannonBlast.Skill_Forged_CannonBlast_C","Character.Player.Forged","Default","None","12","0","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","1","DamagePctBySkillName|Forged_ShotgonneBlast=0.0595;ForgedHeat.Regen.Multiplier=.04032","NSLOCTEXT(""SkillsTable"", ""3DF4EFED45C53D9EAD3FC4AB1DCE24F1"", ""Shotgonne Blast Damage\r\nHeat Dissipation"")","(NSLOCTEXT("""", ""75F9FD6D454C7B5CFA4863A7C6CC4E7E"", ""Shotgonne Blast Damage""),NSLOCTEXT("""", ""2EEB3C1F4C39CDC0ACCBA2AC7906BEB1"", ""Heat Dissipation""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","1","2","(RowName=""TrySkill_Forged_ShotgonneBlast"")","30.000000","None","None",""
Forged_CycloneMode,"/Game/Skills/Blueprints/Forged/Skill_Forged_DashAttack.Skill_Forged_DashAttack_C","Character.Player.Forged","Default","None","12","0","(GameplayTags=((TagName=""Skill.Forged.Melee""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","5","DamagePctBySkillName|Forged_CycloneMode=0.0806;MoveSpeedBonusMult=.0168","NSLOCTEXT(""SkillsTable"", ""121C98474207DAE2C259BCBD56957D8C"", ""Cyclone Mode Damage\r\nMovement Speed"")","(NSLOCTEXT("""", ""B0CB6AEC4A01DA1AEED2E6AB773D14BA"", ""Cyclone Mode Damage""),NSLOCTEXT("""", ""A95FE08C48B86F7BC4B6FD8620DAF0AB"", ""Movement Speed""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","2","2","(RowName=""TrySkill_Forged_CycloneMode"")","30.000000","None","None",""
Forged_PoisonDart,"/Game/Skills/Blueprints/Forged/Skill_Forged_PoisonDart.Skill_Forged_PoisonDart_C","Character.Player.Forged","Default","None","12","0","(GameplayTags=((TagName=""Skill.Forged.Ranged""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","5","DurationPctBySkillName|Forged_PoisonDart=0.051;DamagePctBySkillTag|Skill.Pet=0.0588","NSLOCTEXT(""SkillsTable"", ""1ADA585545FA3141B74707B2F1DDAEC0"", ""Poison Dart Duration\r\nPet Skill and Attack Damage"")","(NSLOCTEXT("""", ""678BCA9945B635B1666588AD33D86E29"", ""Poison Dart Duration""),NSLOCTEXT("""", ""DB7715B04FCAD3E11C62659976C73272"", ""Pet Skill and Attack Damage""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","2","1","(RowName=""TrySkill_Forged_PoisonDart"")","30.000000","None","None",""
Forged_ServoDrivenUppercut,"/Game/Skills/Blueprints/Forged/Skill_Forged_ServoDrivenUppercut.Skill_Forged_ServoDrivenUppercut_C","Character.Player.Forged","Default","None","12","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Forged.Melee"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","5","BonusChancePctBySkillName|Forged_ServoDrivenUppercut=.085;CriticalHitChanceForType|Skill.Forged.Melee=0.0168","NSLOCTEXT(""SkillsTable"", ""2F47D975497C1F00F4657E980D23BA53"", ""Uppercut Stun Chance\r\nMelee Skill Crit Chance"")","(NSLOCTEXT("""", ""76AEC5EE4C86E323564045B4B27303FA"", ""Uppercut Stun Chance""),NSLOCTEXT("""", ""6106757F42847C12F95ABBB63DBEEF55"", ""Melee Skill Crit Chance""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","2","0","(RowName=""TrySkill_Forged_ServoDrivenUppercut"")","30.000000","None","None",""
Forged_SlugShot,"/Game/Skills/Blueprints/Forged/Skill_Forged_SlugShot.Skill_Forged_SlugShot_C","Character.Player.Forged","Default","None","12","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Forged.Ranged"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","10","CriticalHitChanceForType|Skill.Forged.Ranged.SlugShot=0.085;DurationPctBySkillName|Forged_RocketBarrage=0.084","NSLOCTEXT(""SkillsTable"", ""C5BBD2EF46E48E5EBDC15EAD66379220"", ""Slugshot Critical Hit Chance\r\nCoal Launch Area Duration"")","(NSLOCTEXT("""", ""12AFC33B483295AACD5279A74C04388E"", ""Slugshot Critical Hit Chance""),NSLOCTEXT("""", ""68ED5FEC416E43FBCB982C9CDABA73D9"", ""Coal Launch Area Duration""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","3","0","(RowName=""TrySkill_Forged_SlugShot"")","30.000000","None","None",""
Forged_MyBuddy,"/Game/Skills/Blueprints/Forged/Skill_MyBuddy.Skill_MyBuddy_C","Character.Player.Forged","Default","None","12","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Forged.Ranged"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","10","","","","None","None","None","None","True","True","3","2","(RowName="""")","30.000000","None","None",""
Forged_VentFurnanceBlast,"/Game/Skills/Blueprints/Forged/Skill_Forged_VentFurnaceBlast.Skill_Forged_VentFurnaceBlast_C","Character.Player.Forged","Default","None","12","0","(GameplayTags=((TagName=""Skill.Forged.Melee""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.Vent"")))","(GameplayTags=)","(RowName=""RM_Melee"")","10","","","","None","None","None","None","True","True","3","1","(RowName="""")","30.000000","None","None",""
Forged_RammingRobot,"/Game/Skills/Blueprints/Forged/Skill_Forged_BashingCharge.Skill_Forged_BashingCharge_C","Character.Player.Forged","Default","None","12","0","(GameplayTags=((TagName=""Skill.Forged.Melee""),(TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Active"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","15","DamagePctBySkillName|Forged_RammingRobot=0.0595;RandomBonusPctBySkillName|Forged_RammingRobot=.0168","NSLOCTEXT(""SkillsTable"", ""972EE3AD43AD92E70BBF478CCDF4F46A"", ""Ramming Robot Damage\r\nDamage Reduction in melee combat "")","(NSLOCTEXT("""", ""55C9881149FF7F38FBA909ADB1FAEF8E"", ""Ramming Robot Damage""),NSLOCTEXT("""", ""6E885E4F4EE7D84C9B067DB572E84F61"", ""Damage Reduction in melee combat ""))","PerLevelByOnesStartWithOne","PerLevelByOnesStartWithOne","None","None","False","False","4","0","(RowName=""TrySkill_Forged_RammingRobot"")","30.000000","None","None",""
Forged_SonicPulse,"/Game/Skills/Blueprints/Forged/Skill_Forged_SonicPulse.Skill_Forged_SonicPulse_C","Character.Player.Forged","Default","None","12","0","(GameplayTags=((TagName=""Skill.Forged.GeneratesHeat""),(TagName=""Skill.Active""),(TagName=""Skill.Forged.Ranged"")))","(GameplayTags=)","(RowName=""Forged_Ranged"")","15","","","","None","None","None","None","True","True","4","1","(RowName="""")","30.000000","None","None",""
Forged_FrackingStrike,"/Game/Skills/Blueprints/Skill_Placeholder.Skill_Placeholder_C","Character.Player.Forged","Default","None","12","0","(GameplayTags=((TagName=""Skill.Active""),(TagName=""Skill.Forged.Melee""),(TagName=""Skill.Forged.GeneratesHeat"")))","(GameplayTags=)","(RowName=""Forged_Melee"")","15","","","","None","None","None","None","True","False","4","2","(RowName="""")","30.000000","None","None",""
