---,DisplayName,Description,DescriptionLong,FlavorText,EmberWeaponData,OffHandWeaponToEquip,bUseAffixWithName,SlotForSkillDescription,MinLevel,MaxLevel,DropWeight,GoldValue,ItemWardrobe,bCanBeDyed,DyeRow,GameplayTags,AffixAnyTags,AffixAllTags,AffixSpawnRowName,ItemQuality,LootContent,LootContentRecipe,LootContentRecipeUnit,DamageType,Spoke,PlayerClass,AnimSlotPrefix,AnimSlotSuffix,bIsTwoHanded,bCanSell,bCanDestroy,bCanBeUsed,bCanBulkBuy,bIgnoreLevel,bIgnoreSpoke,bIgnoreDroppedArea,AttackSpeedIndex,bIsStatStick,PickupAction,PickUpTraitString,MaxStackSize,IconOverride,ItemClass,Notes
Armour_Global_Chest_Magic_HPBonus_01,"NSLOCTEXT(""ItemsTable"", ""7CE5043947AA3DA9CFD422A12C43E3A7"", ""Hearty Armor"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","30.000000","T2_Industrial_Chest","True","(RowName="""")","Region.Global;Item.Armour.Chest;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Bonus","Item.Armour.Chest","Armor_Magic_HPBonus","Magic","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Chest_Normal_Base_01,"NSLOCTEXT(""ItemsTable"", ""E7EDDB634BFA239577130B8A2C0C3507"", ""Naked Chest"")","","","","(RowName="""")","(RowName="""")","False","None","0.000000","0.000000","0","0.000000","T0_Undies_Chest","False","(RowName=""Undies"")","Item.Armour.Chest","None","None","None","None","(RowName="""")","None","(RowName="""")","Element.Physical","Region.GoblinIsle.GoblinForest","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Chest_Normal_Newbie_01,"NSLOCTEXT(""ItemsTable"", ""174783B9466B14A531484BB904D2FB93"", ""Tattered Rags"")","","","","(RowName="""")","(RowName="""")","False","None","0.000000","0.000000","0","0.000000","T1_Starter_Chest","True","(RowName=""Rags"")","Item.Armour.Chest","Affix.Defense.Physical","Item.Armour.Chest","Armor_Starter_Large","Normal","(RowName="""")","None","(RowName="""")","Element.Physical","Region.GoblinIsle.GoblinForest","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Chest_Normal_Physical_01,"NSLOCTEXT(""ItemsTable"", ""9EA77DAB43AC29C1C7546E8DB28128FD"", ""Flimsy Tunic"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","8.000000","T1_Iconic_Chest","True","(RowName="""")","Region.Global;Item.Armour.Chest;Element.Physical","Affix.Defense.Physical","Item.Armour.Chest","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Chest_Rare_Physical_01,"NSLOCTEXT(""ItemsTable"", ""FC525B6044AA11988B4C83B6BD11CD70"", ""Chest Armor"")","","","","(RowName="""")","(RowName="""")","True","None","1.000000","100.000000","1","60.000000","T3_Iconic_Chest","True","(RowName="""")","Region.Global;Item.Armour.Chest;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Bonus","Item.Armour.Chest","Armor_Rare","Rare","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Gloves_Legendary_CommonDM_01,"NSLOCTEXT(""ItemsTable"", ""3FD8A89A431D1FA3D9C68CB3FFA62927"", ""Celestial Gauntlets"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","100.000000","T4_Common_Gloves_DM","True","(RowName=""CommonChaseDM"")","Region.Global;Item.Armour.Gloves","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Effect.Electric.Bolt","Item.Armour.Gloves","Armor_Legendary","Legendary","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.DuskMage","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Gloves_Legendary_CommonRM_01,"NSLOCTEXT(""ItemsTable"", ""88B35A6F4B7B5EC075D7808185466899"", ""Celestial Gauntlets"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","100.000000","T4_Common_Gloves_RM","True","(RowName=""CommonChaseRM"")","Region.Global;Item.Armour.Gloves","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Effect.Electric.Bolt","Item.Armour.Gloves","Armor_Legendary","Legendary","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.Railman","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Gloves_Magic_Physical_01,"NSLOCTEXT(""ItemsTable"", ""88391F904502A7725988C5ADAFA5A53B"", ""Reinforced Gauntlets"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","30.000000","T2_Industrial_Gloves","True","(RowName="""")","Region.Global;Item.Armour.Gloves;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Effect.Electric.Bolt","Item.Armour.Gloves","Armor_Magic","Magic","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Gloves_Normal_Base_01,"NSLOCTEXT(""ItemsTable"", ""23F1531C4CDEB2A6E5FBADA9E9172A0D"", ""Gloves A"")","","","","(RowName="""")","(RowName="""")","False","None","0.000000","0.000000","0","0.000000","T0_Nude_Gloves","False","(RowName="""")","Item.Armour.Gloves","None","None","None","None","(RowName="""")","None","(RowName="""")","Element.Physical","Region.GoblinIsle.GoblinForest","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Gloves_Normal_Physical_01,"NSLOCTEXT(""ItemsTable"", ""60DB69E14B0CC0A9129E15B8FAEDC3AD"", ""Flimsy Gloves"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","8.000000","T1_Iconic_Gloves","True","(RowName="""")","Region.Global;Item.Armour.Gloves;Element.Physical","Affix.Defense.Physical","Item.Armour.Gloves","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Gloves_Rare_Physical_01,"NSLOCTEXT(""ItemsTable"", ""3B34C903477235D1B28022874F9380FF"", ""Gloves"")","","","","(RowName="""")","(RowName="""")","True","None","1.000000","100.000000","1","60.000000","T3_Iconic_Gloves","True","(RowName="""")","Region.Global;Item.Armour.Gloves;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Effect.Electric.Bolt","Item.Armour.Gloves","Armor_Rare","Rare","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Hatch_Magic_Physical_01,"NSLOCTEXT(""ItemsTable"", ""A17FF8D041AA861D353C1AB716E21775"", ""Reinforced Hatch"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","30.000000","T2_Industrial_Hatch","True","(RowName="""")","Region.Global;Item.Armour.Hatch;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Hatch","Armor_Magic","Magic","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.Forged","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Hatch_Normal_Base_01,"NSLOCTEXT(""ItemsTable"", ""0B4FACF6426CE5E304FCC6920FC1962D"", ""Hatch A"")","","","","(RowName="""")","(RowName="""")","False","None","0.000000","0.000000","0","0.000000","T0_Nude_Hatch","False","(RowName="""")","Item.Armour.Hatch","None","None","None","None","(RowName="""")","None","(RowName="""")","Element.Physical","Region.GoblinIsle.GoblinForest","Character.Player.Forged","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Hatch_Normal_Physical_01,"NSLOCTEXT(""ItemsTable"", ""3B70F6554DAFF973BAE385A7B4D1EF17"", ""Flimsy Hatch"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","100.000000","1","8.000000","T1_Iconic_Hatch","True","(RowName="""")","Region.Global;Item.Armour.Hatch;Element.Physical","Affix.Defense.Physical","Item.Armour.Hatch","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.Forged","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Hatch_Rare_Physical_01,"NSLOCTEXT(""ItemsTable"", ""C6012B054AC3E41E7615AD8D30226E44"", ""Hatch"")","","","","(RowName="""")","(RowName="""")","True","None","1.000000","100.000000","1","60.000000","T3_Iconic_Hatch","True","(RowName="""")","Region.Global;Item.Armour.Hatch;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Hatch","Armor_Rare","Rare","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.Forged","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Head_Normal_Base_01,"NSLOCTEXT(""ItemsTable"", ""6FB047214AEBFAA8B0441F9D3193AB69"", ""Forged Head A"")","","","","(RowName="""")","(RowName="""")","False","None","0.000000","0.000000","0","0.000000","T0_Nude_Head","False","(RowName="""")","Item.Armour.Head","None","None","None","None","(RowName="""")","None","(RowName="""")","Element.Physical","Region.GoblinIsle.GoblinForest","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Helm_Legendary_CommonDM_01,"NSLOCTEXT(""ItemsTable"", ""B15CA89049F4B75ADEEEE3B2A7BD80F1"", ""Celestial Mask"")","","","","(RowName="""")","(RowName="""")","False","None","5.000000","100.000000","1","100.000000","Legendary_Helm_Global_01","True","(RowName=""CommonChaseDM"")","Region.Global;Item.Armour.Helm","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Helm","Armor_Legendary","Legendary","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.DuskMage","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Helm_Legendary_CommonRM_01,"NSLOCTEXT(""ItemsTable"", ""8223F994425E4B58BD22C888D899E6E3"", ""Celestial Helm"")","","","","(RowName="""")","(RowName="""")","False","None","5.000000","100.000000","1","100.000000","Legendary_Helm_Global_01","True","(RowName=""CommonChaseRM"")","Region.Global;Item.Armour.Helm","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Helm","Armor_Legendary","Legendary","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.Railman","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Helm_Magic_GlobalDM_01,"NSLOCTEXT(""ItemsTable"", ""B20EEA794E1DA633A198F3B49E11F2AB"", ""Shrouded Cap"")","","","","(RowName="""")","(RowName="""")","False","None","5.000000","100.000000","0","30.000000","T2_Global_Helm_DM","True","(RowName="""")","Region.Global;Item.Armour.Helm;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Helm","Armor_Magic","Magic","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.DuskMage","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Helm_Magic_GlobalFOR_01,"NSLOCTEXT(""ItemsTable"", ""B0452F614FEB819650E3469705B9178A"", ""Keygen Collar"")","","","","(RowName="""")","(RowName="""")","False","None","5.000000","100.000000","0","30.000000","T2_Global_Helm_FOR","True","(RowName="""")","Region.Global;Item.Armour.Helm;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Helm","Armor_Magic","Magic","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.Forged","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Helm_Magic_GlobalRM_01,"NSLOCTEXT(""ItemsTable"", ""21725DF3498F4DF21208E7B23D898126"", ""Conquest Helm"")","","","","(RowName="""")","(RowName="""")","False","None","1.000000","20.000000","0","60.000000","T2_Global_Helm_RM","True","(RowName="""")","Region.Global;Item.Armour.Helm;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Helm","Armor_Magic","Magic","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.Railman","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Helm_Magic_Physical_01,"NSLOCTEXT(""ItemsTable"", ""6A9301714948ABC406F0B6B9DFCB1D60"", ""Reinforced Helm"")","","","","(RowName="""")","(RowName="""")","False","None","5.000000","100.000000","0","30.000000","T2_Industrial_Helm","True","(RowName="""")","Region.Global;Item.Armour.Helm;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Helm","Armor_Magic","Magic","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Helm_Magic_UniversalDM_01,"NSLOCTEXT(""ItemsTable"", ""55A7EB214865C8865B55B189935036BB"", ""Prelate\'s Hood"")","","","","(RowName="""")","(RowName="""")","False","None","5.000000","100.000000","0","30.000000","T2_Universal_Helm_DM","True","(RowName="""")","Region.Global;Item.Armour.Helm;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Helm","Armor_Magic","Magic","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.DuskMage","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Helm_Magic_UniversalFOR_01,"NSLOCTEXT(""ItemsTable"", ""CC73F1114C8F3A0301F4E097C3DF88BB"", ""Merrie Knave\'s Cap"")","","","","(RowName="""")","(RowName="""")","False","None","5.000000","100.000000","0","30.000000","T2_Universal_Helm_FOR","True","(RowName="""")","Region.Global;Item.Armour.Helm;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Helm","Armor_Magic","Magic","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.Forged","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Helm_Magic_UniversalRM_01,"NSLOCTEXT(""ItemsTable"", ""F4684AA74CA0C6B2ADE9419D81169369"", ""Centurion Helm"")","","","","(RowName="""")","(RowName="""")","False","None","5.000000","100.000000","0","30.000000","T2_Universal_Helm_RM","True","(RowName="""")","Region.Global;Item.Armour.Helm;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Helm","Armor_Magic","Magic","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.Railman","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Helm_Normal_Base_01,"NSLOCTEXT(""ItemsTable"", ""1C9E32634447C3C27C83F9A8E14A07F6"", ""Railwoman Hair"")","","","","(RowName="""")","(RowName="""")","False","None","0.000000","0.000000","0","0.000000","T0_Nude_Helm","False","(RowName="""")","Item.Armour.Helm","None","None","None","None","(RowName="""")","None","(RowName="""")","Element.Physical","Region.GoblinIsle.GoblinForest","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Helm_Normal_01,"NSLOCTEXT(""ItemsTable"", ""4E12D42043C9B6CA94BDABAEF28B5A25"", ""Soft Cap"")","","","","(RowName="""")","(RowName="""")","False","None","5.000000","50.000000","1","30.000000","Normal_Helm_01","True","(RowName="""")","Region.Global;Item.Armour.Helm;Element.Physical","Affix.Defense.Physical","Item.Armour.Helm","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Helm_Normal_FOR_02,"NSLOCTEXT(""ItemsTable"", ""0BA59CAB40448205BA8B85901464FC40"", ""Weak Helm"")","","","","(RowName="""")","(RowName="""")","False","None","15.000000","50.000000","1","30.000000","Normal_Helm_03","True","(RowName="""")","Region.Global;Item.Armour.Helm;Element.Physical","Affix.Defense.Physical","Item.Armour.Helm","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.Forged","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Goblin_Helm_Normal_01,"NSLOCTEXT(""ItemsTable"", ""618779B9438A875D55CAB3B7A931F3D8"", ""Soft Cap"")","","","","(RowName="""")","(RowName="""")","False","None","5.000000","50.000000","1","30.000000","Normal_Helm_02","True","(RowName="""")","Item.Armour.Helm;Element.Physical","Affix.Defense.Fire","Item.Armour.Helm","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","Element.Fire","Region.GoblinIsle.GoblinForest","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Hyvid_Helm_Normal_01,"NSLOCTEXT(""ItemsTable"", ""61016E854340A48169C9C2BAE56863E8"", ""Weak Hat"")","","","","(RowName="""")","(RowName="""")","False","None","5.000000","50.000000","1","30.000000","Normal_Helm_02","True","(RowName="""")","Item.Armour.Helm;Element.Physical","Affix.Defense.Poison","Item.Armour.Helm","Armor_Normal","Normal","(RowName="""")","None","(RowName="""")","Element.Poison","Region.GoblinIsle.InfestedForest","Character.Player","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Helm_Magic_RM_01,"NSLOCTEXT(""ItemsTable"", ""6A9301714948ABC406F0B6B9DFCB1D60"", ""Reinforced Helm"")","","","","(RowName="""")","(RowName="""")","False","None","5.000000","30.000000","1","30.000000","Magic_Helm_RM_01","True","(RowName="""")","Region.Global;Item.Armour.Helm;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Helm","Armor_Magic","Magic","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.Railman","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Global_Helm_Magic_RM_02,"NSLOCTEXT(""ItemsTable"", ""6A9301714948ABC406F0B6B9DFCB1D60"", ""Reinforced Helm"")","","","","(RowName="""")","(RowName="""")","False","None","15.000000","50.000000","1","30.000000","Magic_Helm_RM_02","True","(RowName="""")","Region.Global;Item.Armour.Helm;Element.Physical","Affix.Defense.Physical;Affix.Defense.Netherim;Affix.NonElemental;Affix.Hitpoints.Regen","Item.Armour.Helm","Armor_Magic","Magic","(RowName="""")","None","(RowName="""")","Element.Physical","None","Character.Player.Railman","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
Armour_Goblin_Helm_Magic_RM_01,"NSLOCTEXT(""ItemsTable"", ""62D8893548492257DA1595AADAB1BF74"", ""Incombustible Face Mask"")","","","","(RowName="""")","(RowName="""")","False","None","5.000000","30.000000","1","30.000000","Magic_Helm_RM_03","True","(RowName="""")","Item.Armour.Helm;Element.Fire","Affix.Defense.Fire;Affix.NonElemental;Affix.Hitpoints.Regen;Affix.Effect.Fire","Item.Armour.Helm","Armor_Magic","Magic","(RowName="""")","None","(RowName="""")","Element.Fire","Region.GoblinIsle.GoblinForest","Character.Player.Railman","None","None","False","True","True","False","False","False","False","False","None","False","AddToInventory","None","0","None","None",""
