---,RowType,NoPickWeight,MinLevel,bErrorIfOutputIsEmpty,EntryType1,Entry1,WeightOrCount1,EntryType2,Entry2,WeightOrCount2,EntryType3,Entry3,WeightOrCount3,EntryType4,Entry4,WeightOrCount4,EntryType5,Entry5,WeightOrCount5,EntryType6,Entry6,WeightOrCount6,EntryType7,Entry7,WeightOrCount7,EntryType8,Entry8,WeightOrCount8,EntryType9,Entry9,WeightOrCount9,EntryType10,Entry10,WeightOrCount10,EntryType11,Entry11,WeightOrCount11,DataCurves,Entries,Notes
Armor_Primary,"Pick","0","0","True","AddAffixByFilter","Affix.Primary;Affix.Defense","3","AddAffixByFilter","Affix.Primary;Affix.Hitpoints.Bonus","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Armor_Magic_HPBonus,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","1","1","AddAffixByFilter","Affix.Primary;Affix.Hitpoints.Bonus","1","GotoAffixSpawnRow","Armor_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Armor_Magic_HPBonus_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Hitpoints.Bonus","1","GotoAffixSpawnRow","Armor_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Armor_Normal_AmmoBag,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","GotoAffixSpawnRow","Armor_AmmoBag_Primary","1","GotoAffixSpawnRow","Armor_AmmoBag_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Armor_Normal_AmmoBag_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","GotoAffixSpawnRow","Armor_AmmoBag_Primary","1","GotoAffixSpawnRow","Armor_AmmoBag_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Armor_AmmoBag_Primary,"All","0","0","False","AddAffixByFilter","Affix.Primary;Item.Armour.AmmoBag","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Armor_AmmoBag_Secondary,"All","0","0","False","AddAffixByFilter","Affix.Secondary;Item.Armour.AmmoBag","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Armor_Magic_AmmoBag,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","GotoAffixSpawnRow","Armor_AmmoBag_Primary","1","GotoAffixSpawnRow","Armor_AmmoBag_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Armor_Rare_AmmoBag,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","GotoAffixSpawnRow","Armor_AmmoBag_Primary","1","GotoAffixSpawnRow","Armor_AmmoBag_Secondary","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Armor_Legendary_AmmoBag,"All","0","0","False","GameplayTagExclude","Affix.Lifebound","1","GotoAffixSpawnRow","Armor_AmmoBag_Primary","1","GotoAffixSpawnRow","Armor_AmmoBag_Secondary","3","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Armor_Secondary,"Pick","0","0","True","AddAffixByFilter","Affix.Secondary;Affix.Defense","1","AddAffixByFilter","Affix.Secondary;Affix.NonElemental","3","AddAffixByFilter","Affix.Secondary;Affix.Hitpoints.Bonus","2","AddAffixByFilter","Affix.Secondary;Affix.Hitpoints.Regen","2","AddAffixByFilter","Affix.Secondary;Affix.Effect","1","AddAffixByFilter","Affix.Secondary;Affix.CrowdControl","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Weapon_Starter,"All","0","0","False","AddAffixByName","Damage_Physical_Newbie","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Weapon_Normal,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Damage","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Weapon_Magic,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","0","1","AddAffixByFilter","Affix.Primary;Affix.Damage","1","GotoAffixSpawnRow","Weapon_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Weapon_Rare,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","0","1","AddAffixByFilter","Affix.Primary;Affix.Damage","1","GotoAffixSpawnRow","Weapon_Secondary","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Weapon_Legendary,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Damage","1","GotoAffixSpawnRow","Weapon_Secondary","3","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Weapon_Secondary,"Pick","0","0","True","AddAffixByFilter","Affix.Secondary;Affix.Damage","1","AddAffixByFilter","Affix.Secondary;Affix.NonElemental","2","AddAffixByFilter","Affix.Secondary;Affix.Effect","2","AddAffixByFilter","Affix.Secondary;Affix.CrowdControl","1","AddAffixByFilter","Affix.Secondary;Affix.vsMonsterType","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Weapon_Normal_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Damage","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Weapon_Magic_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","AddAreaTagsToAny","0","1","AddAffixByFilter","Affix.Primary;Affix.Damage","1","GotoAffixSpawnRow","Weapon_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Weapon_Rare_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","AddAreaTagsToAny","0","1","AddAffixByFilter","Affix.Primary;Affix.Damage","1","GotoAffixSpawnRow","Weapon_Secondary","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Weapon_Electric_Magic,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","0","1","AddAffixByFilter","Affix.Primary;Affix.Damage","1","GotoAffixSpawnRow","Weapon_Electric_Magic_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Weapon_Electric_Magic_Secondary,"Pick","0","0","True","AddAffixByFilter","Affix.Secondary;Affix.Damage","2","AddAffixByFilter","Affix.Secondary;Affix.NonElemental","2","AddAffixByFilter","Affix.Secondary;Affix.Effect.Electric.Shock","3","AddAffixByFilter","Affix.Secondary;Affix.CrowdControl","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Weapon_Electric_Rare,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","0","1","AddAffixByFilter","Affix.Primary;Affix.Damage","1","GotoAffixSpawnRow","Weapon_Electric_Rare_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Weapon_Electric_Rare_Secondary,"Pick","0","0","True","GotoAffixSpawnRow","Weapon_Electric_Rare_Shock_Secondary","1","GotoAffixSpawnRow","Weapon_Electric_Rare_NoShock_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Weapon_Electric_Rare_Shock_Secondary,"All","0","0","False","GotoAffixSpawnRow","Weapon_Electric_Shock","1","GotoAffixSpawnRow","Weapon_Electric_Rare_Bolt_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Weapon_Electric_Rare_NoShock_Secondary,"All","0","0","False","GotoAffixSpawnRow","Weapon_Electric_Rare_NoBolt_Secondary","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Weapon_Electric_Rare_Bolt_Secondary,"Pick","0","0","True","AddAffixByFilter","Affix.Secondary;Affix.Damage","1","AddAffixByFilter","Affix.Secondary;Affix.NonElemental","2","GotoAffixSpawnRow","Weapon_Electric_Bolts","3","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Weapon_Electric_Rare_NoBolt_Secondary,"Pick","0","0","True","AddAffixByFilter","Affix.Secondary;Affix.Damage","1","AddAffixByFilter","Affix.Secondary;Affix.NonElemental","2","GotoAffixSpawnRow","Weapon_Electric_Shock","3","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Weapon_Electric_Shock,"All","0","0","False","AddAffixByFilter","Affix.Secondary;Affix.Effect.Electric.Shock","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Weapon_Electric_Bolts,"All","0","0","False","AddAffixByFilter","Affix.Secondary;Affix.Effect.Electric.Bolt","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None)",""
Mace_Legendary_vsVespid,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByName","Damage_Physical_Primary","1","AddAffixByName","Damage_Physical_Secondary","1","AddAffixByName","StatusEffect_Apply_Stun","1","AddAffixByName","StatusEffect_Duration_Stun","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Mace_Legendary_vsVespid_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","AddAffixByName","Damage_Physical_Primary_LifeBound","1","AddAffixByName","Damage_Physical_Secondary_LifeBound","1","AddAffixByName","StatusEffect_Apply_Stun_LifeBound","1","AddAffixByName","StatusEffect_Duration_Stun_LifeBound","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None)",""
Sword_Legendary_vsVespid,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByName","Damage_Physical_Primary","1","AddAffixByName","Damage_Physical_Secondary","1","AddAffixByName","Block_Secondary","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Sword_Legendary_vsVespid_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","AddAffixByName","Damage_Physical_Primary_LifeBound","1","AddAffixByName","Damage_Physical_Secondary_LifeBound","1","AddAffixByName","Block_Secondary_LifeBound","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Staff_Legendary_vsVespid,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByName","Damage_Physical_Primary_2H","1","AddAffixByName","Damage_Physical_Secondary","1","AddAffixByName","CriticalHit_Chance","1","AddAffixByName","CriticalHit_Chance_vsVespid","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Staff_Legendary_vsVespid_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","AddAffixByName","Damage_Physical_Primary_2H_LifeBound","1","AddAffixByName","Damage_Physical_Secondary_LifeBound","1","AddAffixByName","CriticalHit_Chance_LifeBound","1","AddAffixByName","CriticalHit_Chance_vsVespid_Lifebound","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None)",""
Staff_Legendary_Poison_01,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByName","Damage_Poison_Primary_2H","1","AddAffixByName","StatusEffect_Apply_Poison","1","AddAffixByName","StatusEffect_Duration_Poison","1","AddAffixByName","CriticalHit_Chance_vsPoison","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None)",""
GreatWeapon_Legendary_vsVespid,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByName","Damage_Fire_Primary","1","AddAffixByName","Damage_Fire_Secondary","2","AddAffixByName","HitPoints_OnKill_vsVespid","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
GreatWeapon_Legendary_vsVespid_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","AddAffixByName","Damage_Fire_Primary_LifeBound","1","AddAffixByName","Damage_Fire_Secondary_LifeBound","2","AddAffixByName","HitPoints_OnKill_vsVespid_LifeBound","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
GreatWeapon_Legendary_Physical_01,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByName","Damage_Physical_Primary_2H","1","AddAffixByName","Damage_Physical_Secondary_2H","1","AddAffixByName","AttackSpeedBonus","1","AddAffixByName","AttackSpeedBonus","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Sword_Legendary_vsGoblins,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByName","Damage_Fire_Primary","1","AddAffixByName","StatusEffect_Apply_Burn","1","AddAffixByName","StatusEffect_Duration_Burn","1","AddAffixByName","CriticalHit_Chance_vsBurn","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Sword_Legendary_vsGoblins_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","AddAffixByName","Damage_Fire_Primary_LifeBound","1","AddAffixByName","StatusEffect_Apply_Burn_LifeBound","1","AddAffixByName","StatusEffect_Duration_Burn_LifeBound","1","AddAffixByName","CriticalHit_Chance_vsBurn_LifeBound","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None)",""
Sword_Legendary_Steampunk_01,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByName","Damage_Physical_Primary","1","AddAffixByName","Damage_Physical_Secondary","1","AddAffixByName","StatusEffect_Apply_Bleed","1","AddAffixByName","StatusEffect_Duration_Bleed","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Mace_Legendary_Fire_01,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByName","Damage_Fire_Primary","1","AddAffixByName","StatusEffect_Apply_Burn","1","AddAffixByName","StatusEffect_Duration_Burn","1","AddAffixByName","CriticalHit_Chance_vsBurn","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Cannon_Legendary_RapidFire,"All","0","0","False","AddAffixByName","Damage_Physical_Primary_2H","1","AddAffixByName","Skill_Damage_Forged_RapidFire","1","AddAffixByName","StatusEffect_Apply_Knockback","1","AddAffixByName","CriticalHit_Bonus","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Cannon_Legendary_vsGoblins,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByName","Damage_Physical_Primary","1","AddAffixByName","Damage_Physical_Secondary","1","AddAffixByName","StatusEffect_Apply_Fear","1","AddAffixByName","StatusEffect_Fear_Chance_Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Cannon_Legendary_vsGoblins_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","AddAffixByName","Damage_Physical_Primary_LifeBound","1","AddAffixByName","Damage_Physical_Secondary_LifeBound","1","AddAffixByName","StatusEffect_Apply_Fear_LifeBound","1","AddAffixByName","StatusEffect_Fear_Chance_Legendary_LifeBound","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None,None)",""
Sword_Legendary_vsUndead_01,"All","0","0","False","AddAffixByName","Damage_Physical_Primary","1","AddAffixByName","SkeletonMeleeOnKill","1","AddAffixByName","StatusEffect_Apply_Fear","1","AddAffixByName","Defense_vsSkeletons_Large_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Weapon_Legendary_Electric_01,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Damage.Electric","1","AddAffixByName","AttackSpeedBonus","1","AddAffixByFilter","Affix.Secondary;Affix.Effect.Electric.Shock","1","AddAffixByName","StatusEffect_Shock_Bolts_Legendary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Weapon_Legendary_Physical_01,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Damage.Physical","1","AddAffixByName","CriticalHit_Chance","1","AddAffixByName","CriticalHit_Bonus","1","AddAffixByName","StatusEffect_Apply_Bleed","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Weapon_Legendary_Shadows_Staff_01,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Damage.Physical","1","GotoAffixSpawnRow","Weapon_Secondary","2","AddAffixByName","HitPoints_OnKill_vsChampions","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Weapon_Legendary_Fire_Sword_01,"All","0","0","False","GameplayTagExclude","Affix.Lifebound","1","AddAffixByName","Damage_Fire_Primary","1","GotoAffixSpawnRow","Weapon_Secondary","2","AddAffixByName","CriticalHit_Chance_vsGoblins","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Weapon_Legendary_Fire_Mace_01,"All","0","0","False","GameplayTagExclude","Affix.Lifebound","1","AddAffixByName","Damage_Fire_Primary","1","GotoAffixSpawnRow","Weapon_Secondary","2","AddAffixByName","CriticalHit_Chance_vsGoblins","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Weapon_Legendary_Fire_Mace_02,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAffixByName","Damage_Fire_Primary","1","AddAffixByName","StatusEffect_ApplySlow","1","AddAffixByName","StatusEffect_Apply_Stun","1","AddAffixByName","StatusEffect_Apply_Bleed","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None,None)",""
Shield_Starter,"Each","0","0","False","AddAffixByName","Defense_Physical_Large_Primary_Newbie","1","AddAffixByName","Block","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Shield_Normal,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","1","1","GotoAffixSpawnRow","Shield_Primary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Shield_Magic,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","1","1","GotoAffixSpawnRow","Shield_Primary","1","GotoAffixSpawnRow","Shield_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Shield_Rare,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","1","1","GotoAffixSpawnRow","Shield_Primary","1","GotoAffixSpawnRow","Shield_Secondary","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Shield_Legendary,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","1","1","GotoAffixSpawnRow","Shield_Primary","1","GotoAffixSpawnRow","Shield_Secondary","3","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None,None)",""
Shield_Primary,"Pick","0","0","True","GotoAffixSpawnRow","Shield_Primary_StrongDEF","1","GotoAffixSpawnRow","Shield_Primary_StrongBLK","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Shield_Primary_StrongDEF,"All","0","0","True","AddAffixByFilter","Affix.Primary;Affix.Defense.ShieldStrong","1","AddAffixByName","Block","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Shield_Primary_StrongBLK,"All","0","0","True","GameplayTagExclude","Affix.Defense.ShieldStrong","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","AddAffixByName","Block_Strong","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Shield_Normal_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","AddAffixByFilter","Affix.Primary;Affix.Block","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Shield_Magic_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","AddAffixByFilter","Affix.Primary;Affix.Block","1","GotoAffixSpawnRow","Shield_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Shield_Rare_LifeBound,"All","0","0","False","GameplayTagAll","Affix.LifeBound","1","AddAffixByName","LifeBound","1","AddAffixByFilter","Affix.Primary;Affix.Defense","1","AddAffixByFilter","Affix.Primary;Affix.Block","1","GotoAffixSpawnRow","Shield_Secondary","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Shield_Legendary_vsUndead_01,"All","0","0","False","AddAffixByName","Defense_vsSkeletons_Large_Primary","1","AddAffixByName","Block","1","AddAffixByName","SkeletonShieldOnBlock","1","AddAffixByName","SkeletonMinionCapacity","1","AddAffixByName","StatusEffect_Resist_Stun","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Shield_Secondary,"Pick","0","0","True","AddAffixByFilter","Affix.Secondary;Affix.Block","1","AddAffixByFilter","Affix.Secondary;Affix.Defense","1","AddAffixByFilter","Affix.Secondary;Affix.Hitpoints.Bonus","1","AddAffixByFilter","Affix.Secondary;Affix.Effect.Electric.Bolt","1","AddAffixByFilter","Affix.Secondary;Affix.CrowdControl","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
Focus_Starter,"Each","0","0","False","AddAffixByName","Damage_Physical_Primary_Focus_Newbie","1","AddAffixByFilter","Affix.Primary;Affix.Energy.Regen","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Focus_Normal,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","0","1","GotoAffixSpawnRow","Focus_Primary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Focus_Magic,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","0","1","GotoAffixSpawnRow","Focus_Primary","1","GotoAffixSpawnRow","Focus_Secondary","1","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None)",""
Focus_Rare,"All","0","0","False","GameplayTagExclude","Affix.LifeBound","1","AddAreaTagsToAny","0","1","GotoAffixSpawnRow","Focus_Primary","1","GotoAffixSpawnRow","Focus_Secondary","2","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","","0","None","(None,None,None)",""
