---,AffixText,AffixTextDescription,bRequiresAreas,RowType,NoPickWeight,EntryType1,Entry1,EntryTags1,WeightOrCount1,RequireQuest1,EntryType2,Entry2,EntryTags2,WeightOrCount2,RequireQuest2,EntryType3,Entry3,EntryTags3,WeightOrCount3,RequireQuest3,EntryType4,Entry4,EntryTags4,WeightOrCount4,RequireQuest4,EntryType5,Entry5,EntryTags5,WeightOrCount5,RequireQuest5,EntryType6,Entry6,EntryTags6,WeightOrCount6,RequireQuest6,EntryType7,Entry7,EntryTags7,WeightOrCount7,RequireQuest7,EntryType8,Entry8,EntryTags8,WeightOrCount8,RequireQuest8,DataCurves,Weight,OwnedGameplayTags,DungeonRequireAllTags,DungeonRequireAnyTags,DungeonExcludeAnyTags,Entries,Notes
PhaseDungeon_Act2,"NSLOCTEXT(""MapWorksTable"", ""9F55ED53420E21BF7A71E0949E0E497A"", ""Phased Boss Fight: +1 Level, +100% Lifebound Luck, Revive in Town"")","","False","Pick","0","GotoRow","Psora_Phased","(GameplayTags=)","1","","GotoRow","Krronk_Phased","(GameplayTags=)","1","","GotoRow","Sadista_Phased","(GameplayTags=)","1","A2C5Q2","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Psora_Phased,"","","False","All","0","AddAreaChain","IF2_Forest2_boss","(GameplayTags=)","1","","GotoRow","SharedChanges_Phase","(GameplayTags=)","1","","GotoRow","DisableBossArenaExit","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Krronk_Phased,"","","False","All","0","AddAreaChain","IF4_Caves2_boss","(GameplayTags=)","1","","GotoRow","SharedChanges_Phase","(GameplayTags=)","1","","GotoRow","DisableBossArenaExit","(GameplayTags=)","1","","SetProperty","BossMonsters|((RowName=""VespidCharger_Story_Boss_Mapworks""))","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Sadista_Phased,"","","False","All","0","AddAreaChain","IF5_Caves2a","(GameplayTags=)","1","","GotoRow","SharedChanges_Phase","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
PhaseDungeon_Act3,"NSLOCTEXT(""MapWorksTable"", ""454475F94A4DE07D36ED24A84233C1BE"", ""Phased Boss Fight: +1 Level, +100% Lifebound Luck, Revive in Town"")","","False","Pick","0","GotoRow","Squawkclaw_Phased","(GameplayTags=)","1","","GotoRow","Shriekbeak_Phased","(GameplayTags=)","1","","GotoRow","Ordrak_Phased","(GameplayTags=)","1","A3C4Q2","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Squawkclaw_Phased,"","","False","All","0","AddAreaChain","EM2_Exterior1a_boss","(GameplayTags=)","1","","GotoRow","SharedChanges_Phase","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Shriekbeak_Phased,"","","False","All","0","AddAreaChain","Em3_Exterior2a_boss","(GameplayTags=)","1","","GotoRow","SharedChanges_Phase","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Ordrak_Phased,"","","False","All","0","AddAreaChain","EM4_Interior3a_boss","(GameplayTags=)","1","","GotoRow","SharedChanges_Phase","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Wideload,"","","False","All","0","AddAreaChain","GF2_Caves2_gc3","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_GoblinForest","(GameplayTags=)","1","","GotoRow","Quest_Wideload","(GameplayTags=)","1","","GotoRow","RequireQuest","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Witch,"","","False","All","0","AddAreaChain","GF5_Forest2","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_GoblinForest","(GameplayTags=)","1","","GotoRow","Quest_Witch","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Kronch,"","","False","All","0","AddAreaChain","GF2_Caves1_gc1","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_GoblinForest","(GameplayTags=)","1","","GotoRow","Quest_Kronch","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Strongtusk,"","","False","All","0","AddAreaChain","GF5_Forest1a_gc3","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_GoblinForest","(GameplayTags=)","1","","GotoRow","Quest_Strongtusk","(GameplayTags=)","1","","GotoRow","RequireQuest","(GameplayTags=)","1","","GotoRow","Strongtusk_RemoveWaypoint","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Dogjockey,"","","False","All","0","AddAreaChain","GF4_Cave1_gc2","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_GoblinForest","(GameplayTags=)","1","","GotoRow","Quest_Dogjockey","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None)",""
Brall,"","","False","All","0","AddAreaChain","GF5_Cave1_gc5","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_GoblinForest","(GameplayTags=)","1","","GotoRow","Quest_Brall","(GameplayTags=)","1","","GotoRow","RequireQuest","(GameplayTags=)","1","","GotoRow","DisableBossArenaExit_1","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Krronk,"","","False","All","0","AddAreaChain","IF4_Caves1","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_HyvidForest","(GameplayTags=)","1","","GotoRow","Quest_Krronk","(GameplayTags=)","1","","GotoRow","RequireQuest","(GameplayTags=)","1","","GotoRow","DisableBossArenaExit_1","(GameplayTags=)","1","","GotoRow","Monsters_Krronk","(GameplayTags=)","1","","GotoRow","Boss_Krronk","(GameplayTags=)","1","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Boss_Krronk,"","","True","All","0","SetProperty","BossMonsters|((RowName=""VespidCharger_Story_Boss_Mapworks""))","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Psora,"","","False","All","0","AddAreaChain","IF2_Caves1","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_HyvidForest","(GameplayTags=)","1","","GotoRow","DisableBossArenaExit_1","(GameplayTags=)","1","","GotoRow","Quest_Psora","(GameplayTags=)","1","","GotoRow","RequireQuest","(GameplayTags=)","1","","GotoRow","Monsters_Psora","(GameplayTags=)","1","","GotoRow","Boss_Psora","(GameplayTags=)","1","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Boss_Psora,"","","True","All","0","SetProperty","BossMonsters|((RowName=""VespidFlier_Story_Boss_Mapworks""))","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Frackmaster2000,"","","False","All","0","AddAreaChain","IF3_Caves1","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_HyvidForest","(GameplayTags=)","1","","GotoRow","Quest_Frackmaster2000","(GameplayTags=)","1","","GotoRow","DisableBossArenaExit","(GameplayTags=)","1","","GotoRow","Monsters_Frackmaster2000","(GameplayTags=)","1","","GotoRow","Boss_Frackmaster2000","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
Boss_Frackmaster2000,"","","True","All","0","SetProperty","BossMonsters|((RowName=""Automaton_Story_Boss2_Mapworks""))","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Syzygyx,"","","False","All","0","AddAreaChain","IF1_Caves1","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_HyvidForest","(GameplayTags=)","1","","GotoRow","Quest_Syzygyx","(GameplayTags=)","1","","GotoRow","Monsters_Syzygyx","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Spinderella,"","","False","All","0","AddAreaChain","IF1_Caves2","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_HyvidForest","(GameplayTags=)","1","","GotoRow","Quest_Spinderella","(GameplayTags=)","1","","GotoRow","Monsters_Spinderella","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Sadista,"","","False","All","0","AddAreaChain","IF5_Caves2a","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_HyvidForest","(GameplayTags=)","1","","GotoRow","Quest_Sadista","(GameplayTags=)","1","","GotoRow","RequireQuest","(GameplayTags=)","1","","GotoRow","Monsters_Sadista","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Thunderthighs,"","","False","All","0","AddAreaChain","EM1_Interior2","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_EchonokMountains","(GameplayTags=)","1","","GotoRow","Quest_Thunderthighs","(GameplayTags=)","1","","GotoRow","RequireQuest","(GameplayTags=)","1","","GotoRow","Monsters_Thunderthighs","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Overcharger,"","","False","All","0","AddAreaChain","EM2_Interior1","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_EchonokMountains","(GameplayTags=)","1","","GotoRow","Quest_Overcharger","(GameplayTags=)","1","","GotoRow","Monsters_Overcharger","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Squawkclaw,"","","False","All","0","AddAreaChain","EM2_Exterior1","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_EchonokMountains","(GameplayTags=)","1","","GotoRow","Quest_Squawkclaw","(GameplayTags=)","1","","GotoRow","Monsters_Squawkclaw","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Shriekbeak,"","","False","All","0","AddAreaChain","EM3_Exterior2","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_EchonokMountains","(GameplayTags=)","1","","GotoRow","Quest_Shriekbeak","(GameplayTags=)","1","","GotoRow","RequireQuest","(GameplayTags=)","1","","GotoRow","Monsters_Shriekbeak","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Hexx,"","","False","All","0","AddAreaChain","EM4_Interior1","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_EchonokMountains","(GameplayTags=)","1","","GotoRow","Quest_Hexx","(GameplayTags=)","1","","GotoRow","Monsters_Hexx","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
Ordrak,"","","False","All","0","AddAreaChain","EM4_Interior3","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","GotoRow","AddAffixes_EchonokMountains","(GameplayTags=)","1","","GotoRow","Quest_Ordrak","(GameplayTags=)","1","","GotoRow","Monsters_Ordrak","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
SpeedRun1,"","","False","All","0","AddAreaChain","SpeedRun1","(GameplayTags=)","1","","GotoRow","SharedChanges","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
SharedChanges,"","","True","All","0","GotoRow","AdjustLevels","(GameplayTags=)","1","","SetProperty","RequiredQuestTask|None","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
SharedChanges_Phase,"","","False","All","0","GotoRow","Hardcore","(GameplayTags=)","1","","AdjustLevel","1","(GameplayTags=)","1","","SetProperty","bLifeBoundItemsOnly|true","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","",""
AdjustLevels,"","","True","PerArea","0","None","","(GameplayTags=)","0","","AdjustLevel","1","(GameplayTags=)","1","","AdjustLevel","2","(GameplayTags=)","1","","AdjustLevel","3","(GameplayTags=)","1","","AdjustLevel","3","(GameplayTags=)","1","","AdjustLevel","3","(GameplayTags=)","1","","AdjustLevel","3","(GameplayTags=)","1","","AdjustLevel","3","(GameplayTags=)","1","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
AddAffixes_Global,"","","True","All","0","AddMonsterAffixByTags","Area.Affix","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None)",""
AddAffixes_GoblinForest,"","","True","Pick","0","AddMonsterAffixByTags","Area.Affix","(GameplayTags=)","1","","AddMonsterAffixByTags","Area.Affix;Region.GoblinIsle.GoblinForest","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
AddAffixes_HyvidForest,"","","True","Pick","0","AddMonsterAffixByTags","Area.Affix","(GameplayTags=)","1","","AddMonsterAffixByTags","Area.Affix;Region.GoblinIsle.InfestedForest","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
AddAffixes_EchonokMountains,"","","True","Pick","0","AddMonsterAffixByTags","Area.Affix","(GameplayTags=)","1","","AddMonsterAffixByTags","Area.Affix;Region.RedHavenCoast.EchonokMountains","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
ItemLevelBoost,"NSLOCTEXT(""MapWorksTable"", ""ADBC4C9B4D20DA00F38F5CAA40A833D3"", ""+1 Item Level"")","","True","All","0","SetProperty","ItemLevelBonus|1","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None)",""
Hardcore,"NSLOCTEXT(""MapWorksTable"", ""E849833B471C1C2A6D35F3AC25A1A1CB"", ""Revive in Town or previous area"")","","True","All","0","SetProperty","bReviveInTown|true","(GameplayTags=)","1","","GotoRow","DisablePortal","(GameplayTags=)","1","","SetProperty","bCanReviveInPreviousArea|true","(GameplayTags=)","1","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","","(GameplayTags=)","0","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None)",""
AreaSize_Epic,"","","True","PerArea","0","SetProperty","AreaSize|2","(GameplayTags=)","1","","SetProperty","AreaSize|3","(GameplayTags=)","1","","SetProperty","AreaSize|4","(GameplayTags=)","1","","SetProperty","AreaSize|4","(GameplayTags=)","1","","SetProperty","AreaSize|4","(GameplayTags=)","1","","SetProperty","AreaSize|4","(GameplayTags=)","1","","SetProperty","AreaSize|4","(GameplayTags=)","1","","SetProperty","AreaSize|4","(GameplayTags=)","1","","None","1","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(None,None,None,None,None,None,None,None)",""
