---,DisplayName,BaseMonster,AffixString,ShouldSpawnReturnPortal,DestroyAllMonstersOnDie,ScaleMultiplier,HitpointBonusMultiplier,DamageBonusMultiplier,SpeedBonusMultiplier,ExperienceBonusMultiplier,StatusEffect,ItemSpawn,TraitString1,TraitString2,TraitString3,ItemSpawnGameplayTags,Notes
Skeleton_MeleeFire_Story_Boss,"NSLOCTEXT(""BossTable"", ""0DFAE0F3411EA811F4922782AD5D95CC"", ""Rotgord, Skull Lord"")","(RowName=""Skeleton_Melee_Fire"")","Damage;Blazing","True","True","1.350000","50.000000","1.125000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
Mossrat_Story_Boss,"NSLOCTEXT(""BossTable"", ""E1EF665A420E8A4A5026B6BF9386CA09"", ""Carrion Killer"")","(RowName=""Mossrat"")","Fast","False","False","1.500000","30.000000","1.750000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
GoblinChanter_Side_Boss,"NSLOCTEXT(""BossTable"", ""29EF6AE04E415E5EADE33A8FF97A9F6B"", ""Stinkshanks, Master of Potions"")","(RowName=""Goblin_Chanter2"")","Blazing","True","True","1.350000","20.000000","1.065000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
ZombieMelee_Rando_Boss,"NSLOCTEXT(""BossTable"", ""33A8EC754E8CADBBD65433B53B2F6984"", ""Eye-Gore"")","(RowName=""Zombie_Melee"")","Toxic","True","False","1.350000","20.000000","0.815000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
ZombieMelee_Side_Boss,"NSLOCTEXT(""BossTable"", ""742A60474DBF41701DB952B70F999EC6"", ""Rotface, the Interminable"")","(RowName=""Zombie_Melee"")","Invigorated;Damage","True","False","1.350000","12.000000","0.750000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
ZombieRanged_Rando_Boss,"NSLOCTEXT(""BossTable"", ""69C2B2B948CC21D4BBFC5AA13D3F2A41"", ""Retch the Regurgitator"")","(RowName=""Zombie_Ranged"")","Toxic","True","False","1.350000","20.000000","0.845000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
GoblinStabby_Rando_Boss,"NSLOCTEXT(""BossTable"", ""5CD8DF6645C348DAF07D6DA1940E9CE4"", ""Stabby, Taker of Men"")","(RowName=""Goblin_Stabby"")","Fast;Stun","False","False","1.350000","40.000000","2.250000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
GoblinStabby_Rando_Boss2,"NSLOCTEXT(""BossTable"", ""249654B84336CB2B15119C9C966941AE"", ""Shabby, Failure of Goblins"")","(RowName=""Goblin_Stabby"")","Nimble","True","True","1.350000","20.000000","2.125000","1.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
GoblinGunner_Rando_Boss,"NSLOCTEXT(""BossTable"", ""CB2A543B45CA681656989C80507A32D9"", ""Lazy Eye, Sniper of Pets"")","(RowName=""Goblin_Gunner"")","Knockback","False","False","1.350000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
GoblinGunner_Rando_Boss2,"NSLOCTEXT(""BossTable"", ""476FA6684696ED91B68B35AD987E5AEC"", ""Nugget, Cave Squatter"")","(RowName=""Goblin_Gunner2"")","Fast","True","False","1.350000","20.000000","0.940000","1.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
GoblinGunner_Rando_Boss3,"NSLOCTEXT(""BossTable"", ""9549D9404A9F2EC963F7E2A5452DDA99"", ""Shooty, Stockpile Guard"")","(RowName=""Goblin_Gunner2_Tough"")","Nimble","True","True","1.350000","16.000000","0.940000","1.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
GoblinBrute_Rando_Boss,"NSLOCTEXT(""BossTable"", ""098532CD45247B94A213ABA016695966"", ""Husky, Ratsmasher"")","(RowName=""Goblin_Brute"")","Immolator","True","False","1.250000","24.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
GoblinChanter_Side_Boss2,"NSLOCTEXT(""BossTable"", ""9376101345C33FFC27918385314906DE"", ""Pyro, Goblin Chieftain"")","(RowName=""Goblin_Chanter"")","Lethal","True","True","1.350000","20.000000","1.065000","0.500000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
GoblinChanter_Rando_Boss,"NSLOCTEXT(""BossTable"", ""A874318E42A6E51680914A939BED3B6B"", ""Puke, the Dirty One"")","(RowName=""Goblin_Chanter"")","Toxic","True","False","1.350000","20.000000","1.065000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
GoblinChanter_Rando_Boss2,"NSLOCTEXT(""BossTable"", ""65C9F59C4D3EEF0D6EFA719C5E2F3F30"", ""Deadmaster Retchbreath"")","(RowName=""Goblin_Chanter2"")","Fast","True","False","1.350000","30.000000","0.800000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_Retchbreath.StatusEffect_MiniBoss_Retchbreath_C","Boss","KnockbackResistance=1","","","None",""
GoblinChanter_Rando_Boss3,"NSLOCTEXT(""BossTable"", ""6D9253DB4BB979C81B2F259F18F6DB89"", ""Soulkeeper"")","(RowName=""Goblin_Chanter"")","Lethal","True","True","1.350000","20.000000","0.815000","1.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
GoblinBrute_RandoBoss2,"NSLOCTEXT(""BossTable"", ""842A26274B19BEE088FC5B843313E4A8"", ""Chunk, Burninator"")","(RowName=""Goblin_Brute"")","Blazing","True","False","1.250000","24.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
GoblinEngineer_Rando_Boss,"NSLOCTEXT(""BossTable"", ""4F1B0CCD439BF066117ED89CA3925DA6"", ""Roughboy, the Troublemaker"")","(RowName=""Goblin_Engineer"")","Immolator","True","False","1.250000","24.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
GoblinRiderBeast_Rando_Boss,"NSLOCTEXT(""BossTable"", ""CB0D149D4723A52AC3A48FAF144A876F"", ""Hungry Hound"")","(RowName=""Goblin_RiderBeast"")","Damage","True","True","1.350000","24.000000","0.790000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
GoblinRiderBeast_Rando_Boss2,"NSLOCTEXT(""BossTable"", ""8229308D4EAB98D79D5EE4AA505ACC68"", ""Slobberjaw, Rabid Goblin Hound"")","(RowName=""Goblin_RiderBeast"")","Stun","True","True","1.500000","24.000000","0.790000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
VespidCharger_Story_Boss,"NSLOCTEXT(""BossTable"", ""91D065834881116E65ED3C988E6624D9"", ""Krronk"")","(RowName=""Vespid_Charger_Boss"")","Knockback","True","True","2.000000","20.000000","1.125000","0.000000","24.000000","/Game/Monsters/Blueprints/KrronkBoss/StatusEffect_MonsterBoss_VspCharger.StatusEffect_MonsterBoss_VspCharger_C","VespidCharger_Story_Boss_Drop","KnockbackResistance=1","","","None",""
VespidCharger_Competitive_Boss,"NSLOCTEXT(""BossTable"", ""3E167C1D48E5A8EC014F1CA8C7A72834"", ""Krrank"")","(RowName=""Vespid_Charger_Boss"")","Knockback;Toxic","True","True","2.000000","20.000000","1.125000","0.000000","24.000000","/Game/Monsters/Blueprints/KrronkBoss/StatusEffect_MonsterBoss_VspCharger_Competitive.StatusEffect_MonsterBoss_VspCharger_Competitive_C","Boss","KnockbackResistance=1","","","None",""
VespidCharger_Rando_Boss,"NSLOCTEXT(""BossTable"", ""3666EF0F4B2FDC5A0220D3A6D8782F80"", ""Dozer"")","(RowName=""Vespid_Charger_Boss"")","Lethal","True","True","2.000000","20.000000","1.125000","0.000000","24.000000","/Game/Monsters/Blueprints/KrronkBoss/StatusEffect_MonsterBoss_VspCharger.StatusEffect_MonsterBoss_VspCharger_C","VespidCharger_Story_Boss_Drop","KnockbackResistance=1","","","None",""
VespidCharger_Rando_Boss2,"NSLOCTEXT(""BossTable"", ""87FF4D054865E7B71F0FAE8046917CC4"", ""Krromp the Stomper"")","(RowName=""Vespid_Charger_Boss"")","Toxic","True","True","2.000000","20.000000","1.125000","0.000000","24.000000","/Game/Monsters/Blueprints/KrronkBoss/StatusEffect_MonsterBoss_VspCharger.StatusEffect_MonsterBoss_VspCharger_C","VespidCharger_Story_Boss_Drop","KnockbackResistance=1","","","None",""
VespidGuardian_Story_Boss,"NSLOCTEXT(""BossTable"", ""D3A823694DF522263D7DD896E0A79543"", ""Krru\'sha, Hyvid Queen"")","(RowName=""Vespid_Guardian"")","Toxic;Lethal","True","True","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None","Placeholder until we have the real queen."
VespidGuardian_Rando_Boss,"NSLOCTEXT(""BossTable"", ""3499404344758EA7E1D09C8606169A29"", ""Kri-lick, the Creator"")","(RowName=""Vespid_Guardian"")","Knockback","True","False","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
VespidGuardian_Rando_Boss2,"NSLOCTEXT(""BossTable"", ""D176A8F24F6657CA449799857A2E314F"", ""Shrree"")","(RowName=""Vespid_Guardian"")","Fast","True","False","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
VespidGuardian_Rando_Boss3,"NSLOCTEXT(""BossTable"", ""1837BAFF4DB5D4C99E292285161A70D7"", ""Shrill, the Spewer"")","(RowName=""Vespid_Guardian"")","Stun","True","False","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
VespidGuardian_Rando_Boss4,"NSLOCTEXT(""BossTable"", ""715AD15142B888FE41E662AF59DC3FAC"", ""Kahtalhin"")","(RowName=""Vespid_Guardian"")","Lethal","True","False","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
VespidGuardian_Rando_Boss5,"NSLOCTEXT(""BossTable"", ""71B41CDD494FF49E1BC25CBDCCCE356A"", ""Kerkz"")","(RowName=""Vespid_Guardian"")","Damage","True","False","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
VespidFlier_Rando_Boss,"NSLOCTEXT(""BossTable"", ""CE6150344B8396A4212FE19F58EA9033"", ""Skryck, the Spitter"")","(RowName=""Vespid_Flier"")","Fast;Knockback","True","False","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
VespidFlier_Rando_Boss2,"NSLOCTEXT(""BossTable"", ""CB6FB10D4E5EBC9D97F6BE849F55DA79"", ""Swyrt, the Stinger"")","(RowName=""Vespid_Flier"")","Fast;Toxic","True","False","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
VespidFlier_Rando_Boss3,"NSLOCTEXT(""BossTable"", ""A7F91EAC4C9020A51CCC39991EB45B3E"", ""Szak"")","(RowName=""Vespid_Flier"")","Lethal","True","False","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
VespidFlier_Rando_Boss4,"NSLOCTEXT(""BossTable"", ""A073F12D47DE919636EF17A1D4CAE7EB"", ""Szarya"")","(RowName=""Vespid_Flier"")","Noxious","True","False","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
VespidFlier_Rando_Boss5,"NSLOCTEXT(""BossTable"", ""E109DD404939328275D3E59B3B0F2386"", ""S\'zilick"")","(RowName=""Vespid_Flier"")","Damage","True","False","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
VespidSoldier_Story_Boss,"NSLOCTEXT(""BossTable"", ""380BD6594E7A7B03276E7081BE2FC942"", ""Szip, the Slicer"")","(RowName=""Vespid_Soldier"")","Lethal","True","True","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Boss.StatusEffect_Boss_C","Boss","KnockbackResistance=1","","","None","Possibly swap out when we have the spider boss."
VespidSoldier_Story_Boss2,"NSLOCTEXT(""BossTable"", ""0DED0B634189EEAE3839CC9B5332653B"", ""Klatz"")","(RowName=""Vespid_Soldier"")","Lethal","True","True","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Boss.StatusEffect_Boss_C","Boss","KnockbackResistance=1","","","None","Placeholder until we have the spider boss."
VespidSoldier_Rando_Boss,"NSLOCTEXT(""BossTable"", ""56FCC74C4BFA475ED970EFB1E5E6B1F1"", ""Klack"")","(RowName=""Vespid_Soldier"")","Toxic","True","False","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
VespidSoldier_Rando_Boss2,"NSLOCTEXT(""BossTable"", ""0CBB0A914CA2444F2A03F484D7CA6D8E"", ""Klick"")","(RowName=""Vespid_Soldier"")","Fast","True","False","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
VespidSoldier_Rando_Boss3,"NSLOCTEXT(""BossTable"", ""E04E3EE744C8981F0B45458204A8B840"", ""R\'zir"")","(RowName=""Vespid_Soldier"")","Lethal","True","False","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
VespidSoldier_Rando_Boss4,"NSLOCTEXT(""BossTable"", ""77A1305C4BBDE2FCBDBCB3A456591EF9"", ""S\'zir"")","(RowName=""Vespid_Soldier"")","Nimble","True","False","1.500000","20.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
VespidFlier_Story_Boss,"NSLOCTEXT(""BossTable"", ""7B30F8084D5302C1E3DBEF99C3134986"", ""Psora"")","(RowName=""Vespid_Flier_Boss"")","Fast","True","True","2.000000","20.000000","0.940000","1.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Boss.StatusEffect_Boss_C","Boss","KnockbackResistance=1","","","None",""
GoblinStabby_Story,"NSLOCTEXT(""BossTable"", ""87256DAB4113354DE9C71CA8A07C6936"", ""Stickyfinga, Goblin Trader"")","(RowName=""Goblin_Stabby"")","Fast;Lethal","True","False","1.350000","20.000000","2.250000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
ShadowBeast_Story_Boss,"NSLOCTEXT(""BossTable"", ""FDE07DE243FD9EA6D79BDA8711A0AF91"", ""Darkspell, Spawn of the Well"")","(RowName=""Shadowbeast"")","Nimble, Lethal","True","False","1.000000","24.000000","0.940000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
StoneElemental_Story_Boss,"NSLOCTEXT(""BossTable"", ""5EA617F243E544B969F69B9EFE7D1B19"", ""Kronch, Stone Guardian"")","(RowName=""Stone_Elemental"")","Knockback","True","True","2.000000","6.000000","0.625000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Boss.StatusEffect_Boss_C","Boss","KnockbackResistance=1","","","None",""
Alpaca_Side_Boss,"NSLOCTEXT(""BossTable"", ""1ADB0A21422AD15B1ADDC2AFFEB944DA"", ""Queen of Alpacas"")","(RowName=""Alpaca_Menacer"")","Knockback;Damage","True","False","1.350000","6.000000","0.940000","1.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
SkeletonMelee_Rando_Boss,"NSLOCTEXT(""BossTable"", ""CE5C71B64FFF9C37214BEE9200D69970"", ""Darkspell, Spawn of the Well"")","(RowName=""Skeleton_Melee"")","Lethal;Knockback","True","False","1.350000","20.000000","0.845000","1.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
VarkeninBrute_Story_Boss,"NSLOCTEXT(""BossTable"", ""904E1C7A42ED64F45EC769A2BABBC42A"", ""Strongtusk, Netherim Thrall"")","(RowName=""Varkenin_Brute_Boss"")","Health","True","True","1.350000","24.000000","0.875000","2.000000","24.000000","/Game/Monsters/Blueprints/StrongtuskBoss/StatusEffect_Boss_Strongtusk.StatusEffect_Boss_Strongtusk_C","Boss","KnockbackResistance=1","","","None",""
Netherling_Story_Boss,"NSLOCTEXT(""BossTable"", ""2E8D5F034ADBDACFB50106AAACB8D60A"", ""Oogly the Googly"")","(RowName=""Netherling"")","Lethal","True","True","1.500000","120.000000","2.500000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None","Placeholder until we have the Netherbrute or Shadowbeast."
Netherling_Rando_Boss,"NSLOCTEXT(""BossTable"", ""E2ECCEC24DACEE0CC54024BA0021D62D"", ""Teethling the Devourer"")","(RowName=""Netherling"")","Fast","True","False","1.500000","120.000000","2.500000","0.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_MiniBoss_EndCap.StatusEffect_MiniBoss_EndCap_C","Boss","KnockbackResistance=1","","","None",""
GoblinStabby_Story_Boss,"NSLOCTEXT(""BossTable"", ""4DD67D5E4339C456FE6DED8EEBD6C445"", ""Yapper, Goblin Raider"")","(RowName=""Goblin_Stabby_Yapper"")","","False","True","0.000000","10.000000","2.250000","0.000000","45.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Yapper.StatusEffect_Champion_Yapper_C","Champion","KnockbackResistance=1","","","None",""
VespidCharger_Rando_Boss3,"NSLOCTEXT(""BossTable"", ""488E45654F04853170C3B4A3818661A9"", ""Krrump the Crusher"")","(RowName=""Vespid_Charger_Boss"")","Health","True","False","2.000000","20.000000","1.125000","0.000000","24.000000","/Game/Monsters/Blueprints/KrronkBoss/StatusEffect_MonsterBoss_VspCharger.StatusEffect_MonsterBoss_VspCharger_C","Boss","KnockbackResistance=1","","","None",""
Skeleton_MeleePoison_Rando_Boss,"NSLOCTEXT(""BossTable"", ""FB19E08848F251E25924BC92B196DC04"", ""Rotten Guardsman"")","(RowName=""Skeleton_Melee_Poison"")","Lethal","False","False","1.350000","20.000000","0.845000","1.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Champion_Unique.StatusEffect_Champion_Unique_C","Boss","KnockbackResistance=1","","","None",""
Mimic_TreasureChest_Rando_Boss,"NSLOCTEXT(""BossTable"", ""57CEBD6948B01D525EA061AB1917D7CE"", ""Lockjaw, Vengeance Chest"")","(RowName=""Mimic_TreasureChest"")","Fast","True","False","1.000000","20.000000","1.125000","1.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Boss.StatusEffect_Boss_C","Boss","KnockbackResistance=1","","","None","DQ_CursedCoin"
VarkeninBrute_Rando_Boss,"NSLOCTEXT(""BossTable"", ""E115156A444872CF52D58BA9B39533BC"", ""Pigface"")","(RowName=""Varkenin_Brute"")","Lethal","False","False","1.000000","24.000000","1.125000","1.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Boss.StatusEffect_Boss_C","Boss","KnockbackResistance=1","","","None","DQ_WhatABoar"
SkeletonShield_Rando_Boss2,"NSLOCTEXT(""BossTable"", ""00A06D5E4426FC46D4048DB4A0B6B1B6"", ""Nadir"")","(RowName=""Skeleton_Shield"")","Toxic","True","False","1.350000","20.000000","1.125000","1.000000","24.000000","/Game/Monsters/Blueprints/StatusEffect_Boss.StatusEffect_Boss_C","Boss","KnockbackResistance=1","","","None","DQ_WritingsOnTheWall"
