---,MinLevel,MaxLevel,DropWeight,MaxCount,TextFormat,ItemTextFormat,bIsPrimaryAffix,TraitType,AffixGameplayTags,AffixCurveValue1,AffixCurveValue2,AffixCurveValue3,AffixCurveValue4,AffixCurveValue5,AffixCurveValue6,TraitString,Normal,Magic,Rare,Legendary,Unique,TextOnDrop,Notes
CriticalHit_Bonus_Armor,"1.000000","100.000000","200","0","NSLOCTEXT(""AffixTable"", ""6FC68E1947308CB3DCB3A397A5E7DD41"", ""+{0%}% bonus to Critical Damage"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Chest;Item.Armour.Shoulders;Item.Armour.Boots;Item.Armour.Hatch;Item.Armour.AmmoBag;Item.Pet.Tag","CritBonusDamage","None","None","None","None","None","CriticalDamageBonus","","0.4-0.9","0.75-1.2","1-1.5","","",""
CriticalHit_Bonus_Armor_LifeBound,"1.000000","100.000000","200","0","NSLOCTEXT(""AffixTable"", ""6FC68E1947308CB3DCB3A397A5E7DD41"", ""+{0%}% bonus to Critical Damage"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Chest;Item.Armour.Shoulders;Item.Armour.Boots;Item.Armour.Hatch;Item.Armour.AmmoBag;Item.Pet.Tag;Affix.LifeBound","CritBonusDamage","None","None","None","None","None","CriticalDamageBonus","0.4-0.9","0.75-1.2","1-1.5","","","",""
CriticalHit_Bonus_LifeBound,"1.000000","100.000000","200","0","NSLOCTEXT(""AffixTable"", ""6FC68E1947308CB3DCB3A397A5E7DD41"", ""+{0%}% bonus to Critical Damage"")","NSLOCTEXT(""AffixTable"", ""96800F7C485D2EDBE0DD118179AC8151"", ""{0} of Power"")","False","Weapon","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Affix.LifeBound;Item.Weapon.Cannon","CritBonusDamage","None","None","None","None","None","CriticalDamageBonus","1-1.6","1.37-2.35","2.05-3","","","",""
CriticalHit_Chance,"1.000000","100.000000","400","0","NSLOCTEXT(""AffixTable"", ""2B9A08134E3C6C262B6798808DD06676"", ""+{0%}% Critical Hit chance"")","NSLOCTEXT(""AffixTable"", ""81AC2FC1403D4D130C0D27A5F45E84A7"", ""{0} of Precision"")","False","Weapon","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Weapon.Cannon","CritChance","None","None","None","None","None","CriticalHitChance",".6-1","1.2-2.25","2.05-2.5","2.35-3.2","","",""
CriticalHit_Chance_Armor,"1.000000","100.000000","400","0","NSLOCTEXT(""AffixTable"", ""2B9A08134E3C6C262B6798808DD06676"", ""+{0%}% Critical Hit chance"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Helm;Item.Armour.Shoulders;Item.Armour.AmmoBag;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChance","","0.5-1","0.8-1.4","1.2-1.6","","",""
CriticalHit_Chance_Armor_LifeBound,"1.000000","100.000000","400","0","NSLOCTEXT(""AffixTable"", ""2B9A08134E3C6C262B6798808DD06676"", ""+{0%}% Critical Hit chance"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Helm;Item.Armour.Shoulders;Item.Armour.AmmoBag;Item.Pet.Tag;Affix.LifeBound","CritChance","None","None","None","None","None","CriticalHitChance","0.5-1","0.8-1.4","1.2-1.6","","","",""
CriticalHit_Chance_LifeBound,"1.000000","100.000000","400","0","NSLOCTEXT(""AffixTable"", ""2B9A08134E3C6C262B6798808DD06676"", ""+{0%}% Critical Hit chance"")","NSLOCTEXT(""AffixTable"", ""81AC2FC1403D4D130C0D27A5F45E84A7"", ""{0} of Precision"")","False","Weapon","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Affix.LifeBound;Item.Weapon.Cannon","CritChance","None","None","None","None","None","CriticalHitChance","1.2-2.25","2.05-2.5","2.35-3.2","","","",""
CriticalHit_Chance_vsBleed,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""6F846EA6498D1B6773AEF3B7E2FB3318"", ""+{0%}% Critical Hit chance vs. Bleeding targets"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Bleed","","","","4.0-6.0","","","Legendary Secondary"
CriticalHit_Chance_vsBurn,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""E17E579B4867436888B04CA5C9B67B6B"", ""+{0%}% Critical Hit chance vs. Burning targets"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Burn","","","","4.0-6.0","","","Legendary Secondary"
CriticalHit_Chance_vsBurn_LifeBound,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""E17E579B4867436888B04CA5C9B67B6B"", ""+{0%}% Critical Hit chance vs. Burning targets"")","","False","Default","None","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Burn","","","","4.8-7.2","","","Legendary Secondary"
CriticalHit_Chance_vsChilled,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""C9A78F76472C4669B62969AEF89EE3F7"", ""+{0%}% Critical Hit chance vs. Chilled targets"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Chilled","","","","4.0-6.0","","","Legendary Secondary"
CriticalHit_Chance_vsFear,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""79BFD9DE4D197CB390CB1295CC3B9E13"", ""+{0%}% Critical Hit chance vs. Feared targets"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Fear","","","","7.0-8.0","","","Legendary Secondary"
CriticalHit_Chance_vsFrozen,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""BE43E987477F903F49ECB0BC60FAD39A"", ""+{0%}% Critical Hit chance vs. Frozen targets"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Frozen","","","","","","","Legendary Secondary"
CriticalHit_Chance_vsGoblins,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""764D8666419B8B1648FDF3B7638A3482"", ""+{0%}% Critical Hit chance vs. Goblins"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Goblin","","","","3.0-5.0","","","Legendary Secondary"
CriticalHit_Chance_vsImmobilize,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""DC04F27144924889460147B25600CDB4"", ""+{0%}% Critical Hit chance vs. Immobilized targets"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Immobilize","","","","4.0-6.0","","","Legendary Secondary"
CriticalHit_Chance_vsNetherim,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""B776E07C4C66A2AC0D3BC4B99893079C"", ""+{0%}% Critical Hit chance vs. Netherim"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Netherim","","","","3.0-5.0","","","Legendary Secondary"
CriticalHit_Chance_vsPoison,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""3BF8AC9A457738A236DA54BE7E69FAC9"", ""+{0%}% Critical Hit chance vs. Poisoned targets"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Poison","","","","4.0-6.0","","","Legendary Secondary"
CriticalHit_Chance_vsShock,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""B3DAF9C045EA741EA2A614A79786F87C"", ""+{0%}% Critical Hit chance vs. Shocked targets"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Shock","","","","4.0-6.0","","","Legendary Secondary"
CriticalHit_Chance_vsSlow,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""49ED612B4D59A2E886E8698CEF17C229"", ""+{0%}% Critical Hit chance vs. Slowed targets"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Fear","","","","4.0-6.0","","","Legendary Secondary"
CriticalHit_Chance_vsStunned,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""A1D4187442B6C6495AE127B5E07A6E80"", ""+{0%}% Critical Hit chance vs. Stunned targets"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|StatusEffect.Stunned","","","","","","","Legendary Secondary"
CriticalHit_Chance_vsUndead,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""4C8941274CB8613EA790C890009938F4"", ""+{0%}% Critical Hit chance vs. Undead"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Undead","","","","3.0-5.0","","","Legendary Secondary"
CriticalHit_Chance_vsVespid,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""815FA248483D394DC922939165E33565"", ""+{0%}% Critical Hit chance vs. Hyvid"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Weapon.1H;Item.Weapon.2H;Item.Weapon.Focus;Item.Armour.Gloves;Item.Pet.Tag","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Vespid","","","","3.0-5.0","","","Legendary Secondary"
CriticalHit_Chance_vsVespid_Lifebound,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""815FA248483D394DC922939165E33565"", ""+{0%}% Critical Hit chance vs. Hyvid"")","","False","Default","None","CritChance","None","None","None","None","None","CriticalHitChanceVs|Character.Monster.Vespid","","","","3.6-6.0","","","Legendary Secondary"
CriticalHit_Damage_vsGoblins,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""CD095F574E6A13F95226E893F395D8ED"", ""+{0%}% Critical Damage vs Goblins"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Shoulders;Item.Armour.AmmoBag;Item.Pet.Tag","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Goblin","","","","3.8-4.1","","","Legendary Secondary"
CriticalHit_Damage_vsNetherim,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""34766A87486CCD2C4833A3A12D208BC9"", ""+{0%}% Critical Damage vs Netherim"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Shoulders;Item.Armour.AmmoBag;Item.Pet.Tag","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Netherim","","","","3.8-4.1","","","Legendary Secondary"
CriticalHit_Damage_vsUndead,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""6452FA084BBC379BA3713E9836E6FC7C"", ""+{0%}% Critical Damage vs Undead"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Shoulders;Item.Armour.AmmoBag;Item.Pet.Tag","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Undead","","","","3.8-4.1","","","Legendary Secondary"
CriticalHit_Damage_vsVespid,"10.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""B40DC86B44560004F01132ADFDDD0545"", ""+{0%}% Critical Damage vs Hyvid"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Shoulders;Item.Armour.AmmoBag;Item.Pet.Tag","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|Character.Monster.Vespid","","","","3.8-4.1","","","Legendary Secondary"
CriticalHit_vsChilled_vsFrozen,"1.000000","100.000000","0","0","NSLOCTEXT(""AffixTable"", ""3A356FC641F3869CD8C66486986DB501"", ""+{0%}% Critical vs. Chilled targets and +{1%}% Critical vs. Frozen targets"")","","False","Default","Affix.Secondary;Affix.NonElemental;Item.Armour.Shoulders;Item.Armour.AmmoBag;Item.Pet.Tag","CritBonusDamage","None","None","None","None","None","CriticalDamageBonusVs|StatusEffect.Chilled;CriticalDamageBonusVs|StatusEffect.Frozen","","","","","","",""
Damage_Electric_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""701209A447B4DCA535C5659B2621B6C2"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""A2FF7AD34B04EA30D3E8B89E83C8B64B"", ""Voltaic {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.1H;Item.Pet.Tag","Damage","None","None","None","None","None","Damage|Element.Electric","0.77-1.19","0.98-1.33","1.26-1.47","1.85-2.1","","",""
Damage_Electric_Primary_2H,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""58B2480440440AEE67BAF1A5DC5E8D92"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""43A7AF124D24B53B817F3291F4EB637E"", ""Voltaic {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Electric","1.1-1.7","1.4-1.9","1.8-2.1","2.64-3","","",""
Damage_Electric_Primary_2H_LifeBound,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""58B2480440440AEE67BAF1A5DC5E8D92"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""DC85FC57433FF6E2E6D9A3B4AAD60151"", ""Phasic Voltaic {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.2H;Affix.LifeBound;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Electric","1.32-2.04","1.68-2.28","2.16-2.52","2.64-3","","",""
Damage_Electric_Primary_Focus,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""701209A447B4DCA535C5659B2621B6C2"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""A2FF7AD34B04EA30D3E8B89E83C8B64B"", ""Voltaic {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.Global","Damage","None","None","None","None","None","Damage|Element.Electric","0.31-0.48","0.39-0.53","0.5-0.59","0.74-0.84","","",""
Damage_Electric_Primary_Focus_LifeBound,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""701209A447B4DCA535C5659B2621B6C2"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""CE39B4F74028569B399EF8923C63CDA9"", ""Phasic Voltaic {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.Global;Affix.LifeBound","Damage","None","None","None","None","None","Damage|Element.Electric","0.37-0.58","0.47-0.64","0.6-0.71","0.74-0.84","","",""
Damage_Electric_Primary_Focus_Strong,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""701209A447B4DCA535C5659B2621B6C2"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""A2FF7AD34B04EA30D3E8B89E83C8B64B"", ""Voltaic {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.Global;Affix.DamageFocusStrong","Damage","None","None","None","None","None","Damage|Element.Electric","0.37-0.58","0.47-0.64","0.6-0.71","0.88-1.0","","",""
Damage_Electric_Primary_Focus_Strong_LifeBound,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""701209A447B4DCA535C5659B2621B6C2"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""CE39B4F74028569B399EF8923C63CDA9"", ""Phasic Voltaic {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.Global;Affix.DamageFocusStrong;Affix.LifeBound","Damage","None","None","None","None","None","Damage|Element.Electric","0.44-0.70","0.56-0.77","0.72-0.85","0.88-1.0","","",""
Damage_Electric_Primary_LifeBound,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""701209A447B4DCA535C5659B2621B6C2"", ""{0} Electric Damage"")","NSLOCTEXT(""AffixTable"", ""7973CBC14FE78950C60BA4B50B1DE1E2"", ""Phasic Voltaic {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.1H;Item.Pet.Tag;Affix.LifeBound","Damage","None","None","None","None","None","Damage|Element.Electric","0.92-1.43","1.18-1.6","1.51-1.76","1.85-2.1","","",""
Damage_Electric_Secondary,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""01848DD74928704EC705638CC42C02A6"", ""+{0} Electric Damage"")","","False","Weapon","Affix.Secondary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.1H;Item.Weapon.Focus;Item.Pet.Tag;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Chest","Damage","None","None","None","None","None","Damage|Element.Electric","0.19-0.3","0.25-0.33","0.32-0.37","0.47-0.53","","",""
Damage_Electric_Secondary_2H,"1.000000","100.000000","100","2","NSLOCTEXT(""AffixTable"", ""01848DD74928704EC705638CC42C02A6"", ""+{0} Electric Damage"")","","False","Weapon","Affix.Secondary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Electric","0.19-0.3","0.25-0.33","0.32-0.37","0.47-0.53","","",""
Damage_Electric_Secondary_2H_LifeBound,"1.000000","100.000000","100","2","NSLOCTEXT(""AffixTable"", ""01848DD74928704EC705638CC42C02A6"", ""+{0} Electric Damage"")","","False","Weapon","Affix.Secondary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.2H;Affix.LifeBound;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Electric","0.23-0.36","0.3-0.4","0.38-0.44","0.47-0.53","","",""
Damage_Electric_Secondary_LifeBound,"1.000000","100.000000","100","1","NSLOCTEXT(""AffixTable"", ""01848DD74928704EC705638CC42C02A6"", ""+{0} Electric Damage"")","","False","Weapon","Affix.Secondary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Electric;Item.Weapon.1H;Item.Weapon.Focus;Affix.LifeBound;Item.Armour.Pants;Item.Armour.Locomotion;Item.Armour.Chest","Damage","None","None","None","None","None","Damage|Element.Electric","0.23-0.36","0.3-0.4","0.38-0.44","0.47-0.53","","",""
Damage_Fire_Primary,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""9B9D14A54B0055CD11E61BADB5744510"", ""{0} Fire Damage"")","NSLOCTEXT(""AffixTable"", ""164243E94F3504B72F8D17BE4406DCF2"", ""Blazing {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Fire;Item.Weapon.1H;Item.Pet.Tag","Damage","None","None","None","None","None","Damage|Element.Fire","0.77-1.19","0.98-1.33","1.26-1.47","1.85-2.1","","",""
Damage_Fire_Primary_2H,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""148F502E4A9B5096A37E59A47E95D65B"", ""{0} Fire Damage"")","NSLOCTEXT(""AffixTable"", ""FDC250524DADC538511449AE549E210A"", ""Blazing {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Fire;Item.Weapon.2H;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Fire","1.1-1.7","1.4-1.9","1.8-2.1","2.64-3","","",""
Damage_Fire_Primary_2H_LifeBound,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""148F502E4A9B5096A37E59A47E95D65B"", ""{0} Fire Damage"")","NSLOCTEXT(""AffixTable"", ""5C1D923748575D53FAE5AA847B74A73C"", ""Phasic Blazing {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Global;Affix.Damage.Global;Affix.Damage.Fire;Item.Weapon.2H;Affix.LifeBound;Item.Weapon.Cannon","Damage","None","None","None","None","None","Damage|Element.Fire","1.32-2.04","1.68-2.28","2.16-2.52","2.64-3","","",""
Damage_Fire_Primary_Focus,"1.000000","100.000000","100","0","NSLOCTEXT(""AffixTable"", ""B6701CA54A7FC8929362E49BAC60D1C0"", ""{0} Fire Damage"")","NSLOCTEXT(""AffixTable"", ""71E5F4D94E19698FA1ED03AA031D3623"", ""Blazing {0}"")","True","Weapon","Affix.Primary;Item.Weapon.Focus;Affix.Damage.Global;Affix.Damage.Fire;Item.Weapon.Global","Damage","None","None","None","None","None","Damage|Element.Fire","0.31-0.48","0.39-0.53","0.5-0.59","0.74-0.84","","",""
