---,StatusEffect,Weight,MinimumMonsterLevel,MaximumMonsterLevel,AreaApplyPercent,RequireSpokeTags,RequireAny,RequireAll,ExcludeAny,Notes
Invigorated,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Invigorated.StatusEffect_MonsterAffix_Invigorated_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Health,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Health.StatusEffect_MonsterAffix_Health_C","100","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=((TagName=""Character.Monster.Champion""),(TagName=""Character.Monster.HighHealth"")))",""
Blazing,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/Blazing/StatusEffect_MonsterAffix_Blazing.StatusEffect_MonsterAffix_Blazing_C","100","0.000000","0.000000","1.000000","(GameplayTags=((TagName=""Region.GoblinIsle.GoblinForest"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Boss""),(TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Champion.Unique"")))","(GameplayTags=((TagName=""Character.Monster.Championable.Solo"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Champion""),(TagName=""Character.Monster.Champion.Minion"")))",""
Blazing_Area,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/Blazing/StatusEffect_MonsterAffix_Blazing.StatusEffect_MonsterAffix_Blazing_C","100","0.000000","0.000000","0.300000","(GameplayTags=((TagName=""Region.GoblinIsle.GoblinForest"")))","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=((TagName=""Character.Monster.Champion"")))",""
Immolator,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Immolator.StatusEffect_MonsterAffix_Immolator_C","0","0.000000","0.000000","1.000000","(GameplayTags=((TagName=""Region.GoblinIsle.GoblinForest"")))","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=)",""
Noxious,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Noxious.StatusEffect_MonsterAffix_Noxious_C","0","0.000000","0.000000","1.000000","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=)",""
Toxic,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Toxic.StatusEffect_MonsterAffix_Toxic_C","0","0.000000","0.000000","1.000000","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=)",""
FireDefense,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffixFireDefense.StatusEffect_MonsterAffixFireDefense_C","0","0.000000","0.000000","1.000000","(GameplayTags=((TagName=""Region.GoblinIsle.GoblinForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
PoisonDefense,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffixPoisonDefense.StatusEffect_MonsterAffixPoisonDefense_C","0","0.000000","0.000000","1.000000","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
PotionDropper,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_Monster_PotionDropper.StatusEffect_Monster_PotionDropper_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
AntidoteDropper,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_Monster_AntidotePotionDropper.StatusEffect_Monster_AntidotePotionDropper_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Testing_HyvidTier1Difficulty,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_HyvidTier1Difficulty.StatusEffect_HyvidTier1Difficulty_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Testing_HyvidTier2Difficulty,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_HyvidTier2Difficulty.StatusEffect_HyvidTier2Difficulty_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Testing_HyvidTier3Difficulty,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_HyvidTier3Difficulty.StatusEffect_HyvidTier3Difficulty_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Enraging,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffixEnraging.StatusEffect_MonsterAffixEnraging_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Dividing,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/Divider/StatusEffect_MonsterAffixDividing.StatusEffect_MonsterAffixDividing_C","0","0.000000","0.000000","0.500000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
CorpseEater,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffixCorpseEater.StatusEffect_MonsterAffixCorpseEater_C","0","0.000000","0.000000","0.200000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Cloaked,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Cloaked.StatusEffect_MonsterAffix_Cloaked_C","0","0.000000","0.000000","0.200000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Sustaining,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Stasis.StatusEffect_MonsterAffix_Stasis_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
GravityWell,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_GravityWell.StatusEffect_MonsterAffix_GravityWell_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Championable"")))","(GameplayTags=)",""
GravityWell_Area,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_GravityWell_Area.StatusEffect_MonsterAffix_GravityWell_Area_C","100","0.000000","0.000000","0.600000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=((TagName=""Character.Monster.Champion"")))",""
Repulsor,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_Repulsor.StatusEffect_MonsterAffix_Repulsor_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
ShadowThrall,"/Game/Skills/Blueprints/Monsters/Affixes/StatusEffect_MonsterAffix_ShadowThrall.StatusEffect_MonsterAffix_ShadowThrall_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
PackDeathPoison,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/AcidicEnd/StatusEffect_MonsterAffix_PackEndPoison.StatusEffect_MonsterAffix_PackEndPoison_C","100","0.000000","0.000000","1.000000","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Minion""),(TagName=""Character.Monster.Champion.Champion"")))","(GameplayTags=((TagName=""Character.Monster.Championable.Pack"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Boss""),(TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Champion.Unique"")))",""
PackDeathFire,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/ExplosiveEnd/StatusEffect_MonsterAffix_PackEndFire.StatusEffect_MonsterAffix_PackEndFire_C","100","0.000000","0.000000","1.000000","(GameplayTags=((TagName=""Region.GoblinIsle.GoblinForest"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Minion""),(TagName=""Character.Monster.Champion.Champion"")))","(GameplayTags=((TagName=""Character.Monster.Championable.Pack"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Boss""),(TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Champion.Unique"")))",""
PackDeathElectric,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/ElectricEnd/StatusEffect_MonsterAffix_PackEndElectric.StatusEffect_MonsterAffix_PackEndElectric_C","100","0.000000","0.000000","1.000000","(GameplayTags=((TagName=""Region.RedHavenCoast.EchonokMountains"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Minion""),(TagName=""Character.Monster.Champion.Champion"")))","(GameplayTags=((TagName=""Character.Monster.Championable.Pack"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Boss""),(TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Champion.Unique"")))",""
Possessed,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/Possessed/StatusEffect_MonsterAffix_Possessed.StatusEffect_MonsterAffix_Possessed_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Championable.Pack"")))","(GameplayTags=)",""
Teleporting,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/Teleporting/StatusEffect_MonsterAffix_Teleporting.StatusEffect_MonsterAffix_Teleporting_C","100","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Championable"")))","(GameplayTags=)",""
Shocking,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/Shocking/StatusEffect_MonsterAffix_Shocking.StatusEffect_MonsterAffix_Shocking_C","100","0.000000","0.000000","1.000000","(GameplayTags=((TagName=""Region.RedHavenCoast.EchonokMountains"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Boss""),(TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Champion.Unique"")))","(GameplayTags=((TagName=""Character.Monster.Championable.Solo"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Champion""),(TagName=""Character.Monster.Champion.Minion"")))",""
Shocking_Area,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/Shocking/StatusEffect_MonsterAffix_Shocking.StatusEffect_MonsterAffix_Shocking_C","0","0.000000","0.000000","0.200000","(GameplayTags=((TagName=""Region.RedHavenCoast.EchonokMountains"")))","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=((TagName=""Character.Monster.Champion"")))",""
PlagueBearer,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/PlagueOrb/StatusEffect_MonsterAffix_PlagueOrb.StatusEffect_MonsterAffix_PlagueOrb_C","100","0.000000","0.000000","1.000000","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Boss""),(TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Champion.Unique"")))","(GameplayTags=((TagName=""Character.Monster.Championable.Solo"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Minion""),(TagName=""Character.Monster.Champion.Champion"")))",""
Royal,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/Royal/StatusEffect_MonsterAffix_Royal.StatusEffect_MonsterAffix_Royal_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion.Minion""),(TagName=""Character.Monster.Champion.Champion"")))","(GameplayTags=((TagName=""Character.Monster.Championable.Pack"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Boss""),(TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Champion.Unique"")))",""
PlagueBearer_Area,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/PlagueOrb/StatusEffect_MonsterAffix_PlagueOrb.StatusEffect_MonsterAffix_PlagueOrb_C","100","0.000000","0.000000","0.400000","(GameplayTags=((TagName=""Region.GoblinIsle.InfestedForest"")))","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=((TagName=""Character.Monster.Champion"")))",""
Berserking,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/Berserker/StatusEffect_MonsterAffix_Berserker.StatusEffect_MonsterAffix_Berserker_C","100","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion.Boss""),(TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Champion.Unique"")))","(GameplayTags=((TagName=""Character.Monster.Championable.Solo"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Minion""),(TagName=""Character.Monster.Champion.Champion"")))",""
BondedNew,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/Bonded/StatusEffect_MonsterAffix_Bonded.StatusEffect_MonsterAffix_Bonded_C","100","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion.Champion""),(TagName=""Character.Monster.Champion.Minion"")))","(GameplayTags=((TagName=""Character.Monster.Championable.Pack"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Boss""),(TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Champion.Unique"")))",""
Siege,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/Siege/StatusEffect_MonsterAffix_Siege.StatusEffect_MonsterAffix_Siege_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Championable"")))","(GameplayTags=)",""
Berserking_Area,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/Berserker/StatusEffect_MonsterAffix_Berserker.StatusEffect_MonsterAffix_Berserker_C","100","0.000000","0.000000","0.400000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=((TagName=""Character.Monster.Champion"")))",""
SiegeSolo,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/SiegeSolo/StatusEffect_MonsterAffix_SiegeSolo.StatusEffect_MonsterAffix_SiegeSolo_C","100","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion.Boss""),(TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Champion.Unique"")))","(GameplayTags=((TagName=""Character.Monster.Championable.Solo"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Minion""),(TagName=""Character.Monster.Champion.Champion"")))",""
SiegeSolo_Area,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/SiegeSolo/StatusEffect_MonsterAffix_SiegeSolo.StatusEffect_MonsterAffix_SiegeSolo_C","100","0.000000","0.000000","0.400000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=((TagName=""Character.Monster.Champion"")))",""
NetherWell,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/NetherWell/StatusEffect_MonsterAffix_NetherWell.StatusEffect_MonsterAffix_NetherWell_C","50","15.000000","100.000000","1.000000","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion.Boss""),(TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Champion.Unique"")))","(GameplayTags=((TagName=""Character.Monster.Championable.Solo"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Minion""),(TagName=""Character.Monster.Champion.Champion"")))",""
NetherWell_Area,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/NetherWell/StatusEffect_MonsterAffix_NetherWell.StatusEffect_MonsterAffix_NetherWell_C","100","0.000000","0.000000","0.300000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=((TagName=""Character.Monster.Champion"")))",""
Illusionist,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/Illusionist/StatusEffect_MonsterAffix_Illusionist.StatusEffect_MonsterAffix_Illusionist_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=((TagName=""Character.Monster.Champion.Boss""),(TagName=""Character.Monster.Champion.Legendary""),(TagName=""Character.Monster.Champion.Unique"")))","(GameplayTags=((TagName=""Character.Monster.Championable.Solo"")))","(GameplayTags=((TagName=""Character.Monster.Champion.Minion""),(TagName=""Character.Monster.Champion.Champion"")))",""
Illusionist_Area,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/Illusionist/StatusEffect_MonsterAffix_Illusionist.StatusEffect_MonsterAffix_Illusionist_C","0","0.000000","0.000000","0.300000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=((TagName=""Area.Affix"")))","(GameplayTags=)",""
TextOrdrak,"/Game/Skills/Blueprints/Monsters/Affixes/TextAffixes/TextAffix_Ordrak.TextAffix_Ordrak_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
TextBrall,"/Game/Skills/Blueprints/Monsters/Affixes/TextAffixes/TextAffix_Brall.TextAffix_Brall_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
TextSadista,"/Game/Skills/Blueprints/Monsters/Affixes/TextAffixes/TextAffix_Sadista.TextAffix_Sadista_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Immunity_Burn,"/Game/Skills/Blueprints/StatusEffects/StatusEffect_ImmunityBurnNoUI.StatusEffect_ImmunityBurnNoUI_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Immunity_Poison,"/Game/Skills/Blueprints/StatusEffects/StatusEffect_ImmunityPoisonNoUI.StatusEffect_ImmunityPoisonNoUI_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Immunity_Shock,"/Game/Skills/Blueprints/StatusEffects/StatusEffect_ImmunityShock.StatusEffect_ImmunityShock_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Immunity_Bleed,"/Game/Skills/Blueprints/StatusEffects/StatusEffect_ImmunityBleed.StatusEffect_ImmunityBleed_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Immunity_ChillFreeze,"/Game/Skills/Blueprints/StatusEffects/StatusEffect_ImmunityChillFreeze.StatusEffect_ImmunityChillFreeze_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
MeatShield,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/MeatShield/StatusEffect_MonsterAffix_MeatShield.StatusEffect_MonsterAffix_MeatShield_C","0","0.000000","0.000000","0.200000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
TextShriekbeak,"/Game/Skills/Blueprints/Monsters/Affixes/TextAffixes/TextAffix_Shriekbeak.TextAffix_Shriekbeak_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
TextSquawkclaw,"/Game/Skills/Blueprints/Monsters/Affixes/TextAffixes/TextAffix_Squawkclaw.TextAffix_Squawkclaw_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
TextWideload,"/Game/Skills/Blueprints/Monsters/Affixes/TextAffixes/TextAffix_Wideload.TextAffix_Wideload_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
TextStrongtusk,"/Game/Skills/Blueprints/Monsters/Affixes/TextAffixes/TextAffix_Strongtusk.TextAffix_Strongtusk_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
TextPsora,"/Game/Skills/Blueprints/Monsters/Affixes/TextAffixes/TextAffix_Psora.TextAffix_Psora_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
TextOakbeard,"/Game/Skills/Blueprints/Monsters/Affixes/TextAffixes/TextAffix_Oakbeard.TextAffix_Oakbeard_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
TextGrundlepox,"/Game/Skills/Blueprints/Monsters/Affixes/TextAffixes/TextAffix_NetherimHerald.TextAffix_NetherimHerald_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
TextYapper,"/Game/Skills/Blueprints/Monsters/Affixes/TextAffixes/TextAffix_Yapper.TextAffix_Yapper_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
Blazing_Newbie,"/Game/Skills/Blueprints/Monsters/Affixes/RevisedSet/Blazing/StatusEffect_MonsterAffix_Blazing_newbie.StatusEffect_MonsterAffix_Blazing_newbie_C","0","0.000000","0.000000","1.000000","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)","(GameplayTags=)",""
