---,TraitTextFormat,DisplayCategory,bShowAsNegative,Trait,DisplayPrimarySlot,DisplaySecondarySlot,DisplayName,CategoryName,Notes
HyvidDefense,"BonusPercentage","Defense","False","DefenseVsSource|Character.Monster.Vespid","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""6FCA98FF409718D34D4C4CA9A69F920C"", ""Hyvid Defense"")","Defense",""
GoblinDefense,"BonusPercentage","Defense","False","DefenseVsSource|Character.Monster.Goblin","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""A9C198EB450DCA70730005B4D7D4CC8A"", ""Goblin Defense"")","Defense",""
DefenseVsSource,"None","DefenseTypes","False","DefenseVsSource","Value","None","","DefenseTypes",""
DefenseVsElement,"None","DefenseTypes","False","DefenseVsElement","Value","None","","DefenseTypes",""
StunChance,"Percentage","Attack","False","StunChance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""FE959C714D1715A1D6370BB3DB9F09C1"", ""Stun Chance"")","Attack",""
StunDuration,"Seconds","Attack","False","StunDuration","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""E19AA5094FB3258678727999D64ABF9C"", ""Stun Duration"")","Attack",""
StunResistance,"Percentage","Defense","False","StunResistance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""8033B99D4B7116F521924890073C261F"", ""Stun Resistance"")","Defense",""
KnockbackChance,"Percentage","Attack","False","KnockbackChance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""BFCAE6BF431B6020D3239F8B05680862"", ""Knockback Chance"")","Attack",""
KnockbackResistance,"Percentage","Defense","False","KnockbackResistance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""C888CECF42F34E937D79EA8B93C9C925"", ""Knockback Resistance"")","Defense",""
LuckGear,"BonusPercentage","Misc","False","Luck|Item.Gear","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""F7E9001C45FD9953D38A239F28500437"", ""Gear Luck"")","Defense",""
LuckGold,"BonusPercentage","Misc","False","Luck|Item.Currency.Gold","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""78D5D1BC47CF069A5ECBCC994AD59F36"", ""Gold Luck"")","Defense",""
LuckPotion,"BonusPercentage","Misc","False","Luck|Item.Potion","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""C603D8A7417AFCD10343219D91BA84CB"", ""Potion Luck"")","Defense",""
LuckSkillPoints,"BonusPercentage","Misc","False","Luck|Currency.SkillPoint","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""3ED3C6234338B71449126C9206A3CC8C"", ""Skill Point Luck"")","Defense",""
ElementalProcChance,"Percentage","Attack","False","ElementalProcChance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""8052F2BC486581FEB13E088215D7B74D"", ""<span color=\""#f24124\"">{0}</> Chance"")","Attack",""
ElementalProcDuration,"Seconds","Attack","False","ElementalProcDuration","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""3F57801F4407E1F4E977AB9CBAD765F3"", ""<span color=\""#f24124\"">{0}</> Duration"")","Attack",""
ElementalProcDamage,"None","Attack","False","ElementalProcDamage","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""EC6C8D9B4E0448D9B667129197B32BF2"", ""<span color=\""#f24124\"">{0}</> Damage"")","Attack",""
AttackSpeedBonusMult,"BonusPercentage","Attack","False","AttackSpeedBonusMult","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""7C1B6075471015DB3434D9BE639E8BF6"", ""Attack Speed"")","Attack",""
EnergyCostPctBySkillName,"Percentage","SkillModifier","False","EnergyCostPctBySkillName","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""7990BD284FE9D8C3C5BA7CBFEB9E0D2A"", ""Resource Cost"")","Attack",""
EnergyCostPctBySkillTag,"Percentage","SkillModifier","False","EnergyCostPctBySkillTag","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""573955634FF5CBDE7F630F99E71D179B"", ""Resource Cost"")","Attack",""
CriticalHitChance,"BonusPercentage","Attack","False","CriticalHitChance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""EB2F9E9A4F9ABCA4F6AC03853D09BE1C"", ""Critical Hit Chance"")","Attack",""
CriticalDamageBonus,"BonusPercentage","Attack","False","CriticalDamageBonus","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""4133B6F84945A98E8CE2638B1FFAD309"", ""Bonus to Critical Damage"")","Attack",""
CooldownPctBySkillName,"Percentage","SkillModifier","False","CooldownPctBySkillName","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""443D1A004E6914ACA83DEF8D52BE144F"", ""Cooldown"")","Attack",""
BlockChance,"Percentage","Defense","False","BlockChance","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""EFCF00844E58B727D0553A98D2802A61"", ""Block Chance"")","Defense",""
DefenseVsPoisonDuration,"Percentage","Defense","True","DefenseVsElementalProcDuration|Proc.Poison","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""6CBB23004EC110397E6A5ABC889A844E"", ""Poisoned duration"")","Defense",""
DefenseVsElementPct,"BonusPercentage","Defense","False","DefenseVsElement","Value","Multiplier","NSLOCTEXT(""TraitDisplayTable"", ""E8E5B1C54B146BF5A40A0880BBE1C7CA"", ""<span color=\""#f24124\"">{0}</> Defense"")","Defense",""
HealthOnKill,"None","Attack","False","HealthOnKill","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""AEC7A37C4CB94F9D116D98832E990461"", ""Health on Kill"")","Attack",""
HealthOnKillPct,"Percentage","Attack","False","HealthOnKillPct","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""A7EB1F7A414D9F6188B30B8FFCB54E3F"", ""Health on Kill"")","Attack",""
HealthOnKillVsGoblins,"None","Attack","False","HealthOnKillVsTarget","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""3F5AE81D49D03C29E5FDF8A22CABF7CB"", ""Health on Killing <span color=\""#f24124\"">{0}</>"")","Attack",""
HealthOnKillVsGoblinsPct,"Percentage","Attack","False","HealthOnKillVsTargetPct","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""E0F33AD846328A96471BA4AA592DD7D5"", ""Health on Killing <span color=\""#f24124\"">{0}</>"")","Attack",""
HealthOnHitVsGoblins,"None","Attack","False","HealthOnHitVsTarget","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""A253805D43F17EECEB6572BAD2D7B036"", ""Health on Hitting <span color=\""#f24124\"">{0}</>"")","Attack",""
ShockBoltsBonus,"Bonus","Attack","False","ElementalProcCount|Proc.Shock","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""D9587BC7430BB7FAF43338BF9882F6E0"", ""Bonus bolts fired on Shock"")","Attack",""
EnergyRegen,"Bonus","Misc","False","Energy","Regen","None","NSLOCTEXT(""TraitDisplayTable"", ""6DF61CC74D3E6E6C11A6CDA1A368C97A"", ""Mana / sec. Regen"")","Defense",""
ForgedHeat,"None","Misc","False","ForgedHeat","Regen","None","NSLOCTEXT(""TraitDisplayTable"", ""1660AA1C4EC67C242BB8848C36979DF2"", ""Heat Dissipation /sec."")","Defense",""
ForgedHeatMultiplier,"BonusPercentage","Misc","False","ForgedHeat","Regen","Multiplier","NSLOCTEXT(""TraitDisplayTable"", ""63B580024F92B0179B42B88B19532133"", ""Heat Dissipation"")","None",""
RailmanEndurance,"Bonus","Misc","False","RailmanEndurance","Regen","None","NSLOCTEXT(""TraitDisplayTable"", ""5DDE51AC4ED6F7A97D8B79A868314793"", ""Endurance Regen /sec."")","Defense",""
RailmanEnduranceMultiplier,"BonusPercentage","Misc","False","RailmanEndurance","Regen","Multiplier","NSLOCTEXT(""TraitDisplayTable"", ""36B231004FCD9940B75406BE4267FD1C"", ""Endurance Regen"")","None",""
MovementSpeedBonusMult,"BonusPercentage","Misc","False","MoveSpeedBonusMult","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""DF8B919F4976340AC32547A2BAD4338C"", ""Movement Speed"")","Defense",""
DamageReduction,"Percentage","Defense","False","DamageReduction","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""C73967D745630A9FC1CF1EB08D7249F8"", ""Damage Reduction"")","Defense",""
DamageOverTime,"Percentage","None","False","DamageOverTime","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""E6EB2F8E48C67FF4AF6EEE8496B13EAD"", ""Damage Over Time"")","None",""
DamageVulnerability,"Percentage","None","False","DamageVulnerability","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""D03CC45D447C5F97F501D8B7E5650066"", ""Damage Vulnerability"")","None",""
DurationPctBySkillName,"BonusPercentage","SkillModifier","False","DurationPctBySkillName","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""06560F3A48C07FECCAD67DAF07561F0D"", ""Duration Bonus"")","Attack",""
DurationPctBySkillTag,"BonusPercentage","SkillModifier","False","DurationPctBySkillTag","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""CF77A4B7415DE9B532E12B9F435FE502"", ""Duration Bonus"")","Attack",""
BonusChancePctBySkillName,"BonusPercentage","SkillModifier","False","BonusChancePctBySkillName","Value","None","","Attack",""
RandomBonusPctBySkillName,"BonusPercentage","SkillModifier","False","RandomBonusPctBySkillName","Value","None","","Attack",""
MiscBonusBySkillName,"BonusPercentage","SkillModifier","False","MiscBonusBySkillName","Value","None","","Attack",""
CriticalHitChanceForType,"BonusPercentage","Attack","False","CriticalHitChanceForType","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""5CBFA9E347367A7B77921CAEA17DC1B7"", ""Bonus Crit Chance for <span color=\""#f24124\"">{0}</>"")","Attack",""
CriticalHitDamageForType,"BonusPercentage","Attack","False","CriticalHitDamageForType","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""35D8F6EE4E7501AC9C1C5596D35CDBDA"", ""Bonus Crit Damage for <span color=\""#f24124\"">{0}</>"")","Attack",""
MinionsFromAffix,"None","None","False","MinionsFromAffix","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""A6E08FA94E8E86422768BE948B849FA5"", ""Summon {0} on equip"")","None",""
MinionsOnProcFromAffixAffixOnProc,"None","Attack","False","MinionsOnProcFromAffix","Value","None","","Attack",""
BonusInventoryCapacityMinions,"Bonus","Attack","False","BonusInventoryCapacity","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""B407C1CD422FA1D79B0D72BA950F04AE"", ""summoned {0} max"")","Attack",""
MinionLifespanBonus,"None","Attack","False","MinionLifespanBonus","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""2FA423EA45D6E92F36340EA7B98E0C8A"", ""sec. summoned {0} duration"")","Attack",""
Stalactites,"Percentage","Attack","False","ProcChance|Stalactites","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""5666121841F4E0369C79FDA941836382"", "" chance to drop Stalactites"")","Attack",""
RandomPctForSkillName,"Percentage","None","False","RandomPctForSkillName","Value","None","","None","For when you need to add a percent, but you might need it to be negative, like bonus to SLOW."
SkillModifier,"Bonus","None","False","SkillModifier","Value","None","","None",""
BonusStunChanceforSkill,"BonusPercentage","SkillModifier","False","BonusStunChanceforSkill","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""FFFD41864C500481FB72479F7DDE8235"", ""Additional Stun Chance"")","None",""
AmmoRegenMultiplier,"BonusPercentage","Misc","False","Ammo","Regen","Multiplier","NSLOCTEXT(""TraitDisplayTable"", ""6C8D0AEF45D291B1B7B25C9238A647C4"", ""Ammo Regen"")","Defense",""
ProcChance,"Percentage","None","False","ProcChance","Value","None","","None",""
SkillDamageFactorMultiplier,"BonusPercentage","None","False","SkillDamageFactorMultiplier","Value","None","NSLOCTEXT(""TraitDisplayTable"", ""35E79BCE4886C46E8E72319BD8EE0333"", ""Damage Increase"")","None",""
