---,Speakers,Type,Text,Voiceover,ContextType1,ContextParam1,ContextType2,ContextParam2,ContextType3,ContextParam3,Weight,ContextEntries,bDefaultSet,Notes
Quest_Fort_UpgradeFort:Task_TurnIn,"((RowName=""SgtKlive""))","Quest","NSLOCTEXT(""DialogueTable"", ""4709CAD6493B9DF257FA66879EB3EB1E"", ""I hope you got something useful from your Skill Station, because after this, you\'re on your own.\r\n\r\nKeep honing your skills. You won\'t be able to help us defeat the netherim if you\'re dead.\r\n\r\nMake sure you actually use the skills you\'ve learned and you just might make it."")","(AssetGuid=4DB097D67FAE48BABAAE2B16BBA260A1)","None","None","None","None","None","None","1","","True",""
Quest_Fort_UpgradeFort:Task_TurnInKlive,"((RowName=""SgtKlive""))","Quest","NSLOCTEXT(""DialogueTable"", ""30B905F8456FF6FD32C495A21AFD5308"", ""Interesting arrangement. Ahem, I suppose you can always move them later. Anyway, take this surplus of logs to make some <span color=\""#FFD700\"">planks</> before we move on to the next step."")","(AssetGuid=4DB097D67FAE48BABAAE2B16BBA260A1)","None","None","None","None","None","None","1","","True",""
Quest_ClearDenOfEvil,"((RowName=""GeneralGraye""),(RowName=""GeneralGraye_DenOfEvil""))","Quest","NSLOCTEXT(""DialogueTable"", ""E84DC1AF4F78E6314321FBAE79E2EBC0"", ""Great. Now that you\'ve got a Relic Weapon, you\'re ready to really mix it up with the goblins. We keep clearing this cave out, but it keeps filling up with goblins.\r\n\r\nGrab your Relic Weapon, head in, clear it out, and meet me back here."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Quest_ClearDenOfEvil:Task_TurnIn,"((RowName=""GeneralGraye""),(RowName=""GeneralGraye_DenOfEvil""))","Quest","NSLOCTEXT(""DialogueTable"", ""4971F6FF4AE039E870D860AD1F03B486"", ""Well done. I\'m not sure how long that cave will remain empty, but thanks for helping. These woods teem with goblins and I don\'t have enough men to go \'round. I\'ll need you to take care of some things for me before you can move on."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Quest_CollectAntidote,"((RowName=""Zaya""))","Quest","NSLOCTEXT(""DialogueTable"", ""BD47C373472DADEF852C219E6C85B8C0"", ""Yeesh. Sorry. If you haven\'t started itching yet, it won\'t be long. There\'s some sort of illness spreading across everyone in the Outpost. Yapper gave me a list of ingredients for an antidote. I\'m skeptical, but at this point, I just want to stop scratching. Please, bring me these ingredients!"")","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","None","None","None","None","None","None","1","","True",""
Quest_CollectAntidote:Task_TurnIn,"((RowName=""Zaya""))","Quest","NSLOCTEXT(""DialogueTable"", ""E70306534565B8D891703392EC5D8EDD"", ""Finally! I\'m going to just throw this all together. This had better work."")","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","None","None","None","None","None","None","1","","True",""
Quest_CollectArmorSet:Task_TalkToGeneralGraye,"((RowName=""GeneralGraye""),(RowName=""GeneralGraye_DenOfEvil""))","Quest","NSLOCTEXT(""DialogueTable"", ""7DF19E9541FDD28C22F209AAA66D38E1"", ""Hey, hero. You were a big help defending the outpost from the goblins. We took the head raider captive and it turns out he can actually talk. In fact, now that he\'s recovering, it\'s tough to get him to shut up. He seems pretty eager to sell out the rest of his kind.\r\n\r\nI hope you’re ready to help because we’ve been having trouble with a rather large and angry goblin called <span color=\""#FFD700\"">Wideload</>. You’re not going to be of any use with the meager belongings you’ve brought, so let’s go get some better stuff for you. These goblins play with fire, so you\'ll need some fire resistant armor. Here, you\'re gonna need this potion, too.\r\n\r\nGo get everything on this <span color=\""#FFD700\"">list of gear</>, then meet me outside the <span color=\""#FFD700\"">Den of Upheaval</>."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Quest_CollectArmorSet:Task_Goto_GoblinForest1,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""FBAE42BE40AE64CDA1C8A1B3E9B3B45A"", ""Head towards the guarded gate to my left and follow the path beyond the two banners to get to <span color=\""#FFD700\"">Wood\'s Edge</>."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","Quest_CollectArmorSet:Task_Goto_GoblinForest1","None","None","None","None","1","","True",""
Quest_CollectArmorSet:Quest_TurnIn,"((RowName=""GeneralGraye_DenOfEvil""),(RowName=""GeneralGraye""))","Quest","NSLOCTEXT(""DialogueTable"", ""5F2C545549C3EEA6FA6EFEB9F46362D0"", ""That\'s what I like to see, a fully kitted-out frontierlander.\r\n\r\nThe Emperor wants all of you prepared to face the gobs, so they\'ve authorized me to give you a <span color=\""#FFD700\"">Relic Weapon</>. Relic Weapons grow stronger while you carry them in battle, even if you\'re not wielding them.\r\n\r\nWe keep clearing this cave out, but it keeps filling up with goblins. Grab your Relic Weapon, clear it out, and meet me back here."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Quest_CollectArmorSet:Quest_Direction,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""F656A30649CCFAA2993AA39E8C5430E9"", ""I told you to meet me outside of the <span color=\""#FFD700\"">Den of Upheaval</>. I\'ve got a favor to ask of you there."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","Quest_CollectArmorSet:Quest_TurnIn","None","None","None","None","1","","True",""
Quest_CollectBetterGear,"((RowName=""GeneralGraye""),(RowName=""GeneralGraye_DenOfEvil""))","Quest","NSLOCTEXT(""DialogueTable"", ""407A73914F7AB96487741994E4569550"", ""You\'re doing pretty well, but beyond Wood\'s Edge there are tougher, grizzlier goblins. You\'ll need even <span color=\""#FFD700\"">better armor</> and <span color=\""#FFD700\"">weapons</>."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Quest_CollectEmbershine,"((RowName=""Kenik""))","Quest","NSLOCTEXT(""DialogueTable"", ""374C076B41FD175B16C9F59CBE9EAC25"", ""Aggh, somebody turn that down. You hear that, right?\r\n\r\nAnyway, I’m looking for an intrepid explorer who can brave these dangerous lands to procure for me the fabled <span color=\""#FFD700\"">Embershine</>!\r\n\r\nYou get it and I’ll pay ya."")","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","None","None","None","None","None","None","1","","True",""
Quest_CollectEmbershine:Task_TurnIn,"((RowName=""Kenik""))","Quest","NSLOCTEXT(""DialogueTable"", ""B5F625BE44FEE5139D238CBAA4638293"", ""You found it? Yeah, that’s the stuff! Glows like spark ember and burns like flame ember. Here’s some of my old stuff I had lying around."")","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","None","None","None","None","None","None","1","","True",""
Quest_CollectGoblinBruteShields,"((RowName=""GeneralGraye""),(RowName=""GeneralGraye_DenOfEvil""))","Quest","NSLOCTEXT(""DialogueTable"", ""96DFF4F44D44FBEBD7F0DA90EC4E08FE"", ""These idiot gobs are pretty much pushovers.\r\n\r\nThey\'ve got some <span color=\""#FFD700\"">brutes</> that are giving us a bit more trouble though.\r\n\r\nBring me their <span color=\""#FFD700\"">shields</> and we\'ll show \'em who\'s in charge."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Quest_CollectGoblinBruteShields:Task_TurnIn,"((RowName=""GeneralGraye""),(RowName=""GeneralGraye_DenOfEvil""))","Quest","NSLOCTEXT(""DialogueTable"", ""9B89909A435ABFECC22836AF38D31FCC"", ""That\'ll show ‘em! Our engineers finished their little art project. Go check it out in front of the outpost.\r\n\r\nLet those brutes look at this the next time they consider giving you any trouble."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Quest_CollectInsignias,"((RowName=""Kenik""))","Quest","NSLOCTEXT(""DialogueTable"", ""7950D9094CDBEB5DA5FEE7A6C011D429"", ""Hey there, buddy! Hey, hey! Listen, listen. Listen.\r\nLast time the Imps hired me to do their dirty work here, some of these knuckleheads kicked the bucket while they had some of my schtufff.\r\nIf you go get my schtuff back, I’ll make it worth yer while..."")","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","None","None","None","None","None","None","1","","True",""
Quest_CollectInsignias:Task_TurnIn,"((RowName=""Kenik""))","Quest","NSLOCTEXT(""DialogueTable"", ""FFB9188043D10909A84CC5BC0267D2B2"", ""Aw yeah, that’s the schtuff! Had to get yer hands dirty, didja? Them rats get pretty fat on them corpses, eh? Here’s a little somethin’ ta help ya not become one of them! Har, har har!"")","(AssetGuid=7D01EE71DF3241859132F2CD67629D79)","None","None","None","None","None","None","1","","True",""
Quest_CollectMossratNuggets,"((RowName=""Yapper""))","Quest","NSLOCTEXT(""DialogueTable"", ""86C2B659487DA333E5BC578778E6EB85"", ""Yapper knows where goblins keepin\' humen prisoners.\r\nBut Yapper cold! Maybe you help Yapper out and Yapper tell you where humens is.\r\n\r\nFilthy <span color=\""#FFD700\"">mossrats</> make dirty messes, but goblins know, those messes burn real long time. Yapper teach you ol\' goblin trick, you keep fires burning long time.\r\n\r\nYou go get sum <span color=\""#FFD700\"">mossrat nuggets</>, bring \'em back to Yapper and Yapper tell you where tasty humens is."")","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","1","","True",""
Quest_CollectMossratNuggets:Task_GiveNuggets,"((RowName=""Yapper""))","Quest","NSLOCTEXT(""DialogueTable"", ""A03605F54356EE7C6A0030B33500FB43"", ""Ah! Yeah, yeah! That the stuff. Snnnnif! Good and strong!\r\nOkay, you. Big goblin Wideload lock up humens in Lost Woods. Big humen boss know where that at."")","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","1","","True",""
Quest_CollectPigFish,"((RowName=""Yapper""))","Quest","NSLOCTEXT(""DialogueTable"", ""3733CEFE46F7936811315D8EA316515A"", ""Hmn… Yapper hungry. Yapper told humens about tasty Broiled Pigfish. They don\'t believe Yapper that it taste just like pig! Yapper knows, though. Yapper has secret fishin\' spot and knows what Pigfish eat. You go get Pigfish, I let you eat some, too!"")","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","1","","True",""
Quest_CollectPigFish:Task_TurnIn,"((RowName=""Yapper""))","Quest","NSLOCTEXT(""DialogueTable"", ""A98876E9491E7D6FCBDEAFB5FE1DCA97"", ""Yum! That\'s the fish! Wait until humens taste this. It\'ll be a real surprise. Heh. Here, you have one too!"")","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","1","","True",""
Quest_CollectZombieOutfit:Task_TalkToZaya,"((RowName=""Zaya""))","Quest","NSLOCTEXT(""DialogueTable"", ""E1C035AF4BE0347A1850278D3828AA6D"", ""If you\'ve wandered into the forest at night, you must\'ve met the <span color=\""#FFD700\"">zombies</>. They clearly weren\'t goblins, so where did these people come from?\r\n\r\nThere are records of a group of colonists that took shelter in a nearby cave, but were never heard from again.\r\n\r\nIf you <span color=\""#FFD700\"">bring me some of their clothing</>, I can confirm their origins."")","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","None","None","None","None","None","None","1","","True",""
Quest_Infested_IF6_Cave2:Task_TurnIn,"((RowName=""Zaya""))","Quest","NSLOCTEXT(""DialogueTable"", ""E32B17AD4CE0B9823B042E8A5A681340"", ""The Netherim has been controlling the Hyvid Queen? I can\'t imagine what else they\'ve managed to get their maws on. "")","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","QuestActive","Quest_Infested_IF6_Cave2:Task_TurnIn","None","None","None","None","1","","True",""
Quest_CollectZombieOutfit:Task_GoToCaveOfSorrows,"((RowName=""Zaya""))","Modal","NSLOCTEXT(""DialogueTable"", ""1509A48544620DD80CB651B253A51E55"", ""How goes the spelunking? If I failed to mention it before, you can find the <span color=\""#FFD700\"">Cave of Sorrows</> located within <span color=\""#FFD700\"">Wood\'s Edge</>."")","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","QuestActive","Quest_CollectZombieOutfit:Task_GoToCaveOfSorrows","None","None","None","None","1","","True",""
Quest_CollectZombieOutfit:Task_TurnIn,"((RowName=""Zaya""))","Quest","NSLOCTEXT(""DialogueTable"", ""C82379964E9BE07DE1B7E6AA5B21A510"", ""Ugh. Thanks for …ulp, bringing these to me. I\'ll study these and find out where these people are from. Man, I wish I knew a stink removal spell."")","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","None","None","None","None","None","None","1","","True",""
Quest_HarassGoblins,"((RowName=""GeneralGraye""),(RowName=""GeneralGraye_DenOfEvil""))","Quest","NSLOCTEXT(""DialogueTable"", ""D33263654F056DA2C9CC6B8279532705"", ""Just killing the goblins isn\'t enough.\r\n\r\nWe need to ruin their lives, give \'em hell every day, in every way."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Default_WaypointGuard_Quip1,"((RowName=""WaypointGuard""))","Bubble","NSLOCTEXT(""DialogueTable"", ""26E364BB4DFA54A40F28B19AC80CFF8C"", ""I recommend activating this waypoint before you venture any further."")","(AssetGuid=DE5BA51EF5294D2F8B0473C2E28698A4)","None","None","None","None","None","None","1","","True",""
Quest_KillGoblinBarricade,"((RowName=""Zaya""))","Quest","NSLOCTEXT(""DialogueTable"", ""95CEECDB485C189FE1817CA4F50D6283"", ""With this many Scrolls of the Damned, you should be able to enter the Dead\'s End. You\'ll have to fight your way there through the undead, so make sure you clear out a bunch of them.\r\n\r\nHead in there, kill the skull lord and take back the weapon."")","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","None","None","None","None","None","None","1","","True",""
Quest_KillGoblinBarricade:Task_TurnIn,"((RowName=""GeneralGraye""),(RowName=""GeneralGraye_DenOfEvil""))","Quest","NSLOCTEXT(""DialogueTable"", ""6980BA1D49B36EBCD66AB487B54F5201"", ""You did it! The Skull Lord was a formidable foe.\r\n\r\nThe weapon you retrieved is ideal for cutting your way into goblin territory. It\'s yours, you\'ve earned it.\r\n\r\nWell done."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Quest_KillGoblinBarricade:Task_GoToRestlessGlade,"((RowName=""Zaya""))","Modal","NSLOCTEXT(""DialogueTable"", ""613BF4D74B3EBE52E364139835CF0F3F"", ""Make your way to <span color=\""#FFD700\"">Lake Gobdunk</>, where you will also find the entrance to the <span color=\""#FFD700\"">Restless Glade</>."")","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","QuestActive","Quest_KillGoblinBarricade:Task_GoToRestlessGlade","None","None","None","None","1","","True",""
Quest_KillGoblinBarricade:Task_GoToRestlessGlade2,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""9E354CE047AB77C1E903558C348352FF"", ""The <span color=\""#FFD700\"">Restless Glade</> is located somewhere around <span color=\""#FFD700\"">Lake Gobdunk</>, but the further you venture away from the Imperial Outpost, the more challenging it will be to survive without proper training. I hope you are ready for this."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","Quest_KillGoblinBarricade:Task_GoToRestlessGlade","None","None","None","None","1","","True",""
Quest_KillSiegeWeapons,"((RowName=""Yapper""))","Quest","NSLOCTEXT(""DialogueTable"", ""C4CFBA874193963B4CDD1BADCD20BB7D"", ""You want Yapper to tell you about man-mashers? Oh, Yapper knows. Yapper knows all about dem.\r\n\r\nYou give Yapper tasty snacks if Yapper tells you, yes? Oh yes. Greenies dragged them from <span color=\""#FFD700\"">Snotskin Village</> into a cave.\r\n\r\nYou can find, yes?"")","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","None","None","None","None","None","None","1","","True",""
Quest_KillSiegeWeapons:Task_GoToGF2,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""A053A3A34D694EA77CB7CABC5F716EA2"", ""Make your way through the <span color=\""#FFD700\"">Well-Trodden Path</> from the <span color=\""#FFD700\"">Imperial Battlefield</> to get to <span color=\""#FFD700\"">Snotskin Village</>."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","Quest_KillSiegeWeapons:Task_GoToDungeon","None","None","None","None","1","","True",""
Quest_KillSiegeWeapons:Task_FindSiegeWeaponDungeonEntrance,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""77E6476E4F4F6CD4E828EAAF11F31615"", ""Those siege weapons are stashed somewhere in <span color=\""#FFD700\"">Snotskin Village</>, and I need you to go find that <span color=\""#FFD700\"">Goblin Stash</> as soon as possible."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","Quest_KillSiegeWeapons:Task_FindSiegeWeaponDungeonEntrance","None","None","None","None","1","","True",""
Quest_KillSiegeWeapons:Task_GoToDungeon,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""72CBC5A5407FE196ACE263B5151F99D4"", ""Those siege weapons are stashed somewhere in <span color=\""#FFD700\"">Snotskin Village</>, and I need you to go find that <span color=\""#FFD700\"">Goblin Stash</> as soon as possible."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","Quest_KillSiegeWeapons:Task_GoToDungeon","None","None","None","None","1","","True",""
Quest_KillSiegeWeapons:Task_DestroySiegeWeapon1,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""7EF65C7D4B8BAA2F33BCC79AF3B304D0"", ""Word has it that the gobs have \""improved\"" our stolen imperial siege weapons. They\'ve even coined ridiculous new names for them, like the <span color=\""#FFD700\"">Smash Blaster</>, <span color=\""#FFD700\"">Sword-o-Matic</>, and <span color=\""#FFD700\"">Man Tenderizer</>. \r\n\r\nHead to the <span color=\""#FFD700\"">Snotskin Village</> and destroy these weapons from their <span color=\""#FFD700\"">Goblin Stash</> before the weapons can be used against us."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","Quest_KillSiegeWeapons:Task_DestroySiegeWeapon1","None","None","None","None","1","","True",""
Quest_KillSiegeWeapons:Task_DestroySiegeWeapon2,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""78509C70497ED201463372BD626CD758"", ""Word has it that the gobs have \""improved\"" our stolen imperial siege weapons. They\'ve even coined ridiculous new names for them, like the <span color=\""#FFD700\"">Smash Blaster</>, <span color=\""#FFD700\"">Sword-o-Matic</>, and <span color=\""#FFD700\"">Man Tenderizer</>. \r\n\r\nHead to the <span color=\""#FFD700\"">Snotskin Village</> and destroy these weapons from their <span color=\""#FFD700\"">Goblin Stash</> before the weapons can be used against us."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","Quest_KillSiegeWeapons:Task_DestroySiegeWeapon2","None","None","None","None","1","","True",""
Quest_KillSiegeWeapons:Task_DestroySiegeWeapon3,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""E6F968074E7B3A1365B625ACCF8AE238"", ""Word has it that the gobs have \""improved\"" our stolen imperial siege weapons. They\'ve even coined ridiculous new names for them, like the <span color=\""#FFD700\"">Smash Blaster</>, <span color=\""#FFD700\"">Sword-o-Matic</>, and <span color=\""#FFD700\"">Man Tenderizer</>. \r\n\r\nHead to the <span color=\""#FFD700\"">Snotskin Village</> and destroy these weapons from their <span color=\""#FFD700\"">Goblin Stash</> before the weapons can be used against us."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","Quest_KillSiegeWeapons:Task_DestroySiegeWeapon3","None","None","None","None","1","","True",""
Quest_KillSiegeWeapons:Task_KillBoss,"((RowName=""Yapper""))","Modal","NSLOCTEXT(""DialogueTable"", ""B2DCF91344811583C1EF83811BF73CE3"", ""Yes, yes, <span color=\""#FFD700\"">Mancake Maker</> is big goblin. You smash Mancake Maker, not Yapper, okay? You find Mancake Maker in <span color=\""#FFD700\"">Goblin Stash</>. You smash him good for Yapper."")","(AssetGuid=7D7B31C4477C4CACB4581B27268737A7)","QuestActive","Quest_KillSiegeWeapons:Task_KillBoss","None","None","None","None","1","","True",""
Quest_KillSiegeWeapons:Task_TurnIn,"((RowName=""GeneralGraye""),(RowName=""GeneralGraye_DenOfEvil""))","Quest","NSLOCTEXT(""DialogueTable"", ""035C048D4EAF8CAE0A0178A6F7402B61"", ""Nice work taking out those repurposed siege weapons.\r\n\r\nWho knows if the gobs would have ever gotten them working, but we\'d better not take the chance.\r\n\r\nThey\'re stupid, but dangerous."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Quest_KillSkeletalMage,"((RowName=""GeneralGraye""),(RowName=""GeneralGraye_DenOfEvil""))","Quest","NSLOCTEXT(""DialogueTable"", ""56771C564822FD3872AE548DFC969742"", ""We\'ve gotten reports of a powerful weapon we could use to defeat the goblins.\r\n\r\nUnfortunately, there\'s a section of the forest near the goblin village overrun with the undead. This is where the weapon is and the undead have erected a magical barrier to protect it.\r\n\r\nThe captain of one of our previous expeditions was secretly dabbling in dark forces. When overrun by goblins, he led a retreat to the caves where he tried to hold the gobs off by raising members of his expedition as they fell.\r\n\r\nIf there\'s something we can use to gain access to the <span color=\""#FFD700\"">Dead\'s End</>, that\'s where we\'ll find it. We need any advantage we can get."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","None","None","None","None","None","None","1","","True",""
Quest_KillSkeletalMage:Task_CollectSkeletonScrolls_4,"((RowName=""Zaya""))","Modal","NSLOCTEXT(""DialogueTable"", ""068E028849BABF76845A149620907359"", ""The <span color=\""#FFD700\"">Ostian Sepulcher</> within <span color=\""#FFD700\"">Snotskin Village</> is crawling with the undead. If you are looking for <span color=\""#FFD700\"">Scrolls of the Damned</>, the <span color=\""#FFD700\"">undead</> are sure to carry them--but be careful when toying with dark magic. You might find some unpleasant surprises the further you dig."")","(AssetGuid=4675EF239CF84C3094F7397E75F26B19)","QuestActive","Quest_KillSkeletalMage:Task_CollectSkeletonScrolls_4","None","None","None","None","1","","True",""
Quest_KillSkeletalMage:Task_GoToBossArena,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""FDDDC7E1452138C00D6309BB42FB1E25"", ""Zaya\'s opinion may differ, but <span color=\""#FFD700\"">Dast</> was once a great <span color=\""#FFD700\"">Imperial Captain</>. Perhaps you can find his remains in the <span color=\""#FFD700\"">Ostian Sepulcher</> and finally put his soul to rest."")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","Quest_KillSkeletalMage:Task_GoToBossArena","None","None","None","None","1","","True",""
Quest_KillSkeletalMage:Task_TurnIn2,"((RowName=""GeneralGraye""))","Modal","NSLOCTEXT(""DialogueTable"", ""9AEEB074440DECA262D46D976C261A46"", ""It\'s a shame how Dast has fallen into darkness, but at least you\'ve found the scrolls.\r\n\r\nTell <span color=\""#FFD700\"">Zaya</> about your findings. "")","(AssetGuid=35F42952D3F94782B31536241E1BE043)","QuestActive","Quest_KillSkeletalMage:Task_TurnIn","None","None","None","None","1","","True",""
